source_name,review_date,critic_name,review_detail,movie_name
Philadelphia Inquirer," September 22, 2016",Tirdad Derakhshani," Ultimately, Queen of Katwe fosters a belief in the triumph of merit and talent. And that message is definitely applicable - to Western kids.",Queen of katwe 
sbs.com.au," September 22, 2016",Michelle Orange, A genuine delight and a true surprise.,Queen of katwe 
Toronto Sun," September 22, 2016",Jim Slotek," There are no real villains, save for a few snobby bureaucrats. Emotional buttons are occasionally pushed a little hard. But true to her reputation, Nair delivers something a little better than one expects of the genre.",Queen of katwe 
Las Vegas Weekly," September 29, 2016",Josh Bell, Offers a pleasant variation on a comfortable formula.,Queen of katwe 
Cinemaclips.com," September 28, 2016",Roger Tennis," Poor Ugandan girl Phiona Mutesi (Madina Nalwanga) becomes a chess champion in this fascinating true story. Some fine performances raise the bar on this overlong, but inspirational, film with a few good moves.",Queen of katwe 
New York Observer," September 28, 2016",Rex Reed," The story is true, and the message it delivers-with care and help, the disenfranchised can become role models and inspire others-is unabashedly sentimental, but in a good way.",Queen of katwe 
Movie Nation," September 28, 2016",Roger Moore," Nair skillfully plays the limited board this story gives her, a queen among filmmakers making all the right moves. ",Queen of katwe 
ScreenCrush," September 27, 2016",Erin Whitney," It shirks the typical Disney model of an untouchable, picturesque fantasy by telling a more grounded, human story coursing with love and earnestness.",Queen of katwe 
Film Comment Magazine," September 26, 2016",Michael Sragow, The ensemble is seamless.,Queen of katwe 
Groucho Reviews," September 26, 2016",Peter Canavese," A co-production of Disney and ESPN Films, Queen of Katwe unsurprisingly has a calculated quality to it...What's thrilling is the story's girl power, with Phiona described as an aggressive player of 'astonishing power.'",Queen of katwe 
Linoleum Knife," September 25, 2016",Alonso Duralde, Mira Nair is an emotional button-pusher of Spielbergian ability.,Queen of katwe 
The Patriot Ledger," September 25, 2016",Dana Barbuto," Nair saves her best move for last, when during the end credits she stirringly shows the real-life characters beside the actors who played them. It's the ""Queen's"" crowning achievement.",Queen of katwe 
Maven's Nest," September 24, 2016",Nora Lee Mandel, Triumphant celebration of mind of real girl in Africa with help of Pollyanna. . .Vividly filmed on location. . . Score marvelously uses traditions...Pacing gets repetitive.,Queen of katwe 
Forbes," September 23, 2016",Mark Hughes," [O]ften uplifting, often heartbreaking, & always absorbing, filled with impressive performances & a subversion of Western expectations that make it rise above the other entries in the genre over the last few years.",Queen of katwe 
Metro," September 23, 2016",Matt Prigge," Nair makes sure there's a real person with real skill and real passion working the levers, imbuing even the corniest moment with real feeling.",Queen of katwe 
LRM," September 23, 2016",Edward Douglas," With The Queen of Katwe, Mira Nair really has created something quite special.",Queen of katwe 
Suburban Journals of St. Louis," September 23, 2016",Mathew DeKinder," 'Queen of Katwe' is an exceptional movie anchored by great acting, a life-affirming story and the proof there are diamonds hidden all around us just waiting for their chance to shine.",Queen of katwe 
ScreenRant," September 23, 2016",Sandy Schaefer," Queen of Katwe is a heavy-handed variation of the Disney inspirational sports drama formula, but a sincere and well-meaning one too.",Queen of katwe 
School Library Journal," September 23, 2016",Kent Turner," It's quietly triumphant, told modestly and straightforwardly.",Queen of katwe 
Cinemalogue.com," September 23, 2016",Todd Jorgenson, There's a decent strategy to this slick biopic about a teenage chess prodigy from Uganda that manages to be heartwarming without turning excessively sappy.,Queen of katwe 
The Verge," September 23, 2016",Tasha Robinson, Mira Nair's inspirational chess drama Queen of Katwe is remarkable in the simplest but most profound way: it's an American film about Africa that doesn't feel like it was made by tourists.,Queen of katwe 
L.A. Biz," September 23, 2016",Annlee Ellingson," Makes painfully plain the tug of war between getting an education and putting food on the table, dreams and survival, the future and right now.",Queen of katwe 
Boston Herald," September 23, 2016",James Verniere, A real-life transformative fable from filmmaker Mira Nair with a unique and vibrant setting. All that and Lupita Nyong'o.,Queen of katwe 
The Young Folks," October 6, 2016",Jon Espino, Queen of Katwe is able to easily overcome its handful of flaws to become a beacon and standard for future live-action Disney's films.,Queen of katwe 
The Atlantic," October 4, 2016",Lenika Cruz," In some ways, the film's streaks of realism-not fantasy-are what make it such a genuine pleasure to watch.",Queen of katwe 
SSG Syndicate," October 4, 2016",Susan Granger, Inspirational journey - with compassionate performances - concluding that being a winner can be a mixed blessing.,Queen of katwe 
"Quad City Times (Davenport, IA)"," October 2, 2016",Linda Cook, Why are you fooling around on your laptop when you could be watching this beautiful movie? ,Queen of katwe 
EricDSnider.com," September 30, 2016",Eric D. Snider," Means well, but its laborious, too-gentle pace drags it down into vegetable territory (i.e., a movie you watch because it's good for you).",Queen of katwe 
Cinemixtape," September 30, 2016",J. Olson," The script accentuates its clichÌ©s with well-rounded characters and real-life heartbreak, carrying it high above its Disney sports movie relatives.",Queen of katwe 
Tri-City Herald," September 30, 2016",Gary Wolcott, Watching chess is like watching grass grow. But this movie is so inspiring it doesn't matter. ,Queen of katwe 
PopMatters," September 30, 2016",Cynthia Fuchs," If that story here sometimes lapses into formula, the dazzling color (oranges and yellows and magentas) and thrilling energy and sheer art of each scene help to make that formula less burdensome, to make these places vibrant and marvelous.",Queen of katwe 
"Deseret News, Salt Lake City"," September 30, 2016",Josh Terry, Nalwanga's performance is well supported by veterans Oyelowo and Wyong'o.,Queen of katwe 
Salt Lake Tribune," September 29, 2016",Sean P. Means," Every game of chess has its overt attacks and its stealthy ones, and the chess-based drama Queen of Katwe is no different.",Queen of katwe 
Kansas City Star," September 29, 2016",Loey Lockerby," Chess isn't the most cinematic of pastimes, yet Nair finds ways to make each match as exciting as any soccer or basketball game.",Queen of katwe 
San Diego Reader," September 29, 2016",Matthew Lickona," Director Mira Nair knows just how to deploy her excellent cast, giving weight to the drama of both Mom and coach without ever forgetting her sweet young queen. ",Queen of katwe 
Fort Worth Weekly," September 29, 2016",Kristian M. Lin," Queen of Katwe is that rare movie about Africa that doesn't involve war or disease or any other kind of large-scale death, and these performances help this remarkable story earn its uplift honestly.",Queen of katwe 
JoBlo's Movie Emporium," September 29, 2016",Chris Bumbray, An inspiring true story with great performances.,Queen of katwe 
Newsday," September 29, 2016",Rafer Guzman," Predictable and very Disneyfied, but Mutesi's remarkable story carries the day.",Queen of katwe 
Willamette Week," September 29, 2016",Chance Solem-Pfeifer," Get caught up in the sentiment, brush past some glaring overdubbing, and this is the kind of story you'll know very well told in rare fashion.",Queen of katwe 
Cleveland Plain Dealer," September 29, 2016",Laura DeMarco, The Queen of Katwe is a sports movie for people who don't like sports movies. A tearjerker for those who don't like tearjerkers. An inspirational story for those who don't like inspirational stories.,Queen of katwe 
Austin Chronicle," September 29, 2016",Marjorie Baumgarten," Not only is [Madina Nalwanga] able to convey Phiona's preternatural abilities, but also the trepidation and fears that arise once the child gets a sense of her own keenness and a glimpse of how life is lived outside the slums of Katwe. ",Queen of katwe 
Blu-ray.com," September 29, 2016",Brian Orndorf," Largely avoids exaggeration to make a grander point of hope and brilliance coming together in one unique girl, and it's a must-see for those tired of the blockbuster and genre routine, with its human touch powerful and achingly sincere. ",Queen of katwe 
Charlotte Observer," September 29, 2016",Lawrence Toppman, The honesty of the performances more than makes up for slight amounts of hokiness in the telling.,Queen of katwe 
Little White Lies," October 21, 2016",David Jenkins, A set of solid performances power this underdog flick to victory.,Queen of katwe 
Radio Times," October 20, 2016",Huw Fullerton," Maybe it runs a little long and perhaps some of the child actors are a little unpolished, but overall it's an assured move into new territory by the House of Mouse.",Queen of katwe 
Daily Mail (UK)," October 20, 2016",Brian Viner, It's a Disney film but not overly Disneyfied. It feels thoroughly authentic.,Queen of katwe 
Daily Express (UK)," October 20, 2016",Allan Hunter," It follows the classic tearjerking formula of a Rocky film but still emerges as an inspirational, old-fashioned charmer.",Queen of katwe 
Daily Telegraph (UK)," October 20, 2016",Robbie Collin," We already know from his turn as Martin Luther King Jr in Selma that Oyelowo can be stirring in a statesmanlike role, but here he brings a similar kind of moral conviction to a far humbler underdog character.",Queen of katwe 
International Business Times," October 20, 2016",Amy West," What could have so easily been turned into a sickly-sweet, coming-of-age story actually ends up being a realistic and warm celebration of family, faith and having a sense of purpose that will leave you feeling both moved.",Queen of katwe 
Independent (UK)," October 20, 2016",Geoffrey Macnab, It is a thoroughly heartwarming story in which you're rooting so hard for the heroine that you scarcely notice how contrived some of Nair's dramatic gambits really are.,Queen of katwe 
Guardian," October 20, 2016",Peter Bradshaw," It's a heartfelt movie, which makes up in warmth what it lacks in narrative originality.",Queen of katwe 
New Statesman," October 20, 2016",Ryan Gilbey, There is always something to tickle the eye.,Queen of katwe 
CineVue," October 20, 2016",Matthew Anderson, The strongest piece of Mira Nair's joyous Queen of Katwe is Madina Nalwanga.,Queen of katwe 
Total Film," October 19, 2016",James Mottram," Rarely makes an unpredictable move. But it has warmth, a lively sense of pace, and a fine breakout turn from Madina Nalwanga ...",Queen of katwe 
Empire Magazine," October 19, 2016",Olly Richards," Its plot isn't going to win any prizes for originality, but Nair tells the story with immense warmth and cheer. You can see just about every move coming, but it's making all the right ones.",Queen of katwe 
Independent Online (South Africa)," October 14, 2016",Munya Vomo, It was refreshing to see director Nair take such an honest look at Africa.,Queen of katwe 
MLive.com," October 11, 2016",John Serba," Nair (emphasizes) authenticity in both performance and setting. She plants the seed early on, and never fails to fertilize that soil. ",Queen of katwe 
Your Movies (cleveland.com)," October 11, 2016",John Urbancich," It's just what America always needs: Disney teaming up with its partners at ESPN to give us an inspirational (minor) sports movie we've seen oh so many times before. Admittedly, 'Queen of Katwe' does get some some lift from the game of chess and Uganda.",Queen of katwe 
The List," October 11, 2016",Emma Simmonds," Harnessing the power of understatement, Nalwanga gives a wonderfully engrossing turn helped along by the sensitive camerawork, while an energetic Oyelowo and an estimable Nyong'o provide the classy support.",Queen of katwe 
Winnipeg Free Press," October 7, 2016",Alison Gillmor," This crowd-pleaser is bolstered by intelligent scripting, crafted direction and strong performances, making the uplift feel earned.",Queen of katwe 
Cambridge Day," October 7, 2016",Allyson Johnson, It's a quiet and sturdy installment to Nair's impressive filmography and an under-the-radar delight for 2016.,Queen of katwe 
Hindustan Times," October 7, 2016",Rohan Naahar," This movie is as much a romantic homage to the melodramas of the past as it is a radical, path-breaking piece of modern filmmaking. It is one of the best films of the year.",Queen of katwe 
Sacramento News & Review," October 6, 2016",Daniel Barnes," Another dreadfully well-intentioned, insipidly inspirational sports movie from Disney,",Queen of katwe 
Sci-Fi Movie Page," August 11, 2016",Rob Vaux," It's a deeply affecting experience, and while the film remains just a boy-and-his-dragon story in the end, its depths hold wisdom and comfort.",Petes dragon 
Daily Mail (UK)," August 11, 2016",Brian Viner," I took my twin ten-year-old nieces and they sat on the edge of their seats throughout, utterly rapt, then pronounced the film 'really, really, really good'.",Petes dragon 
Dallas Morning News," August 11, 2016",Nancy Churnin," Pete's Dragon may owe more to E.T.: The Extraterrestrial, along with a dash of The Jungle Book,than it does to the original Pete's Dragon.",Petes dragon 
Kansas City Star," August 11, 2016",Loey Lockerby," The goofy, cartoonish elements are gone, as are the musical numbers. But no one can quite settle on what should replace them.",Petes dragon 
New York Times," August 11, 2016",Glenn Kenny," It is slightly unfair to say that this reboot of ""Pete's Dragon"" is middling on a larger scale, but it's not entirely inaccurate either.",Petes dragon 
Independent (UK)," August 11, 2016",Geoffrey Macnab," Pete's Dragon, a remake of a 1977 Disney movie, is a determinedly old-fashioned kids' film, consummately crafted and with a subtlety that brasher, noisier children's movies conspicuously lack.",Petes dragon 
Beliefnet," August 11, 2016",Nell Minow, Genuinely enchanting.,Petes dragon 
Austin American-Statesman," August 11, 2016",Joe Gross," Most other kids' movies are so frenetic, so manic with lousy jokes and easy gags and visual effluvia that something as calm in spots as Pete's Dragon seems like an outlier.",Petes dragon 
Fort Worth Weekly," August 11, 2016",Kristian M. Lin," The near-feral child at the center of this movie puts it on the same turf as the remake of The Jungle Book, but Pete's Dragon is a better film in almost every way, and it succeeds where The BFG notably failed. ",Petes dragon 
Salt Lake Tribune," August 11, 2016",Sean P. Means, The subtly beautiful Pete's Dragon is a family drama that works because it doesn't talk down to children.,Petes dragon 
L.A. Biz," August 11, 2016",Annlee Ellingson," [Director David] Lowery may be retreading familiar territory here, but he does it well.",Petes dragon 
The Sun (UK)," August 11, 2016",Jamie East, This is old-school Disney using 2016 magic.,Petes dragon 
Rolling Stone," August 11, 2016",Peter Travers," Thanks to director David Lowery's humanizing magic, this tale of an orphan boy and a dragon is that rare family film you really can take to heart. ",Petes dragon 
NPR," August 11, 2016",Scott Tobias," Lowery's affecting tearjerker strips away the excess and keeps on stripping, until all that's left is the elemental friendship between boy and beast and a lovely affirmation of family, community, and the preciousness of the natural world.",Petes dragon 
CinemaBlend.com," August 11, 2016",Eric Eisenberg," David Lowery has crafted a beautiful, earnest family film with wonderful emotion and pathos that should see it continually watched for years.",Petes dragon 
Mark Reviews Movies," August 11, 2016",Mark Dujsik," None of this works if the dragon isn't convincing, both as an effect and as a character. It is on both counts...",Petes dragon 
New York Post," August 11, 2016",Kyle Smith," A cinematic enchantment, a low-key 1970s-style kids' movie brimming with sincerity and heart. It's one of the best films of the year.",Petes dragon 
Wall Street Journal," August 11, 2016",Joe Morgenstern," Elliott breathes fire, and the film around him breathes humanity.",Petes dragon 
Toronto Sun," August 11, 2016",Jim Slotek," A slow movie for kids, and an infuriatingly unconvincing one for adults.",Petes dragon 
Stuff.co.nz," August 11, 2016",Graeme Tuckett, Elliot is a simply brilliant creation.,Petes dragon 
Slate," August 12, 2016",Dan Kois," Pete's Dragon is a gentle, understated family adventure, one that feels notably unlike the simplistically sentimental product the Disney imprimatur might lead you to expect.",Petes dragon 
RTÌä (Ireland)," August 12, 2016",Sinead Brennan," Great kids' films will always have something there for the adults but there is no appeal here. Children may get lost in a sense of wonder at the incredibly cute Elliott, but there are better films out there that would be worth picking up instead.",Petes dragon 
"HeraldNet (Everett, WA)"," August 12, 2016",Robert Horton, An offbeat underwhelmer with moments of quiet charm.,Petes dragon 
Toledo Blade," August 12, 2016",Kirk Baird," Pete's Dragon is delightfully low key and delicate... It's a film about characters, story, and emotions that also happens to have a CGI dragon in it -- one that is effectively brought to life through the animation.",Petes dragon 
"Deseret News, Salt Lake City"," August 12, 2016",Josh Terry, A contemplative and beautiful movie with just enough action to keep things interesting.,Petes dragon 
NYC Movie Guru," August 12, 2016",Avi Offer," Strong, heartfelt performances barely compensate for the dull screenplay. It ultimately lacks the magic of the classic children's book.",Petes dragon 
National Catholic Register," August 12, 2016",Steven D. Greydanus," A rare family film that takes its time and allows the characters to breathe, to romp in the forest, to gaze at stars...I wish I'd grown up watching this film instead of the original.",Petes dragon 
Kaplan vs. Kaplan," August 12, 2016",Jeanne Kaplan," ""Pete's Dragon"" is nearly perfect family entertainment. Grab your children --- or go alone!",Petes dragon 
Playback:stl," August 12, 2016",Sarah Boslaugh," ...[a] hopeless mishmash of, among other things, The Jungle Book, Tarzan, E.T., and King Kong...",Petes dragon 
HollywoodInToto.com," August 12, 2016",Christian Toto," Turning, 'Ugh, another remake' into, 'hey, I wouldn't mind a Pete's Dragon 2",Petes dragon 
Comic Book Resources," August 12, 2016",Kristy Puchko," Painted in vivid colors, flush with love and alive with whimsy, Pete's Dragon is a superbly sweet and earnestly enchanting delight. ",Petes dragon 
Thrillist," August 12, 2016",Matt Patches, The next 'Stranger Things' ... channels Spielberg's adventure spirit and then soars higher with authenticsweetness and scares.,Petes dragon 
RogerEbert.com," August 12, 2016",Matt Zoller Seitz, The kind of film that can entertain more attentive and patient children simply by putting a memorable world and memorable characters onscreen. ,Petes dragon 
The Newnan Times-Herald," August 12, 2016",Jonathan W. Hickman," A lovely, old-fashioned remake with a wonderful family friendly vibe. ",Petes dragon 
Screen It!," August 12, 2016",Jim Judy," It's a magical small tale with a big critter and a big heart. (Full Content Review for Parents - Violence, Scary Stuff for young kids, etc. - also Available)",Petes dragon 
Globe and Mail," August 12, 2016",Barry Hertz, It is all refashioned in just the right way with just the right level of sincerity to make the project seem like less of a cash grab and more an honest effort to entertain and enthrall.,Petes dragon 
Detroit News," August 12, 2016",Adam Graham," Rather than a big, special effects-driven blockbuster, this remake of the 1977 Disney musical has the homespun feel of a children's book come-to-life.",Petes dragon 
Sky Movies," August 12, 2016",Elliott Noble," While the sentimentality is as tangible as the surroundings, nothing is overcooked or forced home.",Petes dragon 
Daily Mirror (UK)," August 12, 2016",David Edwards," Funny, heartwarming and glorious to look at, it's as if the technology has finally caught up with the story.",Petes dragon 
Chesapeake Family Magazine," August 11, 2016",Roxana Hadadi," More wistful and introspective than most family movies this year, Pete's Dragon is deeply moving and unforgettably touching. This is timeless storytelling.",Petes dragon 
Cinemalogue.com," August 12, 2016",Todd Jorgenson, Amid the obligatory effects-driven spectacle and playful kid-friendly mischief are some quiet and surprisingly touching moments of bonding between two outcasts.,Petes dragon 
ScreenRant," August 12, 2016",Sandy Schaefer, Pete's Dragon succeeds as a dramatic reimagining of its predecessor - giving rise to a soulful modern fairy tale in the process.,Petes dragon 
New Yorker," August 12, 2016",Richard Brody," ""Pete's Dragon"" conjures the primordial power of fantasy itself.",Petes dragon 
National Post," August 12, 2016",Tina Hassannia," It's beautifully balanced between developing a slow-rising narrative that also takes its time to build characters, without ever veering into precious or sentimental territory.",Petes dragon 
Irish Independent," August 12, 2016",Paul Whitington," This tale is very well told, nicely paced and perfectly pitched in a movie that doesn't make the mistake of outstaying its welcome. And like all the best children's films, it reminds world-weary parents what being a kid actually feels like.",Petes dragon 
CineXpress," August 12, 2016",Fico Cangiano," Impressively directed and with amazing performances, Pete's Dragon captures the magic and fantasy from childhood, that's missing nowdays. [Full review in Spanish]",Petes dragon 
Cinemaclips.com," August 12, 2016",Roger Tennis," In the tradition of Disney's best live-action features, this charming re-imagining is a grand family adventure.",Petes dragon 
Nerdist," August 12, 2016",Kyle Anderson, Pete's Dragon is a satisfying and touching family adventure drama.,Petes dragon 
Movie Mezzanine," August 12, 2016",Mallory Andrews, The strength of Lowery's Pete's Dragon lies in its restraint; the confidence that no single idea or plot point from the source material would be too precious or revered to do away with.,Petes dragon 
Tulsa World," August 12, 2016",Michael Smith, Sweet. Boring.,Petes dragon 
Christianity Today," August 12, 2016",Alissa Wilkinson," It's an uplifting tearjerker, and deserving of your box-office dollars.",Petes dragon 
Otroscines.com," August 12, 2016",Ezequiel Boetti, A Fantasy/Adventure film in the vein of Spielberg's early films. [Full review in Spanish],Petes dragon 
Reeling Reviews," August 12, 2016",Laura Clifford," Bryce Dallas Howard, last seen ridiculously mishandling children around huge fantastical animals in ""Jurassic World,"" sheds her heels for sneakers and enjoys a complete reversal in believability, her familial warmth shining through.",Petes dragon 
MTV," August 12, 2016",Amy Nicholson," Picture the exec who said that scales might be too strange, as though asking kids to dream wasn't the point",Petes dragon 
New York Magazine/Vulture," August 12, 2016",David Edelstein," After half an hour or so of ... stutter steps, Pete's Dragon starts working on you, much like those gold standards of the boy-and-his-otherworldly-friend genre, E.T. and The Iron Giant.",Petes dragon 
leonardmaltin.com," August 12, 2016",Leonard Maltin, A Disney vehicle that swoops in to fill us with a sense of wonder. .. Filmmaker Lowery has helmed a joyful re-imagining destined to be the delight of the summer...,Petes dragon 
Your Movies (cleveland.com)," August 12, 2016",John Urbancich," ""The (new) Jungle Book"" it's certainly not, but anyone with a heart should enjoy ""Pete's"" easy-going resolution.",Petes dragon 
Las Vegas Review-Journal," August 12, 2016",Christopher Lawrence," Pete's Dragon is genial and family friendly. But there's entirely too much setup, precious little action, not much magic, and even at 103 minutes it feels at least 20 too long.",Petes dragon 
Common Sense Media," August 12, 2016",Yvonne Condes," Wonderful remake of Disney classic has peril, sad moments. ",Petes dragon 
Tri-City Herald," August 12, 2016",Gary Wolcott," Nothing like the original. No music thankfully. Manipulative and if you're emotional or taking kids, it's a two hanky movie. Kids might like it. Adults will be bored. ",Petes dragon 
Laramie Movie Scope," August 17, 2016",Robert Roten," This film packs an emotional punch. It is well acted and directed. There is action and there is spectacle, but it doesn't overwhelm the story, which is essentially about human relationships, friendships and love.",Petes dragon 
Baltimore Magazine," August 17, 2016",Max Weiss, One more thing about Pete's Dragon: You will cry. A lot.,Petes dragon 
HitFix," August 17, 2016",Drew McWeeny," Our best fables and fairy tales are the ones that speak truth, and this version of Pete's Dragon easily takes its place on any short list of the great films for young audiences as a result. ",Petes dragon 
New York Observer," August 17, 2016",Oliver Jones," Pete's Dragon is one of those movies that talks a lot about magic-Robert Redford, the grandfatherly narrator whose ""by and by"" bookends the film, says the word at least seven times-rather than effectively presenting it on screen.",Petes dragon 
Flavorwire," August 16, 2016",Jason Bailey," Lowery's not just an artisan crafting what could've been product - he's creating a road map for how these remakes should be done, if, indeed, that's where we're going anyway.",Petes dragon 
Cambridge Day," August 15, 2016",Allyson Johnson, One of the biggest and most pleasant surprises of the year so far.,Petes dragon 
Vox," August 15, 2016",Todd VanDerWerff, Disney's Pete's Dragon remake is one of the summer's better movies -- and that would have been the case even in a summer that wasn't largely dominated by lousy sequels and tired franchise extensions.,Petes dragon 
EricDSnider.com," August 15, 2016",Eric D. Snider," Free of the flamboyance that marks so many kids' movies, and of the winking references to the past that plague so many remakes, Lowery's vision is wonderful and big-hearted, beautiful inside and out.",Petes dragon 
Sunday Independent (Ireland)," August 15, 2016",Hilary A White," Pete's Dragon won't be winning any awards for originality, but who cares when it does the simple things so effectively?",Petes dragon 
The Young Folks," August 15, 2016",Jon Winkler, Pete's Dragon is so preserved in its own universe and separate from the commercialism of modern kid's movies that it's actually quite refreshing. ,Petes dragon 
Creative Loafing," August 14, 2016",Matt Brunson," The gentle nature and leisurely pace might cause a few Coked out kids to fidget, but most should react positively to the picture's sense of adventure and discovery.",Petes dragon 
Radio Times," August 14, 2016",David Aldridge," By turns funny, sad, scary and exciting, this is terrific family entertainment, though children who are easily upset may be disturbed by some of the intense action scenes.",Petes dragon 
Daily Express (UK)," August 14, 2016",Nicholas Barber," It's possibly a little too gentle and a few jokes might have made it even better but, these days, Hollywood films as quietly humane as this one are almost as rare as dragons.",Petes dragon 
Daily Express (UK)," August 14, 2016",Allan Hunter, It may be extremely slight and even too wholesome for modern tastes but Pete's Dragon is still welcome family fare.,Petes dragon 
Observer (UK)," August 14, 2016",Wendy Ide," Although the pathos is ladled on a little over-generously, the handsome photography, the first-rate performances ... and an endearing overgrown puppy of a dragon make this a strong alternative to animation for family audiences.",Petes dragon 
The Patriot Ledger," August 14, 2016",Dana Barbuto," .... their scenes together are fun to watch. Really, could there ever be a better best friend than a fire-breathing dragon who likes to cuddle?",Petes dragon 
Maven's Nest," August 13, 2016",Nora Lee Mandel," While I think that the angry dragon's fire would singe his inappropriate fur, this new version is a pleasing, lovely-looking family film.",Petes dragon 
SSG Syndicate," August 13, 2016",Susan Granger," Enchantingly earnest, perhaps the best live-action, family film of the summer....",Petes dragon 
Suburban Journals of St. Louis," August 13, 2016",Mathew DeKinder," The original 'Pete's Dragon' wasn't much more than a goofy flight of fancy. The remake, while well-made and well-acted, feels lifeless and uninspired.",Petes dragon 
Ex-Press.com," August 13, 2016",Katherine Monk," Our desire to believe in the magical burns bright in childhood, but it's a fire that experience in a frequently cruel world eventually snuffs out. Pete's Dragon has enough charm to rekindle that flame. ",Petes dragon 
Herald Sun (Australia)," September 14, 2016",Leigh Paatsch," Viewed independently of its problematic pedigree, however, this gently meandering affair only just gets by.",Petes dragon 
Contactmusic.com," September 13, 2016",Rich Cline, Hugely enjoyable.,Petes dragon 
The Sunday Age," September 13, 2016",Craig Mathieson," The result is unusually small and surprisingly genuine for a modern Disney production. The film values friendship, but also acknowledges trauma.",Petes dragon 
"Commercial Appeal (Memphis, TN)"," September 8, 2016",John Beifuss, 'Be open to looking' is both metaphysical counsel and practical advice in director David Lowery's powerful film about a literally warm and fuzzy fire-breather.,Petes dragon 
Reel Film Reviews," September 8, 2016",David Nusair," Pete's Dragon is, in the end, an awfully well-intentioned misfire that feels as though it should be so much better. ",Petes dragon 
The Straits Times (Singapore)," August 31, 2016",Boon Chan," it is safe for parents to take their little ones to watch Pete's Dragon. The bigger lessons in this sweet and gentle film are about the family you make, the ties that bind and the fact that you can be a good friend, regardless of your size.",Petes dragon 
El Mundo (Spain)," August 29, 2016",Alberto Bermejo," There's no animation or musicals, just an uninspired dragon. [Full review in Spanish]",Petes dragon 
El antepenÌ¼ltimo mohicano," August 29, 2016",JosÌ© MartÌ_n, A classic family-friendly film that compensates its predictable plot with entertainment. [Full review in Spanish],Petes dragon 
Spliced Personality," August 27, 2016",Sean Burns," Folksy, sincere and altogether lovely.",Petes dragon 
Combustible Celluloid," August 26, 2016",Jeffrey M. Anderson," A gentle, whimsical tale, focusing on wonder in an age when most kids' movies focus on noise and movement. ",Petes dragon 
BuzzFeed News," August 25, 2016",Alison Willmore," It is, above all, gentle, sometimes to a fault.",Petes dragon 
LarsenOnFilm," August 22, 2016",Josh Larsen, ...doesn't simply want to update a movie from 1977. It wants to be a movie from 1977. ,Petes dragon 
Blog de cine," August 22, 2016",Mikel Zorrilla, Makes you come out of the movie theater with a smile even though is not an extraordinary film. [Full review in Spanish],Petes dragon 
Q Network Film Desk," August 22, 2016",James Kendrick, it is hard to think of a recent family-friendly film with more grace and poignancy,Petes dragon 
Cinemixtape," August 19, 2016",J. Olson," A gorgeous, stirring film that doesn't just rank among the best remakes of Disney's current live-action renaissance. It ranks among their best, period.",Petes dragon 
Spirituality and Practice," August 18, 2016",Frederic and Mary Ann Brussat, A very special family film with its spiritual depiction of awe and wonder in the face of an astonishing wild creature.,Petes dragon 
Sacramento News & Review," August 18, 2016",Daniel Barnes," There is such a purity of vision to this thing, such a warm storybook vibe, and such a scarcity of the usual family entertainment pitfalls that it feels like the film was made in secret.",Petes dragon 
Indie London," August 18, 2016",Rob Carnevale," A remake of the part animated 1977 film of the same name, this completely live action version re-imagines the story and emerges as a film capable of captivating both children and adults alike.",Petes dragon 
Hindustan Times," August 18, 2016",Rohan Naahar," When it is all said and done, summer 2016 won't be remembered for the unending DC vs Marvel feud. It will be remembered for films like Pete's Dragon.",Petes dragon 
Willamette Week," August 17, 2016",Mike Gallucci," Your kids will cry through the majority of the film, and you probably will too.",Petes dragon 
Graffiti With Punctuation," January 13, 2017",Blake Howard," Perhaps it's me, but given the choice between living with Wes 'weird kid from ""American Beauty""' Bentley and Bryce 'Jurassic Woe' Dallas Howard and a dragon; I chose the dragon. ",Petes dragon 
Daily Star," December 31, 2016",Andy Lea," It's touching, magical, heartfelt and, in the Disney tradition, is prepared to explore its forest setting's darker byways.",Petes dragon 
Groucho Reviews," December 13, 2016",Peter Canavese, There's room enough for two Pete's Dragons in this big old world.,Petes dragon 
Film Inquiry," December 7, 2016",Mike Daringer, Pete's Dragon is yet another of the recent Disney live-action remakes that elevates the source material and expands the world it was born from for the better.,Petes dragon 
Seanax.com," December 1, 2016",Sean Axmaker," ... the CGI creation has the weight and presence and personality of a living creature in a film that is deeper, richer, and more joyous [than the original].",Petes dragon 
Tampa Bay Times," November 29, 2016",Jimmy Geurts," In a summer of blockbusters that have been both deafening and disappointing, Pete's Dragon is a serene surprise success for Disney.",Petes dragon 
The Blu Spot," November 28, 2016",Jeff Beck," Thanks to its charming story and engaging characters, Pete's Dragon is a delightful, fast-paced, and sweet film that the entire family can enjoy together.",Petes dragon 
Concrete Playground," November 23, 2016",Sarah Ward," Big on sentiment, belief and awe - though it's purposefully small and straightforward in its story.",Petes dragon 
Arkansas Democrat-Gazette," November 14, 2016",Piers Marchant," Based loosely on the original film, the plot harks back to a kind of simpler time, with far fewer entanglements and extraneous story details.",Petes dragon 
3AW," October 18, 2016",Jim Schembri," Eventful, issue-driven, well-mounted if somewhat gloomy reinvention of the ""lost"" 1977 Disney family film...A good ride that feeds the public's seemingly insatiable hunger for dragons.",Petes dragon 
