Year,Rank,Name,College,Conference,Games,Punts,Punt_Yards,Avg_Punt
2003,44,Luke Johnson,Southern Mississippi,CUSA,13,79,3326,42.1
2003,45,Robert Billings,Middle Tennessee State,Sun Belt,12,61,2568,42.1
2003,46,Jesse Stein,Florida State,ACC,13,57,2401,42.1
2003,47,Jeff Babcock,Colorado State,MWC,13,50,2107,42.1
2003,48,Adam Coles,Connecticut,Ind,12,58,2435,42
2003,49,Jeremy Kapinos,Penn State,Big Ten,12,68,2850,41.9
2003,50,Jeremy Karpinos,Penn State,Big Ten,12,68,2850,41.9
2003,51,Blake Ferguson,Oklahoma,Big 12,14,56,2346,41.9
2003,52,Blake Ferguson,Oklahoma,Big 12,14,56,2346,41.9
2003,53,Garth Erickson,Washington,Pac-10,12,70,2925,41.8
2003,54,Anthony Thornton,Kentucky,SEC,12,65,2715,41.8
2003,55,Jimmy McClary,Houston,CUSA,13,62,2584,41.7
2003,56,Seth Santoro,San Diego State,MWC,12,70,2915,41.6
2003,57,Jared Brite,Kansas State,Big 12,15,68,2830,41.6
2003,58,Jared Cook,Mississippi State,SEC,9,41,1701,41.5
2003,59,Tony Yelk,Iowa State,Big 12,10,73,3022,41.4
2003,60,John Skaggs,Navy,Ind,13,36,1491,41.4
2003,61,Todd James,West Virginia,Big East,13,74,3056,41.3
2003,62,Curtis Ansel,Kansas,Big 12,13,47,1937,41.2
2003,63,Parker Mullins,Alabama-Birmingham,CUSA,12,72,2962,41.1
2003,64,Richmond McGee,Texas,Big 12,13,46,1883,40.9
2003,65,David Bradley,Iowa,Big Ten,13,79,3223,40.8
2003,66,Tyson Beattie,Indiana,Big Ten,12,68,2773,40.8
2003,67,Brad Kadlubar,North Texas,Sun Belt,12,65,2653,40.8
2003,68,R.J. Morse,Wisconsin,Big Ten,13,62,2521,40.7
2003,69,Dustin Upton,Louisiana Tech,WAC,12,58,2363,40.7
2003,70,Trey McDonald,Duke,ACC,12,55,2236,40.7
2003,71,Brandon Baker,South Florida,CUSA,11,74,3002,40.6
2003,72,Bo Freelend,Alabama,SEC,13,73,2967,40.6
2003,73,Carl Tobey,Oregon State,Pac-10,13,71,2885,40.6
2003,74,Matt Kovacevich,Utah,MWC,12,63,2558,40.6
2003,75,Josh Brown,South Carolina,SEC,11,46,1863,40.5
2003,76,Joshua Brazen,Kent State,MAC,12,66,2665,40.4
2003,77,Ben Chaet,Utah State,Sun Belt,12,71,2860,40.3
2003,78,Kyle Stringer,Boise State,WAC,14,60,2415,40.3
2003,79,David Rysko,Eastern Michigan,MAC,12,81,3260,40.2
2003,80,Anthony Gallagher,Northern Illinois,MAC,12,63,2533,40.2
2003,81,Nate Fry,Bowling Green State,MAC,14,49,1971,40.2
2003,82,Derek Jones,Nevada,WAC,12,71,2847,40.1
2003,83,Tyler Fredrickson,California,Pac-10,14,57,2281,40
2003,84,Adam Finley,Michigan,Big Ten,13,53,2120,40
2003,85,Brian Huffman,Northwestern,Big Ten,13,72,2872,39.9
2003,86,Jacob Skinner,Arkansas,SEC,13,52,2074,39.9
2003,87,Mike McLaughlin,Temple,Big East,12,51,2035,39.9
2003,88,Abtin Iranmanesh,Vanderbilt,SEC,12,69,2743,39.8
2003,89,Jeff Gomulinski,Boston College,Big East,13,66,2630,39.8
2003,90,Vinnie Burns,Virginia Tech,Big East,13,57,2267,39.8
2003,91,Matthew Miller,Ohio,MAC,12,52,2070,39.8
2003,92,Kurt Milne,Hawaii,WAC,13,63,2501,39.7
2003,93,Jarod Little,Arkansas State,Sun Belt,12,78,3085,39.6
2003,94,Brent Moody,Louisville,CUSA,12,51,2018,39.6
2003,95,Brandon Roberson,Memphis,CUSA,12,50,1975,39.5
2003,96,Tyler Gaus,New Mexico,MWC,13,71,2798,39.4
2003,97,Joe Radigan,Rutgers,Big East,12,60,2360,39.3
2003,98,Grant Autrey,Louisiana-Lafayette,Sun Belt,12,77,3018,39.2
2003,99,Rhys Lloyd,Minnesota,Big Ten,13,40,1569,39.2
2003,100,Steven Smith,New Mexico State,Sun Belt,12,38,1490,39.2
2003,101,Gordon Ely-Kelso,Georgia,SEC,14,66,2571,39
2003,102,John Braziel,Texas Christian,CUSA,13,66,2568,38.9
2003,103,Chet Ervin,Cincinnati,CUSA,12,63,2451,38.9
2003,104,Cole Chason,Clemson,ACC,13,58,2238,38.6
2003,105,Bryce Partridge,San Jose State,WAC,11,57,2189,38.4
2003,106,Mike Lingua,Fresno State,WAC,14,84,3215,38.3
2003,107,Ryan Mentzel,Southern Methodist,WAC,12,76,2912,38.3
2003,108,Alex Bradford,Army,CUSA,11,76,2897,38.1
2003,109,Dominic Milano,Buffalo,MAC,12,79,2977,37.7
2003,110,Phillip Ems,Ball State,MAC,12,68,2545,37.4
2003,111,Philip Ems,Ball State,MAC,12,64,2389,37.3
2003,112,Paul Martinez,Oregon,Pac-10,13,72,2664,37
2003,113,Jacob Young,Texas A&M,Big 12,12,45,1663,37
2003,114,Hal Higgins,Georgia Tech,ACC,13,43,1587,36.9
2003,115,Brock Harvey,Missouri,Big 12,12,49,1802,36.8
2003,116,D.J. Fitzpatrick,Notre Dame,Ind,11,44,1621,36.8
2003,117,Brian Monroe,Miami (FL),Big East,13,49,1749,35.7
2003,118,Tom Hagan,Virginia,ACC,13,63,2193,34.8
2004,1,Brandon Fields,Michigan State,Big Ten,12,50,2394,47.9
2004,2,John Torp,Colorado,Big 12,13,72,3351,46.5
2004,3,Daniel Sepulveda,Baylor,Big 12,11,62,2850,46
2004,4,Steve Weatherford,Illinois,Big Ten,11,57,2589,45.4
2004,5,Matt Payne,Brigham Young,MWC,11,62,2808,45.3
2004,6,Joel Stelly,Louisiana-Monroe,Sun Belt,11,62,2796,45.1
2004,7,Bryce Benekos,Texas-El Paso,WAC,12,62,2732,44.1
2004,8,Ryan Plackemeier,Wake Forest,ACC,11,64,2809,43.9
2004,9,Kyle Stringer,Boise State,WAC,11,38,1668,43.9
2004,10,Sevin Sucurovic,Kentucky,SEC,8,34,1493,43.9
2004,11,Tom Malone,Southern California,Pac-10,13,49,2144,43.8
2004,12,Adam Podlesh,Maryland,ACC,11,63,2755,43.7
2004,13,Jared Cook,Mississippi State,SEC,9,49,2143,43.7
2004,14,Chris Kluwe,UCLA,Pac-10,12,61,2647,43.4
2004,15,Adam Graessle,Pittsburgh,Big East,12,60,2600,43.3
2004,16,Jeff Babcock,Colorado State,MWC,11,48,2078,43.3
2004,17,Kyle Basler,Washington State,Pac-10,11,78,3361,43.1
2004,18,Thomas Olmsted,Troy,Sun Belt,12,76,3272,43.1
2004,19,Chris Macdonald,Arizona State,Pac-10,12,64,2758,43.1
2004,20,Adam Finley,Michigan,Big Ten,12,64,2751,43
2004,21,Cole Farden,Oklahoma State,Big 12,12,58,2487,42.9
2004,22,Kyle Turano,Ohio State,Big Ten,12,65,2780,42.8
2004,23,Kyle Turano,Ohio State,Big Ten,12,65,2780,42.8
2004,24,Brendan Carney,Syracuse,Big East,12,57,2441,42.8
2004,25,Adam Anderson,Western Michigan,MAC,11,53,2270,42.8
2004,26,Adam Brooks,Wyoming,MWC,12,55,2349,42.7
2004,27,Chris Beckman,Tulane,CUSA,11,52,2219,42.7
2004,28,Reggie Hodges,Ball State,MAC,11,73,3109,42.6
2004,29,Sean Douglas,Washington,Pac-10,11,63,2682,42.6
2004,30,Sam Paulescu,Oregon State,Pac-10,12,72,3058,42.5
2004,31,Matthew Miller,Ohio,MAC,11,67,2840,42.4
2004,32,Cody Ridgeway,Mississippi,SEC,11,65,2759,42.4
2004,33,Michael Wafzig,Miami (OH),MAC,13,54,2287,42.4
2004,34,Mike Wafzig,Miami (OH),MAC,13,54,2287,42.4
2004,35,Leon Jackson III,Utah State,Sun Belt,9,40,1694,42.4
2004,36,Tim Reyer,Kansas State,Big 12,10,36,1526,42.4
2004,37,Eric Wilbur,Florida,SEC,11,53,2243,42.3
2004,38,Kody Bliss,Auburn,SEC,13,47,1989,42.3
2004,39,Alex Reyes,Texas Tech,Big 12,12,39,1645,42.2
2004,40,Chris Hall,Florida State,ACC,12,67,2820,42.1
2004,41,Gary Cook,Nevada-Las Vegas,MWC,11,64,2691,42
2004,42,Blake Ferguson,Oklahoma,Big 12,13,52,2183,42
2004,43,Blake Ferguson,Oklahoma,Big 12,13,52,2183,42
2004,44,John Deraney,North Carolina State,ACC,11,60,2514,41.9
2004,45,Mike Brown,Florida Atlantic,Sun Belt,12,56,2346,41.9
2004,46,D.J. Fitzpatrick,Notre Dame,Ind,12,76,3175,41.8
2004,47,Luke Johnson,Southern Mississippi,CUSA,12,67,2799,41.8
2004,48,Ryan Dougherty,East Carolina,CUSA,11,64,2672,41.8
2004,49,Jeremy Kapinos,Penn State,Big Ten,11,59,2469,41.8
2004,50,Brandon Baker,South Florida,CUSA,11,57,2380,41.8
2004,51,Kenneth Debauche,Wisconsin,Big Ten,12,57,2380,41.8
2004,52,David Wooldridge,North Carolina,ACC,11,48,2003,41.7
2004,53,Matt Kovacevich,Utah,MWC,12,45,1878,41.7
2004,54,Jarod Little,Arkansas State,Sun Belt,11,61,2530,41.5
2004,55,Jay Ottovegio,Stanford,Pac-10,11,66,2728,41.3
2004,56,Tyson Beattie,Indiana,Big Ten,10,65,2684,41.3
2004,57,Sam Koch,Nebraska,Big 12,11,63,2600,41.3
2004,58,Donny Heaton,Air Force,MWC,11,47,1942,41.3
2004,59,Danny Baugher,Arizona,Pac-10,11,74,3046,41.2
2004,60,Ben Woods,Buffalo,MAC,11,72,2964,41.2
2004,61,Brian Monroe,Miami (FL),ACC,12,64,2635,41.2
2004,62,Chet Ervin,Cincinnati,CUSA,10,45,1852,41.2
2004,63,Dustin Colquitt,Tennessee,SEC,13,56,2282,40.8
2004,64,Bo Freelend,Alabama,SEC,12,62,2516,40.6
2004,65,Brett Kern,Toledo,MAC,11,44,1788,40.6
2004,66,David Bradley,Iowa,Big Ten,12,65,2633,40.5
2004,67,Ryan Mentzel,Southern Methodist,WAC,11,48,1946,40.5
2004,68,Ian O'Connor,Marshall,MAC,12,64,2586,40.4
2004,69,Joshua Brazen,Kent State,MAC,11,40,1614,40.4
2004,70,Tyler Gaus,New Mexico,MWC,12,74,2979,40.3
2004,71,Parker Mullins,Alabama-Birmingham,CUSA,12,61,2460,40.3
2004,72,Vinnie Burns,Virginia Tech,ACC,12,57,2296,40.3
2004,73,Cole Chason,Clemson,ACC,11,66,2656,40.2
2004,74,Billy Sullivan,Akron,MAC,11,63,2532,40.2
2004,75,Kyle Tucker,Kansas,Big 12,9,58,2326,40.1
2004,76,Brad Kadlubar,North Texas,Sun Belt,12,73,2919,40
2004,77,Dave Brytus,Purdue,Big Ten,11,53,2120,40
2004,78,Gordon Ely-Kelso,Georgia,SEC,11,53,2119,40
2004,79,Chris Jackson,Louisiana State,SEC,12,50,1998,40
2004,80,David Lonie,California,Pac-10,12,47,1879,40
2004,81,Colby Smith,Middle Tennessee State,Sun Belt,11,55,2197,39.9
2004,82,Kurt Milne,Hawaii,WAC,13,54,2154,39.9
2004,83,Rhys Lloyd,Minnesota,Big Ten,12,56,2231,39.8
2004,84,Steven Smith,New Mexico State,Sun Belt,10,49,1951,39.8
2004,85,Justin Laird,Houston,CUSA,7,28,1115,39.8
2004,86,Trey McDonald,Duke,ACC,11,64,2541,39.7
2004,87,Richmond McGee,Texas,Big 12,12,49,1946,39.7
2004,88,John Braziel,Texas Christian,CUSA,11,62,2458,39.6
2004,89,Johnny Ayers,Boston College,Big East,12,63,2479,39.3
2004,90,Matt Butler,Louisiana Tech,WAC,12,72,2825,39.2
2004,91,Justin Bergendahl,Nevada,WAC,12,63,2462,39.1
2004,92,Brian Huffman,Northwestern,Big Ten,12,53,2074,39.1
2004,93,Josh Brown,South Carolina,SEC,11,44,1711,38.9
2004,94,Jacob Young,Texas A&M,Big 12,12,63,2444,38.8
2004,95,Aaron Horne,Central Florida,MAC,11,66,2554,38.7
2004,96,Mike Barrow,Idaho,Sun Belt,12,75,2890,38.5
2004,97,Ben Arndt,Georgia Tech,ACC,12,73,2813,38.5
2004,98,Chris Kindred,Tulsa,WAC,12,61,2349,38.5
2004,99,Troy Blankenship,Iowa State,Big 12,12,75,2879,38.4
2004,100,David Dittman,Oregon,Pac-10,11,59,2266,38.4
2004,101,Joe Radigan,Rutgers,Big East,11,52,1997,38.4
2004,102,Phil Brady,West Virginia,Big East,12,51,1955,38.3
2004,103,Nate Fry,Bowling Green State,MAC,12,40,1530,38.3
2004,104,Anthony Gallagher,Northern Illinois,MAC,12,45,1719,38.2
2004,105,Abtin Iranmanesh,Vanderbilt,SEC,11,43,1643,38.2
2004,106,Michael Hughes,San Diego State,MWC,9,44,1670,38
2004,107,Jared Scruggs,Rice,WAC,11,38,1433,37.7
2004,108,Tony Mikulec,Central Michigan,MAC,11,63,2362,37.5
2004,109,Anthony Mikulec,Central Michigan,MAC,11,63,2362,37.5
2004,110,Andrew Wellock,Eastern Michigan,MAC,11,50,1859,37.2
2004,111,Jake Hendy,Temple,Big East,8,28,1040,37.1
2004,112,Anthony Thornton,Kentucky,SEC,11,29,1074,37
2004,113,Tom Dyrenforth,Army,CUSA,11,66,2433,36.9
2004,114,Shane Hussar,Connecticut,Big East,11,46,1697,36.9
2004,115,Waylon Prather,San Jose State,WAC,11,44,1618,36.8
2004,116,Eric Shuey,Navy,Ind,10,34,1251,36.8
2004,117,Matt Hoenes,Missouri,Big 12,5,31,1136,36.6
2004,118,Jacob Skinner,Arkansas,SEC,6,29,1062,36.6
2004,119,Mike McLaughlin,Temple,Big East,10,34,1242,36.5
2004,120,Mike Lingua,Fresno State,WAC,12,49,1779,36.3
2004,121,David Schexnayder,Louisiana-Lafayette,Sun Belt,10,33,1176,35.6
2004,122,Sean Johnson,Virginia,ACC,9,32,1131,35.3
2005,1,Danny Baugher,Arizona,Pac-10,7,37,1758,47.5
2005,2,Ryan Plackemeier,Wake Forest,ACC,11,67,3165,47.2
2005,3,Sam Koch,Nebraska,Big 12,12,71,3302,46.5
2005,4,Daniel Sepulveda,Baylor,Big 12,11,62,2863,46.2
2005,5,Jim Kaylor,Colorado State,MWC,12,53,2400,45.3
2005,6,Jimmie Kaylor,Colorado State,MWC,12,53,2400,45.3
2005,7,John Torp,Colorado,Big 12,13,80,3613,45.2
2005,8,Luke Johnson,Southern Mississippi,CUSA,12,53,2378,44.9
2005,9,Kody Bliss,Auburn,SEC,12,44,1975,44.9
2005,10,Michael Hughes,San Diego State,MWC,12,67,3003,44.8
2005,11,Kenneth Debauche,Wisconsin,Big Ten,13,57,2555,44.8
2005,12,Joel Stelly,Louisiana-Monroe,Sun Belt,11,59,2634,44.6
2005,13,Michael Gibson,Memphis,CUSA,12,59,2632,44.6
2005,14,Michael Gibson,Memphis,CUSA,12,59,2632,44.6
2005,15,Adam Podlesh,Maryland,ACC,11,44,1920,43.6
2005,16,Nic Schmitt,Virginia Tech,ACC,13,52,2244,43.2
2005,17,Justin Brantly,Texas A&M,Big 12,11,46,1989,43.2
2005,18,Sam Paulescu,Oregon State,Pac-10,11,56,2406,43
2005,19,Chris Miller,Ball State,MAC,11,68,2917,42.9
2005,20,Kyle Tucker,Kansas,Big 12,12,66,2832,42.9
2005,21,Gordon Ely-Kelso,Georgia,SEC,13,57,2443,42.9
2005,22,Alex Reyes,Texas Tech,Big 12,12,49,2099,42.8
2005,23,Jared Scruggs,Rice,CUSA,11,48,2056,42.8
2005,24,Adam Crossett,Missouri,Big 12,12,57,2432,42.7
2005,25,Brendan Carney,Syracuse,Big East,11,82,3491,42.6
2005,26,Troy Blankenship,Iowa State,Big 12,12,68,2894,42.6
2005,27,Steve Weatherford,Illinois,Big Ten,11,67,2856,42.6
2005,28,Sean Douglas,Washington,Pac-10,11,51,2175,42.6
2005,29,Joshua Brazen,Kent State,MAC,11,67,2844,42.4
2005,30,Cody Freeby,Oklahoma,Big 12,12,71,3004,42.3
2005,31,Aaron Horne,Central Florida,CUSA,13,52,2197,42.3
2005,32,Chris Macdonald,Arizona State,Pac-10,8,33,1396,42.3
2005,33,Adam Graessle,Pittsburgh,Big East,11,60,2532,42.2
2005,34,Colby Smith,Middle Tennessee State,Sun Belt,11,59,2484,42.1
2005,35,Mike Barrow,Idaho,WAC,11,43,1811,42.1
2005,36,David Lonie,California,Pac-10,12,61,2559,42
2005,37,Blake McAdams,Mississippi State,SEC,11,69,2891,41.9
2005,38,Brad Evans,New Mexico State,WAC,12,66,2761,41.8
2005,39,Jacob Skinner,Arkansas,SEC,11,50,2091,41.8
2005,40,Tyson Beattie,Indiana,Big Ten,11,75,3124,41.7
2005,41,Eric Wilbur,Florida,SEC,12,59,2459,41.7
2005,42,Adam Brooks,Wyoming,MWC,11,31,1293,41.7
2005,43,Brandon Fields,Michigan State,Big Ten,11,40,1664,41.6
2005,44,Chris Jackson,Louisiana State,SEC,13,59,2447,41.5
2005,45,Kyle Stringer,Boise State,WAC,13,52,2159,41.5
2005,46,Chris Sprague,Duke,ACC,11,76,3144,41.4
2005,47,Johnny Ayers,Boston College,ACC,12,62,2561,41.3
2005,48,Jeremy Kapinos,Penn State,Big Ten,12,61,2522,41.3
2005,49,Justin Bergendahl,Nevada,WAC,12,54,2229,41.3
2005,50,Britton Colquitt,Tennessee,SEC,11,59,2431,41.2
2005,51,David Wooldridge,North Carolina,ACC,11,66,2713,41.1
2005,52,Bryant Hahnfeldt,Vanderbilt,SEC,11,36,1481,41.1
2005,53,Kip Facer,Nevada-Las Vegas,MWC,11,66,2709,41
2005,54,Chris Beckman,Tulane,CUSA,9,53,2166,40.9
2005,55,Todd Flannery,Louisville,Big East,12,34,1389,40.9
2005,56,Ryan Mentzel,Southern Methodist,CUSA,11,60,2450,40.8
2005,57,Jim Laney,Western Michigan,MAC,11,60,2449,40.8
2005,58,Ryan Dougherty,East Carolina,CUSA,11,58,2368,40.8
2005,59,Tyler Gaus,New Mexico,MWC,11,52,2117,40.7
2005,60,Jay Ottovegio,Stanford,Pac-10,11,67,2723,40.6
2005,61,Kyle Basler,Washington State,Pac-10,11,50,2029,40.6
2005,62,Brandon Baker,South Florida,Big East,12,65,2630,40.5
2005,63,Thomas Olmsted,Troy,Sun Belt,11,62,2506,40.4
2005,64,A.J. Trapasso,Ohio State,Big Ten,12,43,1738,40.4
2005,65,Tim Reyer,Kansas State,Big 12,11,65,2620,40.3
2005,66,D.J. Fitzpatrick,Notre Dame,Ind,12,45,1815,40.3
2005,67,Owen Tolson,Army,Ind,11,59,2370,40.2
2005,68,John Deraney,North Carolina State,ACC,12,72,2884,40.1
2005,69,Josh Brown,South Carolina,SEC,12,58,2322,40
2005,70,Chris Gould,Virginia,ACC,12,53,2122,40
2005,71,Derek McLaughlin,Brigham Young,MWC,12,48,1922,40
2005,72,Derek McLaughlin,Brigham Young,MWC,12,48,1922,40
2005,73,T.J. Conley,Idaho,WAC,4,28,1121,40
2005,74,Matt Fodge,Oklahoma State,Big 12,11,65,2593,39.9
2005,75,Aaron Perez,UCLA,Pac-10,12,54,2157,39.9
2005,76,Brian Monroe,Miami (FL),ACC,12,64,2549,39.8
2005,77,Phil Brady,West Virginia,Big East,12,51,2029,39.8
2005,78,Ryan Pederson,Northwestern,Big Ten,11,45,1783,39.6
2005,79,Ben Arndt,Georgia Tech,ACC,12,87,3433,39.5
2005,80,Dave Brytus,Purdue,Big Ten,11,62,2446,39.5
2005,81,Justin Laird,Houston,CUSA,11,47,1858,39.5
2005,82,Brett Kern,Toledo,MAC,12,33,1305,39.5
2005,83,Billy Sullivan,Akron,MAC,13,77,3034,39.4
2005,84,Chet Ervin,Cincinnati,Big East,10,68,2680,39.4
2005,85,Joe Radigan,Rutgers,Big East,12,60,2361,39.4
2005,86,Justin Kucek,Minnesota,Big Ten,12,37,1456,39.4
2005,87,Waylon Prather,San Jose State,WAC,11,74,2908,39.3
2005,88,Shane Hussar,Connecticut,Big East,8,50,1962,39.2
2005,89,Donny Heaton,Air Force,MWC,11,28,1098,39.2
2005,90,Matt Dragich,Oregon,Pac-10,8,32,1246,38.9
2005,91,Mike Brown,Florida Atlantic,Sun Belt,11,72,2797,38.8
2005,92,Jake Hendy,Temple,Ind,7,35,1356,38.7
2005,93,Matthew Miller,Ohio,MAC,11,84,3245,38.6
2005,94,Chris Hall,Florida State,ACC,13,74,2859,38.6
2005,95,Brian Cortney,Texas Christian,MWC,12,62,2394,38.6
2005,96,Andy Dittbenner,Northern Illinois,MAC,12,54,2083,38.6
2005,97,Ryan Hotchkiss,Texas-El Paso,CUSA,10,45,1739,38.6
2005,98,Parker Mullins,Alabama-Birmingham,CUSA,11,44,1698,38.6
2005,99,Nate Fry,Bowling Green State,MAC,11,51,1965,38.5
2005,100,Andy Fenstermaker,Iowa,Big Ten,12,49,1885,38.5
2005,101,Marty Biagi,Marshall,CUSA,11,61,2343,38.4
2005,102,Jacob Richardson,Miami (OH),MAC,11,46,1766,38.4
2005,103,Eric Shuey,Navy,Ind,11,37,1420,38.4
2005,104,Jeremy Schatz,Alabama,SEC,11,60,2300,38.3
2005,105,Andrew Wellock,Eastern Michigan,MAC,11,57,2183,38.3
2005,106,Ross Ryan,Michigan,Big Ten,12,52,1992,38.3
2005,107,Brit Framel,Louisiana-Lafayette,Sun Belt,11,47,1801,38.3
2005,108,Rob Park,Mississippi,SEC,10,43,1641,38.2
2005,109,Tony Mikulec,Central Michigan,MAC,11,72,2742,38.1
2005,110,Chris Kindred,Tulsa,CUSA,13,63,2385,37.9
2005,111,Richmond McGee,Texas,Big 12,13,35,1325,37.9
2005,112,Truman Spencer,North Texas,Sun Belt,10,76,2859,37.6
2005,113,Chris Keagle,Louisiana Tech,WAC,10,52,1946,37.4
2005,114,Eric Neihouse,Arkansas State,Sun Belt,12,37,1383,37.4
2005,115,Justin Hamblin,Utah State,WAC,11,60,2234,37.2
2005,116,Ben Woods,Buffalo,MAC,11,80,2967,37.1
2005,117,Louie Sakoda,Utah,MWC,12,54,2002,37.1
2005,118,Tim Masthay,Kentucky,SEC,11,54,1965,36.4
2005,119,Cole Chason,Clemson,ACC,12,50,1822,36.4
2005,120,Chris Patullo,Florida International,Sun Belt,11,43,1558,36.2
2005,121,Kurt Milne,Hawaii,WAC,12,41,1479,36.1
2005,122,Mike Lingua,Fresno State,WAC,12,35,1230,35.1
2006,1,Daniel Sepulveda,Baylor,Big 12,12,66,3068,46.5
2006,2,Chris Miller,Ball State,MAC,12,57,2637,46.3
2006,3,Kody Bliss,Auburn,SEC,13,47,2149,45.7
2006,4,Durant Brooks,Georgia Tech,ACC,14,79,3596,45.5
2006,5,Geoff Price,Notre Dame,Ind,12,50,2272,45.4
2006,6,Kip Facer,Nevada-Las Vegas,MWC,12,46,2078,45.2
2006,7,Alex Reyes,Texas Tech,Big 12,13,43,1943,45.2
2006,8,Matt Fodge,Oklahoma State,Big 12,13,50,2244,44.9
2006,9,Britton Colquitt,Tennessee,SEC,12,46,2066,44.9
2006,10,Kyle Stringer,Boise State,WAC,13,47,2097,44.6
2006,11,Justin Brantly,Texas A&M,Big 12,13,50,2215,44.3
2006,12,Joe Radigan,Rutgers,Big East,13,56,2467,44.1
2006,13,Nick Folk,Arizona,Pac-10,12,74,3259,44
2006,14,Waylon Prather,San Jose State,WAC,13,63,2771,44
2006,15,Louie Sakoda,Utah,MWC,13,59,2598,44
2006,16,Thomas Morstead,Southern Methodist,CUSA,12,50,2191,43.8
2006,17,Jim Kaylor,Colorado State,MWC,12,63,2754,43.7
2006,18,Jimmie Kaylor,Colorado State,MWC,12,63,2754,43.7
2006,19,Matt Dilallo,Colorado,Big 12,12,47,2056,43.7
2006,20,Ryan Dougherty,East Carolina,CUSA,13,51,2226,43.6
2006,21,Brandon Fields,Michigan State,Big Ten,12,57,2469,43.3
2006,22,Sean Douglas,Washington,Pac-10,12,72,3110,43.2
2006,23,Billy Vinnedge,Wyoming,MWC,12,61,2634,43.2
2006,24,Jared Armstrong,Purdue,Big Ten,14,50,2154,43.1
2006,25,Michael Gibson,Memphis,CUSA,12,42,1812,43.1
2006,26,Michael Gibson,Memphis,CUSA,12,42,1812,43.1
2006,27,Adam Podlesh,Maryland,ACC,13,56,2400,42.9
2006,28,Aaron Perez,UCLA,Pac-10,13,62,2639,42.6
2006,29,Andrew Larson,California,Pac-10,13,49,2087,42.6
2006,30,Chris Beckman,Tulane,CUSA,12,52,2207,42.4
2006,31,Eric Wilbur,Florida,SEC,13,53,2244,42.3
2006,32,Nic Schmitt,Virginia Tech,ACC,13,61,2575,42.2
2006,33,Owen Tolson,Army,Ind,12,49,2067,42.2
2006,34,Tim Reyer,Kansas State,Big 12,13,61,2566,42.1
2006,35,Johnny Ayers,Boston College,ACC,13,59,2483,42.1
2006,36,Brendan Carney,Syracuse,Big East,12,72,3021,42
2006,37,Tony Mikulec,Central Michigan,MAC,14,63,2644,42
2006,38,Adam Graessle,Pittsburgh,Big East,12,49,2059,42
2006,39,Jeremy Kapinos,Penn State,Big Ten,13,61,2555,41.9
2006,40,Chris Jackson,Louisiana State,SEC,13,37,1549,41.9
2006,41,Kenneth Debauche,Wisconsin,Big Ten,13,59,2468,41.8
2006,42,Jared Kaufman,New Mexico State,WAC,12,31,1296,41.8
2006,43,Brett Kern,Toledo,MAC,12,60,2502,41.7
2006,44,Brian Monroe,Miami (FL),ACC,12,58,2419,41.7
2006,45,Zoltan Mesko,Michigan,Big Ten,13,50,2079,41.6
2006,46,Jonathon Johnson,Arizona State,Pac-10,13,54,2241,41.5
2006,47,Jonathan Johnson,Arizona State,Pac-10,13,54,2241,41.5
2006,48,Darryl Blunt,Washington State,Pac-10,11,53,2192,41.4
2006,49,Kyle Loomis,Oregon State,Pac-10,14,62,2558,41.3
2006,50,Cole Chason,Clemson,ACC,13,50,2064,41.3
2006,51,Sam Swank,Wake Forest,ACC,14,70,2887,41.2
2006,52,Mike Brandtner,Iowa State,Big 12,12,56,2309,41.2
2006,53,David Wooldridge,North Carolina,ACC,11,62,2548,41.1
2006,54,Jacob Richardson,Miami (OH),MAC,12,58,2383,41.1
2006,55,Michael Hughes,San Diego State,MWC,10,48,1971,41.1
2006,56,Ian O'Connor,Marshall,CUSA,12,37,1520,41.1
2006,57,Colby Smith,Middle Tennessee State,Sun Belt,13,69,2830,41
2006,58,Michael Cohen,Oklahoma,Big 12,13,51,2091,41
2006,59,Derek McLaughlin,Brigham Young,MWC,13,40,1636,40.9
2006,60,Derek McLaughlin,Brigham Young,MWC,13,40,1636,40.9
2006,61,Graham Gano,Florida State,ACC,13,67,2736,40.8
2006,62,Truman Spencer,North Texas,Sun Belt,10,55,2245,40.8
2006,63,Greg Johnson,Texas,Big 12,12,46,1877,40.8
2006,64,Zach Sasser,Air Force,MWC,12,39,1591,40.8
2006,65,A.J. Trapasso,Ohio State,Big Ten,13,49,1990,40.6
2006,66,Kevin Payne,Louisiana-Monroe,Sun Belt,12,45,1826,40.6
2006,67,Tyson Beattie,Indiana,Big Ten,12,64,2592,40.5
2006,68,Justin Kucek,Minnesota,Big Ten,13,56,2257,40.3
2006,69,Jordan Scott,New Mexico,MWC,13,70,2815,40.2
2006,70,Chris Pavasaris,Connecticut,Big East,12,71,2845,40.1
2006,71,Zach Johnson,Eastern Michigan,MAC,12,65,2603,40
2006,72,Jason Wright,Troy,Sun Belt,13,59,2359,40
2006,73,Parker Mullins,Alabama-Birmingham,CUSA,12,58,2314,39.9
2006,74,Matt Lasher,Ohio,MAC,14,77,3055,39.7
2006,75,Jay Ottovegio,Stanford,Pac-10,12,61,2417,39.6
2006,76,Aaron Horne,Central Florida,CUSA,12,44,1742,39.6
2006,77,T.J. Conley,Idaho,WAC,12,67,2640,39.4
2006,78,Gordon Ely-Kelso,Georgia,SEC,13,51,2007,39.4
