Primary Key,DC Real Property ID,PM Property ID,Property Name,PM Parent Property ID,Parent Property Name,Year Ending,Report Status,Address of Record,Owner of Record,Ward,Reported Address,City,State,Postal Code,Year Built,Primary Property Type - Self-Selected,Primary Property Type - Calculated,Tax Record Floor Area,Reported Building Gross Floor Area,ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft²),Water Use (All Water Sources) (kgal),Electricity Use (kWh),Natural Gas Use (therms),Fuel Oil & Diesel Fuel Use (kBtu),District Water-Based Energy Use (kBtu),Metered Areas (Energy),Metered Areas  (Water),Latitude,Longitude
DC01130060,0113_0060,N/A,Dupont Office/Washington DC/Site #C502,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1913 MASSACHUSETTS AV NW,PNC BANK NATL ASSOCIATION,2,1913 MASSACHUSETTS AVE NW,Washington,DC,20036,,Not Provided,Not Provided,"65,608",,,,,,,,,,,,,,,,,
PM2930341,0114_0816,2930341,National Center for Higher Education,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0001 DUPONT CIR NW,AMERICAN COUNCIL ON EDUCATION,2,1 Dupont Circle NW,Washington,DC,20036,1969,Office,Office,"302,468","232,957",,131.3,131.4,351.3,351.4,3546,15.2,6290.7,6972689,68014.4265,,,Whole Building,Whole Building,,
DC01150081,0115_0081,N/A,The Sunderland,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1320 19TH ST NW,THE SUNDERLAND BUILDING LP,2,1320 19th Street NW,Washington,DC,20036,,Not Provided,Not Provided,"59,660",,,,,,,,,,,,,,,,,
DC01150082,0115_0082,N/A,21 Dupont Associates LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,0021 DUPONT CIR NW,21 DUPONT ASSOCIATES LLC,2,21 Dupont Circle NW,Washington,DC,20036,,Not Provided,Not Provided,"55,818",,,,,,,,,,,,,,,,,
PM1997814,0115_0084,1997814,1300 19th St NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1300 - 1909 19TH ST NW,N19 ASSOCIATES LLC,2,1300 19th St NW,Washington,DC,20037,1978,Office,Office,"132,359","133,338",82,60.1,60.1,188.7,188.7,1014.7,7.6,1538.9,2348487,,,,Whole Building,Whole Building,38.90746661,-77.04397876
PM2285518,0115_0085,2285518,1333 New Hampshire Ave.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1333 NEW HAMPSHIRE AV NW,BP 1333 NEW HAMPSHIRE AVE LLC,2,1333 New Hampshire Ave. NW,Washington,DC,20036,1978,Office,Office,"357,983","325,215",79,66.9,66.9,210.1,210.1,2755.6,8.5,9291.8,6377519,,,,Whole Building,Whole Building,38.90849175,-77.04374959
DC01151057,0115_1057,N/A,The Lauren Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1301 20TH ST NW,THE LAUREN CONDOMINIUM,2,1301 20th St. NW,Washington,DC,20036,,Not Provided,Not Provided,"93,684",,,,,,,,,,,,,,,,,
PM0025204,0116_0073,25204,1919 M Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1919 M ST NW,1919 M STREET ASSOCIATES,2,1919 M Street NW,Washington,DC,20036,1967,Office,Office,"297,005","269,071",68,63.3,63.3,198.6,198.6,2155.3,8,3846.8,4985778,,13800,,Whole Building,Whole Building,38.90641907,-77.04457082
PM1556347,0116_0074,1556347,1220 19th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1220 19TH ST NW,WRIT LP,2,1220 19th Street N.W.,Washington,DC,20036,1978,Office,Office,"110,414","95,154",80,56.6,56.6,163.8,163.9,635.5,6.7,,1392319,6393.22,,,Whole Building,,38.90664227,-77.04393917
DC01160075,0116_0075,N/A,1920 N St NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1920 N ST NW,JBG 1920 N LLC,2,1920 N Street NW,Washington,DC,20036,,Not Provided,Not Provided,"125,000",,,,,,,,,,,,,,,,,
DC01160076,0116_0076,N/A,1233 20th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1233 - 1243 20TH ST NW,JBG/1233 20TH STREET LLC,2,1233 20th St NW,Washington,DC,20036,,Not Provided,Not Provided,"222,726",,,,,,,,,,,,,,,,,
PM3500466,0116_0077*,3500466,1200 Nineteenth Street Benchmarking,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,*not matched with covered building list,*not matched with covered building list,2,1200 19th St. NW,Washington,DC,20036,1964,Office,Office,,354924,86,59.7,59.7,172.1,172.1,2491.5,7,6369.7,5446233.189,26056.903,,,Whole Building,Whole Building,38.9061145,-77.04387105
PM1984865,0117_0075,1984865,*50024 - 1129 20th Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1129 20TH ST,REPUBLIC 20TH STREET LLC,2,1129 20th Street NW,Washington,DC,20036,2009,Office,Office,"139,224","182,117",84,57.5,57.5,180.4,180.4,1325.2,7.3,2367,3066942,6.189,,,Whole Building,Whole Building,38.90453284,-77.04451259
PM1331248,0117_0078,1331248,1120 19th Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1120 19TH ST NW,PRUDENCE LLC,2,1120 19th Street NW,Washington,DC,20036,1974,Office,Office,"110,550","120,751",63,69,69,216.6,216.6,1054.8,8.7,4078.5,2441199,,,,Whole Building,Whole Building,,
PM3350280,0117_0078,3350280,Prudence LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1120 19TH ST NW,PRUDENCE LLC,2,1120 19th Street NW,Washington,DC,20036,1974,Office,Office,"110,550","116,140",62,71.6,71.6,224.8,224.8,1052.9,9.1,3879.7,2436799,,,,Whole Building,Whole Building,38.90455579,-77.04385972
PM3867812,0117_0080,3867812,0117-0080 (1901 L St),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,1901 L ST NW,1901 L STREET LLC,2,1901 L StreetNW,Washington,DC,20036,1982,Office,Office,128672,141539,,,,,,,,2029.4,,,,,Whole Building,Whole Building,38.90404769,-77.04391993
DC01170081,0117_0081,N/A,1140 19th Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1140 19TH ST NW,AREP 1140 19TH STREET LLC,2,1140 19th Street NW,Washington,DC,20036,,Not Provided,Not Provided,"82,821",,,,,,,,,,,,,,,,,
PM2726905,0117_0084,2726905,The Vanguard Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,1111 20TH ST NW,VANGUARD ASSOCIATES,2,1111 20th st NW,Washington,DC,20036,1963,Office,Office,229401,165232,,,,,,,,3176.1,,,,,Whole Building,Whole Building,38.90409117,-77.04423369
PM3475610,0117_0879,3475610,1133 20th Street Building Corp,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1133 20TH ST NW,1133 20TH ST BUILDING CORP,2,1133 20th Street NW,Washington,DC,20036,1985,Office,Office,"165,577","128,261",55,76,76,238.6,238.8,1234,9.6,1530.8,2856025,,,,Whole Building,Whole Building,38.90495244,-77.04454167
DC01180029,0118_0029,N/A,,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1916 I ST,1919 PENNSYLVANIA ASSOCIATE LLC,2,,Washington,DC,20006,,Not Provided,Not Provided,"381,951",,,,,,,,,,,,,,,,,
PM1368706,0118_0818,1368706,1901 Pennsylvania Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1901 PENNSYLVANIA AV NW,B FRANKLIN KAHN TRUSTEE,2,1901 Pennsylvania Ave,Washington,DC,20006,1959,Office,Office,"113,188","120,287",,54.1,54.2,138.9,139,692.8,5.8,,1384629,17811.098,,,Whole Building,,38.90068906,-77.04379751
DC01220025,0122_0025,N/A,Not Reported,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,No Report Received,0515 20TH ST NW,ALL STATES HOTEL COMPANY LLC,2,,Washington,DC,20006,,Not Provided,Not Provided,"79,875",,,,,,,,,,,,,,,,,
DC01220028,0122_0028,N/A,Old Main,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1922 F ST NW,GEORGE WASHINGTON UNIVERSITY,2,1922 F Street NW,Washington,DC,20052,,Not Provided,Not Provided,"55,789",,,,,,,,,,,,,,,,,
PM1419812,0122_0029,1419812,Elliott School,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1957 E ST,GEORGE WASHINGTON UNIVERSITY,2,1957-1959 E St NW,Washington,DC,20052,2002,Other,Other,"240,742","254,162",,85,85.3,209.5,209.7,2229.6,8.8,7901,4280813,67560.82,,240315.3,Whole Building,Whole Building,38.8962911,-77.04423989
PM1418471,01220824; 01220825,1418471,Thurston and Mitchell Halls,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0514 19TH ST NW,GEORGE WASHINGTON UNIVERSITY,2,519 19th St and 1900 F St NW,Washington,DC,20052,1929,Residence Hall/Dormitory,Residence Hall/Dormitory,"97,233","317,213",,65.1,65.4,137.8,138.1,1888.2,6,18725.8,3089918,93680.348,753563,,Whole Building,,38.89658029,-77.04372433
PM0006768,0126_0057,6768,1776 K Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1776 K ST NW,RIDDELL PROPERTIES INC,2,1776 K Street NW,Washington,DC,22202,1969,Office,Office,"256,839","213,067",83,59.8,59.8,162.7,162.7,1603.6,7.5,5307.5,2998785,,2516057.3,,Whole Building,Whole Building,38.90218881,-77.04123807
PM1597342,0126_0058,1597342,1750 K Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1750 K ST NW,1750 K STREET LLC,2,1750 K Street NW,Washington,DC,20006,1975,Office,Office,"214,618","180,086",78,60.7,60.7,190.4,190.4,1383.2,7.7,2525.4,3201162,,,,Whole Building,,38.90214068,-77.04077861
PM1356879,0126_0060,1356879,L&B 1775 Eye Street LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1775 I ST NW,L&B 1775 I STREET INC,2,1775 Eye Street NW,Washington,DC,20006,1969,Office,Office,"286,694","206,356",84,52.7,52.7,164.1,164.1,1366.9,6.6,2241.4,3148185,1241.611,,,Whole Building,Whole Building,,
PM3016235,0126_0061,3016235,Farragut Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,1727 I ST NW,FARRAGUT CENTER LLC,2,1725 Eye Street NW,Washington,DC,200062407,2001,Office,Office,374766,264000,,,,,,,,,,,,,Whole Building,,38.90162853,-77.04035649
PM1423276,0126_0062*,1423276,1700 K St NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,*not matched with covered building list,*not matched with covered building list,2,1700 K St NW,Washington,DC,20052,2005,Office,Office,,401661,81,59.7,59.7,187.2,187.2,3033.6,7.6,7793.8,7016512.775,,25778,,Whole Building,Whole Building,38.9021227,-77.0400489
PM1356880,0126_0830,1356880,Barr Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0910 17TH ST NW,BARR BUILDING LLC,2,910 17th Street NW,Washington,DC,20006,1927,Office,Office,"115,104","113,960",82,60.2,60.1,183.6,183.3,847.1,7.4,1729.6,1923626,2998.348,,,Whole Building,Whole Building,38.90188856,-77.03974526
PM1641990,0126_0852,1641990,The Farragut Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0900 17TH ST NW,GNAREI 1 FARRAGUT LLC,2,900 17th Street NW,Washington,DC,20006,1961,Office,Office,"200,034","160,153",95,41.7,41.6,118.5,118.4,775.6,4.8,763.9,1678793,9455.069,,,Whole Building,Whole Building,38.90174323,-77.03974025
PM3025626,0127_0040*,3025626,The Bachelor Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,*not matched with covered building list,*not matched with covered building list,2,1737 H Street NW,Washington,DC,20006,1905,Office,Office,,17829,66,56.5,56.8,137.3,137.2,102.4,5.7,195.5,195127.8778,3409.801,,,Whole Building,Whole Building,,
DC01270048,0127_0048,N/A,Intrepid Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1718 - 1720 I ST NW,ROBERT ARTHUR,2,1720 I Street NW,Washington,DC,20006,,Not Provided,Not Provided,"72,545",,,,,,,,,,,,,,,,,
PM2790969,0127_0050,2790969,1722 Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1722 - 1726 I ST NW,1722 EYE STREET ASSOCIATES,2,1722 Eye Street,Washington,DC,20006,1979,Office,Office,"167,233","180,564",68,60.4,60.4,189.7,189.7,1381.3,7.6,2405.6,3196885,,,,Whole Building,Whole Building,38.9010383,-77.04086515
DC01270051,0127_0051,N/A,Paralyzed Veterans of America,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,0801 18TH ST NW,801 18TH STREET ASSOCIATES,2,801 Eighteenth Street NW,Washington,DC,20006,,Not Provided,Not Provided,"57,976",,,,,,,,,,,,,,,,,
PM3337685,0127_0053,3337685,1776 I St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1776 I ST NW,1776 EYE SPE LLC,2,1776 I St NW,Washington,DC,20006,1987,Office,Office,"293,324","242,298",86,50.8,50.8,159.6,159.6,1648.1,6.8,4541.5,3608387,,,,Whole Building,,,
DC01270055,0127_0055,N/A,800 17TH ST,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,0800 17TH ST,VNO 1707 H STREET LLC,2,800 17TH ST NW,Washington,DC,20006,,Not Provided,Not Provided,"431,570",,,,,,,,,,,,,,,,,
DC01270851,0127_0851,N/A,,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,0888 17TH ST NW,JOHN W BRAWNER,2,,Washington,DC,20006,,Not Provided,Not Provided,"132,548",,,,,,,,,,,,,,,,,
DC01270853,0127_0853,N/A,1712 Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1714 I ST NW,1712 LP,2,1712 I Street NW,Washington,DC,20006,,Not Provided,Not Provided,"60,361",,,,,,,,,,,,,,,,,
DC01270854,0127_0854,N/A,Hampton Inn - White House,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1729 H ST NW,PALMETTO HOSPITALITY OF WASHINGTON DC II LLC,2,1729 H Street NW,Washington,DC,20006,,Not Provided,Not Provided,"74,199",,,,,,,,,,,,,,,,,
PM3500929,0134_0825*,3500929,Archstone Dupont Circle,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,*not matched with covered building list,*not matched with covered building list,2,1616 18th Street NW,Washington,DC,20009,1961,Multifamily Housing,Multifamily Housing,,102490,,69.8,70.6,124.9,125.7,565.8,5.5,3443.4,741108.9368,46279.609,,,Whole Building,Whole Building,38.91209773,-77.04197861
DC01350004,0135_0004,N/A,The Dupont Circle Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1500 NEW HAMPSHIRE AV NW,DOYLE DUPONT LLC,2,1500 New Hampshire Ave NW,Washington,DC,20036,,Not Provided,Not Provided,"192,274",,,,,,,,,,,,,,,,,
PM1326888,0136_0035,1326888,SC DuPont Leasehold Inc.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0011 DUPONT CIR NW,SC DUPONT FEE INC,2,11 Dupont Circle NW,Washington,DC,20036,1973,Office,Office,"171,077","160,898",69,64.3,64.2,201.9,201.7,1310,8.1,,3031802,,,,Whole Building,,,
PM1326957,0137_0056,1326957,1800 Massachusetts Avenue NW (SEIU),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1800 - 1824 MASSACHUSETTS AV NW,1800 MASSACHUSETTS AVENUE CORP,2,1800 Massachusetts Avenue NW,Washington,DC,20036,1979,Office,Office,"185,604","204,643",88,52.8,52.8,165.8,165.8,1368.6,6.7,2600.5,3167321,,,,Whole Building,Whole Building,,
PM1717883,01370059*; 01370825*,1717883,1301 CONNECTICUT AVENUE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,*not matched with covered building list,*not matched with covered building list,2,1301 Connecticut Avenue,Washington,DC,20036,1917,Office,Office,,59622,63,73.3,73.3,230,230,553.1,9.3,3225.5,1280149.053,,,,Whole Building,,38.9076329,-77.0419317
PM4353042,0138_0013,4353042,The Triangle Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1350 CONNECTICUT AV NW Unit: 1200,1350 CONNECTICUT AVE LP,2,1350 Connecticut Avenue NW,Washington,DC,20036,1928,Office,Office,"239,502","186,119",59,72.5,72.5,227.7,227.7,1806.7,9.7,6272.1,3955456,,,,Whole Building,Whole Building,38.90831283,-77.04293615
PM1436116,0138_0803,1436116,1330 Connecticut Ave. NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1330 CONNECTICUT AV NW,BP 1330 CONNECTICUT AVENUE LLC,2,1330 Connecticut Ave. NW,Washington,DC,22204,1984,Office,Office,"255,095","335,991",82,66.8,66.8,209.5,209.5,3104.8,9.2,8976.7,6566859,,27544.8,,Whole Building,Whole Building,38.90794965,-77.04292132
PM1056237,0138_0804,1056237,1300 Connecticut Avenue NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1300 CONNECTICUT AV NW,TRT 1300 CONNECTICUT AVE OWNER LLC,2,1300 Connecticut Avenue NW,Washington,DC,20036,1954,Office,Office,"147,560","138,711",62,69.5,69.5,218.1,218.1,1220.3,8.8,3295.6,2824320,,,,Whole Building,Whole Building,38.90751862,-77.04267356
PM2364583,0139_0074,2364583,1818 N St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1818 N ST NW,LENKIN-N LP,2,1818 N St NW,Washington,DC,20036,1984,Office,Office,"101,988","108,209",76,66.9,66.9,210.1,210.1,917.1,8.5,1279.4,2122407,,,,Whole Building,Whole Building,38.90712733,-77.04274445
DC01390810,0139_0810,N/A,The Ring Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1200 18TH ST NW,RING ASSOCIATES LLC,2,1200 18th street NW,Washington,DC,20036,,Not Provided,Not Provided,"192,584",,,,,,,,,,,,,,,,,
PM1071476,0139_0816,1071476,1250 Conn Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,1250 CONNECTICUT AV NW,TRIZECHAHN LLC - 1250C/2401P,2,1250 Connecticut Ave NW,Washington,DC,20036,1964,Office,Office,232204,195087,,65.1,,155.9,,1274.9,6.5,2554.8,2394007,45313.432,,,Whole Building,,38.90709561,-77.04208511
PM1878428,0139_0817,1878428,Jefferson Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1225 19TH ST NW,DC JEFFERSON BUILDING LLC,2,1225 19th Street,Washington,DC,20036,1963,Office,Office,"101,337","65,799",58,77.7,77.7,244,244,647.6,9.8,1430.1,1498680,,,,Whole Building,Combination of common and tenant areas,38.90666052,-77.0430701
PM3299991,0139_0817,3299991,DC Jefferson Bldg - Retail,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1225 19TH ST NW,DC JEFFERSON BUILDING LLC,2,1225 19th Street NW,Washington,DC,20036,1963,Office,Office,"101,337","73,168",30,104.4,104.4,327.8,327.8,967.3,13.2,1445.5,2238769,,,,Whole Building,Whole Building,38.90666052,-77.0430701
DC01400086,0140_0086,N/A,Not Reported,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,No Report Received,1823 L ST NW,L STREET HOTEL LLC,2,,Washington,DC,20036,,Not Provided,Not Provided,"84,839",,,,,,,,,,,,,,,,,
PM1050505,0140_0089,1050505,1899 L Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1899 L ST NW,1899 L  STREET TOWER LLC,2,1899 L St NW,Washington,DC,20036,1978,Office,Office,"147,460","159,817",72,74.5,74.5,233.9,233.9,1507.7,9.4,4673.5,3489249,,,,Whole Building,,38.90417373,-77.04292909
PM1470509,0140_0090,1470509,1111 19th St NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1111 19TH ST NW,COLUMBIA DC 1111 19TH ST OFFICE PROPERTIES LLC,2,1111 19th St NW,Washington,DC,20036,1979,Office,Office,"270,061","294,701",77,65,65,204.1,204,2564.6,8.7,4102.7,5614890,,,,Whole Building,Whole Building,38.90441667,-77.04296027
PM1268752,0140_0092,1268752,1850 M St.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1850 M ST NW,MANUFACTURERS LIFE INSURANCE,2,1850 M St. NW,Washington,DC,20036,1986,Office,Office,"302,448","254,980",86,58.4,58.4,183.5,183.5,1886.6,7.4,3488.5,4366358,,,,Whole Building,Whole Building,38.90536949,-77.04295035
PM1569687,0140_0095,1569687,1800 M Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1800 M ST NW,PRISA ACQUISITION LLC,2,1800 M Street NW,Washington,DC,20036,1975,Office,Office,"550,211","588,028",75,54.2,54.3,167.6,167.9,3982.8,6.8,8213.7,9129021,7208.14,,,Whole Building,Whole Building,,
PM3048381,0140_0876,3048381,Sasakawa Peace Foundation,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1819 L ST NW,SASAKAWA PEACE FOUNDATION,2,1819 L Street NW,Washington,DC,20036,1982,Office,Office,"70,262","52,873",89,38.8,39.1,122,122.9,260.1,4.9,598,601954.9,,,,Whole Building,Whole Building,38.90401049,-77.04246762
PM3554570,0140_0876,3554570,1819 L Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1819 L ST NW,SASAKAWA PEACE FOUNDATION,2,1819 L Street NW,Washington,DC,20036,1982,Office,Office,"70,262","52,873",96,39.1,39.1,122.9,122.9,262.1,5,,606664.7,,,,Whole Building,,,
PM1431417,0140_0907,1431417,Verizon - 1133 19th St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1137 - 1141 19TH ST NW,1137 19TH STREET ASSOCIATES,2,1133 19th St NW,Washington,DC,20036,2000,Office,Office,"275,585","206,900",54,122.2,122.2,383.6,383.6,3201.1,15.5,4873.2,7408471,,,,Whole Building,Whole Building,38.90479071,-77.04293998
PM1750762,0140_0913,1750762,1145 19TH WASHINGTON DC  Site #535047,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1145 19TH ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,2,1145 19TH ST NW,Washington,DC,20036,1990,Medical Office,Medical Office,"173,812","152,027",66,70.8,70.7,199,198.8,1303.8,8.6,7437.6,2656212,17055.47195,,,Whole Building,Whole Building,38.90506222,-77.04294197
PM1257644,0142_0825,1257644,Northwestern Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1800 G ST NW,NORTHWESTERN DEVELOPMENT CO,2,1800 G Street NW,Washington,DC,20006,1970,Office,Office,"813,848","727,483",84,57.4,57.6,161.2,161.4,4799.8,6.6,8621.2,10301030,65742.354,,,Whole Building,,38.89815735,-77.04194505
DC0153S0800,0153S_0800,N/A,General Grand Chapter OES Headquarters,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1618 NEW HAMPSHIRE AV NW,VIRGINIA M PAINTER,2,1618 New Hampshire Avenue NW,Washington,DC,200092549,,Not Provided,Not Provided,"50,200",,,,,,,,,,,,,,,,,
DC01540829,0154_0829,N/A,Carlyle Suites Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1731 NEW HAMPSHIRE AV NW,CS BOND ST C PROPERTIES LLC,2,1731 New Hampshire Ave N.W.,Washington,DC,20009,,Not Provided,Not Provided,"102,498",,,,,,,,,,,,,,,,,
PM3698501,0155_2131,3698501,Imperial House Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,1601 18TH ST NW,IMPERIAL HOUSE CONDO,2,1601 18th Street NW,Washington,DC,20009,1962,Multifamily Housing,Multifamily Housing,84799,100250,,,,,,,,,961445.4,,,,Whole Building,Whole Building,38.9113829,-77.0412216
DC01560034,0156_0034,N/A,Cavanaugh Court,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1526 17TH ST NW,CAVANAUGH COURT OWNERS,2,1526 17th St NW,Washington,DC,20036,,Not Provided,Not Provided,"53,765",,,,,,,,,,,,,,,,,
DC01560351,0156_0351,N/A,The Copley Plaza Cooperative Inc.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1514 17TH ST NW,COPLEY PLAZA COOPERATIVE INC,2,1514 17th St NW,Washington,DC,20036,,Not Provided,Not Provided,"85,251",,,,,,,,,,,,,,,,,
PM3501692,0156_2138,3501692,Dupont East Condo,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,1545 18TH ST NW,DUPONT EAST CONDO,2,1545 18th Street NW,Washington,DC,20036,1961,Multifamily Housing,Multifamily Housing,123462,171760,,,,,,,,,,,,,Whole Building,,38.9108825,-77.0410911
PM3685740,0156_4019*,3685740,Gables DuPont Circle,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,*not matched with covered building list,*not matched with covered building list,2,1750 P St NW,Washington,DC,20036,1996,Multifamily Housing,Multifamily Housing,,91847,,54.5,54.8,112,112.3,442.7,4.8,3815.2,705313.865,25986.15,,,Whole Building,Whole Building,,
DC01570107,0157_0107,N/A,1734 P Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1734 P ST NW,AVONDALE COOPERATIVE APARTMENTS INC,2,1734 P Street NW,Washington,DC,20036,,Not Provided,Not Provided,"59,544",,,,,,,,,,,,,,,,,
PM1421555,0157_0850,1421555,Bernstein Offit Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1717 MASSACHUSETTS AV NW,THE JOHN HOPKINS UNIVERSITY,2,1717 Mass Avenue NW,Washington,DC,20036,1962,Office,Office,"147,541","122,460",81,82.2,82.7,174.8,175.4,915.6,7.5,1184.9,1520373,48750.28,,,Whole Building,Whole Building,38.90872163,-77.03950985
