Primary Key,DC Real Property ID,PM Property ID,Property Name,PM Parent Property ID,Parent Property Name,Year Ending,Report Status,Address of Record,Owner of Record,Ward,Reported Address,City,State,Postal Code,Year Built,Primary Property Type - Self Selected,Primary Property Type - Calculated,Tax Record Floor Area,Reported Building Gross Floor Area,ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft²),Water Use (All Water Sources) (kgal),Electricity Use (kWh),Natural Gas Use (therms),Fuel Oil & Diesel Fuel Use (kBtu),District Water-Based Energy Use (kBtu),Metered Areas (Energy),Metered Areas  (Water),Latitude,Longitude
PM3055681,0220_0044,3055681,The Southern Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1425 H ST NW,SOUTHERN BUILDING ASSOCIATES LLP,2,1425 H Street NW,Washington,DC,20005,1915,Office,Office,226531,181949,74,69.2,69,191,189.1,1500.8,8.2,6798.2,319459,2295.572,,,Whole Building,Whole Building,38.9005687,-77.0332797
PM3474408,0220_0064,3474408,1400 Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1400 I ST NW,ZG 1400 EYE LLC,2,1400 I Street NW,Washington,DC,20005,1982,Office,Office,257532,175760,64,84.3,84.4,250.9,250.9,1889.5,10.8,3361.4,4598,1176.75147,,,Whole Building,Whole Building,38.90103171,-77.03218519
PM3048393,0220_0065,3048393,Live Oak Realty,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1444 I ST NW,LIVE OAK REALTY INC,2,1444 I Street NW,Washington,DC,20005,1983,Office,Office,81608,72467,65,70.3,71,177.8,178.5,561.6,7.7,1697.5,156227,1494.35893,,,Whole Building,Whole Building,38.90102752,-77.03274929
PM1196655,0220_0066,1196655,City Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1401 H ST NW,TREA 1401 H LLC,2,1401 H Street NW,Washington,DC,20005,1992,Office,Office,480132,360869,88,54.5,53.9,171.1,169.3,2633,7.3,346.1,5764625,,,,Whole Building,Whole Building,38.90050099,-77.03242418
PM1411430,0220_0067,1411430,875 15th St NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,875 15TH ST NW,BOWEN BUILDING LP,2,875 15th St NW,Washington,DC,20002,2005,Office,Office,164340,258777,49,93.1,93.1,292.3,292.3,3224.6,12.5,4836.4,759785,,,,Whole Building,Whole Building,38.90109607,-77.03340079
PM3197385,0221_0037,3197385,740 15th Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,750 15TH ST NW,JBC FUNDS 740 LLC,2,740 15th Street NW,Washington,DC,20005,1907,Office,Office,207654,207654,50,61,61,191.7,191.7,1696.6,8.2,8562.8,371462,,,,Whole Building,Whole Building,38.90002663,-77.03392205
PM1337470,0221_0809,1337470,DC1-701 730 15th St / 1601 Pennsylvania Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0730 15TH ST NW,GRANITE LLC,2,730 15th Street / 1601 Pennsylvania Avenue,Washington,DC,20005,1903,Financial Office,Office,79750,143779,73,63.9,64.4,172.5,173,1073.5,7.5,211.6,2124951,19379.95795,,,Whole Building,Whole Building,38.89944906,-77.03406726
PM3987925,0221_0818,3987925,Willcap Holdings LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0734 15TH ST NW,WILLCAP HOLDINGS LLC,2,734 15th Street NW,Washington,DC,20005,1936,Office,Office,87574,78495,91,53.7,54.1,126.1,125.6,435.2,5.5,78.1,767143.8,15969.8758,,,Whole Building,Whole Building,38.8996313,-77.03406515
PM3672853,0222_0022,3672853,15th and H Street Associates LLP,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,733 15TH ST NW,15TH AND H STREET ASSOCIATES LP,2,733 15th Street NW,Washington,DC,20005,1911,Multifamily Housing,Multifamily Housing,230141,241383,Not Available,38.9,39.2,96.9,97.2,1021.1,4.2,23567.7,189728,2912.73877,,,Whole Building,Whole Building,38.9000885,-77.03283599
PM3767956,0222_0022,3767956,Woodward Table,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,733 15TH ST NW,15TH AND H STREET ASSOCIATES LP,2,1426 H Street NW,Washington,DC,20005,1911,Restaurant,Other,230141,10540,Not Available,335.3,335.3,Not Available,Not Available,473.1,44.9,2272652,13592,,,,Whole Building,Whole Building,38.9000885,-77.03283599
PM3685967,0222_0024,3685967,1401 New York Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1401 NEW YORK AVE NW,LSREF2 WINDMILL REO NEW YORK LLC,2,1401 New York Ave NW,Washington,DC,20005,1982,Office,Office,278364,251116,Not Available,37.2,37.2,116.7,116.7,1249.6,5,2355.5,2735775,,,,Whole Building,Whole Building,38.89965,-77.03229744
PM1525528,0222_0027,1525528,50011 - 1425 New York Ave NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1415 NEW YORK AV NW,RPT 1425 NEW YORK AVE LLC,2,1425 New York Ave NW,Washington,DC,20005,1992,Office,Office,158124,284845,87,58.3,57.7,183.1,181.1,2223,7.8,4764.1,486716,,,,Whole Building,Whole Building,38.89972991,-77.03257855
PM2223689,0222_0814,2223689,1445 New York,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1445 NEW YORK AV NW,PONTE GADEA OF WASHINGTON LLC,2,1445 New York Avenue NW,Washington,DC,20005,1985,Office,Office,177195,205656,90,50.1,50,157.4,157,1347.8,6.7,2591.4,29594,,,,Whole Building,Whole Building,38.89935994,-77.03292433
PM3919889,0223_0024,3919889,Bond,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1400 NEW YORK AV NW,BOND WASHINGTON LLC,2,1400 New york Ave,Washington,DC,20005,1986,Office,Office,211501,177000,72,66.5,66.5,208.9,208.9,1576.1,8.9,2645.3,345693,,,,Whole Building,Whole Building,38.89901997,-77.03223135
PM3970121,0223_0025,3970121,0223-0025_NYAVE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1435 G ST NW,1440 NEW YORK AVENUE CORPORATION,2,1440 New York Avenue,Washington,DC,20005,1927,Office,Office,228254,226655,72,64.3,63.8,201.9,200.2,1942.7,8.6,3834.5,4253393,,,,Whole Building,Whole Building,38.89874224,-77.03277222
PM3762218,0223_0026,3762218,CNBB,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1401 G ST NW,CNBB OWNER LLC,2,700 14th Street and 1420 New York Avenue NW,Washington,DC,20005,1988,Office,Office,386256,260478,74,64,64,201.1,201.1,2232.7,8.6,3672.2,4888221,,,,Whole Building,Whole Building,38.89890128,-77.032218
PM1436314,0224_0022,1436314,Metropolitan Square,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0613 15TH ST NW,METROPLITAN SQUARE ASSOCIATES LLC,2,655 15th Street NW,Washington,DC,20005,1982,Office,Office,708543,718241,83,54.6,,171.4,,5248.8,7.3,19484.7,114878,,23598,,Whole Building,Whole Building,38.89815994,-77.03224969
PM1396921,0224_0824,1396921,Hamilton Square,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1401 F ST NW,FSP HAMILTON SQUARE LLC,2,600 14th Street NW,Washington,DC,20005,1929,Office,Office,269472,343755,76,61.6,61.6,193.3,193.3,2833.4,8.2,1843.5,623414,,,,Whole Building,Whole Building,38.89769429,-77.03227603
PM3507508,0225_0033,3507508,The Willard Hotel & Office Building (DDOE),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1401 - 1415 PENNSYLVANIA AV NW,WILLARD ASSOCIATES LP,2,1401 - 1455 Pennsylvania Avenue NW,Washington,DC,20004,1986,Hotel,Hotel,349863,644099,27,123.2,123.2,310.1,309.4,8495.2,13.5,42648.1,15927,23399.3346,,,Whole Building,Whole Building,38.89716073,-77.03226635
PM2539114,0225_0803,2539114,W Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1434 F ST NW,ISTITHMAR HOTELS WASHINGTON LLC,2,515 15th ST NW,Washington,DC,20004,1917,Hotel,Hotel,216200,225000,23,140.6,142.1,315.3,316.9,3137.6,13.9,13758.4,5289447,135865.69,,,Whole Building,Another configuration,38.89716158,-77.03308652
DC02352851,0235_2851,N/A,,,,12/31/2015,No Report Received,2125 14TH ST NW,THE FLATS @ UNION ROW,1,,Washington,DC,,,,Not Provided,187357,,,,,,,,,,,,,,,,,
DC02352866,0235_2866,N/A,,,,12/31/2015,No Report Received,2125 14TH ST NW,THE WAREHOUSE @ UNION ROW,1,,Washington,DC,,,,Not Provided,68190,,,,,,,,,,,,,,,,,
PM4013992,0236_0067,4013992,The Ellington - Municipal Benchmarking,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1301 U ST NW,T C ELLINGTON LLC,1,1301 U Street NW,Washington,DC,20009,2004,Multifamily Housing,Multifamily Housing,282029,233792,40,66.1,65.1,149.6,145.5,1545.6,6.6,877.9,2629439,64879.38744,,,Whole Building,Whole Building,38.91721762,-77.03066269
PM4000632,0236_2676,4000632,1390 V Street Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1390 V ST NW,LANGSTON HUGHES CONDO,1,1390 V St NW,Washington,DC,20009,2005,Multifamily Housing,Multifamily Housing,60428,128000,22,48.9,47.9,133.3,129.5,737.5,5.8,2667.7,147117,12352.45145,,,Whole Building,Whole Building,38.9179539,-77.0315043
DC02370203,0237_0203,N/A,,,,12/31/2015,Exempt from this year's disclosure,1905 - 1917 14TH ST NW,PATRICIA H LIN TRUSTEE,1,,Washington,DC,,,,Not Provided,107730,,,,,,,,,,,,,,,,,
DC02392519,0239_2519,N/A,,,,12/31/2015,Exempt from this year's disclosure,1326 S ST NW,CondoMain 2519,2,,Washington,DC,,,,Not Provided,52545,,,,,,,,,,,,,,,,,
PM3495558,0242_0093,3495558,N STREET VILLAGE LTD PTR,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1301 14TH ST NW,N STREET VILLAGE INC,2,1301 14th St. N.W.,Washington,DC,20005,1994,Multifamily Housing,Multifamily Housing,125929,125929,39,47.9,47.9,150.5,150.5,808,6.4,432.4,176898,,,,Whole Building,Whole Building,38.90759517,-77.03122311
PM4006670,0243_0827,4006670,1301 VERMONT AVE LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1301 VERMONT AV NW,1301 VERMONT LLC,2,1301 Vermont Avenue NW,Washington,DC,20005,1940,Multifamily Housing,Multifamily Housing,70406,70406,85,73.1,75.8,118.6,121.4,387.3,5.5,13378.2,412854.4,37411.1141,,,Whole Building,Whole Building,38.90749306,-77.03051773
DC02432538,0243_2538,N/A,,,,12/31/2015,No Report Received,1300 13TH ST NW,SOLO PIAZZA CONDOMINIUM,2,,Washington,DC,,,,Not Provided,86917,,,,,,,,,,,,,,,,,
PM3686122,0245_0027,3686122,Sutton Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1230 13TH ST NW,1230 LLC,2,1230 13th Street NW,Washington,DC,20005,1963,Multifamily Housing,Multifamily Housing,120787,120786,64,73.3,74,133.5,132.2,734.3,6.1,6642.4,957648.8,559.96554,,,Whole Building,Whole Building,38.90658784,-77.03006899
PM3515226,0245_0843,3515226,1301 Thomas Circle,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1301 M ST NW,CIRCLE PROPERTY CORPORTATION,2,1301 M Street NW,Washington,DC,20005,2000,Multifamily Housing,Multifamily Housing,343585,339406,91,29.2,29.4,88,88.1,1278.9,3.8,6366,2728656,6137.366,,,Whole Building,Whole Building,38.90623425,-77.02990069
PM3499934,0245_0844,3499934,Washington Plaza Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,10 THOMAS CIR NW,WASHINGTON PLAZA HOTEL LLC,2,10 Thomas Circle NW,Washington,DC,20005,1963,Hotel,Hotel,300357,300357,53,86.9,86.2,171.6,169.5,2318.7,7.7,18346.6,3384965,145457.9997,,,Whole Building,,38.90625979,-77.0309762
PM4034763,0245_2247,4034763,Crescent Towers Condo,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1239 VERMONT AVE NW,CRESCENT TOWERS CONDO,2,1239 Vermont Ave,Washington,DC,20005,1964,Multifamily Housing,Multifamily Housing,58708,75955,25,95.6,96.1,171.3,168.5,593.7,7.8,3868.7,754822,46868.25496,,,Whole Building,Whole Building,38.9069933,-77.0307069
PM4898837,0245_2637,4898837,Radius Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1300 N ST NW,THE RADIUS CONDOMINIUM,2,1300 N Street NW,Washington,DC,20005,2005,Multifamily Housing,Multifamily Housing,115407,124416,53,58,57.2,117.5,113.8,655.6,5.3,3535.5,987636.1,3854.35,,,Whole Building,Whole Building,38.9069995,-77.0299542
DC02460017,0246_0017,N/A,,,,12/31/2015,No Report Received,1325 MASSACHUSETTS AVE NW,NATCA MEMBERSHIP INVESTMENT INC,2,,Washington,DC,,,,Not Provided,67394,,,,,,,,,,,,,,,,,
PM3502417,0246_0806,3502417,Belvedere,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1301 MASSACHUSETTS AV NW,BELVEDERE LLC,2,1301 Massachusetts Ave NW,Washington,DC,20005,1927,Multifamily Housing,Multifamily Housing,100441,100441,85,56.3,57,99.4,98.3,456.6,4.5,3328,56748.9,37162.32242,,,Whole Building,,38.90525941,-77.0299438
PM1356732,0247_0092,1356732,1101 14th street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1101 14TH ST NW,AZURE 14TH STREET CORPORATION,2,1101 14th St NW,Washington,DC,20005,1981,Office,Office,155374,119077,91,46.1,46.1,144.4,144.4,738.5,6.2,4582.2,1614798,179.347586,,,Whole Building,Whole Building,38.90400249,-77.03159119
PM3997131,0247_0093,3997131,American Dental Assoication,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1111 14TH ST NW,AMERICAN DENTAL ASSOCIATION,2,1111 14th Street NW,Washington,DC,20005,1981,Office,Office,82682,82682,70,57.8,57.2,181.5,179.5,639.8,7.7,1286.5,14782,,,,Whole Building,Whole Building,38.90428941,-77.03157196
PM3630592,0247_0094,3630592,National Association for the Education of Young Children,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1313 L ST NW,NATIONAL ASSOCIATION FOR THE EDUCATION OF YOUNG CHILDREN,2,1313 L St NW,Washington,DC,20005,1984,Office,Office,118722,125000,82,51.2,51.2,160.6,160.8,856,6.8,81.9,187424,,,,Whole Building,Whole Building,38.9040862,-77.03051133
PM1492661,0247_0096,1492661,The CoStar Group Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1331 L ST NW,MANGER 8-10-34 TRUST PARTNERS LLC,2,1331 L Street NW,Washington,DC,20005,2008,Office,Office,178646,198452,88,66.8,66.6,209.7,209,5949.2,30,357.7,3884769,,,,Whole Building,Whole Building,38.9040767,-77.03099011
PM1433767,0247_0101,1433767,1121 Fourteenth Street NW (Neuroscience),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1121 14TH ST NW,SOCIETY OF NEUROSCIENCE,2,1121 14th Street NW,Washington,DC,20005,2006,Office,Office,112762,89372,75,68.4,68.4,214.8,214.8,818.3,9.2,176.7,1791573,,,,Whole Building,Whole Building,38.90456703,-77.03163744
PM4014668,0247_0103,4014668,New York University Washington DC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1307 L ST NW,NEW YORK UNIVERSITY,2,1307 L Street - NW,Washington,DC,20005,2012,College/University,College/University,69600,69600,Not Available,74.9,75.6,191.6,192.3,580.7,8.3,2136.4,11213,14551.1794,,,Whole Building,Whole Building,38.9039252,-77.03024679
PM3524412,0247_0873,3524412,Donovan House,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1155 14TH ST NW,LHO TOM JOAD CIRCLE DC LLC,2,1155 14th Street NW,Washington,DC,20005,2007,Hotel,Hotel,112867,145298,48,86.2,85.5,217.3,214.6,1377,9.5,5724.5,2583771,3769.32251,,,Whole Building,Whole Building,38.90509773,-77.03157046
DC02473001,0247_3001,N/A,,,,12/31/2015,Exempt from this year's disclosure,1312 MASSACHUSETTS AVE NW,THE MIDTOWN CONDO,2,,Washington,DC,,,,Not Provided,60260,,,,,,,,,,,,,,,,,
DC02473100,0247_3100,N/A,,,,12/31/2015,No Report Received,1330 MASSACHUSETTS AVE NW,1330 MASS AVE CONDOMINIUM,2,,Washington,DC,,,,Not Provided,98503,,,,,,,,,,,,,,,,,
PM4013972,0247_3113,4013972,The Alta Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1133 14TH ST NW,THE ALTA CONDOMINIUM,2,1133 14th Street NW,Washington,DC,20005,2006,Multifamily Housing,Multifamily Housing,89649,89649,1,133.5,131.3,263.6,256.5,1063.3,11.9,3638.8,1551886,66745.93364,,,Whole Building,Whole Building,38.9047062,-77.0315774
PM2308305,0248_0066,2308305,1310 L Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1310 L ST NW,THE MORRIS AND GWENDOLYN CAFRITZ FOUNDATION,2,1310 L Street NW,Washington,DC,20006,1967,Office,Office,212991,153800,100,31.6,31.6,94.4,94.4,622.1,4,58.7,1321434,3491.875335,,,Whole Building,Whole Building,38.90342309,-77.03050193
PM1229780,0248_0069,1229780,1300 L Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1300 L ST NW,AMERICAN POSTAL WORKERS UNION HOLDING CORPORATION,2,1300 L Street NW,Washington,DC,20005,1986,Office,Office,117016,80640,28,100.8,99.7,316.5,313.2,1088,13.5,1761.1,238214,,,,Whole Building,Whole Building,38.90352142,-77.02999206
PM1347006,0248_0075,1347006,Franklin Court,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1330 L ST NW,FRANKLIN COURT INC,2,1099 14th Street NW,Washington,DC,20005,1991,Office,Office,653028,538084,91,44.6,44.6,139,139,3193.3,5.9,55.8,6956877,2968.7634,,,Whole Building,Whole Building,38.90342407,-77.03123239
PM1331555,0248_0812,1331555,Hamilton Crowne Plaza Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1001 14TH ST NW,MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,2,1001 14th St. N.W.,Washington,DC,20005,1921,Hotel,Hotel,146425,222000,44,93.1,94.2,225.2,226.4,2191.4,9.9,1299.9,3967553,71393.8983,,,Whole Building,Whole Building,38.90292735,-77.03158979
PM3435335,0248_0830,3435335,One Franklin Square 2,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1301 K ST NW,1301 K STREET LP,2,1301 K Street NW,Washington,DC,20005,1990,Office,Office,81989,643325,90,45.9,45.9,141.4,141.4,3885.2,6,5211.9,845375,8661.94593,,,Whole Building,Whole Building,38.90293367,-77.03052293
PM3520541,0250_0046,3520541,1333 H St NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1333 H ST NW,FHF I 1333 H STREET LLC,2,1333 H Street NW,Washington,DC,20005,1982,Office,Office,367520,274041,81,84.8,85.4,242,242.8,2854.2,10.4,3981.9,5881633,31576.56647,,,Whole Building,Whole Building,38.90050458,-77.03112149
PM1435721,0250_0047,1435721,1301 New York Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1301 NEW YORK AVE NW,1301 NEW YORK OWNER LLC,2,1301 New York Ave. NW,Washington,DC,20001,1983,Office,Office,257822,207599,88,57.5,55.9,180,175,1593.1,7.7,5964.8,3481588,542.3142,,,Whole Building,,38.90058064,-77.029996
PM4989864,0250_0049,4989864,Ruthenium LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1331 H ST NW,RUTHENIUM LLC,2,1331 H Street NW,Washington,DC,20005,1964,Office,Office,90458,75724,59,68.6,67.9,215,212.7,694,9.2,2289,151834,128.7145,,,Whole Building,Whole Building,38.90052695,-77.03067223
PM0017736,0250_0051,17736,Franklin Square,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1300 I ST NW,TIAA FRANKLIN SQUARE LLC,2,1300 Eye Street,Washington,DC,20005,1989,Office,Office,606768,517464,79,64.3,64.3,193.4,193.4,4283.1,8.3,6975.7,9135674,2783.18341,,,Whole Building,Whole Building,38.90100088,-77.03034999
PM1397627,0250_0841,1397627,The Associations,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1307 NEW YORK AV,AMERICAN ASSOC OF STATE COLLEGES AND UNIVERSITIES,2,1307 New York Ave,Washington,DC,20005,1997,Office,Office,144144,131330,84,51.5,51.5,161.7,161.7,905.1,6.9,1766.4,1981689,,,,Whole Building,Whole Building,38.90054206,-77.03041573
PM3688013,0250_0857,3688013,1350 I Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1350 I ST NW,1350 EYE CO-TENANT LLC,2,1350 I Street NW,Washington,DC,20005,1989,Office,Office,156951,401743,82,56.3,56.7,176.9,178,3029.2,7.5,3987.8,6632149,,,,Whole Building,Whole Building,38.9010354,-77.03129995
PM4407205,0250_0858,4407205,Hilton Garden Inn Washington DC Downtown,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,815 14TH ST NW,RLJ FRANKLIN SQUARE HOTEL LLC,2,815 14th Street NW,Washington,DC,20005-3301,2000,Hotel,Hotel,183541,150800,39,104.2,103.5,254,250.2,1677,11.1,948,357388,52823.197,,,Whole Building,Whole Building,38.90067441,-77.03173613
PM1423296,0251_0012,1423296,1399 New York Ave NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1399 NEW YORK AVE NW,VNO 1399 NEW YORK AVENUE TIC OWNER LLC,2,1399 New York Ave NW,Washington,DC,20005,2002,Office,Office,175784,137455,41,107.9,107.9,338.7,338.7,1952.5,14.4,2512.5,427477,,,,Whole Building,Whole Building,38.89990243,-77.03159491
PM1273027,0252_0060,1273027,The Colorado Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1341 G ST NW,COLDC 54 OWNER LLC,2,1341 G Street NW,Washington,DC,20005,1903,Office,Office,187804,149720,81,54.1,54.1,170,170,1085,7.2,1794.8,2375453,,,,Whole Building,Whole Building,38.89861501,-77.03140919
PM3857228,0252_0078,3857228,717 14th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0717 14TH ST NW,717 14TH STREET LLC,2,717 14th Street NW,Washington,DC,20005,1955,Office,Office,147884,113679,76,54.1,54.1,169.9,169.9,827.2,7.2,1554.2,1811139,,,,Whole Building,Whole Building,38.89890674,-77.03156082
PM1273006,0252_0079,1273006,1325 G Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1325 G ST NW,GSTDC 72 OWNER LLC,2,1325 G Street,Washington,DC,20005,1968,Office,Office,448066,333484,69,81.1,82.9,205.2,207.1,2982.7,8.9,449.7,5612216,78941.78935,,,Whole Building,Whole Building,38.89872502,-77.03099182
PM1425442,0252_0083,1425442,700 13th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0700 13TH ST NW,700 THIRTEENTH STREET LLC,2,700 13th Street,Washington,DC,20005,1988,Office,Office,360016,258655,71,67.9,67.9,213.3,213.3,2352.6,9.1,3879,515794,,,,Whole Building,Whole Building,38.89874149,-77.03000151
DC02520085,0252_0085,N/A,,,,12/31/2015,Exempt from this year's disclosure,1300-1350 NEW YORK AV,INTER-AMERICAN DEVELOPMENT BANK,2,,Washington,DC,,,,Not Provided,,,,,,,,,,,,,,,,,,
DC02520836,0252_0836,N/A,,,,12/31/2015,No Report Received,1315 G ST NW,CHURCH OF THE EPIPHANY,2,,Washington,DC,,,,Not Provided,50920,,,,,,,,,,,,,,,,,
PM1340568,0253_0059,1340568,1331 F Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1331 F ST NW,EJC 1331 F STREET LLC,2,1331 F Street NW,Washington,DC,20004,1988,Office,Office,168668,121733,66,138.6,138.6,435.2,435.2,2258.6,18.6,4424.4,494548,,,,Whole Building,Whole Building,38.89764826,-77.03092887
PM4019347,0253_0066,4019347,The Westory Building (DDOE),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0607 14TH ST NW,REEP-OFC WESTORY DC LLC,2,607 14th Street NW,Washington,DC,20005,1907,Office,Office,295451,251409,70,68.7,69,215.9,216.8,2313.7,9.2,4452,565469,,,,Whole Building,Whole Building,38.89787507,-77.03130075
PM2035970,0253_0068,2035970,The Henry J Kaiser Family Foundation,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1330 G ST NW,HENRY J KAISER FAMILY FOUNDATION,2,1330 G ST NW,Washington,DC,20005,2002,Office,Office,95673,64160,58,82.4,82,221.5,218.4,60.9,0.9,959.7,1214141,11456.5778,,,Whole Building,,38.89806328,-77.03093447
DC02530806,0253_0806,N/A,,,,12/31/2015,No Report Received,1317 F ST NW,RA LLC,2,,Washington,DC,,,,Not Provided,58916,,,,,,,,,,,,,,,,,
PM3989751,0253_0807,3989751,International Office Building - 1319 F Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1319 - 1321 F ST NW,OLIVE LIMITED PARTNSHIP,2,1319 F Street NW,Washington,DC,20004,1912,Office,Office,64850,61320,80,64.8,64.6,179.8,179.2,475.7,7.8,181444.2,96833.8,6938.21756,,,Whole Building,Whole Building,38.89761259,-77.03059559
PM1567527,0253_0844,1567527,1310 G Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1310 G ST NW,GAEDEKE HOLDINGS III LTD,2,1310 G Street NW,Washington,DC,20005,1991,Office,Office,241994,227165,87,87,87,273.1,273.1,2645.3,11.6,4584.3,579165,,,,Whole Building,Whole Building,38.8981241,-77.03018541
PM0002267,0253_0847,2267,600 Thirteenth St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0600 13TH ST NW,UNION INVESTMENT REAL ESTATE GMBH,2,600 13th St NW,Washington,DC,20005,1997,Office,Office,251557,271998,57,82.8,82.8,259.9,259.9,3013.3,11.1,8112.6,6597338,,,,Whole Building,Whole Building,38.89784861,-77.02987163
PM1420061,0254_0053,1420061,National Press Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,529 14TH ST NW,CPT NP BUILDING LLC,2,529 14th Street NW,Washington,DC,20004,1928,Office,Office,494196,687569,76,76.8,77.9,209.4,210.6,6226.3,9.1,11394.9,124149,14715.9356,,,Whole Building,Whole Building,38.8970267,-77.03154892
