Primary Key,DC Real Property ID,PM Property Id,Property Name,PM Parent Property Id,Parent Property Name,Year Ending,Report Status,Address of Record,Owner of Record,Ward,Reported Address,City,State,Postal Code,Year Built,Primary Property Type - Self Selected,Primary Property Type - Calculated,Tax Record Floor Area ,Reported Building Gross Floor Area ,ENERGY STAR Score, Site EUI (kBtu/ft²) , Weather Normalized Site EUI (kBtu/ft²) , Source EUI (kBtu/ft²) ,Weather Normalized Source EUI (kBtu/ft²) ,Total GHG Emissions (Metric Tons CO2e) ,Total GHG Emissions Intensity (kgCO2e/ft²) ,Water Use (All Water Sources) (kgal) ,Electricity Use (kWh) ,Natural Gas Use (therms) ,Fuel Oil & Diesel Fuel Use (kBtu),District Water-Based Energy Use (kBtu) ,Metered Areas (Energy),Metered Areas  (Water),Latitude,Longitude
PM4353042,0138_0013,4353042,The Triangle Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1350 CONNECTICUT AV NW Unit: 1200,1350 CONNECTICUT AVE LP,2,1350 Connecticut Avenue NW,Washington,DC,20036,1928,Office,Office,"239,502","186,119",47,83,83.4,262,262,"2,077",11,"9,609","4,546,692",,,,Whole Building,Whole Building,38.90831283,-77.04293615
PM1436116,0138_0803,1436116,1330 Connecticut Ave. NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1330 CONNECTICUT AV NW,BP 1330 CONNECTICUT AVENUE LLC,2,1330 Connecticut Ave. NW,Washington,DC,22204,1984,Office,Office,"255,095","335,991",83,65,,205,,"3,149",9,"6,037","6,429,813",,"7,355",,Whole Building,Whole Building,38.90794965,-77.04292132
PM1056237,0138_0804,1056237,1300 Connecticut Avenue NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1300 CONNECTICUT AV NW,TRT 1300 CONNECTICUT AVE OWNER LLC,2,1300 Connecticut Avenue NW,Washington,DC,20036,1954,Office,Office,"147,560","123,991",,86,85.5,268,268,"1,419",11,"2,996","3,106,009",,,,Whole Building,Whole Building,38.90751862,-77.04267356
PM2364583,0139_0074,2364583,1818 N St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1818 N ST NW,LENKIN-N LP,2,1818 N St NW,Washington,DC,20036,1984,Office,Office,"101,988","108,209",77,64,64,201,201,927,9,"1,334","2,028,621",,,,Whole Building,Whole Building,38.90712733,-77.04274445
PM4382740,0139_0810,4382740,The Ring Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1200 18TH ST NW,RING ASSOCIATES LLC,2,1200 18th street NW,Washington,DC,20036,1946,Office,Office,"192,584","192,584",56,76,74,237,233,"1,949",10,"5,054","4,265,989",,,,Whole Building,Whole Building,,
PM1071476,0139_0816,1071476,1250 Conn Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1250 CONNECTICUT AV NW,TRIZECHAHN LLC - 1250C/2401P,2,1250 Connecticut Ave NW,Washington,DC,20036,1964,Office,Office,"232,204","195,087",84,68,68.2,168,167,"1,430",7,"5,566","2,617,216","44,096",,,Whole Building,Whole Building,38.90709561,-77.04208511
PM3299991,0139_0817,3299991,DC Jefferson Bldg - Retail,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1225 19TH ST NW,DC JEFFERSON BUILDING LLC,2,1225 19th Street NW,Washington,DC,20036,1963,Office,Office,"101,337","73,168",34,100,100,314,314,979,13,"1,390","2,143,152",,,,Whole Building,Whole Building,38.90666052,-77.0430701
DC01400086,0140_0086,N/A,,,,,No Report Received,1823 L ST NW,L STREET HOTEL LLC,2,,Washington,DC,20036,,,Not Provided,"84,839",,,,,,,,,,,,,,,,,
PM1050505,0140_0089,1050505,1899 L Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1899 L ST NW,1899 L  STREET TOWER LLC,2,1899 L St NW,Washington,DC,20036,1975,Office,Office,"147,460","159,817",78,70,70.2,220,220,"1,501",9,"4,392","3,287,147",,,,Whole Building,,38.90417373,-77.04292909
PM1470509,0140_0090,1470509,1111 19th St NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1111 19TH ST NW,COLUMBIA DC 1111 19TH ST OFFICE PROPERTIES LLC,2,1111 19th St NW,Washington,DC,20036,1979,Office,Office,"270,061","292,535",81,55,54.9,172,172,"2,149",7,"2,381","4,704,856",,,,Whole Building,Whole Building,38.90441667,-77.04296027
PM1268752,0140_0092,1268752,1850 M St.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1850 M ST NW,MANUFACTURERS LIFE INSURANCE,2,1850 M St. NW,Washington,DC,20036,1986,Office,Office,"302,448","254,980",87,57,57.2,180,180,"1,952",8,"3,242","4,273,165",,,,Whole Building,Whole Building,38.90536949,-77.04295035
DC01400093,0140_0093,N/A,,,,,No Report Received,1801 L ST NW,PAUL A LEONARD TRUSTEE,2,,Washington,DC,20036,,,Not Provided,"173,965",,,,,,,,,,,,,,,,,
PM3019499,0140_0094,3019499,1150 18th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1150 18TH ST NW,DMARC 2007 CD5 1150 OFFICE LLC,2,1150 18th Street NW,Washington,DC,20036,,Office,Office,"170,247",175573,71,64,62.8,200,197,"1,498",9,"2,336","3,280,303",,,,Whole Building,,38.90450379,-77.04218812
PM3987311,0140_0095,3987311,0140-0095 (1800 M St),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1800 M ST NW,PRISA ACQUISITION LLC,2,1800 M Street NW,Washington,DC,20036,1975,Office,Office,"550,211","597,711",85,48,47.6,152,149,"3,869",7,"9,578","8,470,573",,,,Whole Building,Whole Building,38.90533768,-77.04223969
PM3048381,0140_0876,3048381,Sasakawa Peace Foundation,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1819 L ST NW,SASAKAWA PEACE FOUNDATION,2,1819 L Street NW,Washington,DC,20036,1982,Office,Office,"70,262","52,873",90,39,37.8,122,119,275,5,785,"602,860",,,,Whole Building,Whole Building,38.90401049,-77.04246762
PM1431417,0140_0907,1431417,Verizon Building - 1133 19th St NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1137 - 1141 19TH ST NW,1137 19TH STREET ASSOCIATES,2,1133 19th St NW,Washington,DC,20036,2000,Office,Office,"275,585","206,900",55,121,119.7,380,376,"3,349",16,"5,017","7,332,255",,,,Whole Building,Whole Building,38.90479071,-77.04293998
PM1750762,0140_0913,1750762,1145 19TH WASHINGTON DC  Site #535047,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1145 19TH ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,2,1145 19TH ST NW,Washington,DC,20036,1990,Medical Office,Medical Office,"173,812","152,027",69,69,65.9,188,182,"1,235",8,"6,633","2,474,682","19,747",,,Whole Building,Whole Building,38.90506222,-77.04294197
PM1257644,0142_0825,1257644,Northwestern Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1800 G ST NW,NORTHWESTERN DEVELOPMENT CO,2,1800 G Street NW,Washington,DC,20006,1970,Office,Office,"813,848","737,365",85,58,58,163,162,"5,189",7,"9,178","10,533,940","71,069",,,Whole Building,Whole Building,38.89815735,-77.04194505
PM3994488,0153S_0800,3994488,General Grand Chapter OES Headquarters,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1618 NEW HAMPSHIRE AV NW,VIRGINIA M PAINTER,2,1618 New Hampshire Avenue NW,Washington,DC,200092549,1909,Other,Other,"50,200","50,200",,59,58,70,69,173,3,287,"58,626","27,494",,,Whole Building,Whole Building,38.9122675,-77.04131514
PM4479914,0154_0829,4479914,The Carlyle - Dupont Circle,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1731 NEW HAMPSHIRE AV NW,CS BOND ST C PROPERTIES LLC,2,1731 New Hampshire Ave. N.W.,Washington,DC,20009,1990,Hotel,Hotel,"102,498","102,498",81,82,81.2,155,152,720,7,"4,974","984,352","50,875",,,Whole Building,Whole Building,38.91334743,-77.03947333
PM3698501,0155_2131,3698501,Imperial House Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1601 18TH ST NW,IMPERIAL HOUSE CONDO,2,1601 18th Street NW,Washington,DC,20009,1962,Multifamily Housing,Multifamily Housing,"84,799","100,250",66,91,90,158,155,725,7,"2,304","876,484","61,065",,,Whole Building,Whole Building,38.9113829,-77.0412216
PM3986543,0156_0034,3986543,Cavanaugh Court,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1526 17TH ST NW,CAVANAUGH COURT OWNERS,2,1526 17th St NW,Washington,DC,20036,1990,Multifamily Housing,Multifamily Housing,"53,765","50,000",100,49,47.4,63,61,152,3,"1,726","83,578","21,431",,,Whole Building,Whole Building,38.91063381,-77.03875939
PM4320214,0156_0351,4320214,Copley Plaza Cooperative,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1514 17TH ST NW,COPLEY PLAZA COOPERATIVE INC,2,1514 17th Street NW,Washington,DC,20036,1916,Multifamily Housing,Multifamily Housing,"85,251","85,251",61,82,81.6,129,128,512,6,"3,101","503,100","53,056",,,Whole Building,Whole Building,38.91022636,-77.03878177
PM3501692,0156_2138,3501692,Dupont East Condo,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1545 18TH ST NW,DUPONT EAST CONDO,2,1545 18th Street NW,Washington,DC,20036,1961,Multifamily Housing,Multifamily Housing,"123,462","171,760",74,59,59.3,106,106,831,5,"6,694","1,050,091","66,167",,,Whole Building,,38.9108825,-77.0410911
PM3685740,01564019*,3685740,Gables DuPont Circle,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,*Not Matched to Covered Building List,*Not Matched to Covered Building List,2,1750 P St NW,Washington,DC,20036,,Multifamily Housing,Multifamily Housing,,91847,16,79,78.6,176,174,718,8,"3,884","1,199,196","31,953",,,Whole Building,Whole Building,,
PM3974484,0157_0107,3974484,1734 P Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1734 P ST NW,AVONDALE COOPERATIVE APARTMENTS INC,2,1734 P Street NW,Washington,DC,20036,1914,Multifamily Housing,Multifamily Housing,"59,544","59,544",85,62,61.5,88,87,248,4,374,"193,409","30,131",,,Whole Building,Whole Building,38.90934873,-77.03995422
DC01570112,0157_0112,N/A,,,,,Exempt from this year's disclosure,1785 MASSACHUSETTS AV NW,AEI 1785 MASSACHUSETTS AVENUE PROPERTY OWNER LLC,2,,Washington,DC,20036,,,Not Provided,"69,816",,,,,,,,,,,,,,,,,
PM3990138,0157_0836,3990138,BAY STATE APTS.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1701 MASSACHUSETTS AV NW,1701 MASSACHUSETTS AVENUE LLC,2,1701 Massachusetts AveNW,Washington,DC,20036,1939,Multifamily Housing,Multifamily Housing,"62,164","62,164",88,69,68.8,121,121,345,6,"2,562","427,068","28,179",,,Whole Building,Whole Building,38.90843909,-77.03882612
PM1421555,0157_0850,1421555,Bernstein Offit Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1717 MASSACHUSETTS AV NW,THE JOHN HOPKINS UNIVERSITY,2,1717 Mass Avenue NW,Washington,DC,20036,1962,Office,Office,"147,542","122,460",84,80,79.8,163,163,894,7,943,"1,365,255","50,847",,,Whole Building,Whole Building,38.90872163,-77.03950985
PM3509604,0157_0864,3509604,Brookings Institution,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1775 MASSACHUSETTS AV NW,BROOKINGS INSTITUTION,2,1775 Massachusetts Avenue N.W.,Washington,DC,200362103,1962,Office,Office,"173,315","112,278",74,80,79.3,183,181,905,8,"3,682","1,551,431","37,001",,,Whole Building,Whole Building,38.90913211,-77.04064606
PM3512309,0157_0864,3512309,Brookings Institution Annex,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1775 MASSACHUSETTS AV NW,BROOKINGS INSTITUTION,2,1755 Massachusetts Avenue N.W.,Washington,DC,20036,1964,Office,Office,"173,315","67,068",54,98,96.5,233,232,687,10,783,"1,230,773","23,425",,,Whole Building,Whole Building,38.90913211,-77.04064606
PM2558899,0157_0866,2558899,Carnegie Endowment for International Peace,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1779 MASSACHUSETTS AV NW,CARNEGIE ENDOWMENT FOR INTL PEACE,2,1779 Massachusetts Ave NW,Washington,DC,20036,1997,Office,Office,"89,323","89,223",81,55,54.2,173,170,658,7,582,"1,439,421",,,,Whole Building,,38.90930125,-77.04100052
PM3495624,0157_0867,3495624,BRUNSWICK HOUSE APTS1,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1414 17TH ST NW,F G H BRUNSWICK LLC,2,1414 17th St. NW,Washington,DC,20036,1959,Multifamily Housing,Multifamily Housing,"100,799","100,799",75,64,62.9,112,111,515,5,"2,969","633,583","42,374",,,Whole Building,Whole Building,38.90920018,-77.03889121
PM3632808,0157_2150,3632808,Webster House Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1718 P ST NW,WEBSTER HOUSE CONDO,2,1718 P Street NW,Washington,DC,20036,1967,Multifamily Housing,Multifamily Housing,"101,476","101,476",32,88,87,171,167,782,8,"5,869","1,107,164","51,969",,,Whole Building,Whole Building,38.9093943,-77.0392914
DC01572151,0157_2151,N/A,,,,,No Report Received,1727 MASSACHUSETTS AVE NW,1727 MASSACHUSETTS AVE,2,,Washington,DC,,,,Not Provided,"68,660",,,,,,,,,,,,,,,,,
PM3489484,0157_2152,3489484,Boston House Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1711 MASSACHUSETTS AVE NW,BOSTON HOUSE CONDO,2,1711 Massachusetts Ave NW,Washington,DC,20036,1950,Multifamily Housing,Multifamily Housing,"142,985","209,012",27,77,76,161,159,"1,500",7,"8,606","2,347,977","80,491",,,Whole Building,Whole Building,38.9086926,-77.0390069
PM1605315,0158_0076,1605315,NAB,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1771 N ST NW,NATIONAL ASSOCIATION  OF BROADCASTERS,2,1771 N Street NW,Washington,DC,20036,1969,Office,Office,"73,315","55,000",38,92,90.6,289,285,679,12,"1,527","1,485,467",,,,Whole Building,Whole Building,38.90749776,-77.04131261
PM3499503,0158_0078,3499503,1776 Mass Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1776 MASSACHUSETTS AV NW,1776 MASS AVE RE LLC,2,1776 Massachusetts Ave NW,Washington,DC,20036,1969,Office,Office,"115,510","96,447",84,58,56.9,183,179,754,8,"1,044","1,651,375",,,,Whole Building,Whole Building,38.90845559,-77.04115025
PM1784213,0158_0080,1784213,American Legacy Foundation,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1724 MASSACHUSETTS AV NW,AMERICAN LEGACY FOUNDATION,2,1724 Massachusetts Avenue NW,Washington,DC,20036,2007,Office,Office,"67,223","43,000",30,88,86.7,275,272,505,12,460,"1,104,588",,,,Whole Building,Whole Building,38.90789449,-77.03949037
PM2946118,0158_0082,2946118,Paul H.Nitze,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1740 MASSACHUSETTS AV NW,JOHNS HOPKINS UNIVERSITY,2,1740 Mass Avenue NW,Washington,DC,20036,1962,Office,Office,"78,889","65,273",70,99,96.9,221,219,639,10,"1,441","1,080,000","27,422",,,Whole Building,Whole Building,38.90809383,-77.04033421
PM3524434,0158_0838,3524434,Topaz Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1733 N ST NW,LHO WASHINGTON HOTEL ONE L L C,2,1733 N Street NW,Washington,DC,20036,1964,Hotel,Hotel,"69,795","73,373",61,100,100,193,192,639,9,"4,436","900,510","42,941",,,Whole Building,Whole Building,38.90742679,-77.03971125
PM3514124,0158_1058,3514124,The Palladium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1325 18TH ST NW,THE PALLADIUM CONDOMINIUM,2,1325 18th St NW,Washington,DC,20036,1975,Multifamily Housing,Multifamily Housing,"195,480","195,480",62,44,43.5,102,100,882,5,"3,788","1,532,177","34,350",,,Whole Building,,38.90821983,-77.04136835
PM3267017,0159_0084,3267017,1211 Connecticut,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1211 CONNECTICUT AV NW,FP 1211 CONNECTICUT AVENUE LLC,2,1211 Connecticut Avenue NW,Washington,DC,20036,1967,Office,Office,"183,950","160,685",72,78,76.7,181,178,"1,367",9,"4,599","2,243,404","10,532","3,855,554",,Whole Building,Whole Building,38.90634525,-77.04092128
PM1369166,0159_0090,1369166,AMERICAN SOCIETY FOR MICROBIOLOGY,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1750-1752 N ST,AMERICAN SOCIETY FOR MICROBIOLOGY,2,1752 N STREET N.W.,Washington,DC,20036,1979,Office,Office,"94,580","94,580",79,52,52,163,163,658,7,670,"1,441,189",,,,Whole Building,Whole Building,38.9071674,-77.0404826
DC01590855,0159_0855,N/A,,,,,No Report Received,1201 CONNECTICUT AV,M C CAPITOL ASSOCIATES LLC,2,,Washington,DC,20036,,,Not Provided,"202,675",,,,,,,,,,,,,,,,,
PM4408494,0159_0861,4408494,Cathedral of St. Matthew the Apostle,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1721 RHODE ISLAND AV,ROMAN CATHOLIC ARCHBISHOP  OF WASHINGTON,2,1721 Rhode Island Ave. NW,Washington,DC,20036,1895,Worship Facility,Worship Facility,"52,328","68,146",13,71,69.1,152,148,461,7,419,"742,331","22,903",,,Whole Building,Whole Building,38.906144,-77.039732
PM1127988,01590087; 01590860,1127988,1717 Rhode Island - 2021,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1711 RHODE ISLAND AV,YOUNG MENS CHRISTIAN ASSOCIATION OF METROPOLITAN WASHINGTON (YMCA),2,1717 Rhode Island Avenue NW,Washington,DC,20036,2004,Office,Office,"108,806","166,713",,63,63,198,198,"1,407",8,"2,494","3,080,494",,,,Whole Building,Whole Building,38.90670202,-77.03904769
PM1257643,0160_0035,1257643,OFC Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1730 RHODE ISLAND AV NW,MAIZELS FAMILY LIMITED LIABILITY LIMITED PARTNERSHIP,2,1730 Rhode Island Ave. NW,Washington,DC,20036,1968,Office,Office,"244,818","182,134",83,78,76.9,193,190,"1,538",8,"5,142","2,825,297","45,430","76,889",,Whole Building,Whole Building,38.90594675,-77.03933797
PM3496813,0161_0030,3496813,Eleven Hundred Connecticut Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1100 - 1106 CONNECTICUT AV NW,ELEVEN HUNDRED CONN AVE ASSOCIATES LLC,2,1100 Connecticut Avenue NW,Washington,DC,20036,1965,Office,Office,"232,614","182,213",68,79,78.2,203,201,"1,611",9,"3,973","3,058,795","40,238",,,Whole Building,,38.90408014,-77.04064022
PM1257641,0161_0031,1257641,1111,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1111 18TH ST,JACK I BENDER & SONS INC,2,1111 18th Street NW,Washington,DC,20036,2000,Office,Office,"110,099","75,234",37,112,111.7,343,342,"1,101",15,"3,354","2,374,777","3,098",,,Whole Building,Whole Building,38.904446,-77.04133332
PM3631056,0161_0032,3631056,1140 Connecticut Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1134 - 1140 CONNECTICUT AV NW,WRIT 1140 CT LLC,2,1140 Connecticut Ave NW,Washington,DC,20036,1966,Office,Office,"245,932","199,364",75,84,82.6,203,200,"1,774",9,"4,505","3,211,966","57,696",,,Whole Building,Whole Building,38.9050623,-77.04114411
PM1257640,0161_0037,1257640,Bender Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1120 CONNECTICUT AV NW,JACK I BENDER & SONS INC,2,1120 Connecticut Ave. NW,Washington,DC,20036,1962,Office,Office,"403,277","370,165",80,64,63,181,179,"2,949",8,"5,231","5,907,282","4,729","3,045,709",,Whole Building,,38.90416531,-77.04098393
PM1413138,0161_0038,1413138,Connecticut Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1150 CONNECTICUT AV NW,NORTHWESTERN DEVELOPMENT COMPANY B,2,1150 Connecticut Ave. NW,Washington,DC,20036,1975,Office,Office,"246,682","204,011",82,70,69.7,178,177,"1,670",8,"3,153","3,012,359","3,304","3,728,111",,Whole Building,,38.90532162,-77.04131342
DC01610039,0161_0039,N/A,1130 Connecticut Avenue,,,12/31/2014,No Report Received,1130 CONNECTICUT AV NW,PENZANCE 1130 PROPERTY OWNER LLC,2,1130 Connecticut Avenue,Washington,DC,20036,,,Not Provided,"290,618",,,,,,,,,,,,,,,,,
PM1411409,0162_0037,1411409,1730 M St NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1730 M ST NW,GERALD D GROSNER,2,1730 M St NW,Washington,DC,20002,1964,Office,Office,"295,925","221,437",78,88,,192,,"1,888",9,"3,717","3,096,243","88,990","15,332",,Whole Building,Whole Building,38.9053837,-77.0398453
PM1423464,0162_0077,1423464,1726 M St NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1726 M ST NW,VORNADO 1726 M ST LLC,2,1726 M St NW,Washington,DC,20002,1963,Office,Office,"148,960","104,932",81,65,,172,,781,7,"2,513","1,530,862","15,389","6,624",,Whole Building,Whole Building,38.90540777,-77.03938881
PM1061926,0162_0092,1061926,02217 - 1100 17th Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1100 17TH ST NW,LIBERTY 1100 17TH STREET LP,2,1100 17th Street NW,Washington,DC,22209,1963,Office,Office,"157,120","151,599",74,86,84.7,201,200,"1,420",9,"3,284","2,366,102","49,297",,,Whole Building,Whole Building,38.90417969,-77.03875448
PM0017803,0162_0095,17803,1150 17th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1150 17TH ST NW,1150 17TH STREET ASSOCIATES,2,1150 17th Street N.W.,Washington,DC,20036,1970,Office,Office,"321,920","263,091",63,74,,231,,"2,593",10,"8,115","5,642,690","2,769","9,660",,Whole Building,Whole Building,38.90543086,-77.03875498
DC01620096,0162_0096,N/A,1101 Connecticut Avenue,,,12/31/2014,No Report Received,1101 CONNECTICUT AV,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),2,1101 Connecticut Avenue,Washington,DC,20036,,,Not Provided,"179,563",,,,,,,,,,,,,,,,,
PM3315716,0162_0096,3315716,1101 Connecticut Avenue DDOE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1101 CONNECTICUT AV,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),2,1101 Connecticut Avenue,Washington,DC,20036,1976,Office,Office,179563,188510,,73.4,73.4,230.4,230.4,1851.4,9.8,7527.8,4052553,71.2828941,,,Whole Building,Whole Building,38.90411201,-77.03973727
DC01620098,0162_0098,N/A,,,,,No Report Received,1717 DE SALES ST NW,1717 DESALES STREET LP,2,,Washington,DC,20036,,,Not Provided,"94,968",,,,,,,,,,,,,,,,,
PM1419646,0162_0100,1419646,Demonet Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1155 CONNECTICUT AV,TMT DEMONET INC,2,1155 Connecticut Avenue NW,Washington,DC,20036,1984,Office,Office,"90,346","107,967",56,62,60.3,194,189,891,8,"2,794","1,950,166",,,,Whole Building,Whole Building,38.90545796,-77.04039486
PM2962687,0162_0101,2962687,1133 Connecticut Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1133 CONNECTICUT AV NW,CONNECTICUT / DESALES PARTNERSHIP,2,1133 Connecticut Ave NW,Washington,DC,20036,1989,Office,Office,"236,563","190,958",77,59,58.9,185,185,"1,504",8,"2,827","3,293,813",,,,Whole Building,Whole Building,38.90498472,-77.04024599
PM1431050,0162_0821,1431050,1707 L Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1707 L ST NW,1709 L STREET NW LLC,2,1707 L Street NW,Washington,DC,20036,1960,Office,Office,"165,374","109,926",91,60,59.5,157,155,751,7,"1,255","1,449,459","16,656",,,Whole Building,Whole Building,38.9040518,-77.03922666
PM1423434,0162_0822,1423434,1725 DeSales St NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1725 DE SALES ST NW,DESALES VENTURE LLC,2,1725 DeSales St NW,Washington,DC,20002,1962,Office,Office,"121,709","81,625",73,83,81.7,176,174,639,8,"2,446","1,016,265","32,909",,,Whole Building,Whole Building,38.90498633,-77.03974057
PM3067027,0163_0051,3067027,UFCW Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1775 K ST NW,DOUGLAS H DORITY,2,1775 K Street NW,Washington,DC,20006,1970,Office,Office,"214,784","214,784",94,45,44,128,127,"1,183",6,"2,399","2,446,504","12,315",,,Whole Building,Whole Building,38.90288991,-77.04127548
PM3510462,0163_0052,3510462,1015 18th St.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1015 18TH ST NW,1015 OB ASSOCIATES LLC,2,1015 18th Street NW,Washington,DC,20036,1970,Office,Office,"139,664","101,103",47,77,75.3,240,236,"1,035",10,"2,579","2,266,285",,,,Whole Building,Whole Building,,
PM1994306,0163_0055,1994306,Washington Square,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1050 CONNECTICUT AV NW,MARIA C TRIPOLI,2,1050 Connecticut Avenue,Washington,DC,20036,1982,Office,Office,"967,088","654,156",75,71,70.7,222,222,"6,196",10,"16,412","13,564,280",,,,Whole Building,,38.9035877,-77.04017396
PM4008037,0163_0056,4008037,1717 K St NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1000 CONNECTICUT AV,CONNECTICUT & K ASSOCIATES LLC,2,1717 K St NW,Washington,DC,20036,2012,Office,Office,"430,428","406,131",89,48,47.5,149,149,"2,582",6,"7,892","5,653,756",,,,Whole Building,Whole Building,38.9030173,-77.03986805
PM4045690,0163_0849,4045690,FINRA,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1735 K ST NW,NATIONAL ASSOC SECURITIES DEALERS INC,2,1735 K STREET NW,Washington,DC,20006,1962,Financial Office,Office,"96,720","90,000",48,82,82.2,259,258,993,11,"1,762","2,173,452",,,,Whole Building,Whole Building,38.90290391,-77.04093251
PM3964249,0164_0001,3964249,1701 K Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2014,In Compliance,1701 K ST NW,1701 K LLC,2,1701 K Street NW,Washington,DC,20006,1954,Office,Office,"70,785","64,425",78,81,79.4,175,173,501,8,"2,488","815,968","24,180",,,Whole Building,Whole Building,38.90297572,-77.03878604
