DC Real Property ID,Address of Record,Owner of Record,Ward,Property Name,Address 1,City,State,Postal Code,Primary Property Type,Year Built, Reported Building Gross Floor Area (ft²) ,Tax Record Building Gross Floor Area (ft²),Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),ENERGY STAR Score,Total GHG Emissions (MtCO2e),Electricity Use - Grid Purchase and Onsite (kWh),Natural Gas Use (therms),District Steam Use (kBtu),Other Fuel Use (kBTU),X-Coordinate (ESRI),Y-Coordinate (ESRI),Metered Areas (Energy)
02140859,0001 THOMAS CIR NW,THOMAS CIRCLE C F LLC,2,ONE THOMAS CIRCLE,ONE THOMAS CIRCLE,Washington,DC,20005,Office,1982," 238,444 "," 339,406 ",,,,,,,,,397158.9499,137498.5824,No Selection Made
02160033,1015 15TH ST NW,1015 15TH STREET INC,2,1015 15th Street,"1015 15th Street, NW",Washington,DC,20005,Office,1979," 244,701 "," 252,721 ",80.4,245.3,62,1950.4,4490777,1880.919,,,397030.2544,137225.7751,Whole Building
02170050,1425 K ST NW,BGW LP,2,1425K,1425 K Street NW,Washington,DC,20005,Office,2000," 253,863 "," 231,470 ",83.7,279.4,60,3007.72,6224988,,,,397131.8428,137229.2493,Whole Facility Energy Consumption
02180077,1401 I ST,SRI EIGHT FRANKLIN TOWER LLC,2,Franklin Towers,1401 I St,Washington,DC,20005,Office,1991," 220,969 "," 315,944 ",67.7,226.1,72,2118.56,4384715,,,,397188.3032,137090.5214,No Selection Made
02180080,0901 15TH ST NW,MULLEN MANAGEMENT CO,2,02180080_McPherson Building,901 15th Street NW,Washington,DC,20005,Office,1987," 319,388 "," 355,204 ",51.7,172.6,93,2336.78,4836366,,,,397129.7571,137084.1205,
02200066,1401 H ST NW,TREA 1401 LLC,2,City Center,"1401 H Street, NW",Washington,DC,20005,Office,1992," 360,901 "," 480,132 ",62.9,208.4,74,3217.16,6658453.6,,,,397177.6056,136965.9108,No Selection Made
02200067,0875 15TH ST,BOWEN BUILDING LP,2,875 15th St NW,875 15th St NW,Washington,DC,20002,Office,2005," 290,867 "," 164,340 ",101.2,317.7,41,3315.6,7673523,,,,397121.5267,137017.3093,Whole Building
02220022,733 15TH ST,15TH AND H STREET ASSOCIATES LLP,2,15th and H Street Associates LLP,733 15th Street NW,Washington,DC,20005,Multifamily Housing,1911," 240,129 "," 230,129 ",,,,0,,,,,397126.698,136896.0159,
02220027,1415 NEW YORK AV NW,RPT 1425 NEW YORK AVE LLC,2,50011 - 1425 New York Ave NW,1425 New York Ave NW,Washington,DC,20005,Office,1992," 284,845 "," 158,124 ",69.6,232.3,79,2806.23,5805816.1,,,14146.43,397172.3091,136875.9016,Whole Facility Energy Consumption
02220814,1445 NEW YORK AV NW,PONTE GADEA OF WASHINGTON LLC,2,1445 New York,"1445 New York Avenue, NW",Washington,DC,20005,Office,1985," 205,656 "," 177,179 ",47.2,157.7,88,1375.4,2846625.3,,,,397131.5201,136834.3924,No Selection Made
02230026,1401 G ST NW,CARR NP DC/VA PROPERTIES B LLC,2,CNBB,"700 14th Street, NW",Washington,DC,20005,Office,1988," 224,558 "," 463,844 ",88.8,294.8,43,2823.2,5843098.1,,,,397175.3406,136746.5191,Whole Facility Energy Consumption
02240022,0613 15TH ST NW,METROPLITAN SQUARE ASSOCIATES LLC,2,Metropolitan Square,"655 15th Street, NW",Washington,DC,20005,Office,1982," 680,892 "," 713,149 ",63.5,212,82,6120.61,12667643.7,,,,397155.3881,136683.5286,No Selection Made
02250033,1401 - 1415 PENNSYLVANIA AV NW,WILLARD ASSOCIATES,2,The Willard Hotel & Office Building (DDOE),1401 - 1455 Pennsylvania Avenue NW,Washington,DC,20004,Hotel,1986," 643,725 "," 349,863 ",118.2,306,30,8598.54,15084087.6,246312,,,397166.6511,136557.6299,
02250803,1434 F ST NW,ISTITHMAR HOTELS WASHINGTON LLC,2,W Hotel,515 15th ST NW,Washington,DC,20004,Hotel,1917," 225,000 "," 216,199 ",,,,,,,,,397118.9067,136566.1038,Whole Facility Energy Consumption
02450844,10 THOMAS CIR,WASHINGTON PLAZA HOTEL,2,Washington Plaza Hotel,"10 Thomas Circle, NW",Washington,DC,20005,Hotel,1963," 300,357 "," 300,357 ",,,,,,,,,397316.2674,137599.2059,Whole Building
02470096,1331 L ST,MANGER 8-10-34 TRUST PARTNERS LLC,2,The CoStar Group Building,"1331 L Street, NW",Washington,DC,20005,Office,2008," 250,989 "," 178,646 ",64.2,201.7,84,1610,3726197,,,,397309.5882,137359.3521,Whole Building
02480075,1330 L ST NW,FRANKLIN COURT INC,2,Franklin Court,1099 14th Street NW,Washington,DC,20005,Office,1991," 661,453 "," 653,028 ",72.1,225.8,67,4630.3,10699100,1396.527,,,397290.813,137284.5266,Whole Building
02480830,1301 K ST NW,1301 K STREET LP,,One Franklin Square,1301 K Street Nw,Washington,DC,20005,Office,1990," 651,869 "," 81,989 ",50.4,166.7,90,4648.15,9620143.5,,,,397348.8425,137230.6028,No Selection Made
02500046,1333 - 1343 H ST NW,MG-1333 LLC,2,MG-1333,1333 H Street NW,Washington,DC,20005,Office,1982," 334,151 "," 410,210 ",54.6,171.3,88,1894,4383443,,,,397286.2389,136965.2383,Whole Building
02500047,1301 NEW YORK AV NW,800 13TH STREET ASSOCIATES,2,1301 New York Ave,"1301 New York Ave., NW",Washington,DC,20001,Office,1983," 201,386 "," 257,822 ",67.5,223.2,85,1910.18,3934126.1,1754.6,,,397394.85,136967.8536,No Selection Made
02500051,1300 I ST NW,TIAA FRANKLIN SQUARE LLC,2,Franklin Square - DC UBI 0250-0051,1300 I Street,Washington,DC,20005,Office,1989," 517,464 "," 606,768 ",62.3,195.5,82,3885.6,8992730,,,,397367.802,137018.3744,
02500857,1350 I ST NW,1350 EYE CO-TENANT LLC,2,1350 I Street,1350 I Street N.W.,Washington,DC,20005,Office,1988," 385,703 "," 156,935 ",79,264,73,4316.62,8933988,,,,397283.4575,137018.3744,No Selection Made
02520079,1325 G ST NW,BEHRINGER HARVARD 1325 G STREET LLC,2,1325 G Street,1325 G Street,Washington,DC,20005,Office,1968," 333,484 "," 448,066 ",71.9,198.1,92,3062.73,5632843.8,4057.1,,4343463.51,397312.4804,136766.0708,No Selection Made
02520083,0700 13TH ST NW,BCSP 700 THIRTEENTH STREET PROPERTY LLC,2,700 13th Street,700 13th Street,Washington,DC,20005,Office,1988," 241,108 "," 360,016 ",,,,,,,,,397394.0908,136766.0708,No Selection Made
02530847,0600 13TH ST NW,UNION INVESTMENT REAL ESTATE GMBH,2,600 13th Street #2,600 13th St. NW,Washington,DC,20005,Office,1997," 276,365 "," 251,557 ",,,,,,,,,397398.0333,136666.0163,Whole Facility Energy Consumption
02540053,0529 14TH ST NW,CPT NP BUILDING LLC,2,National Press Building,529 14th Street NW,Washington,DC,20004,Office,1928," 489,395 "," 982,437 ",78.8,239,73,4970.84,9678468.4,55358.5,,,397288.4927,136571.2382,No Selection Made
02540835,1301 E ST NW,1301 ASSOCIATES,2,"1301 Pennsylvania Ave., NW",1301 Pennsylvania Ave. NW,Washington,DC,20004,Office,1981," 231,902 "," 351,975 ",,,,,,,,,397395.467,136527.197,No Selection Made
02540838,1331 PENNSYLVANIA AV,JWDC LP,2,33769-J.w. on Pennsylvania AVE,1331 Pennsylvania Ave Nw,Washington,DC,20004,Hotel,1984," 695,364 "," 602,234 ",86.1,224.4,64,6791.36,11954635,190838,,,397289.3293,136526.0516,No Selection Made
02540839,1331  NW,NATIONAL PLACE LAND COMPANY LLC,2,National Place,1331 Pennsylvania Ave. NW,Washington,DC,20004,Office,1984," 594,315 "," 1,544,020 ",,,,,,,,,397372.8538,136566.7212,Whole Facility Energy Consumption
02670042,1201 12TH ST,PARCEL 47D LLC,6,1201 Maryland Avenue,"1201 Maryland Avenue, SW",Washington,DC,20024,Office,2005," 513,856 "," 806,904 ",,,,,,,,,397447.5273,135202.5407,Whole Facility Energy Consumption
02830826,1234 MASSACHUSETTS AV NW,PETER N G SCHWARTZ TRUSTEES,2,1234 Massachusetts Avenue NW,1234 Massachusetts Avenue NW,Washington,DC,20005,Multifamily Housing,1900," 258,603 "," 258,603 ",66.6,136.7,,1615.47,2318063,93131,,,397474.8639,137381.3398,
02840042,1220 L ST NW,13TH AND L ASSOCIATES,2,1220 L Street,"1220 L Street, NW",Washington,DC,20005,Office,1983," 363,529 "," 369,164 ",58.5,183.6,76,2380.6,5509489,,,,397472.415,137281.2838,Whole Building
02850047,1225 I ST NW,1225 I STREET NW LP,2,1225 Eye Street,1225 Eye Street NW,Washington,DC,20005,Office,1988," 247,426 "," 174,416 ",63.6,212.3,79,2228.24,4611717.4,,,,397470.8317,137088.733,No Selection Made
02850048,1201 I ST,1215 I STREET NW ASSOCS LTD PARTNERSHIP,2,1201 Eye Street,1201 Eye Street NW,Washington,DC,20005,Office,2002," 283,698 "," 274,387 ",68.5,232,80,2752.95,5697693.8,,,,397522.6859,137088.733,No Selection Made
02850049,1200 K ST NW,1200 K ST I CO LLC,2,1200 K Street,1200 K Street NW,Washington,DC,20005,Office,1992," 424,336 "," 509,857 ",,,,,,,,,397515.1497,137141.3371,Whole Facility Energy Consumption
02870038,1200 NEW YORK AV NW,AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2,1200 New York Avenue NW (AAAS),1200 New York Avenue NW,Washington,DC,20005,Office,1996," 211,432 "," 263,000 ",,,,,,,,,397531.1398,136925.3095,Whole Facility Energy Consumption
02880058,1250 H ST NW,HUB PROPERTIES TRUST,2,Herald Square,"1250 H Street, N.W.",Washington,DC,20005,Office,1990," 256,300 "," 246,351 ",64.4,202.2,84,1696.7,3926673,,,,397475.0539,136856.3938,Whole Building
02880846,700 12TH ST,CLPF ONE METRO LP,2,0701 Thirteenth Street NW (One Metro),701 13th Street NW,Washington,DC,20005,Office,2003," 456,936 "," 520,441 ",82.1,271.2,75,5306.23,10976711.1,494.2,,,397498.7069,136788.7418,Whole Facility Energy Consumption
02880847,1201 G ST NW,MACY'S RETAIL HOLDINGS INC,2,(71068A) METRO CENTER,1201 G. STREET NW,Washington,DC,20005,Retail,1985," 272,371 "," 215,108 ",46.9,150,84,1808.51,3743024.9,,,,397498.7069,136755.9758,No Selection Made
02890830,0601 13TH ST NW,S KANN SONS COMPANY,2,0601 Thirteenth Street NW (Homer),"601 13th Street, NW",Washington,DC,20005,Office,1990," 498,097 "," 324,726 ",58.8,196.2,83,4144.08,8576878,,,,397473.3376,136665.3609,Whole Facility Energy Consumption
02890832,1201 F ST NW,1201 F STREET LLC,2,1201 F Street,1201 F Street NW,Washington,DC,20004,Office,2000," 204,578 "," 325,757 ",87.4,290.9,61,6175.74,5214381.9,829.3,,,397525.1905,136645.7454,Whole Facility Energy Consumption
02900044,0501 13TH ST NW,WARNER INVESTMENTS LP,2,1299 Pennslyvania Ave NW,1299 Pennslyvania Ave NW,Washington,DC,20004,Office,1992," 848,996 "," 181,840 ",56,175.7,72,5567,12884040,,,,397499.4058,136513.8217,Whole Building
02910037,1201 PENNSYLVANIA AV NW,1201 LAND LP,2,1201 Pennsylvania Ave.,1201 Pennsylvania Ave.,Washington,DC,20004,Office,1981," 505,198 "," 642,329 ",95,295,39,,10821200,,,,397511.7459,136429.2854,Whole Building
02990832,1250 MARYLAND AV SW,PARCEL 49B LP,6,Portals I - 1250 Maryland Ave,"1280 Maryland Avenue, SW",Washington,DC,20024,Office,1992," 583,876 "," 800,000 ",,,,,,,,,397478.5252,135094.0481,Whole Facility Energy Consumption
02990833,0445 12TH ST SW,PARCEL 49C LIMITED PARTNERSHIP,6,Portals II -  445 12th St,"445 12th Street, SW",Washington,DC,20024,Office,1992," 738,686 "," 633,800 ",85.3,285.6,,21845.47,18458043.4,,,,397497.2476,135054.7375,Whole Facility Energy Consumption
03160032,1020 11TH ST NW,12TH & L STREET LTD,2,1100L,1100 L Street NW,Washington,DC,20005,Office,1972," 335,168 "," 474,371 ",82.4,239,76,3556.47,6569361,,,5197426.49,397607.924,137291.81,No Selection Made
03170841,1101 NEW YORK AV,1101 NEW YORK HOLDINGS LLC,2,1101 New York Ave,1101 New York Ave NW,Washington,DC,20005,Office,2007," 386,498 "," 512,092 ",,,,,,,,,397603.5593,137095.7158,Whole Facility Energy Consumption
03190863,0775 12TH ST NW,HMC RETIREMENT PROPERTIES,2,33721-Washington Metro Center,775 12th St Nw,Washington,DC,20005,Hotel,1994," 450,000 "," 392,603 ",69.5,195.1,75,3701.34,6752363,82484,,,397607.845,136807.0498,No Selection Made
03190864,0700 - 1111 11TH ST NW,1991 ACQUISITION FUND ONE,2,700 Eleventh Street w/ Cosi,700 Eleventh Street NW,Washington,DC,20001,Office,1991," 347,864 "," 457,926 ",,,,,,,,,397611.6548,136764.7588,No Selection Made
03200028,1155 F ST,JEMAL'S SQUARE 320 LLC,2,"Jemal's Square 320, LLC",1155 F ST,Washington,DC,20004,Office,2009," 250,692 "," 380,222 ",78.2,286.5,72,6801.31,5746676,,,,397608.7225,136648.0968,Whole Facility Energy Consumption
03210027,0555 12TH ST NW,MANUFACTURERS LIFE INSURANCE,2,"MANULIFE FINANCIAL, 555 12TH STREET",555 12TH STREET  NW,Washington,DC,20004,Office,1994," 887,642 "," 795,132 ",54.4,181.7,89,6839.48,14155479.8,,,,397607.454,136543.2047,No Selection Made
03220020,1111 PENNSYLVANIA AV NW,PRESIDENTIAL BUILDING LLC,2,1111 Penn,"1111 Pennsylvania Ave, NW",Washington,DC,20004,Office,1967," 387,389 "," 511,819 ",81.7,267,69,4480.88,9273954.5,,,,397607.7533,136380.4692,Whole Facility Energy Consumption
03220021,1101 PENNSYLVANIA AV NW,TC 1101 PENNSYLVANIA AVENUE OWNER LLC,2,Evening Star Building 2,1101 Pennsylvania Ave NW,Washington,DC,20004,Office,1989," 239,793 "," 336,270 ",70.6,236.6,70,2397.92,4962909,,,,397621.693,136390.5653,No Selection Made
03270840,0500 12TH ST,POTOMAC CENTER NORTH INC,6,Potomac Center North,500 12th Street SW,Washington,DC,20024,Office,2005," 517,142 "," 671,975 ",73.6,242.6,90,5389.58,11154650.7,,,,397610.1228,135137.5767,Whole Facility Energy Consumption
03300800,1000 FLORIDA AV NW,HOWARD UNIVERSITY,1,HU Service Building,1000 FLORIDA AVE NW/2244 10TH St. NW,Washington,DC,20059,Office,1903," 218,339 "," 218,339 ",41.7,132.1,94,1288.13,2666004.8,,,,397702.7842,139119.4837,
03430023,1000 K ST,1000 K LLC,2,Embassy Suite Convention Center Hotel,900 10th street nw,Washington,DC,20001,Hotel,2005," 227,934 "," 227,934 ",,,,,,,,,397717.8747,137121.5438,
03450041,1001 G ST NW,WASHINGTON CENTER TRUSTEE LLC,2,Washington Center,1001 G Street NW,Washington,DC,20001,Office,1989," 366,055 "," 562,746 ",76.4,255.3,79,3962.26,8200567.9,,,,397702.918,136762.0253,No Selection Made
03460805,1025 F ST NW,JEMAL'S CAYRE WOODIES LLC,2,"Jemal's Cayre Woodies, LLC","1025 F Street, NW",Washington,DC,20004,Office,1927," 531,458 "," 475,872 ",63.4,211.9,68,4775.17,9883030,,,,397701.6045,136666.7222,No Selection Made
03470022,0555 11TH ST NW,LINCOLN CIRCLE ASSOCIATES LLC,2,Lincoln Square,555 11th St. NW,Washington,DC,20004,Office,2001," 579,120 "," 573,411 ",60,188.4,84,3611.6,8358550,,,,397695.3844,136542.9103,Whole Building
03480832,1001 - 0429 PENNSYLVANIA AV NW,TEACHERS INSURANCE & ANNUNITY ASSOCIATION OF AMERICA,2,1001 Pennsylvania Ave,"1001 Pennsylvania Ave, NW",Washington,DC,20004,Office,1985," 808,835 "," 478,555 ",73.3,250.3,75,8400.82,17386931.8,,,,397703.006,136436.6927,No Selection Made
03690068,0930 M ST NW,MOUNT VERNON PLAZA ASSOCIATES & DISTRICT OF COLUMBIA,2,Mount Vernon Plaza Associates,"930 M Street, NW",Washington,DC,20001,Multifamily Housing,1989," 268,274 "," 219,559 ",17.6,,,526.5,1218410,,,,397792.7761,137491.4496,Whole Building
03711349,901 K STREET NW,901 K ST CONDO,2,901 K Street (DDOE),"901 K Street, NW",Washington,DC,20001,Office,2009," 285,761 "," 201,715 ",39.2,130.9,96,1585.61,3281681.5,,,,397774.3906,137224.7605,
03720034,0901 NEW  YORK  AV NW,BP/CRF 901 NEW YORK AVENUE LLC,2,901 New York Avenue,"901 New York Ave., NW",Washington,DC,20001,Office,2004," 540,016 "," 558,645 ",68.7,227.3,81,5206.18,10720550.4,4952.9,,,397820.1915,137143.6705,No Selection Made
03750125,0750 9TH ST NW,750 NINTH STREET LLC,2,Victor Building - 252510,750 9th Street NW,Washington,DC,20001,Office,2000," 332,007 "," 322,040 ",,,,,,,,,397881.6254,136839.0435,No Selection Made
03770040,0901 E ST NW,THE PEW CHARITABLE TRUSTS,2,The Pew Charitable Trusts,901 E Street NW,Washington,DC,20004,Office,1989," 338,019 "," 345,477 ",58.7,184.3,81,1947.7,4507672,,,,397886.439,136525.9874,Whole Building
03770044,0950 F ST,JEMAL'S ATLANTIC LLC,2,"Jemal's Atlantic, LLC","950 F Street, NW",Washington,DC,20004,Office,1887," 242,307 "," 297,109 ",93.7,313.1,62,7878.29,6656658.8,,,,397795.4369,136574.0469,No Selection Made
03860001,0901 D ST SW,CIM URBAN REIT PROPERTIES V LLC,6,901 D,"901 D Street,SW",Washington,DC,20024,Office,1988," 424,101 "," 535,744 ",71.4,214.6,81,4072.55,8163010,24143.5,,,397839.1634,135263.222,No Selection Made
03870866,0400 10TH ST SW,POTOMAC CREEK ASSOCIATES LP,6,L Enfant Plaza - NORTH,"955 L'Enfant Plaza, SW",Washington,DC,20024,Office,1905," 382,503 "," 276,288 ",90.2,246.3,69,4119.96,7575118,86447,,,397833.0493,135188.9173,No Selection Made
03870868,0450 10TH ST SW,L'ENFANT COLONY LLC,6,950 L'Enfant,"950 L'Enfant Plaza, SW",Washington,DC,20024,Office,1969," 403,230 "," 276,288 ",89.1,,68,3146.9,6596005,52589.301,,240472.3,397833.0493,135036.1116,Whole Building
04030836,0999 9TH ST NW,SUNTONE K9 LLC,2,9671p-Washington DC Renaissance,999 9th Street Nw,Washington,DC,20001,Hotel,1997," 715,000 "," 342,778 ",74.8,207.5,56,6304.27,11467693,143504,,,397976.6695,137106.4341,No Selection Made
04030837,0801 I ST NW,801 EYE STREET ASSOCIATES LLC,2,801 Eye Street,"801 Eye Street, NW",Washington,DC,20001,Office,1990," 335,909 "," 541,425 ",66.5,222.1,86,3162.69,6545733.6,,,,397974.5283,137029.3891,No Selection Made
04030838,0800 K ST NW,800 K STREET ASSOCIATES LLC,2,800 K Street,"800 K Street, NW",Washington,DC,20001,Office,1989," 536,839 "," 495,847 ",80.5,261.2,69,6121.49,12669476,,,,398044.387,137089.4803,No Selection Made
04030839,900 7TH ST,IBEW HEADQUARTERS BUILDING LLC,2,0900 Seventh Street NW (IBEW),900 Seventh Street NW,Washington,DC,20005,Office,2004," 339,591 "," 300,218 ",79,251.9,79,3640.66,7340057,17702.4,,,398050.5257,137034.9845,Whole Facility Energy Consumption
04050024,0701 9TH ST NW,BFP 701 9TH CO LLC,2,Edison Place,701 9th Street,Washington,DC,20001,Office,2001," 407,764 "," 383,813 ",67.8,226.5,78,3916.09,8105025.5,,,,397964.2802,136803.4107,No Selection Made
04060026,505 9TH ST,KEG ASSOCIATES I LLC,2,505 9th Street,505 9th Street,Washington,DC,20004,Office,2007," 368,831 "," 302,601 ",63,208.8,81,3258.39,6704381.1,3579.8,,,397964.3522,136515.2996,No Selection Made
04280020,0810 7TH ST NW,KAN AM 810 SEVENTH STREET LP,2,810 7th St N.W.,810 7th St N.W.,Washington,DC,20001,Office,1991," 297,676 "," 405,885 ",,,,,,,,,398055.3838,136959.3404,Whole Facility Energy Consumption
04490059,1107 7TH ST NW,BISHOP S C MADISON TRUSTEE,6,McCollough Paradise Gardens Apartments,1100-1119 McCollough Court NW,Washington,DC,20001,Multifamily Housing,1982," 235,784 "," 232,208 ",4.6,10.8,,106.2,193135,4283.676,,,398164.5194,137429.6336,Whole Building
04550839,0700 6TH ST,BERGMANNS INC,2,0700 Sixth Street NW (USAA),"700 Sixth Street, NW",Washington,DC,20001,Office,2009," 306,459 "," 299,216 ",39.3,131.3,,1706.01,3530874.3,,,,398241.9305,136792.1217,Whole Facility Energy Consumption
04563068,575 7TH STREET NW,THE OFFICES @ TERRELL PLACE,2,Terrell Place,"575 7th Street, NW",Washington,DC,20004,Office,2003," 649,324 "," 455,476 ",68.5,202.9,79,4450.1,9905927,32009.371,,,398137.1573,136569.2892,Whole Building
04563068,575 7TH STREET NW,THE OFFICES @ TERRELL PLACE,2,Terrell Place With Retail,575 7th Street NW,Washington,DC,20004,Office,2003," 539,998 "," 455,476 ",69.4,216.3,81,4985.28,9913064.7,36767,,,398137.1573,136569.2892,No Selection Made
04570038,0601 D ST NW,LHL REALTY COMPANY,2,The Patrick Henry Building,"601 D Street, NW",Washington,DC,20004,Office,1973," 544,911 "," 603,712 ",67.1,220.6,78,5112.28,10499986.5,7155.7,,12828.42,398223.4151,136381.2211,No Selection Made
04570039,0600 E ST NW,6TH & E ASSOCIATES LLC,2,600 E Street,"600 E Street, NW",Washington,DC,20004,Office,1975," 356,387 "," 438,018 ",58.3,194.8,80,2942.75,6090517,,,,398222.6531,136443.0576,No Selection Made
04570039,0600 E ST NW,6TH & E ASSOCIATES LLC,2,1919 Pennsylvania Avenue,1919 Pennsylvania Ave. NW,Washington,DC,20006,Office,1978," 291,330 "," 438,018 ",58.9,178.8,86,2268.5,4495041,18164.6,,,398222.6531,136443.0576,Whole Facility Energy Consumption
04630024,0600 MARYLAND AV SW,OCEAN VIEW DEVELOPMENT COMPANY LP,6,Capital Gallery,"600 Maryland Ave., SW",Washington,DC,20024,Office,1982," 571,431 "," 628,340 ",63.1,209.2,87,5070.13,10452260.9,3746.1,,,398186.5268,135350.0036,No Selection Made
04682265,0700 7TH ST SW,TOWN SQUARE TOWERS CONDO,6,Town Square Towers,700 7th St SW,Washington,DC,200242459,Multifamily Housing,1967," 316,212 "," 239,118 ",65.8,131.6,,1867.38,2523430,121831,,,398116.067,134621.549,Whole Facility Energy Consumption
04860833,0777 6TH ST,MEPT 777 6TH STREET LLC,2,777 Sixth Street NW - 2781,"777 6th Street, NW",Washington,DC,20001,Office,2005," 204,736 "," 202,184 ",72.4,242,74,2100.4,4347135.2,,,,398300.704,136835.7536,No Selection Made
04863050,770 5TH STREET NW,AVALON @ GALLERY PL CONDOM,2,770 5th Street NW,770 5th Street NW,Washington,DC,20226,Multifamily Housing,1900," 212,029 "," 233,968 ",23.8,63.8,,578.37,1029040,15258,,,398329.8918,136786.2282,
04880843,0500 5TH ST,NAS TITLE HOLDING LLC,2,Keck Center,500 Fifith Street NW,Washington,DC,20001,Other,2002," 581,430 "," 373,035 ",80.1,,,3784.5,8758723,,,,398317.7248,136525.2133,Whole Building
04890021,0450 5TH ST NW,JUDICIARY PLAZA LLC,2,Liberty Square,"450 5th Street, NW",Washington,DC,20001,Office,1982," 543,682 "," 437,277 ",,,,,,,,,398317.4523,136415.6046,No Selection Made
04940032,0400 VIRGINIA AV SW,400 VIRGINIA AVENUE LLC,6,400 Virginia Avenue,400 Virginia Avenue SW,Washington,DC,20024,Office,1986," 252,289 "," 304,209 ",44.8,149.6,94,1600.68,3312888.2,,,,398433.6959,135152.2852,No Selection Made
04950107,0500 E ST SW,SCHOOL STREET ASSOCIATES,6,"500 E Street, SW","500 E Street, SW",Washington,DC,20024,Office,1987," 280,118 "," 477,381 ",78.6,254.6,81,3119.16,6455631.8,,,,398353.559,135014.6226,No Selection Made
05020184,0461 N ST SW,TIBER ISLAND COOPERATIVE HOMES,6,"Tiber Island Cooperative Homes, Inc.",429 N Street SW,Washington,DC,20024,Multifamily Housing,1965," 315,832 "," 315,832 ",94.6,204.3,,2731.6,4566998,142877.286,,,398361.6994,134170.9958,Whole Building
05030116,0500 - 1301 N ST SW,HARBOUR SQUARE OWNERS INC,6,Harbour Square,"500 N Street, SW",Washington,DC,20024,Multifamily Housing,1966," 706,408 "," 663,600 ",71.1,122.2,,3990.34,4374928,352726.6,,,398363.8645,134021.2032,
05150157,0401 K ST NW,PARCEL ONE PHASE ONE ASSOCIATES,6,Parcel One Phase One Associates,"401 K Street, NW",Washington,DC,20001,Multifamily Housing,1980," 239,622 "," 237,792 ",75.5,,,1533.6,2285432,102900.902,,,398532.3202,137255.9541,Whole Building
05152898,0475 K ST NW,THE K @ CITY VISTA CONDO,6,The K @ City Vista,475 K ST NW,Washington,DC,20001,Multifamily Housing,2008," 324,296 "," 257,730 ",28.4,47.7,,689.4,800882.3,64699.256,,,398403.0118,137208.1675,Whole Building
05173053,450 MASSACHUSETTS AVENUE NW,MERIDAN ON MASS AV CONDO,2,450 Massachusetts Avenue NW,450 Massachusetts Avenue NW,Washington,DC,20001,Multifamily Housing,1900," 409,410 "," 383,518 ",,,,,,,,,398373.1856,136936.3199,
05173063,0400 MASSACHUSETTS AVE NW,400 MASS AVE CONDOMINIUMS,2,400 Massachsetts Ave Condominium,400 Massachusetts Ave NW,Washington,DC,200163300,Multifamily Housing,2004," 249,965 "," 249,966 ",49.6,106.2,,1140.94,1594559,69643.4,,,398504.704,136900.4115,
05370810,425 3RD ST,SQUARE 537 ASSOCIATES LP,6,Capitol View,"425 3rd Street, SW",Washington,DC,20024,Office,2007," 315,355 "," 317,623 ",,,,,,,,,398651.5586,135086.6237,Whole Building
05370811,0410 4TH ST,RIGGS BANK TRUSTEE,6,Patriots Plaza I - 2061,395 E Street S.W.,Washington,DC,20024,Office,2005," 279,704 "," 294,130 ",89.6,299.1,76,11599.85,7341222.5,,,,398516.6777,135088.4825,No Selection Made
05370812,375 E ST,RIGGS BANK N.A. TRUSTEE,6,Patriots Plaza II - 2261,"375 E Street, SW",Washington,DC,20024,Office,2009," 345,025 "," 484,047 ",31.2,104.3,99,1525.53,3157343.7,,,,398519.4961,135137.4784,Whole Facility Energy Consumption
05370813,355 E ST,RIGGS BANK N.A. TRUSTEE,6,Patriots Plaza III - 2262,"355 E Street, SW",Washington,DC,20024,Office,2009," 202,140 "," 572,413 ",88.5,295.7,43,2534.26,5245084.3,,,,398573.0447,135099.5391,Whole Facility Energy Consumption
05380873,250 E ST,WELLS REIT/INDEPENDENCE SQARE LLC,6,One Independence Square,250 E. Street SW,Washington,DC,20024,Office,1991," 378,045 "," 560,150 ",76.6,247,76,4100.41,8486505.7,,,,398741.364,135011.0675,No Selection Made
05380874,0300 E ST SW,WELLS REIT/INDEPENDENCE SQUARE LLC,6,Two Independence Square-NASA,300 E St SW,Washington,DC,20024,Office,1991," 659,030 "," 899,096 ",75.3,237.7,78,6897.75,14120092.5,14166.5,,,398588.1742,135009.2387,Whole Facility Energy Consumption
05400110,0301 G ST SW,CAPITOL PARK APARTMENTS LIMITED PARTNERSHIP,6,Capitol Park Towers,"301 G. Street, SW",Washington,DC,20024,Multifamily Housing,1962," 317,593 "," 305,520 ",122.8,203.9,,2902.52,2745200,296263,,,398582.534,134883.004,No Selection Made
05402838,0800 4TH ST SW,POTOMAC PLACE TOWER,6,Potomac Place Tower,800 4th Street SW,Washington,DC,20024,Multifamily Housing,1958," 324,756 "," 251,028 ",35.7,108.3,,,3233803,,,,398495.9016,134620.5135,Whole Building
05420827,1101 4TH ST,USGBF WATERFRONT STATION LLC,6,1101 4th Street SW at Waterfront Station II,1101 4th Street SW,Washington,DC,20024,Office,2010," 480,986 "," 283,464 ",71.3,224,81,,6557041,,,,398419.8725,134421.2888,Whole Building
