"","listing_id","Renovate1","EatIn1","FeeNo","Prewar1","Dining1","Dishwasher1","Marble1","HighCeiling1","Hardwood1","Deck1","Elevator1","LaundryNone","Cat1"
"15367","7188143","0","0","0","0","0","0","0","0","1","0","1","1","0"
"15370","7173886","0","0","1","0","0","0","0","0","0","1","0","1","1"
"15377","7231851","0","1","0","0","0","1","1","1","1","0","1","0","0"
"15379","7151047","1","1","0","0","0","0","0","1","1","0","0","1","1"
"15380","7221135","0","1","1","0","1","1","0","0","1","0","0","0","1"
"15383","7125882","0","0","0","0","0","0","0","0","0","0","0","1","0"
"15384","7206145","1","1","0","1","0","0","0","0","0","0","0","0","1"
"15387","7195963","1","1","0","0","0","1","0","1","0","0","0","1","1"
"15391","7161123","0","0","0","1","0","0","0","0","0","0","0","1","0"
"15392","7199711","0","1","1","1","1","1","0","0","1","0","1","0","1"
"15396","7233638","0","0","1","0","1","1","0","0","1","0","1","0","0"
"15399","7207321","0","0","0","0","0","0","0","0","0","1","1","0","1"
"15401","7121928","0","1","0","0","0","0","1","0","1","0","0","1","1"
"15402","7177507","0","0","1","0","0","1","0","0","1","0","1","0","0"
"15403","7147190","0","0","0","0","0","0","0","0","0","0","0","1","1"
"15406","7127556","0","1","1","0","0","0","0","0","0","0","0","1","1"
"15407","7118660","0","1","0","1","1","1","0","0","1","0","1","0","1"
"15408","7145926","0","0","0","0","0","0","0","0","0","0","1","1","1"
"15409","7141415","1","1","1","0","0","0","0","0","0","0","0","1","1"
"15412","7230808","0","0","0","0","0","0","0","0","1","0","0","1","0"
"15413","7156481","0","0","0","0","0","1","0","0","0","0","1","0","1"
"15414","7127410","0","0","0","0","0","0","0","0","0","0","0","1","0"
"15415","7161458","1","1","0","1","0","0","0","1","1","0","0","1","1"
"15417","7230455","0","0","0","0","1","1","0","0","1","0","1","0","0"
"15418","7196206","1","1","1","0","0","0","1","1","1","0","0","1","1"
"15419","7148576","0","0","0","0","0","0","0","0","0","0","0","1","1"
"15423","7222004","0","1","0","1","0","0","1","0","1","0","1","0","1"
"15430","7209120","1","1","1","0","1","1","0","0","1","0","0","1","0"
"15433","7157556","0","0","0","1","0","1","0","0","1","1","1","0","1"
"15435","7106182","0","1","0","0","0","0","0","0","0","0","1","0","0"
"15436","7201481","1","1","1","0","0","1","1","0","1","1","0","0","0"
"15441","7191340","0","0","0","0","0","0","0","0","0","0","0","1","1"
"15446","7164147","1","1","0","0","0","0","0","0","1","0","0","1","0"
"15449","7180440","1","1","0","0","0","0","0","0","1","0","0","1","0"
"15452","7142332","0","0","0","0","0","1","0","0","1","1","1","0","1"
"15457","7121169","0","1","0","0","0","1","1","0","1","1","1","0","0"
"15458","7132339","0","1","1","1","0","1","0","0","1","0","0","0","0"
"15461","7098190","1","0","0","0","0","0","0","0","0","0","0","1","1"
"15462","7222765","0","1","0","0","0","0","0","0","0","0","0","1","1"
"15465","7123769","0","1","0","1","1","1","0","0","1","1","1","0","1"
"15466","7089395","1","0","1","0","1","1","0","0","1","1","1","0","1"
"15468","7200985","0","1","0","0","0","0","0","0","0","0","0","1","0"
"15469","7098565","1","0","0","1","1","1","0","0","1","1","1","0","1"
"15471","7223646","0","1","0","0","0","0","0","0","1","0","1","1","1"
"15477","7225367","0","1","1","0","1","1","1","0","1","1","1","0","0"
"15478","7141972","0","0","1","0","1","0","0","0","0","0","1","1","1"
"15479","7109728","0","0","0","0","0","0","0","0","0","0","1","1","1"
"15480","7105610","0","1","1","0","0","1","0","0","1","1","1","0","0"
"15481","7106225","1","1","0","1","0","1","0","0","0","0","0","1","0"
"15482","7149292","0","0","0","0","0","0","0","0","0","0","0","1","1"
"15486","7088074","1","1","0","0","0","0","0","0","0","0","1","1","1"
"15487","7161928","1","0","1","0","0","1","1","0","1","1","1","0","1"
"15489","7225246","0","1","1","0","1","1","0","0","1","1","1","0","0"
"15494","7104710","0","0","0","0","0","0","0","0","1","0","1","1","0"
"15496","7200645","0","0","0","1","0","1","0","0","1","0","1","0","0"
"15500","7116749","1","1","0","0","0","0","0","0","0","0","1","0","0"
"15508","7178555","0","1","0","0","0","0","0","0","0","0","0","1","0"
"15509","7140182","0","1","0","0","0","0","0","0","0","0","0","1","0"
"15511","7148866","0","1","0","0","0","0","0","0","0","0","0","1","1"
"15512","7139734","0","0","0","0","1","1","0","0","1","0","0","0","0"
"15515","7114859","0","0","0","0","0","0","0","0","0","0","1","1","1"
"15516","7120694","1","0","1","0","0","1","0","0","1","1","1","0","0"
"15518","7182718","1","1","1","0","0","1","1","0","1","1","1","0","1"
"15524","7178093","0","0","0","0","0","1","1","1","1","1","1","0","0"
"15525","7111998","0","0","0","1","0","0","0","0","0","0","0","1","1"
"15526","7180642","0","0","1","0","1","1","0","0","1","0","1","0","1"
"15527","7156167","1","1","0","0","0","0","0","0","1","0","0","0","0"
"15529","7127037","0","0","1","0","0","0","0","0","1","0","0","1","0"
"15530","7159147","1","1","1","0","0","1","0","0","1","1","1","1","0"
"15533","7218824","0","0","1","0","1","1","0","0","1","1","1","0","0"
"15535","7143472","1","1","0","1","1","1","0","0","0","0","1","0","1"
"15536","7222059","0","0","1","0","0","0","0","0","0","0","1","0","1"
"15537","7135452","0","0","0","0","0","0","0","0","0","0","0","1","0"
"15542","7166041","0","0","0","0","0","0","0","0","0","0","0","1","1"
"15547","7091524","0","0","1","1","0","1","0","1","1","1","1","0","1"
"15548","7221326","0","0","1","0","0","0","0","0","1","1","1","0","0"
"15549","7232646","1","1","0","0","0","1","1","0","1","0","1","0","0"
"15557","7205862","0","0","0","0","0","0","0","0","0","0","0","1","0"
"15559","7216146","0","0","1","0","0","1","0","0","1","0","1","0","1"
"15561","7180852","1","0","1","0","0","1","0","0","1","0","0","0","0"
"15562","7138677","0","0","0","1","0","0","0","1","1","0","0","1","1"
"15563","7233705","1","1","1","1","1","1","0","0","1","1","0","0","1"
"15567","7213162","0","1","0","0","0","1","0","0","0","0","1","0","1"
"15570","7180028","1","1","0","0","0","0","1","1","1","0","1","0","1"
"15572","7134585","1","1","1","1","0","1","1","0","1","0","0","0","1"
"15573","7116581","0","1","0","1","1","0","0","0","1","0","1","1","1"
"15574","7202789","1","1","0","0","0","0","0","0","1","0","0","1","1"
"15577","7194610","0","1","1","0","0","0","0","0","0","0","1","0","0"
"15578","7132490","1","1","1","0","0","1","0","0","1","1","1","0","1"
"15579","7113883","0","1","1","1","0","0","0","0","1","0","0","1","0"
"15584","7176374","0","1","0","0","0","0","0","0","0","0","0","1","1"
"15588","7204515","0","1","0","1","0","0","0","0","1","0","0","1","0"
"15591","7178524","1","1","0","0","0","0","0","0","0","0","1","1","0"
"15592","7185088","1","1","0","0","0","0","0","0","1","1","1","1","0"
"15593","7213853","0","1","0","1","0","0","0","0","0","0","0","1","1"
"15595","7198803","0","1","0","1","0","1","0","1","1","1","0","0","1"
"15599","7113063","0","0","0","0","0","0","0","0","1","0","0","1","0"
"15600","7159570","0","0","0","0","0","1","0","0","1","1","1","0","1"
"15606","7099440","1","0","1","0","1","1","1","0","1","1","1","0","0"
"15610","7156883","0","1","0","0","0","1","0","0","0","0","1","0","1"
"15612","7201659","1","1","0","0","0","0","0","0","0","0","1","0","0"
"15614","7126793","1","1","1","0","0","1","1","0","1","0","0","1","0"
"15617","7135333","0","1","1","1","0","0","0","0","1","0","0","1","1"
"15618","7166828","0","1","0","1","0","0","0","0","0","0","1","1","1"
"15619","7159488","1","1","0","0","0","0","0","0","0","1","1","0","0"
"15620","7146086","0","0","1","0","1","1","0","0","1","0","1","0","0"
"15624","7190853","0","1","1","0","0","1","1","0","1","0","0","1","1"
"15625","7202617","0","0","0","1","0","1","0","0","0","0","0","1","1"
"15627","7164610","0","0","0","0","0","0","0","0","1","0","0","1","0"
"15631","7097098","0","0","0","0","0","0","0","0","1","0","0","0","0"
"15633","7151528","0","0","0","0","0","0","0","0","0","0","0","1","0"
"15634","7095592","1","1","0","0","0","0","0","0","0","0","1","1","1"
"15645","7097475","0","0","1","0","1","1","0","0","1","0","1","0","1"
"15648","7227416","0","1","1","0","0","1","0","0","0","0","1","0","1"
"15651","7110801","0","1","0","0","0","1","0","1","1","0","0","1","0"
"15652","7132821","0","1","0","1","0","0","0","0","1","0","0","1","1"
"15658","7114181","0","0","0","0","0","0","0","0","0","0","0","1","1"
"15663","7231782","0","1","0","0","0","0","1","0","0","1","1","1","1"
"15666","7206954","0","0","1","0","0","0","0","0","0","0","0","0","0"
"15670","7205870","0","1","0","0","0","0","0","0","1","0","0","0","0"
"15674","7168108","1","1","1","0","1","1","1","1","1","1","1","0","1"
"15679","7088763","1","1","0","0","0","1","0","0","1","0","1","0","0"
"15680","7112202","1","1","1","1","0","0","0","0","0","0","1","0","0"
"15682","7190122","0","1","0","0","0","0","0","0","1","0","1","0","0"
"15683","7222488","0","0","0","0","0","0","0","0","0","0","0","1","0"
"15685","7105044","0","0","1","1","1","1","0","0","1","1","0","0","0"
"15686","7138546","0","0","0","1","0","1","0","1","0","0","0","1","1"
"15687","7097772","1","1","0","0","0","0","0","0","0","0","0","1","1"
"15689","7096294","1","1","1","0","0","1","1","1","1","0","0","0","1"
"15690","7179979","0","0","1","0","0","1","0","0","1","0","1","0","0"
"15691","7102620","0","0","1","0","0","1","0","0","1","0","1","0","1"
"15695","7150266","0","0","0","0","0","0","0","1","1","0","0","0","1"
"15697","7088966","1","1","1","0","0","0","1","0","0","1","1","0","0"
"15698","7152743","0","0","0","0","0","0","0","0","0","0","0","1","1"
"15700","7115108","0","1","0","0","1","1","1","0","1","0","1","0","0"
"15701","7187820","0","0","0","1","0","0","0","0","0","0","0","1","1"
"15703","7133576","1","0","0","1","0","0","0","0","0","0","0","0","1"
"15709","7187481","0","1","1","0","0","0","0","1","1","1","0","1","1"
"15710","7162870","1","0","1","0","0","1","0","0","1","1","1","0","1"
"15713","7101956","1","0","1","0","0","1","0","0","0","1","1","0","1"
"15714","7095499","0","1","1","0","0","0","0","0","0","0","1","0","1"
"15715","7100467","0","0","0","0","0","0","0","1","1","0","1","0","0"
"15721","7226490","0","0","0","1","1","0","0","0","0","0","0","1","1"
"15723","7162125","0","0","0","0","0","1","0","0","0","0","1","0","1"
"15726","7182667","0","0","0","0","0","0","0","0","1","0","1","1","1"
"15729","7097576","1","1","0","0","0","1","0","0","1","0","1","1","0"
"15732","7126540","1","1","0","1","1","1","0","0","1","0","1","0","1"
"15733","7156115","1","1","0","1","0","0","0","0","1","0","1","0","1"
"15739","7222673","0","0","0","1","1","0","0","0","0","0","0","1","1"
"15741","7126580","1","1","1","1","0","1","0","0","1","0","1","0","0"
"15742","7162105","0","0","0","0","0","1","0","0","0","0","1","0","1"
"15745","7156296","0","0","0","1","0","0","0","0","0","0","0","1","0"
"15747","7211615","0","1","1","0","1","1","0","0","1","1","1","0","0"
"15750","7214573","0","1","0","0","0","0","0","0","0","1","1","1","0"
"15751","7168240","0","0","0","1","0","0","0","0","1","0","0","1","1"
"15752","7199873","0","0","0","0","0","0","0","0","0","0","0","1","1"
"15757","7166531","0","0","0","0","0","0","0","0","0","0","1","1","0"
"15761","7136967","1","1","1","0","0","0","0","0","0","0","0","1","0"
"15765","7172746","0","0","0","0","0","1","0","0","1","0","1","1","0"
"15768","7195812","0","1","0","0","0","0","0","0","0","0","0","1","0"
"15787","7220789","0","0","1","0","1","1","0","0","1","0","0","0","1"
"15789","7164791","0","0","1","0","1","1","0","0","1","0","1","0","0"
"15793","7210941","1","1","1","0","0","1","0","0","0","0","1","0","1"
"15795","7122297","0","1","1","0","1","0","0","0","0","1","0","1","1"
"15797","7142745","0","1","0","0","1","0","0","0","0","0","0","1","1"
"15799","7102318","0","0","1","0","0","1","0","0","1","1","1","0","0"
"15800","7138758","1","1","0","1","0","0","0","0","0","0","0","1","1"
"15803","7151849","0","0","0","0","0","0","0","0","0","0","0","1","1"
"15806","7095550","1","1","0","0","0","0","0","0","0","0","0","1","0"
"15807","7141948","0","1","0","0","0","1","0","0","0","0","1","1","1"
"15809","7232907","1","1","0","1","0","0","0","1","1","0","1","1","0"
"15811","7132857","0","1","0","0","0","0","0","0","0","1","1","1","0"
"15815","7118460","0","0","0","0","0","0","0","0","0","0","0","1","0"
"15816","7109918","1","0","1","0","1","1","0","0","1","1","1","0","1"
"15817","7099399","0","0","1","0","0","0","0","0","1","0","0","0","0"
"15821","7189307","1","1","0","1","0","0","0","0","1","0","0","0","1"
"15823","7175889","0","0","0","0","1","1","1","0","1","1","1","0","1"
"15827","7116728","1","0","1","0","0","1","0","0","0","0","1","0","1"
"15830","7143631","0","0","0","0","0","0","0","0","0","0","1","1","0"
"15832","7193220","0","1","1","0","0","1","0","0","1","0","1","0","0"
"15835","7140833","0","1","1","0","1","1","0","0","1","1","1","0","1"
"15840","7221542","0","0","0","1","0","0","0","0","0","0","1","1","0"
"15842","7144105","1","0","0","0","1","1","0","1","1","0","0","1","0"
"15843","7172399","0","1","1","0","1","0","0","0","1","0","0","1","1"
"15844","7091687","1","1","0","0","1","1","1","0","1","1","1","0","0"
"15846","7178857","1","0","1","0","0","0","0","0","0","0","1","0","1"
"15847","7104820","0","1","0","0","0","1","0","0","0","0","0","0","0"
"15848","7159029","0","0","0","0","0","1","0","0","1","0","0","0","1"
"15853","7159936","1","1","0","1","0","1","0","0","0","0","1","0","1"
"15856","7168954","0","0","0","0","0","0","0","0","1","0","0","1","0"
"15858","7155746","1","1","0","1","0","0","0","0","1","0","0","1","1"
"15866","7123527","1","0","0","1","0","0","0","1","0","1","0","0","1"
"15867","7113476","0","1","0","1","0","1","0","1","1","0","1","0","1"
"15869","7140403","1","1","1","0","0","0","0","0","1","0","1","0","0"
"15872","7167437","1","1","1","0","0","1","0","0","1","0","0","1","1"
"15873","7092304","1","0","0","0","0","1","0","0","1","1","1","0","1"
"15874","7162268","0","0","1","0","0","1","0","0","1","0","1","0","1"
"15875","7107653","0","0","0","0","0","1","0","0","0","0","1","0","1"
"15876","7125709","0","0","0","0","0","1","0","0","1","0","1","1","0"
"15877","7189257","0","0","1","1","1","1","0","0","1","0","1","0","1"
"15878","7159533","1","0","1","0","1","1","1","1","1","0","0","0","1"
"15880","7101432","0","1","0","1","0","0","0","0","0","0","1","1","1"
"15882","7114611","0","1","0","1","0","1","0","1","1","0","0","1","1"
"15884","7150398","0","0","0","0","0","0","0","0","0","0","0","1","0"
"15885","7115526","0","0","0","0","0","0","0","0","0","0","0","1","0"
"15886","7213121","1","0","0","1","0","0","0","1","0","0","0","1","1"
"15888","7194496","0","1","1","1","1","1","0","0","1","0","0","1","1"
"15889","7172306","0","1","1","0","0","1","1","1","1","1","0","0","0"
"15891","7212252","0","0","0","0","0","0","0","1","1","0","0","1","1"
"15892","7104666","1","0","1","1","0","1","0","0","1","0","1","0","0"
"15895","7160720","0","1","0","0","0","0","0","0","1","1","1","0","1"
"15896","7181491","1","0","1","0","0","0","0","0","0","0","0","1","1"
"15901","7158938","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15902","7142562","1","0","1","0","0","1","1","0","1","1","1","0","0"
"15909","7185429","0","0","1","0","0","1","1","1","1","0","1","0","0"
"15911","7231089","0","0","0","0","0","0","0","0","0","0","0","1","1"
"15923","7124085","0","0","0","0","0","0","0","0","1","0","0","1","0"
"15925","7147613","0","0","0","0","0","0","0","0","0","0","0","1","1"
"15926","7197516","0","0","0","0","0","0","0","0","1","0","0","1","0"
"15928","7152720","0","0","0","0","0","0","0","0","0","0","0","1","0"
"15935","7109501","0","0","0","0","0","0","0","0","1","0","0","1","0"
"15938","7108041","1","0","0","1","0","0","0","0","0","0","0","1","1"
"15941","7195045","0","1","0","0","0","1","0","0","1","1","1","0","0"
"15943","7188320","0","0","0","0","0","0","0","0","0","0","0","1","0"
"15946","7108109","1","1","1","0","0","1","0","0","1","1","1","0","0"
"15948","7110625","0","0","1","0","0","1","0","0","1","0","1","0","0"
"15957","7159192","1","1","0","1","0","1","0","0","1","0","0","1","0"
"15960","7227992","0","0","0","1","0","0","0","0","1","0","0","1","1"
"15961","7119389","1","0","1","0","1","1","0","0","1","1","1","0","1"
"15968","7087925","0","1","0","0","0","0","0","0","0","0","1","1","0"
"15970","7145114","1","0","1","0","0","1","0","0","1","0","0","0","0"
"15972","7190423","0","1","0","1","0","0","0","0","1","0","0","1","1"
"15973","7174043","0","0","0","0","0","0","0","0","0","0","0","1","0"
"15978","7161916","0","0","1","0","1","1","1","0","1","1","1","0","1"
"15980","7110293","0","1","1","1","0","0","0","0","1","0","0","0","0"
"15984","7176668","0","0","1","0","0","0","0","0","0","0","0","1","1"
"15990","7192234","0","0","0","0","0","0","0","0","1","1","0","0","0"
"15991","7137673","1","1","0","0","0","0","0","0","0","0","1","0","0"
"15993","7226320","0","0","0","1","0","1","0","0","1","1","1","0","0"
"15994","7170408","0","1","1","1","0","1","0","0","1","1","1","0","0"
"15995","7225115","0","0","1","0","0","1","0","0","1","0","1","0","1"
"16002","7097296","0","0","0","0","0","0","0","0","1","0","0","1","1"
"16009","7222629","1","0","0","1","0","0","0","0","0","0","0","1","0"
"16010","7112486","0","1","1","0","1","1","0","0","0","1","1","0","1"
"16013","7166964","0","0","0","1","0","1","0","0","0","0","0","1","1"
"16014","7089347","0","0","0","0","0","0","0","0","1","0","0","1","1"
"16015","7159025","1","1","0","1","1","1","0","0","1","0","1","0","1"
"16017","7088712","1","1","0","0","0","1","0","0","1","1","1","0","1"
"16018","7160841","1","1","0","0","0","1","0","0","0","1","1","0","1"
"16020","7122371","1","1","0","0","0","0","0","1","0","0","0","1","1"
"16021","7199936","0","0","0","1","0","0","0","0","1","0","1","1","1"
"16022","7115984","0","1","1","1","1","0","0","0","1","0","1","0","0"
"16023","7106178","1","1","0","0","0","0","0","0","0","0","0","1","0"
"16025","7230921","0","0","0","0","0","0","0","0","0","0","0","1","1"
"16026","7209966","0","1","0","1","0","1","0","0","1","0","0","0","0"
"16029","7102858","0","0","0","0","0","0","0","0","0","0","1","1","0"
"16035","7195080","1","1","1","0","0","1","1","0","1","0","0","0","1"
"16036","7099427","1","0","0","0","0","1","0","0","1","1","1","0","0"
"16041","7116757","0","0","0","0","0","0","0","0","1","1","1","0","1"
"16043","7110906","1","1","0","1","0","1","0","1","1","0","0","1","0"
"16048","7223932","0","1","0","1","0","0","0","0","0","1","1","0","1"
"16055","7205744","0","0","0","0","1","1","0","0","0","0","0","0","0"
"16057","7097136","0","1","1","0","1","1","0","0","1","1","1","0","0"
"16063","7139949","0","0","1","0","0","1","0","0","1","1","1","0","1"
"16066","7189353","0","0","1","0","1","1","0","0","1","1","1","0","1"
"16068","7089268","0","1","0","0","0","1","1","0","1","0","0","0","0"
"16069","7162961","0","0","0","0","1","0","1","0","0","1","1","0","0"
"16074","7113620","0","0","1","0","0","0","0","0","0","0","1","0","0"
"16075","7089932","0","1","1","0","0","1","0","0","1","1","1","0","0"
"16078","7115971","0","0","1","1","0","0","0","0","1","0","1","1","0"
"16080","7099549","0","1","0","0","0","1","0","0","1","1","1","0","0"
"16081","7178456","1","1","0","0","0","1","1","0","1","0","0","1","0"
"16086","7214451","1","0","0","0","0","0","0","0","0","0","1","1","1"
"16088","7110486","0","1","0","0","0","1","0","0","1","0","0","1","0"
"16089","7218196","0","0","0","0","1","1","0","0","1","0","0","0","0"
"16090","7157991","0","0","0","0","0","1","0","0","1","0","1","0","1"
"16091","7173989","1","0","0","0","0","0","0","0","0","0","1","0","0"
"16092","7112615","0","0","0","0","0","0","0","0","1","0","0","1","0"
"16093","7142819","0","0","1","0","0","1","0","0","1","0","1","0","0"
"16094","7155277","1","1","0","0","0","1","0","0","1","0","0","1","0"
"16097","7088195","1","1","0","0","0","0","0","1","0","0","0","1","1"
"16103","7159543","1","1","1","0","1","1","1","0","1","1","1","0","1"
"16104","7179838","0","0","0","0","0","0","0","0","0","0","1","1","1"
"16105","7230759","0","0","0","0","0","0","0","0","1","0","1","0","0"
"16107","7155817","0","0","0","0","0","0","0","0","0","0","0","1","0"
"16114","7162401","0","1","0","1","1","1","0","0","1","0","1","0","1"
"16115","7149175","0","0","0","0","0","0","0","0","0","0","0","1","0"
"16116","7126701","0","0","1","0","0","0","0","0","1","0","0","1","0"
"16118","7208235","1","1","0","0","0","0","1","0","1","0","0","1","0"
"16119","7109927","0","1","1","0","1","1","1","0","1","1","1","0","1"
"16123","7148111","0","0","0","0","0","0","0","0","0","0","0","1","1"
"16125","7109515","0","0","0","0","0","0","0","0","0","0","1","1","1"
"16133","7180430","0","0","0","1","1","0","0","0","0","0","1","0","1"
"16134","7093270","0","0","1","0","0","1","0","0","1","0","0","0","1"
"16138","7134162","0","0","0","0","0","0","1","0","1","0","1","0","0"
"16141","7219660","0","0","0","1","0","1","0","0","0","0","0","1","1"
"16144","7154908","0","1","0","0","1","1","0","0","1","0","1","0","1"
"16149","7670608","1","0","0","0","0","1","1","0","0","1","1","0","1"
"16156","7216295","0","1","1","0","0","1","0","0","1","1","1","0","0"
"16158","7200936","1","1","1","0","0","1","1","1","1","0","0","0","0"
"16161","7165529","1","1","0","0","0","1","0","0","0","0","0","1","0"
"16162","7224176","1","0","0","1","1","1","0","0","1","0","0","0","0"
"16165","7121385","1","0","1","0","0","1","0","0","1","0","0","0","0"
"16166","7126938","0","1","1","0","1","1","1","0","1","0","1","1","0"
"16167","7202964","0","0","0","0","0","0","0","0","0","0","1","1","0"
"16168","7140066","0","1","0","1","0","1","0","0","1","1","1","0","0"
"16170","7092451","0","0","1","0","1","0","0","0","1","0","1","1","0"
"16172","7120586","0","0","0","1","0","0","0","0","1","0","1","1","0"
"16173","7091108","1","1","0","0","0","1","0","0","0","0","1","0","1"
"16176","7167683","1","0","1","0","0","0","0","0","1","1","1","0","0"
"16178","7156081","0","1","0","0","0","1","1","0","0","0","1","1","1"
"16180","7205648","1","0","1","0","0","1","0","0","0","1","1","0","1"
"16184","7181007","0","1","0","0","0","1","0","0","1","0","1","1","0"
"16189","7103908","0","0","0","0","0","0","0","0","0","0","0","1","0"
"16192","7233215","1","1","1","0","0","1","0","0","1","1","1","0","1"
"16197","7102310","0","1","0","0","0","0","0","0","1","0","0","1","0"
"16198","7228466","1","0","0","1","0","1","0","0","0","0","0","1","0"
"16200","7124193","0","1","0","0","0","1","0","1","1","0","1","0","1"
"16205","7144015","1","1","0","0","0","0","0","0","1","1","1","0","1"
"16206","7088722","0","1","0","0","1","0","0","0","1","0","0","1","0"
"16207","7202633","1","0","0","1","0","0","0","0","0","0","0","0","1"
"16208","7169375","1","1","1","0","1","1","1","0","1","1","1","0","1"
"16210","7108500","1","0","0","0","0","0","1","0","0","0","1","1","1"
"16217","7177079","1","1","1","0","0","1","0","1","1","1","1","0","1"
"16221","7162752","1","1","0","0","0","1","0","0","1","0","0","1","1"
"16223","7180152","0","0","0","0","0","0","0","0","1","0","0","0","0"
"16226","7104971","0","0","1","0","0","1","0","0","1","1","1","0","0"
"16228","7219424","1","1","1","0","0","1","0","0","1","1","1","0","0"
"16232","7115759","0","1","0","0","1","1","1","0","1","0","0","0","0"
"16233","7095213","0","0","0","1","0","0","0","0","1","0","0","0","1"
"16234","7146267","1","0","0","0","1","1","1","0","1","0","1","0","0"
"16243","7217889","0","1","0","0","0","0","0","0","1","0","0","1","1"
"16251","7158971","0","1","0","1","0","1","0","1","1","0","0","0","0"
"16252","7144687","1","1","0","1","1","0","0","1","0","0","0","1","1"
"16253","7209291","1","0","1","0","0","1","0","0","1","1","1","0","1"
"16255","7144387","0","1","1","1","0","0","0","0","0","0","0","1","1"
"16256","7159051","0","1","1","1","0","1","0","0","1","0","1","0","1"
"16257","7134904","1","1","1","0","0","0","0","0","1","1","1","0","1"
"16261","7108683","0","1","0","1","0","0","0","0","1","0","0","1","1"
"16265","7124134","0","1","1","0","0","1","0","0","1","1","1","0","1"
"16267","7170902","1","1","1","0","0","1","1","0","1","1","1","0","0"
"16272","7163834","0","0","0","0","0","0","0","0","0","0","0","1","0"
"16273","7204174","0","1","0","0","0","0","0","0","0","0","1","1","1"
"16275","7169396","0","0","1","0","0","1","0","0","1","0","1","0","0"
"16278","7176549","0","1","0","0","0","0","0","0","0","1","0","1","0"
"16283","7144348","0","0","0","1","0","0","0","0","0","0","0","1","1"
"16285","7460854","0","1","0","0","0","1","0","1","1","0","1","0","1"
"16290","7208816","0","0","1","0","0","0","0","0","0","0","1","1","0"
"16292","7127492","0","0","0","0","0","1","0","0","0","0","0","0","0"
"16293","7135718","0","1","0","0","0","1","0","0","1","0","0","1","0"
"16295","7088689","0","0","1","0","1","1","0","0","1","0","1","0","0"
"16297","7157201","0","0","0","0","0","0","0","0","1","0","1","0","1"
"16298","7232634","0","1","0","0","0","1","1","1","1","0","0","1","0"
"16299","7119419","0","0","0","0","0","0","0","0","0","0","0","1","1"
"16301","7087864","1","1","0","1","0","0","0","1","1","0","1","0","0"
"16302","7174870","0","0","0","0","0","0","0","0","0","0","1","1","0"
"16304","7106380","0","1","0","1","0","1","0","0","0","0","1","1","0"
"16307","7105066","0","0","1","0","0","1","0","0","1","0","0","0","0"
"16313","7159872","0","1","1","0","1","1","1","0","1","0","1","0","0"
"16314","7161739","1","1","0","0","0","1","0","1","1","0","0","1","1"
"16315","7136088","0","1","0","0","0","1","0","0","1","0","1","1","1"
"16321","7091220","0","1","1","0","0","1","1","0","1","1","1","0","1"
"16322","7173363","0","1","1","0","1","1","1","0","1","1","1","0","0"
"16324","7099113","0","0","0","0","0","1","1","0","1","0","1","1","0"
"16327","7124762","0","0","0","0","0","0","0","1","1","0","0","1","0"
"16331","7118805","1","0","1","0","0","1","0","0","1","1","0","0","0"
"16332","7096778","0","1","0","1","0","1","0","0","0","0","1","0","0"
"16335","7177550","0","1","0","0","0","1","0","1","1","0","1","0","0"
"16340","7227830","0","0","0","0","0","0","0","0","0","0","1","1","0"
"16344","7188801","0","0","0","0","0","1","0","0","1","0","1","1","0"
"16345","7189313","1","0","0","1","0","1","0","0","0","0","1","0","1"
"16346","7217890","0","0","0","0","0","1","0","0","0","0","1","0","1"
"16347","7222125","0","0","0","0","0","0","0","0","0","0","0","0","1"
"16348","7134380","0","0","0","0","0","0","0","0","0","0","1","1","1"
"16349","7097814","0","0","1","0","0","1","0","0","1","1","1","0","0"
"16351","7181724","0","1","1","0","0","1","0","0","1","1","1","0","1"
"16352","7220551","0","1","0","0","1","0","0","0","0","1","1","1","1"
"16353","7220212","0","1","0","0","0","0","0","0","0","0","0","1","0"
"16354","7170626","1","1","0","0","0","0","0","0","1","0","0","0","1"
"16355","7164070","0","0","0","0","1","1","0","0","1","0","1","0","0"
"16359","7178288","0","1","0","1","1","1","0","0","1","1","1","0","0"
"16361","7217944","0","0","0","0","0","0","0","0","0","1","1","0","0"
"16366","7188190","0","0","1","1","0","1","0","0","1","0","0","0","1"
"16367","7231418","0","0","0","0","0","0","0","0","0","0","0","1","0"
"16368","7127446","0","0","1","0","0","0","0","0","0","1","1","0","1"
"16369","7129403","0","0","0","0","0","0","0","0","1","0","0","0","1"
"16370","7214481","1","1","0","0","0","0","0","0","1","0","0","1","1"
"16371","7223259","1","1","0","0","0","1","0","0","1","0","0","0","0"
"16373","7150599","0","0","0","0","0","0","0","0","0","0","0","1","0"
"16376","7199867","0","0","0","0","0","0","0","0","0","0","1","1","1"
"16378","7213050","0","0","0","1","0","0","0","0","0","0","0","0","1"
"16380","7177836","0","1","1","0","0","1","0","0","0","0","0","0","1"
"16381","7103542","0","0","1","0","0","0","0","0","1","1","1","0","0"
"16384","7219517","1","1","1","0","0","0","0","0","0","0","0","0","1"
"16385","7145871","0","0","1","1","0","1","0","1","1","0","1","0","1"
"16390","7229627","0","0","1","1","1","1","0","0","1","0","0","0","1"
"16399","7110065","0","1","1","1","0","0","0","0","0","1","1","0","1"
