"","listing_id","interest_level","Positive.Affect","Space.Affect","About.Town.Affect","Character.Count"
"27687",7230484,"medium",2,9,3,750
"27688",7139913,"low",1,3,1,582
"27690",7229263,"low",1,0,0,135
"27693",7181873,"high",5,3,0,490
"27696",7207066,"low",3,5,1,842
"27697",7116201,"low",1,0,0,916
"27699",7178684,"medium",2,0,0,300
"27701",7196846,"low",3,2,0,312
"27702",7104611,"medium",1,0,0,519
"27703",7090337,"low",0,0,0,11
"27705",7218598,"medium",0,0,0,8
"27707",7195857,"low",0,2,1,1114
"27708",7208727,"low",5,0,1,490
"27709",7148058,"high",9,4,1,623
"27710",7112006,"low",3,0,1,448
"27711",7095357,"low",0,0,0,0
"27716",7096975,"medium",1,0,0,355
"27718",7138757,"low",2,3,0,179
"27723",7233729,"high",0,1,0,424
"27727",7100325,"medium",0,0,0,166
"27731",7099930,"low",6,6,4,721
"27734",7222704,"low",3,2,2,474
"27737",7221256,"medium",4,2,3,603
"27738",7169251,"low",1,3,3,1194
"27739",7145933,"low",2,0,3,627
"27740",7128960,"low",0,1,0,326
"27741",7125663,"medium",2,0,0,638
"27744",7132723,"high",1,0,0,94
"27745",7124430,"low",5,4,4,2013
"27748",7120292,"high",2,3,2,724
"27749",7189834,"medium",0,1,0,410
"27751",7140746,"medium",0,0,0,919
"27753",7160366,"low",6,3,1,820
"27755",7182031,"low",0,0,0,396
"27756",7180093,"medium",2,1,0,558
"27762",7099112,"low",1,3,1,616
"27767",7092809,"low",2,2,1,1074
"27775",7194824,"low",0,2,0,632
"27776",7122674,"low",5,1,1,584
"27777",7197995,"low",1,1,0,1629
"27780",7100374,"medium",1,0,0,638
"27781",7092977,"medium",2,4,1,1181
"27782",7101456,"low",1,1,1,445
"27784",7125235,"low",4,5,0,774
"27785",7171668,"low",1,0,0,194
"27788",7187309,"low",0,3,1,358
"27790",7172202,"low",1,2,0,908
"27791",7168025,"low",1,1,0,397
"27794",7101614,"low",3,2,2,582
"27797",7141716,"low",1,4,2,540
"27798",7207678,"low",0,0,0,269
"27801",7209617,"low",3,4,1,989
"27810",7125594,"low",0,0,0,209
"27811",7190867,"low",0,0,1,433
"27812",7216152,"low",6,1,3,932
"27817",7171143,"low",3,1,0,670
"27819",7096133,"low",4,5,3,838
"27822",7122838,"low",0,0,0,1
"27823",7094694,"low",4,2,0,535
"27824",7092700,"low",2,0,3,1228
"27830",7179754,"low",1,1,3,424
"27831",7115987,"medium",6,3,1,882
"27836",7154857,"medium",0,0,0,568
"27837",7156611,"low",7,2,2,1186
"27843",7102164,"low",4,1,2,969
"27845",7097083,"low",3,3,2,513
"27848",7230100,"low",2,0,0,568
"27850",7212365,"low",2,2,0,263
"27852",7204488,"low",2,0,0,713
"27855",7097728,"medium",0,0,1,902
"27860",7105058,"low",1,2,1,598
"27861",7198529,"medium",3,1,0,629
"27862",7179989,"medium",0,1,0,185
"27865",7178567,"low",1,2,2,422
"27869",7109866,"low",0,0,0,0
"27872",7206382,"low",13,8,3,1689
"27873",7163569,"low",2,0,0,182
"27874",7190919,"high",2,0,0,118
"27878",7105677,"medium",1,2,1,590
"27880",7105201,"medium",4,2,3,610
"27885",7184698,"low",0,3,1,793
"27891",7129300,"low",2,0,0,390
"27892",7232929,"medium",1,2,1,1295
"27896",7217455,"low",1,0,0,454
"27897",7175236,"low",2,1,0,373
"27898",7221536,"medium",2,2,2,658
"27903",7213009,"low",0,1,0,113
"27906",7141001,"medium",2,0,1,616
"27910",7198228,"medium",4,3,4,867
"27911",7141185,"low",0,0,0,8
"27914",7098333,"low",2,1,1,560
"27919",7211708,"low",0,0,0,24
"27920",7139287,"low",3,0,1,1195
"27921",7157646,"medium",1,5,3,1324
"27923",7121503,"low",2,3,1,697
"27925",7155474,"medium",2,6,3,701
"27926",7105028,"low",1,1,4,479
"27930",7151061,"high",3,0,1,189
"27932",7185916,"low",1,3,1,733
"27933",7197503,"low",5,1,1,585
"27937",7110669,"low",2,1,4,1154
"27942",7224599,"medium",3,2,1,861
"27955",7231012,"low",3,2,1,646
"27956",7149282,"high",0,0,0,31
"27957",7127067,"low",0,1,2,1237
"27959",7186090,"low",0,3,3,319
"27961",7188890,"low",0,2,1,845
"27962",7118773,"medium",3,2,2,647
"27964",7096519,"low",0,0,0,734
"27965",7173103,"low",2,0,1,914
"27966",7231015,"medium",0,0,0,189
"27967",7115140,"high",0,3,2,784
"27971",7159763,"low",1,1,0,625
"27972",7172630,"medium",0,2,0,520
"27975",7128508,"low",0,0,0,0
"27980",7232601,"low",0,2,1,505
"27983",7142415,"low",1,1,0,529
"27986",7131858,"low",0,5,1,343
"27988",7152583,"medium",3,0,2,384
"27989",7191660,"low",1,2,0,480
"27990",7106146,"medium",0,0,0,146
"27994",7159109,"low",1,1,1,159
"27995",7091546,"low",3,2,4,399
"27996",7129688,"medium",6,4,2,1572
"27997",7167279,"low",1,3,0,1873
"28000",7094162,"low",2,1,0,523
"28003",7225652,"low",2,6,0,450
"28004",7226522,"low",0,0,0,24
"28005",7145011,"low",8,8,7,3367
"28010",7162107,"low",2,2,0,589
"28013",7126146,"medium",0,2,0,789
"28014",7154303,"high",1,0,1,949
"28018",7230326,"low",1,4,3,1992
"28019",7209679,"low",2,3,1,749
"28020",7220427,"low",2,1,0,229
"28022",7155163,"low",3,0,7,1115
"28024",7182160,"low",0,0,1,426
"28025",7119402,"low",3,2,0,565
"28026",7173345,"medium",2,4,3,647
"28027",7214803,"low",0,0,1,186
"28029",7092893,"low",4,6,2,728
"28031",7171842,"high",2,4,1,635
"28032",7132304,"low",2,1,0,453
"28034",7095745,"low",3,4,1,538
"28039",7225359,"low",0,0,0,8
"28040",7229937,"low",7,2,0,1020
"28048",7181695,"medium",2,0,0,296
"28049",7094165,"medium",1,4,1,278
"28051",7124248,"low",8,4,3,949
"28054",7162423,"low",2,2,3,1738
"28055",7090907,"low",0,0,0,0
"28056",7100488,"medium",4,0,1,583
"28060",7210811,"low",0,0,0,168
"28062",7167951,"high",6,2,3,679
"28063",7205499,"high",3,3,0,308
"28064",7233619,"medium",1,0,0,107
"28065",7133852,"low",1,2,0,341
"28066",7226625,"medium",2,0,1,325
"28067",7170359,"medium",4,1,2,507
"28068",7101041,"low",0,0,0,1
"28071",7215498,"medium",8,2,2,1069
"28079",7096891,"low",1,2,0,892
"28081",7164210,"low",2,0,0,466
"28083",7143167,"low",3,2,2,749
"28084",7174030,"medium",0,0,0,930
"28086",7207278,"high",0,1,0,147
"28088",7090852,"low",0,0,0,8
"28093",7119126,"low",6,8,3,1316
"28096",7197649,"low",2,3,1,681
"28101",7115451,"low",5,1,2,852
"28102",7120722,"low",1,1,2,601
"28105",7200235,"low",5,2,1,568
"28106",7177094,"medium",1,1,1,422
"28108",7225045,"low",0,0,0,8
"28111",7088910,"low",6,0,0,658
"28112",7096884,"medium",2,0,1,389
"28121",7223016,"medium",2,5,0,762
"28123",7112618,"medium",5,3,0,1174
"28124",7219321,"low",0,0,0,66
"28125",7208240,"high",0,1,0,425
"28127",7109287,"low",1,3,0,362
"28128",7131875,"medium",0,3,0,503
"28132",7210079,"low",1,1,1,310
"28137",7117139,"low",2,2,0,332
"28138",7213750,"low",0,1,0,390
"28140",7232695,"low",2,1,1,1043
"28146",7168006,"low",0,1,0,656
"28148",7104080,"high",1,0,0,241
"28149",7232322,"medium",1,4,3,645
"28150",7190727,"medium",1,2,0,229
"28156",7111139,"high",0,0,0,52
"28157",7189463,"low",0,0,2,402
"28158",7093296,"low",1,2,1,608
"28159",7166082,"low",2,0,1,203
"28164",7098443,"low",1,1,0,237
"28165",7132238,"high",3,2,1,779
"28171",7162952,"medium",3,1,3,1528
"28172",7181321,"low",0,0,0,266
"28174",7172981,"medium",2,1,0,1193
"28175",7197352,"medium",2,4,1,882
"28177",7169913,"low",3,9,4,1605
"28183",7172247,"high",0,2,1,499
"28184",7154659,"low",2,5,2,1387
"28186",7122069,"medium",2,1,0,864
"28189",7115481,"medium",0,0,0,24
"28190",7177130,"medium",4,2,3,692
"28191",7118665,"low",1,2,1,1348
"28192",7131704,"medium",3,1,4,720
"28194",7208190,"low",1,0,0,752
"28196",7143105,"low",2,1,0,389
"28203",7088219,"low",3,1,1,864
"28206",7110699,"medium",0,0,3,909
"28212",7134474,"low",0,0,0,24
"28217",7150905,"low",0,0,0,8
"28220",7217479,"low",0,0,0,568
"28221",7089401,"high",2,7,1,1567
"28227",7213265,"low",0,0,0,0
"28230",7113842,"medium",0,0,0,24
"28232",7115044,"low",0,1,1,397
"28236",7198784,"low",1,1,2,1038
"28237",7219312,"high",1,3,0,402
"28238",7162081,"low",1,0,2,877
"28241",7113443,"low",4,3,0,1298
"28242",7217460,"low",0,0,0,1
"28243",7131872,"low",1,0,1,1206
"28246",7186314,"high",0,4,1,2113
"28249",7178612,"low",1,1,3,509
"28256",7132186,"medium",3,3,2,1092
"28257",7170976,"medium",2,0,3,776
"28260",7206491,"low",2,5,1,679
"28261",7099312,"low",0,0,0,748
"28263",7163227,"low",0,0,0,8
"28270",7136601,"medium",3,4,3,437
"28272",7161261,"low",0,0,0,212
"28277",7141811,"low",0,0,0,8
"28281",7159065,"low",4,1,6,833
"28283",7198560,"low",2,2,0,947
"28293",7133186,"medium",0,0,1,760
"28294",7144676,"low",3,1,1,815
"28295",7176723,"low",0,0,0,217
"28297",7230517,"medium",2,2,5,960
"28298",7121066,"medium",5,1,0,721
"28299",7174110,"medium",5,1,0,572
"28301",7124941,"medium",1,1,2,346
"28302",7205434,"low",0,0,0,0
"28304",7091967,"medium",5,2,2,638
"28306",7120799,"medium",2,1,1,833
"28308",7198998,"medium",0,2,0,783
"28312",7130594,"low",0,0,0,8
"28313",7134743,"medium",4,5,3,1446
"28314",7122322,"low",1,2,0,304
"28316",7206113,"low",0,4,1,333
"28319",7156832,"medium",0,1,2,535
"28320",7187156,"high",0,0,1,502
"28323",7224638,"low",1,3,1,720
"28327",7144649,"low",1,0,0,165
"28328",7102134,"low",2,1,2,563
"28333",7121429,"low",0,0,0,24
"28335",7105539,"medium",4,5,2,623
"28337",7209563,"medium",0,2,1,417
"28339",7218773,"low",2,2,2,1021
"28340",7137744,"medium",3,0,0,132
"28342",7152182,"low",0,0,0,8
"28345",7180887,"medium",2,2,2,886
"28347",7185234,"low",2,2,1,667
"28348",7200070,"low",0,0,0,8
"28349",7204762,"low",1,1,1,663
"28351",7098840,"medium",5,2,1,613
"28355",7102448,"low",2,6,1,759
"28356",7125291,"low",2,2,1,364
"28358",7133070,"low",1,1,3,540
"28368",7207120,"low",3,0,0,612
"28370",7202505,"low",0,2,0,256
"28372",7101492,"medium",2,3,1,641
"28373",7204630,"low",1,1,0,1099
"28374",7229141,"medium",3,1,2,919
"28375",7091916,"low",0,5,1,458
"28377",7138996,"low",0,0,0,0
"28379",7138791,"low",2,3,0,398
"28380",7137328,"high",1,6,1,679
"28383",7126845,"medium",0,0,0,533
"28385",7091500,"medium",5,6,1,699
"28387",7194669,"low",0,3,1,447
"28389",7164278,"low",8,3,1,835
"28391",7148327,"low",0,0,0,8
"28393",7123353,"medium",5,8,3,1556
"28395",7181483,"low",1,1,0,240
"28398",7092511,"medium",3,1,3,638
"28401",7232496,"low",2,3,1,1523
"28402",7100666,"low",2,2,0,586
"28404",7222490,"low",1,0,1,280
"28405",7123692,"low",1,0,2,859
"28410",7203542,"low",5,0,2,887
"28413",7204387,"low",1,3,2,1073
"28417",7211719,"low",4,0,1,533
"28418",7129642,"low",0,0,1,441
"28419",7161844,"medium",3,1,1,552
"28420",7107574,"low",1,0,3,882
"28424",7096983,"low",2,4,1,611
"28426",7095540,"low",0,3,0,1003
"28427",7192290,"medium",4,4,1,817
"28430",7113704,"high",1,1,0,580
"28433",7183085,"low",0,0,0,367
"28434",7124169,"low",2,0,0,515
"28436",7223971,"low",1,5,5,847
"28441",7233491,"low",1,0,2,687
"28445",7112839,"medium",1,1,3,654
"28446",7111757,"low",3,4,0,809
"28449",7222934,"low",0,0,0,0
"28451",7212976,"low",2,4,1,726
"28453",7109214,"medium",0,3,0,510
"28456",7173899,"low",0,4,0,519
"28457",7189334,"low",0,0,0,294
"28458",7194038,"medium",4,4,0,650
"28464",7194730,"low",1,0,1,818
"28466",7234468,"medium",1,2,1,393
"28467",7103640,"low",2,1,1,1072
"28468",7130601,"medium",0,1,2,1136
"28470",7190519,"medium",3,3,1,1099
"28474",7089465,"low",4,1,0,601
"28480",7145649,"low",1,0,1,613
"28481",7154663,"low",1,1,1,537
"28483",7228333,"low",2,0,2,968
"28484",7206294,"low",2,1,0,476
"28488",7200922,"medium",4,2,1,705
"28489",7144193,"high",3,1,1,263
"28492",7134734,"medium",0,0,0,582
"28496",7217468,"low",3,4,1,703
"28497",7224218,"low",1,1,0,276
"28503",7143232,"low",3,3,3,1082
"28507",7157127,"low",4,2,3,787
"28508",7175407,"low",1,0,0,144
"28514",7203560,"low",1,0,3,968
"28522",7221220,"low",4,0,0,1365
"28525",7115498,"low",1,1,0,331
"28526",7090641,"low",0,0,0,8
"28527",7233956,"high",1,1,1,152
"28531",7180949,"low",5,1,1,1113
"28545",7188796,"low",3,3,2,735
"28551",7155699,"medium",0,2,0,269
"28554",7156314,"low",0,0,0,57
"28555",7091115,"low",3,4,1,583
"28559",7221474,"low",5,6,1,1128
"28561",7138755,"low",3,0,0,1098
"28564",7126020,"low",2,3,3,947
"28565",7232598,"medium",2,0,0,290
"28567",7189826,"low",0,0,0,8
"28569",7206623,"medium",3,4,1,752
"28571",7099479,"low",3,2,1,1398
"28572",7142328,"low",1,2,1,607
"28575",7185101,"low",0,0,0,425
"28581",7151335,"low",4,10,6,2324
"28586",7124022,"low",3,0,2,816
"28588",7229232,"low",0,6,2,772
"28591",7132634,"medium",6,1,1,558
"28592",7094886,"low",0,0,1,411
"28594",7225334,"medium",0,0,1,445
"28595",7230570,"high",4,3,5,1302
"28597",7146510,"low",2,0,1,491
"28600",7127816,"low",4,0,1,860
"28604",7129169,"low",0,3,0,826
"28605",7196285,"high",1,0,0,67
"28608",7101101,"low",1,2,0,267
"28609",7226964,"low",1,0,0,228
"28610",7210356,"low",0,2,2,578
"28612",7122480,"low",2,0,0,1133
"28616",7169813,"low",2,0,1,830
"28619",7207851,"medium",1,0,0,330
"28624",7188051,"low",4,2,2,617
"28625",7213496,"low",2,2,0,584
"28626",7152647,"medium",0,0,0,8
"28628",7123916,"medium",4,6,0,612
"28633",7173179,"low",4,4,4,1039
"28637",7181966,"high",3,1,0,447
"28641",7140893,"medium",0,1,0,128
"28642",7176969,"low",2,1,0,1081
"28645",7205767,"medium",1,0,1,416
"28647",7119254,"low",4,4,1,1612
"28648",7213947,"low",2,6,1,704
"28656",7164998,"low",1,1,0,1032
"28657",7098304,"high",1,1,0,574
"28660",7187009,"low",0,2,0,248
"28661",7216292,"high",2,2,1,477
"28662",7224730,"low",2,2,1,947
"28668",7207792,"medium",1,1,0,907
"28669",7134844,"low",2,5,0,967
"28673",7102876,"low",2,2,0,1018
"28679",7162560,"low",2,3,4,1390
"28681",7225066,"low",1,0,0,229
"28682",7145218,"low",1,0,2,862
"28686",7112652,"low",4,1,0,401
"28687",7224032,"medium",6,4,2,1572
"28688",7129599,"low",3,3,4,491
"28695",7087825,"low",1,3,0,397
"28697",7181294,"low",0,2,1,728
"28699",7112544,"high",1,2,1,600
"28700",7161533,"medium",1,0,4,497
"28702",7106652,"low",0,0,0,300
"28706",7186450,"low",1,1,1,265
"28707",7198483,"medium",2,1,0,476
"28709",7163316,"low",2,0,1,713
"28712",7204000,"medium",0,0,0,223
"28714",7137352,"medium",5,2,2,539
"28715",7165719,"high",2,0,0,58
"28722",7154651,"low",6,8,6,1960
"28723",7090330,"high",3,0,0,387
"28726",7157874,"medium",0,2,0,498
"28727",7223300,"low",4,5,3,866
"28729",7096052,"low",7,1,1,429
"28730",7102675,"high",0,0,0,222
"28731",7160056,"low",1,1,2,563
"28732",7100674,"low",1,3,0,342
"28734",7184577,"low",5,1,0,1152
"28736",7119580,"low",4,4,0,1089
"28738",7105696,"low",2,3,1,626
"28746",7227406,"low",1,1,3,510
"28749",7143728,"low",0,0,0,8
"28750",7123098,"high",1,4,2,641
"28751",7164435,"medium",0,3,1,482
"28752",7093702,"medium",4,5,0,641
"28753",7160250,"low",8,4,9,2512
"28759",7129213,"low",2,2,1,665
"28779",7115378,"low",1,2,7,1006
"28780",7142665,"medium",1,0,1,197
"28781",7195853,"high",2,3,0,340
"28782",7143908,"low",2,1,0,221
"28784",7091923,"low",2,4,1,674
"28786",7099085,"low",4,1,1,507
"28788",7233996,"medium",2,0,0,82
"28789",7153396,"low",3,5,2,654
"28791",7126383,"medium",2,1,4,1043
"28792",7156919,"low",1,0,3,950
"28793",7095209,"low",2,0,1,502
"28794",7186754,"low",3,4,0,1056
"28795",7225162,"low",3,2,0,362
"28796",7199930,"medium",0,0,0,0
"28799",7094157,"medium",0,0,0,402
"28800",7112658,"medium",2,2,3,639
"28802",7211287,"low",5,4,1,941
"28803",7093918,"medium",0,0,0,0
"28804",7166435,"low",0,1,1,688
"28808",7209237,"low",3,1,0,503
"28811",7121488,"low",3,2,2,490
"28814",7188994,"low",6,0,3,957
"28815",7208532,"high",4,0,0,315
"28817",7097150,"low",5,2,0,845
"28821",7205460,"low",0,0,0,0
"28823",7165793,"low",3,1,1,484
"28825",7117872,"low",0,1,0,439
"28826",7113862,"medium",5,1,1,615
"28828",7142241,"low",2,2,2,687
"28830",7130809,"low",0,1,2,1136
"28831",7112160,"low",2,3,1,572
"28832",7103216,"low",2,6,3,758
"28835",7215883,"low",0,0,0,0
"28836",7221189,"medium",3,6,3,624
"28839",7162008,"low",2,4,1,899
"28841",7094994,"low",0,0,0,1
"28842",7110473,"medium",1,2,0,157
"28846",7148172,"low",0,0,0,8
"28852",7122868,"low",0,0,0,68
"28854",7197469,"low",2,3,0,637
"28857",7100344,"medium",2,3,1,348
"28858",7195271,"low",2,1,0,412
"28859",7181039,"high",3,1,1,383
"28863",7173627,"medium",5,5,1,964
"28865",7212588,"low",1,0,0,268
"28867",7193398,"low",2,3,3,1521
"28871",7184332,"low",2,1,0,322
"28872",7177189,"low",3,1,0,426
"28876",7206450,"medium",1,1,2,1539
"28877",7103753,"low",0,0,0,268
"28878",7117013,"low",6,2,0,328
"28879",7162157,"low",2,1,0,799
"28880",7134415,"medium",2,4,1,980
"28881",7178546,"medium",2,1,0,291
"28883",7163562,"low",0,0,0,0
"28885",7094697,"low",6,1,0,945
"28886",7232173,"low",0,5,2,583
"28888",7191171,"low",2,1,0,427
"28889",7145772,"low",1,1,0,476
"28900",7110589,"low",0,0,1,322
"28901",7141833,"low",0,4,0,213
"28902",7163577,"low",2,1,1,887
"28909",7176236,"medium",4,1,0,1077
"28910",7160451,"low",0,0,1,324
"28911",7131477,"low",0,0,0,0
"28913",7173732,"low",0,2,1,617
"28915",7157691,"low",1,2,3,806
"28916",7089552,"low",3,1,1,680
"28919",7112499,"low",1,2,1,280
"28922",7111147,"low",0,0,0,673
"28927",7223967,"low",2,0,1,619
"28929",7148071,"high",1,0,0,236
"28932",7187569,"low",2,4,1,449
"28933",7128779,"low",1,0,0,236
"28937",7156049,"low",0,3,0,388
"28938",7150627,"low",1,3,0,331
"28939",7093330,"low",1,1,2,923
"28950",7161697,"medium",2,2,2,614
"28953",7087782,"low",2,1,0,158
"28954",7107190,"medium",1,2,0,301
"28955",7186644,"low",3,0,0,505
"28960",7196033,"high",2,1,0,343
"28962",7200462,"low",5,4,0,869
"28965",7136266,"low",2,3,1,573
"28966",7121840,"medium",0,0,0,357
"28967",7147963,"low",3,0,0,395
"28969",7091187,"medium",2,4,0,529
"28970",7150086,"medium",5,2,2,619
"28972",7182803,"medium",3,2,4,607
"28974",7189583,"low",4,1,3,992
"28981",7186438,"low",1,0,0,67
"28982",7173014,"medium",1,4,2,441
"28984",7216363,"high",2,0,4,1051
"28986",7186285,"low",4,1,0,849
"28988",7127834,"low",1,0,0,236
"28999",7098430,"low",2,1,0,207
"29000",7215646,"low",1,2,1,299
"29005",7150980,"low",3,2,2,434
"29008",7139766,"low",0,1,1,842
"29013",7131726,"high",4,1,1,804
"29015",7118857,"medium",2,2,1,392
"29016",7115391,"low",2,2,0,499
"29018",7117765,"low",1,4,0,533
"29029",7098058,"low",1,2,1,629
"29033",7177877,"low",0,0,0,425
"29034",7141121,"low",2,3,1,601
"29036",7143738,"high",2,1,0,355
"29037",7219534,"low",6,0,0,477
"29039",7126256,"medium",3,1,1,426
"29040",7129633,"high",1,0,1,343
"29042",7127517,"medium",2,0,1,623
"29043",7095057,"low",1,2,0,345
"29045",7151777,"medium",1,2,0,1024
"29050",7210153,"low",2,4,9,781
"29053",7091714,"low",2,1,4,1050
"29057",7214815,"medium",5,4,6,1384
"29058",7116802,"low",0,2,1,579
"29065",7102770,"low",3,5,1,566
"29069",7187922,"medium",1,1,1,513
"29071",7217057,"medium",2,0,0,583
"29072",7202888,"low",1,2,0,353
"29073",7088271,"low",6,0,0,654
"29074",7139174,"low",2,2,0,584
"29076",7106863,"low",0,0,0,0
"29079",7129630,"medium",2,0,1,462
"29080",7218776,"low",1,2,0,582
"29082",7173427,"low",0,0,1,281
"29083",7108382,"low",1,1,5,827
"29084",7228424,"low",2,1,1,588
"29089",7092864,"low",6,2,1,1023
"29090",7195943,"low",0,2,0,303
"29091",7105075,"low",1,4,1,566
"29092",7229511,"low",1,0,0,151
"29094",7145224,"low",3,1,3,583
"29097",7221431,"medium",1,0,0,146
"29099",7233995,"medium",0,0,0,369
"29100",7218734,"medium",1,0,0,430
"29104",7175291,"low",3,3,1,791
"29106",7183117,"low",5,1,1,1354
"29107",7127305,"low",2,1,4,1055
"29110",7124086,"high",0,0,0,11
"29111",7201946,"medium",2,2,1,981
"29112",7130970,"low",0,1,2,518
"29115",7105768,"medium",1,1,0,233
"29123",7154108,"low",2,1,0,413
"29125",7158565,"low",4,0,0,337
"29129",7169997,"medium",1,4,2,789
"29134",7230696,"high",0,2,1,554
"29135",7228995,"low",2,2,1,597
"29138",7199550,"low",4,3,2,480
"29140",7133522,"low",1,2,1,705
"29142",7148353,"low",0,0,0,8
"29143",7098306,"low",7,2,3,965
"29145",7231897,"low",3,1,4,720
"29147",7131060,"medium",0,0,0,162
"29149",7225413,"low",2,0,2,766
"29151",7227076,"medium",3,0,1,855
"29152",7166929,"low",0,0,0,105
"29154",7221650,"low",1,0,1,237
"29155",7103696,"low",2,2,5,1595
"29156",7541215,"low",0,1,3,403
"29161",7099587,"low",6,7,1,1734
"29164",7144905,"high",4,2,0,382
"29167",7143735,"low",0,0,0,8
"29168",7091644,"low",6,2,0,693
"29169",7154754,"low",1,0,1,505
"29172",7145270,"medium",1,0,2,695
"29173",7151218,"low",0,0,0,8
"29174",7124632,"low",3,0,3,1006
"29176",7106869,"low",0,0,0,0
"29178",7139407,"low",1,4,1,748
"29179",7475973,"low",2,0,3,376
"29183",7163035,"medium",0,0,0,161
"29185",7225371,"low",2,0,0,454
"29186",7220165,"low",0,3,1,242
"29188",7154537,"high",1,0,1,910
"29191",7099470,"medium",2,1,0,820
"29192",7162341,"low",3,1,1,878
"29193",7139221,"high",2,1,1,1199
"29194",7113290,"low",0,0,0,8
"29196",7110677,"medium",0,1,0,363
"29199",7219280,"low",0,1,4,543
"29203",7093336,"high",1,6,1,688
"29205",7160067,"medium",3,2,1,846
"29210",7175757,"low",3,0,0,616
"29211",7160361,"high",1,2,2,548
"29212",7091554,"high",2,0,0,880
"29214",7176696,"low",0,0,0,0
"29218",7169323,"medium",3,7,5,1880
"29225",7162994,"low",1,0,0,151
"29226",7092242,"low",4,6,2,770
"29227",7224574,"low",1,3,1,784
"29231",7119655,"medium",3,1,0,694
"29237",7113277,"low",1,0,0,62
"29240",7125690,"high",3,3,0,700
"29242",7217362,"high",0,0,0,255
"29245",7126494,"medium",0,3,4,767
"29246",7212817,"low",0,2,1,278
"29249",7128864,"low",4,7,3,2378
"29250",7176109,"medium",4,2,0,919
"29253",7172125,"low",1,1,0,242
"29256",7163992,"low",1,2,1,358
"29264",7094379,"high",1,1,0,337
"29267",7090835,"low",3,1,1,822
"29270",7125403,"low",3,4,0,1285
"29273",7112576,"high",2,3,4,652
"29276",7204470,"medium",1,0,1,265
"29279",7093144,"low",4,7,6,1125
"29280",7169531,"medium",1,0,0,147
"29282",7155670,"low",0,1,0,405
"29283",7175892,"low",4,4,2,911
"29287",7145392,"low",0,1,0,365
"29289",7158588,"low",4,0,1,784
"29290",7106090,"low",2,0,1,259
"29293",7105295,"medium",2,0,0,834
"29294",7147767,"low",0,0,0,8
"29296",7144262,"low",4,1,0,426
"29301",7092721,"high",0,2,0,472
"29305",7152688,"low",0,0,1,718
"29307",7254080,"low",2,1,1,1194
"29309",7099262,"low",4,5,1,759
"29310",7155505,"low",8,3,5,1481
"29314",7186007,"low",3,1,1,320
"29315",7229766,"medium",1,0,2,256
"29318",7158160,"low",2,2,4,1327
"29319",7092084,"low",3,1,2,978
"29322",7192878,"low",5,4,1,961
"29323",7145261,"medium",1,0,1,792
"29326",7180245,"high",2,1,1,509
"29329",7132172,"low",2,2,0,556
"29330",7161759,"medium",1,1,0,231
"29332",7139689,"low",1,3,0,313
"29333",7118402,"low",1,0,0,329
"29336",7119553,"medium",0,0,0,24
"29341",7138293,"low",1,0,0,163
"29343",7105860,"low",2,3,1,490
"29344",7150952,"low",0,1,1,716
"29350",7127787,"low",3,2,1,904
"29351",7098643,"low",7,4,2,855
"29356",7094563,"medium",0,5,0,491
"29357",7139473,"medium",5,5,1,638
"29359",7186151,"medium",4,5,4,931
"29362",7166433,"low",3,1,0,185
"29364",7172121,"low",1,2,0,579
"29366",7109911,"medium",1,1,0,1857
"29367",7205066,"low",1,0,0,57
"29368",7091147,"low",1,3,0,523
"29370",7220802,"medium",4,1,2,905
"29374",7162656,"low",0,1,1,558
"29375",7188118,"low",2,1,0,499
"29376",7192617,"low",0,1,1,728
"29378",7222990,"medium",1,1,1,277
"29383",7184678,"low",5,6,0,1365
"29384",7181192,"high",2,1,1,963
"29386",7197315,"low",1,1,0,460
"29388",7208632,"low",0,0,0,423
"29391",7212910,"low",3,3,4,620
"29392",7183108,"low",0,3,1,488
"29393",7214196,"medium",1,4,1,492
"29397",7188427,"low",1,0,2,776
"29398",7125868,"low",4,0,2,625
"29399",7173201,"medium",3,2,2,634
"29400",7140269,"low",0,0,0,384
"29406",7199388,"low",0,0,0,443
"29408",7107682,"low",0,0,0,146
"29409",7145876,"low",0,1,1,386
"29414",7222005,"low",2,2,0,717
"29416",7217306,"low",0,2,0,371
"29419",7117002,"medium",1,0,0,618
"29420",7188353,"low",1,0,2,813
"29421",7170972,"medium",3,0,1,597
"29422",7209599,"low",0,1,2,888
"29423",7106485,"low",0,0,0,140
"29430",7097596,"low",3,2,1,1070
"29432",7167989,"high",0,2,0,784
"29434",7102245,"low",2,3,4,1032
"29437",7123093,"low",0,0,0,105
"29438",7102682,"medium",2,1,2,657
"29439",7175767,"medium",1,0,2,471
"29440",7222099,"high",1,4,0,1256
"29449",7173972,"low",0,0,1,203
"29453",7125928,"low",0,0,0,0
"29455",7154135,"medium",4,2,2,772
"29456",7134657,"medium",2,1,0,767
"29459",7205500,"medium",2,0,1,514
"29468",7197437,"low",2,1,2,993
"29474",7139213,"low",2,1,0,377
"29477",7094876,"low",0,0,0,191
"29478",7097246,"low",4,4,2,1166
"29482",7208898,"low",0,0,0,8
"29484",7156728,"low",2,0,1,708
"29485",7116391,"low",1,0,2,433
"29488",7165032,"medium",4,5,1,569
"29491",7154883,"low",0,3,4,665
"29492",7189215,"medium",1,0,0,262
"29493",7100713,"low",0,1,3,1053
"29494",7201615,"low",3,7,3,1359
