category,upcoming_meeting_date,group_reviews,group_members,upcoming_meetings,upcoming_address,past_meetings,upcoming_meeting_time,group_name
Language & Culture,Tue Feb 14,11,"1,462",10,"413 W 46th St, New York, NY",842,6:30 PM,"El Centro, volunteer led language classes in Midtown - New York, NY"
Language & Culture,Sat Feb 11,3,"2,409",21,"215 E. 99th St., New York, NY",473,1:00 PM,"Spanish, Salsa, and Tango at El Taller! - New York, NY"
Language & Culture,None,25,"1,507",95,None,None,None,"Aussie Meetup (for Australians in New York) - New York, NY"
Language & Culture,Sat Feb 11,13,"1,679",6,"130 east 39th at Lexington, New York, NY",222,6:30 PM,"NYC Bollywood Meetup Group - New York, NY"
Language & Culture,Fri Feb 10,24,"3,693",1,"330 West 40th Street, New York, NY",225,6:30 PM,"The NYC Indian Meetup Group - New York, NY"
Language & Culture,Sat Feb 11,4,"2,296",3,"130 east 39th at Lexington, New York, NY",67,6:30 PM,"New York City Indian Professionals - New York, NY"
Language & Culture,None,25,None,None,None,None,None,"Williamsburg French Language Meetup Group - Brooklyn, NY"
Language & Culture,None,6,None,None,None,None,None,"New York International Network (20's 30's) - New York, NY"
Language & Culture,Sat Feb 11,21,"2,256",222,"226 E 54th St, New York, NY",None,10:00 PM,"Bollywood, Bhangra, Desi Party & Events. DesiSaturdays.com - New York, NY"
Language & Culture,Mon Feb 13,3,341,3,"7 East 36th Street, New York, NY",46,6:30 PM,"Women in the World - Wanderful New York - New York, NY"
Language & Culture,Fri Feb 10,1,"1,643",30,"71 W 35th St, New York, NY",265,10:15 PM,"NYC International Adventures/Singles/Exchange - New York, NY"
Language & Culture,None,13,"1,791",171,None,None,None,"Korean Language and Culture Exchange in Midtown NYC - New York, NY"
Language & Culture,Mon Feb 13,4,"2,469",13,"213-41 39th Avenue , Bayside, NY",385,12:30 PM,"French Classes for beginners and intermediate - New York, NY"
Language & Culture,Tue Feb 21,35,"4,585",3,"29 West 36th Street, New York, NY",762,6:00 PM,"The NYC French Social Meetup Group - New York, NY"
Language & Culture,Tue Feb 14,48,"3,002",10,"27 East 23rd Street, New York, NY",246,6:30 PM,"ITALIAN CHAT: #1 Italian Meetup in NY! ~ Legaitaliana.org - New York, NY"
Language & Culture,Tue Feb 14,61,177,5,"146 West 29th Street, Suite 6E, between Sixth and Seventh, New York, NY",None,12:00 PM,"NYC Language Lovers - New York, NY"
Language & Culture,Sat Feb 11,10,695,4,,None,7:00 PM,"NYC Language Exchange Meetup - New York, NY"
Language & Culture,Thu Feb 23,4,511,3,"40 RECTOR STREET, New York, NY",13,6:00 PM,"Mandarin Meetup at China Institute - New York, NY"
Language & Culture,Sat Feb 18,103,"3,446",1,,504,5:00 PM,"The New York Brazilian Portuguese Meetup Group - New York, NY"
Language & Culture,Tue Feb 21,1,571,3,"29 West 36th Street, New York, NY",7,6:00 PM,"English Spanish Chinese Exchange - New York, NY"
Language & Culture,Fri Feb 10,1,"1,018",21,"621 W 46th St 11th Ave, New York, NY",None,6:00 PM,"AfropolitanNYC - New York, NY"
Language & Culture,None,53,None,None,None,None,None,"New York Vietnamese Meetup Group - New York, NY"
Language & Culture,None,29,"1,610",220,None,None,None,"Advanced Chinese Conversation - New York, NY"
Language & Culture,None,2,None,None,None,None,None,"NYC Asian Eats! - New York, NY"
Language & Culture,Fri Feb 10,9,871,15,"30 Irving Place, New York, NY",52,6:30 PM,"Goethe-Institut - New York, NY"
Language & Culture,Fri Feb 10,5,"1,389",36,"38 W 32nd St. #300, New York, NY",712,3:00 PM,"The English Lounge new york - New York, NY"
Language & Culture,Sat Feb 11,25,465,20,,None,1:00 PM,"NYC English Conversation Practice - New York, NY"
Language & Culture,Fri Feb 10,41,"2,056",4,"317 E Houston St, 10002, NY",170,7:00 PM,"Indian Music And Art Meetup - New York, NY"
Language & Culture,None,23,None,None,None,None,None,"New York Spanish Speakers - New York, NY"
Language & Culture,None,13,None,None,None,None,None,"Divorced Separated Widowed Desis of NJ PA CT NY DE w/wo Kids - Jersey City, NJ"
Language & Culture,Tue Feb 14,2,"1,420",1,"29 West 36th Street, New York, NY",36,6:00 PM,"NYC Asian Social Group - New York, NY"
Language & Culture,Tue Feb 14,1,993,1,"29 West 36th Street, New York, NY",6,6:00 PM,"NYC International Social Group - New York, NY"
Language & Culture,Wed Mar 8,2,717,7,,None,6:00 PM,"Mandarin Chinese Language & Culture Exchange - New York, NY"
Language & Culture,Sun Feb 12,1,674,1,"875 53rd Avenue and Lexington Avenue, New York, NY",4,3:00 PM,"International Language Exchange - New York, NY"
Language & Culture,None,1,None,None,None,None,None,"English Talk - New York, NY"
Language & Culture,Fri Feb 10,10,"1,107",2,"547 Hudson Street, New York, NY",54,7:00 PM,"FREE Spanish/English Language Exchange - New York, NY"
Language & Culture,Fri Feb 10,4,"4,424",2,"230 Fifth Ave, New York, NY",135,6:00 PM,"""The New York Asian Meetup Group"" - New York, NY"
Language & Culture,Sun Feb 12,1,590,8,"875 53rd Avenue and Lexington Avenue, New York, NY",None,3:00 PM,"Asia Night NYC - New York, NY"
Language & Culture,Sat Feb 11,5,"3,522",2,"621 West 46th Street , New York, NY",733,10:00 PM,"NYLC Language Exchange - New York, NY"
Language & Culture,None,70,None,None,None,None,None,"NYC Latino Professionals - 3,200+ Members & Growing! - New York, NY"
Language & Culture,Sat Feb 11,25,"1,442",47,,None,1:00 PM,"NYC English Conversation Meetup - New York, NY"
Language & Culture,Sat Feb 11,7,"1,076",70,Coming soon,618,6:15 PM,"NYC Asian Meetup - New York, NY"
Language & Culture,Sat Feb 11,47,"3,301",8,"Brooklyn, Brooklyn, NY",338,7:30 PM,"The New York City Russian Language Meetup Group - New York, NY"
Language & Culture,None,None,None,None,None,None,None,None
Language & Culture,Fri Feb 10,288,"10,455",13,,937,6:30 PM,"The New York Spanish Language Meetup - New York, NY"
Language & Culture,Sun Feb 12,79,"3,343",12,"265 Bowery, Manhattan, Ne",314,7:45 PM,"New York City German Culture Group - New York, NY"
Language & Culture,Tue Feb 14,3,"1,084",3,"29 West 36th Street, New York, NY",19,6:00 PM,"Mundo Lingo New York City | Language Socials - New York, NY"
Language & Culture,Sat Feb 11,3,"1,752",25,,63,1:00 PM,"NYC English Conversation Class - New York, NY"
Language & Culture,Mon Feb 13,74,"7,106",30,"213-41 39th Avenue , Bayside, NY",896,12:30 PM,"! French New York City ! - New York, NY"
Language & Culture,Sat Feb 11,2,"3,159",10,,40,7:00 PM,"NYC International Friends - New York, NY"
Language & Culture,Sun Feb 12,221,"14,380",1,,564,4:00 PM,"Language Exchange NYC - New York, NY"
Language & Culture,Sun Feb 12,2,18,22,"600 Lexington Avenue, between 52nd and 53rd Streets, New York, NY",270,12:30 PM,"Italian Literature Club: Astoria/Manhattan - Astoria, NY"
Music,None,130,"1,121",None,None,None,None,"NYC House and Techno Music Meetup - New York, NY"
Music,None,4,451,None,None,None,None,"New York Live Jazz Meetup - New York, NY"
Music,None,35,500,None,None,None,None,"The Classical Musicians' Rehearsal Symphony Orchestra, LLC - New York, NY"
Music,None,None,None,None,None,None,None,"New York City Grateful Dead Song and Jam Meetup - New York, NY"
Music,None,10,118,None,None,None,None,"NYC Open Mic Club - New York, NY"
Music,None,3,525,21,Coming soon,None,None,"New York Singers, Songwriters & Music Business Professionals - New York, NY"
Music,None,3,59,None,None,None,None,"Advanced Audio + Applications Exchange (A3E) - New York City - New York, NY"
Music,Thu Feb 16,5,232,1,"1 East 65th Street, New York, NY",53,8:00 PM,"Music Meetups - New York, NY"
Music,Sat Feb 18,6,850,5,"307 West 36th Street 18th Floor, 10018, NY",748,6:30 PM,"Music Makers New York Recreational Musicians Meetup Group - New York, NY"
Music,Tue Feb 14,3,166,None,"168 Delancey b/w Attorney & Clinton, New York, NY",None,8:00 PM,"The Poetry Brothel - Brooklyn, NY"
Music,None,3,191,None,None,None,None,"Electronic Music, House, Rave... In NYC - New York, NY"
Music,Thu Feb 16,1,46,12,"143 Christopher Columbus Dr, Jersey City, NJ",9,7:00 PM,"Jersey City Ukulele Meetup - Jersey City, NJ"
Music,Mon Feb 13,10,551,52,"161 Lafayette Street at Grand, New York, NY",None,7:00 PM,"New York Covert Karaoke Meetup Mondays! - New York, NY"
Music,None,5,689,131,None,None,None,"Classical for All - New York, NY"
Music,Sat Feb 11,1,135,6,"251 West 30th Street, New York, NY",16,4:00 PM,"Unnamed Musician Group - New York, NY"
Music,Thu Mar 16,5,331,1,"54 N11th Street, Brooklyn, NY 11249, New York, NY","1,297",10:00 PM,"immaculate electronica NY - New York, NY"
Music,Mon Feb 13,3,"1,457",10,"40 W 40th St, New York, NY",429,6:00 PM,"New York Social After Work Club - New York, NY"
Music,Sun Feb 19,17,465,1,"240 West 54th Street, New York, NY",308,7:00 PM,"NYC ROCK N' ROLL DANCE PARTY SINGLES - New York, NY"
Music,None,41,836,255,None,None,None,"The NYC Jazz Meetup Group - New York, NY"
Music,Tue Feb 14,10,60,1,"800 Second Ave, New York, NY",None,8:00 PM,"Cold Nights Warm Vibes Music Meetup - New York, NY"
Music,None,5,139,None,None,None,None,"NYC Music - Live and Local - Brooklyn, NY"
Music,Sat Feb 11,10,50,10,,None,7:00 PM,"Surya Records - Brooklyn, NY"
Music,None,4,60,3,None,None,None,"New York Blues Jam Meetup - New York, NY"
Music,Sat Feb 11,2,396,2,"243 E 34th St, New York, NY",7,6:00 PM,"NYC Jazz Aficionados - New York, NY"
Music,Thu Mar 2,4,448,6,"311 West 43rd Street, New York, NY",98,7:00 PM,"New York City Classical Guitar Society - New York, NY"
Music,Fri Feb 17,24,"2,432",10,,"1,135",7:00 PM,"NY Concert Meetup - New York, NY"
Music,None,3,183,1,"392 Broadway #3F, New York, NY",60,None,"TERP: Totally Enveloping Real Time Play - New York, NY"
Music,Sat Apr 22,2,665,2,"1691-93 Madison Avenue, New York, NY",34,11:00 AM,"Artists Meetup - New York, NY"
Music,None,22,208,None,None,None,None,"Ukulele Jam and Sing - New York, NY"
Music,Sun Feb 12,2,"1,150",30,"505 Lafayette Ave Apt 1B, Brooklyn, NY",262,6:00 PM,"Mike B's Brooklyn Guitar Workshop - Group Lessons - Brooklyn, NY"
Music,Sat Feb 11,14,437,12,"484 West 43rd Street, Suite 41E, New York, NY",381,10:00 AM,"SOMETHING TO SING ABOUT IN NEW YORK - New York, NY"
Music,None,24,"3,047",763,None,None,None,"Brooklyn / Lower East Side Indie Show Meetup - Brooklyn, NY"
Music,Thu Feb 16,26,"11,218",1,"330 West 40th Street, New York, NY",66,6:00 PM,"The New York City Live Music Meetup - New York, NY"
Music,Mon Jul 3,62,725,2,"Ahoy-weg 10, Rotterdam",178,7:00 AM,"RHYTHMflow  Explorations - New York, NY"
Music,Fri Feb 17,31,"2,074",1,"50 Avenue B / (between 3rd & 4th St), New York, NY",153,7:00 PM,"The NY Culture Circle! - New York, NY"
Music,Wed Feb 15,10,21,2,"25 W 51st St, NYC, NY",None,8:00 PM,"Live Country Music Fans! - New York, NY"
Music,Sat Feb 11,1,28,None,,None,5:00 PM,"Harp Classes For Amatuers, Only 11 Week Session - New York, NY"
Music,Mon Feb 27,12,51,4,Coming soon,None,7:00 PM,"Big Apple Chorus - New York, NY"
Music,None,5,223,6,None,None,None,"Hamilton Sing Along - New York, NY"
Music,Sat Feb 18,13,350,15,"307 W. 36th Street  (Between 8th & 9th Ave.)  18th Floor, NY 10018, NY",102,3:00 PM,"Tune Up! - New York, NY"
Music,Fri Feb 17,8,"1,139",1,"50 Avenue B / (between 3rd & 4th St), New York, NY",20,7:00 PM,"NYC INDIE MUSIC - House Concerts! - New York, NY"
Music,Sat Feb 18,1,117,8,,None,2:00 PM,"Composing Film and Game Music NYC - New York, NY"
Music,Tue Feb 14,2,260,10,Coming soon,24,7:00 PM,"The Baby Grand Karaoke Club - New York, NY"
Music,Sat Feb 25,25,"1,615",1,"450 West 37th Street, New York, NY",88,4:00 PM,"Amateur Classical Musicians Association - New York, NY"
Music,None,6,None,None,None,None,None,"New York Piano Group - New York, NY"
Music,None,1,"2,301",82,None,None,None,"Global Hip-Hop FAM - New York, NY"
Music,Fri Feb 17,44,"2,281",1,"50 Avenue B / (between 3rd & 4th St), New York, NY",191,7:00 PM,"The NY Musicians Group - New York, NY"
Music,Fri Feb 10,31,"1,534",5,"620 Van Houten Ave., Clifton, NJ",447,8:15 PM,"TRI-STATE-NY- NJ -CT HEAVY METAL HEADBANGERS GROUP - New York, NY"
Music,None,1,35,None,None,None,None,"Fan Call: A J. Cole Appreciation Celebration - Brooklyn, NY"
Music,Sun Feb 12,3,41,2,,56,10:00 AM,"NYC Brass Ensemble - New York, NY"
Music,Sun Feb 12,11,241,2,"61 Bergen St, Brooklyn, NY",40,3:00 PM,"Brooklyn Accordion Club - Brooklyn, NY"
Music,Mon Feb 13,22,802,32,"626 11th Ave, New York, NY",878,8:00 PM,"Folk Music NYC - New York, NY"
Music,None,7,None,None,None,None,None,"OLD SCHOOL KARAOKE            (The oldies and the standards) - New York, NY"
Music,None,1,66,4,None,None,None,"Deconstructing The Beatles - New York, NY"
Music,Sat Feb 18,17,287,9,"307 W 36th St Fl 18, New York, NY",216,3:00 PM,"Workingman's Dead Jam - New York, NY"
Music,Sat Feb 25,1,37,None,"146 W 29th St, New York, NY",None,2:00 PM,"Free Workshops: How to Become a Music Producer - New York, NY"
Music,Fri Feb 10,14,"1,260",121,"111 E 18th St (at Park Avenue), New York, NY 10003, New York, NY",None,6:30 PM,"Fun & Exciting Things To Do In NYC - New York, NY"
Music,None,2,564,13,None,None,None,"Music Production for Beginners - Long Island City, NY"
Music,Tue Feb 14,10,"6,036",90,,None,6:00 PM,"Weekly Mic (All Performers and Comedians) 1 Drink Min OR $5 - New York, NY"
Music,None,None,None,None,None,None,None,"The Edge of NY - New York, NY"
Music,Mon Feb 13,1,127,4,"709 Lorimer Street, Brooklyn, NY",None,8:30 PM,"Computer Juice NYC - Computer Music Open Mic - Brooklyn, NY"
Music,Wed Feb 15,2,223,5,"18 West 18th Street, New York, NY",23,7:00 PM,"CircleSinging NYC Vocal Improvisation Meetup - New York, NY"
Music,Wed Feb 15,9,849,11,"520 Eighth avenue, New York, NY",83,7:00 PM,"Singing, Sightreading, & Performing Tips NYC - New York, NY"
Music,Sun Feb 12,3,125,7,"251 West 30th Street, New York, NY",7,2:00 PM,"New York Rockers - New York, NY"
Music,Sat Feb 25,1,975,1,"140 Merrick Rd, Amityville, NY 11701, New York, NY",13,9:00 PM,"Electronic Dance Music(EDM) EVENT Meetup in NYC -Tristate - New York, NY"
Music,Fri Feb 10,1,172,5,"2 Havemeyer St, Brooklyn, NY",None,7:00 PM,"Electronic Open Mic - New York, NY"
Music,None,8,"2,698",83,None,None,None,"The Electronic Music Producers - New York, NY"
Music,Mon Feb 13,39,653,14,"2nd Ave at 29th Street, New York, NY",215,7:30 PM,"NYC BLUEGRASS SLOW JAM (for Adv beginners and Int players) - New York, NY"
Music,Sat Feb 18,1,119,7,"22 West 32 Street , New York, NY",2,6:15 PM,"New York Karaoke Meetup - New York, NY"
Music,None,None,None,None,None,None,None,"NY Reggae, Dancehall & Tings - Brooklyn, NY"
Music,None,4,808,62,None,None,None,"Free Live Jazz in New York City - New York, NY"
Music,Sun Feb 12,1,161,16,,15,8:45 AM,"Outdoorsy Musicophiles: Alt/Indie Music & Hiking Fans - New York, NY"
Music,Wed Feb 22,4,"1,281",1,"244 West 54th St. Suite 800B, New York, NY",30,5:30 PM,"New York Songwriters Collective - New York, NY"
Music,Sat Feb 18,2,104,3,"149 West 46th Street, New York, NY",9,3:00 PM,"NYC Jazz Newbies Hang - New York, NY"
Music,Fri Feb 10,63,"1,199",11,"43 East 7th Street, New York, NY",437,8:00 PM,"The New York City Ukulele Meetup Group - New York, NY"
Music,Sun Feb 12,1,136,None,"38 West 32nd Street, New York, NY",None,5:00 PM,"Broadway Karaoke - New York, NY"
Music,Sat Feb 11,14,212,19,"353 W 48th St, New York, NY",341,12:00 PM,"Eliane Delage Guitar Ensemble - New York, NY"
Music,None,2,95,None,None,None,None,"New York Singing and Songwriting Meetup - New York, NY"
Music,Fri Feb 17,2,161,2,,6,7:00 PM,"TGFK 2 - Too Good for Karaoke - New York, NY"
Music,Fri Feb 10,14,483,1,"251W 30th St., 8th FLOOR, New York, NY",244,6:00 PM,"Happy Hour Guitar - New York, NY"
Music,None,1,"1,457",1,Coming soon,26,None,"Digital Music NY - New York, NY"
Music,Fri Feb 10,5,"2,928",16,"11 East 18th Street (at Park Avenue), New York, NY",320,6:30 PM,"Music-Preneurs, Industry Networkers & Opportunity Seekers - New York, NY"
Music,None,100,None,None,None,None,None,"The New York Classical Music Meetup - New York, NY"
Music,None,12,269,30,None,None,None,"Beatles Music  Jam - New York, NY"
Music,Tue Feb 14,6,275,7,"32 Avenue A, New York City, NY",11,6:00 PM,"NYC Guitar Lovers Open Mic - New York, NY"
Music,None,10,None,None,None,None,None,"Let's Meetup and Play Piano! - New York, NY"
Music,Sun Mar 5,1,237,1,"22 East 17th Street, New York, NY",1,2:00 PM,"NY Acoustic Song Circle - New York, NY"
Music,Thu Feb 23,47,"1,395",3,,138,7:30 PM,"The New York Chamber Music Meetup - New York, NY"
Music,Thu Mar 2,89,"1,579",7,"260 West 23rd Street between 7th & 8th Ave, New York, NY",546,6:00 PM,"New York Celtic Music Meetup Group - New York, NY"
Music,None,3,"3,304",1,Coming soon,49,None,"The New York Singer Songwriters - New York, NY"
Music,Sat Feb 11,11,504,40,"520 Eighth Ave (btwn 36 & 37), New York, NY",357,3:30 PM,"Voice Class for Individuals (Mid-Town) - New York, NY"
Music,Sat Feb 11,10,929,10,"209 West 40th Street, New York, NY",138,8:00 PM,"Open Jams NYC at Funkadelic Studios - New York, NY"
Music,Fri Feb 10,13,"8,258",28,"172 Rivington St., New York, NY",882,7:15 PM,"NYC Showtime: Discount Concerts,Theater, Shows, and more - New York, NY"
Music,Fri Feb 24,1,176,None,"82 West 3rd St., Manhattan, NY",None,7:00 PM,"Afro-Peruvian jazz music and drinks! - New York, NY"
Music,None,None,None,None,None,None,None,None
Music,Wed Feb 22,5,826,1,"240 Bedford Ave, Brooklyn, NY 11211, New York, NY",5,5:30 PM,"NYC Music Producers Club - New York, NY"
Music,Sun Feb 19,8,"1,463",7,,225,8:00 PM,"NYC R&B/Soul Society - New York, NY"
Music,Fri Feb 10,22,"1,531",3,"251 W 30th Street, New York, NY",267,10:00 PM,"The New York City Drum & Bass Meetup Group - New York, NY"
Music,None,1,206,5,None,None,None,"Starting a Rock Band - Astoria, NY"
LGBTQ,Tue Aug 8,1,227,None,"391 Herrington Hill Road, Greenwich, NY",None,7:00 PM,"Tantra for Gay Men - New York - New York, NY"
LGBTQ,None,1,370,24,None,None,None,"New York City Bisexual Women - New York, NY"
LGBTQ,None,9,None,None,None,None,None,"Gay Women's (Lesbian and Bi) Social Group 30+ - New York, NY"
LGBTQ,None,4,None,None,None,None,None,"NYC Gay Men Canasta Club - New York, NY"
LGBTQ,Thu Feb 23,6,257,12,Coming soon,None,5:00 PM,"Lesbians in the NYC Financial District - New York, NY"
LGBTQ,None,7,None,None,None,None,None,"Single, Gay And Fabulous Men In NYC. - New York, NY"
LGBTQ,None,37,None,None,None,None,None,"Adventure Gurls--NYC - New York, NY"
LGBTQ,Fri Feb 10,1,369,1,"208 W 13th St, New York, NY",23,7:00 PM,"NYC Village Contra - Gender Role Free Contra Dance Meetup - New York, NY"
LGBTQ,None,3,None,None,None,None,None,"Marble Church LGBTQ Christian Meetup - New York, NY"
LGBTQ,None,5,None,None,None,None,None,"LGBT Widowers/Widows NYC - New York, NY"
LGBTQ,None,1,None,None,None,None,None,"NYC LGBT Philosophy Forum - New York, NY"
LGBTQ,None,4,None,None,None,None,None,"Black and Latina Bi/Lesbian Professionals - New York, NY"
LGBTQ,None,None,None,None,None,None,None,"Bi Beauties - New York, NY"
LGBTQ,None,4,None,None,None,None,None,"MenKIND: Talks For And About Fluid Men of African Descent - Brooklyn, NY"
LGBTQ,None,7,None,None,None,None,None,"QueerBuddhist Women - New York, NY"
LGBTQ,None,89,None,None,None,None,None,"S.W.A.G. Enterprises - New York, NY"
LGBTQ,None,13,735,1,Coming soon,39,None,"Lesbians 45 + Active in the City - New York, NY"
LGBTQ,None,9,None,None,None,None,None,"NYC LGBTQ SUPPORTIVE CONNECTIONS - New York, NY"
LGBTQ,None,33,None,None,None,None,None,"NYC Area Transgender  Meetup Group- The Stonewall Girls! - New York, NY"
LGBTQ,Sun Feb 12,2,541,2,Coming soon,10,2:00 PM,"Gay Bears & Cubs Wellness Fun Club - Brooklyn, NY"
LGBTQ,Sun Feb 26,10,288,3,"1140 Myrtle Avenue, Brooklyn, NY",37,12:30 PM,"NYC Gay Vegan Singles Dinner Party Group - New York, NY"
LGBTQ,None,15,None,None,None,None,None,"New York Lesbian 'Coming Out Later-in-Life' Meetup Group - New York, NY"
LGBTQ,Fri Feb 10,12,233,106,"742 9th Ave, New York, NY",None,7:00 PM,"Gay Asian Pacific Islander Men of New York (GAPIMNY) - New York, NY"
LGBTQ,None,31,None,None,None,None,None,"Professional Bi & Lesbian Women of Color - New York, NY"
LGBTQ,None,20,None,None,None,None,None,"OUT IN NYC - Gay Lesbian Bi Trans Group - New York, NY"
LGBTQ,None,2,36,None,None,None,None,"introverted lesbians of jersey city :: come out (please) - Jersey City, NJ"
LGBTQ,None,5,"1,682",24,None,None,None,"Gay Beach Bums - New York, NY"
LGBTQ,None,19,None,None,None,None,None,"Lesbian NYC Adventures - New York, NY"
LGBTQ,None,2,342,1,Coming soon,35,None,"Lesbian Coming Out Group - Brooklyn, NY"
LGBTQ,Fri Feb 10,2,85,1,"758 5th Avenue, Brooklyn, NY",None,7:00 PM,"Eve Productions Meetup - Brooklyn, NY"
LGBTQ,None,10,None,None,None,None,None,"Les-bi-book Club & Stuff - New York, NY"
LGBTQ,None,26,None,None,None,None,None,"RUSA LGBT - Russian-Speaking LGBTQ Meetup - New York, NY"
LGBTQ,Tue Mar 14,1,174,None,"118 10th Avenue, New York, NY",4,6:30 PM,"New York Lezervations / LBTQ Networking - New York, NY"
LGBTQ,Tue Feb 21,2,447,3,"939 Lexington Avenue (between E. 68th & E. 69th Streets), New York, NY",7,6:30 PM,"The Third Tuesday Gay Men's Book Club - New York, NY"
LGBTQ,None,1,None,None,None,None,None,"Queer and Nerdy - New York, NY"
LGBTQ,None,76,None,None,None,None,None,"NY/NJ Dollhouse - New York, NY"
LGBTQ,None,1,None,None,None,None,None,"NYC Film: Gay Men's Movie Meetup - New York, NY"
LGBTQ,Wed Feb 22,2,527,2,"208 W. 13 th Street, New York, NY",30,7:15 PM,"Unity Pride: Gay Men's Spirituality Group - New York, NY"
LGBTQ,Sat Feb 25,12,241,21,Coming soon,None,8:45 PM,"Aleinu, The 20s30s Group at Congregation Beit Simchat Torah - New York, NY"
LGBTQ,Sat Mar 4,2,569,4,"159 20th Street #1B, Brooklyn, NY",None,6:00 PM,"Linger - New York, NY"
LGBTQ,Fri Mar 3,11,220,3,"490 Hudson Street  between Christopher & Grove, New York, NY",41,7:00 PM,"Times Squares Square Dance Club - New York, NY"
LGBTQ,None,16,None,None,None,None,None,"Gay Catholics, Christians & Friends - Social Group - New York, NY"
LGBTQ,None,11,None,None,None,None,None,"Jersey City Liberty-loving Lesbians - Jersey City, NJ"
LGBTQ,Sat Feb 11,3,"1,003",32,Coming soon,953,3:00 PM,"Identity House New York City - New York, NY"
LGBTQ,None,1,349,1,None,None,None,"Gay Male Adventures in Culture - New York, NY"
LGBTQ,None,10,"1,801",63,None,None,None,"NYC Awesome Women - New York, NY"
LGBTQ,None,44,None,None,None,None,None,"Women About in NYC & Westchester - New York, NY"
LGBTQ,None,1,None,None,None,None,None,"Lesbians 40+ seeking friendship/Tri-state - New York, NY"
LGBTQ,Sun Feb 12,3,"1,310",1,"450 Columbus Ave, New York, NY",28,5:00 PM,"Queer Book Club @ Book Culture - New York, NY"
LGBTQ,Sat Feb 11,5,300,5,"312 West 34th Street New York, NY 10001, New York, NY",None,3:30 PM,"GGNY: Gay Geeks of New York - Brooklyn, NY"
LGBTQ,None,1,None,None,None,None,None,"Lesbian Book Club (New Jersey) - Weehawken, NJ"
LGBTQ,Tue Feb 21,22,594,1,"20 Elizabeth Street, New York, NY",32,12:30 PM,"New York Daytime Gay Social men Meetup - New York, NY"
LGBTQ,None,35,None,None,None,None,None,"Fourth Tuesday Professional Womens' Dinner for Lesbians 50+ - New York, NY"
LGBTQ,Sat Feb 18,2,464,4,"124 Main Street, Cold Spring, NY",4,6:30 PM,"LGBT Travelers of New York - New York, NY"
LGBTQ,None,45,None,None,None,None,None,"NYC Gay Photographers - New York, NY"
LGBTQ,None,None,None,None,None,None,None,"Gay & Bi Naked Men NYC, 20's 30's 40's - New York, NY"
LGBTQ,Wed Mar 8,1,234,1,"27 E. 28th Street, 3rd Floor, New York, NY",None,6:30 PM,"Que(e)ry - LGBTQ Data Science - New York, NY"
LGBTQ,Sat Feb 11,4,"2,163",32,"500 8th Avenue, New York, NY",726,2:00 PM,"Rainbow Tango. LGBT singles, couples & friends - New York, NY"
LGBTQ,Fri Feb 10,15,121,1,"201 8th Ave Between 20th and 21st Street, New York, NY",16,6:30 PM,"GAY MEN OVER 50 NEW START UP - New York, NY"
LGBTQ,Thu Feb 16,1,122,None,"Battery Park, New York, NY",None,7:00 PM,"New Gay Friends Downtown/FiDi - New York, NY"
LGBTQ,None,33,None,None,None,None,None,"New York City Lesbians 50 + Out and About - New York, NY"
LGBTQ,None,24,None,None,None,None,None,"Lesbian & Bi-Sexual Professional Women of Color - New York, NY"
LGBTQ,None,26,None,None,None,None,None,"NYC Touch, Tantra, Massage & Intimacy for Men - New York, NY"
LGBTQ,None,17,"2,215",293,None,None,None,"The ""Non-Scene"" Gay 20-Somethings of NYC - New York, NY"
LGBTQ,None,4,392,1,None,None,None,"NYC Gay Group of Misfits - New York, NY"
LGBTQ,Fri Feb 17,49,768,10,"181 West 10th St, (At 7th Ave South), New York, NY",122,5:30 PM,"Gay French Conversation - New York, NY"
LGBTQ,None,7,None,None,None,None,None,"Lesbian and Bi Food Lovers in New York - New York, NY"
LGBTQ,None,21,None,None,None,None,None,"Young Lesbian Professionals - New York, NY"
LGBTQ,None,1,679,12,None,None,None,"Project Q: Events for Queer Women in NYC - New York, NY"
LGBTQ,Wed Feb 15,3,"1,324",1,"515 Malcolm X Blvd, at 135th Street, New York, NY",10,6:15 PM,"NYC Gay Introverts - New York, NY"
LGBTQ,Sun Feb 12,43,"2,848",61,"208 West 13th Street, New York, NY",963,3:00 PM,"NYC's Bisexual, Non-Monosexual & Queer Meetup Group - New York, NY"
LGBTQ,Tue Feb 14,15,"1,847",1,"167 8th Ave, nyc, NY",46,7:00 PM,"In The Company of Men: NYC Gay Men's Life Coaching Group - New York, NY"
LGBTQ,None,5,None,None,None,None,None,"New York City 30-Something LGBT Group - New York, NY"
LGBTQ,Sun Feb 19,41,"1,618",1,"7th Avenue building, New York, NY",50,9:00 AM,"Gay Men's Hiking Group - New York, NY"
LGBTQ,None,2,"1,476",6,None,None,None,"New Gay Friends in New York City - New York, NY"
LGBTQ,Tue Mar 7,31,"1,904",8,"425 Avenue of the Americas, Manhattan, NY",51,7:00 PM,"NYC Gay Guys' Book Club - New York, NY"
LGBTQ,Wed Feb 22,9,791,1,"175 Smith Street, Brooklyn, NY",19,7:30 PM,"DTBK (Downtown Brooklyn) Gay Social Meetup - Brooklyn, NY"
LGBTQ,Sun Mar 5,5,"1,653",5,"49 Grove Street, New York, NY",21,4:00 PM,"New York Lesbian Sunday Vintage Tea Dance Monthly Party - New York, NY"
