Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2010 Status,2010 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
3550/020,1830 Harrison,1830 HARRISON ST,94103,"1830 HARRISON ST
San Francisco, CA 94103
(37.768055, -122.413378)",16710,Distribution Center,http://propertymap.sfplanning.org/?&search=3550/020,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,41.7,101.6,69.5,69.5,50.2,3,40.7,101.6,,33,88.1,46.8,46.8,41.4,2.5,35.7,90.8,,31.6,81.7,36.3,36.3,39.1,2.3,33.6,83.9
0224/004,827 STOCKTON ST,827 STOCKTON ST,94108,"827 STOCKTON ST
San Francisco, CA 94108
(37.793542, -122.407802)",16716,,http://propertymap.sfplanning.org/?&search=0224/004,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3706/068,748 MISSION ST,748 MISSION ST,94103,"748 MISSION ST
San Francisco, CA 94103
(37.785267, -122.403312)",29440,,http://propertymap.sfplanning.org/?&search=3706/068,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4108/003O,2400 3RD ST,2400 3RD ST,94107,"2400 3RD ST
San Francisco, CA 94107
(37.759285, -122.388523)",26665,Office,http://propertymap.sfplanning.org/?&search=4108/003O,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2014,Pending,,,,,,,,,,76,44.8,114.2,-27,-27,74.7,3.3,45.7,117.2,81,40.2,102.7,-33.6,-33.6,67.1,3,40.3,102.8,85,34,93,-38.1,-38.1,58.6,2.6,34,93,85,36,94.6,-38.2,-38.2,60.8,2.7,36.5,93.5
0311/013,Mechanics' Institute,57 POST ST,94104,"57 POST ST
San Francisco, CA 94104
(37.788971, -122.403066)",70769,Mixed Use Property,http://propertymap.sfplanning.org/?&search=0311/013,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,,49,,-23.7,,237.55,,48.7,,,47.9,94.2,-23.5,,231.6,,46.5,92.7,,43.2,77.9,-36.7,-36.7,200.5,2.8,43.4,78.1,,37.1,72.3,-41.3,-41.3,171.4,2.4,40.1,75.4,,34,70.1,-43,-43,161,2.3,35.8,72
0310/005,12 Geary St. Building,10 GEARY ST,94108,"10 GEARY ST
San Francisco, CA 94108
(37.787933, -122.403733)",19260,Office,http://propertymap.sfplanning.org/?&search=0310/005,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,99,29,52.9,-70.2,-70.2,34,1.9,29.4,53.4,100,22.3,42,-75.4,-75.4,27,1.4,26.8,46.7,100,20.4,36.8,-78.6,-78.6,24.9,1.3,21.6,38.2
0307/008,Native Sons Building,414 MASON ST,94102,"414 MASON ST
San Francisco, CA 94102
(37.787472, -122.409946)",68132,Mixed Use Property,http://propertymap.sfplanning.org/?&search=0307/008,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,77.6,,90.6,,380.52,,78.3,,,76.3,172.7,66,,375.16,,77.4,173.9,,65.3,146.1,18.5,18.7,366.4,5.4,64.7,146.3,,62.4,145.3,18,18,310.9,4.6,63.9,144.6,,56.4,131.9,7.2,7.2,280.7,4.1,57,131.7
0136/005,962 BATTERY ST,962 BATTERY ST,94111,"962 BATTERY ST
San Francisco, CA 94111
(37.800273, -122.4014)",18267,Office,http://propertymap.sfplanning.org/?&search=0136/005,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,82,42.9,105.2,-34.3,-34.3,59.9,3.3,43.2,105.4,88,35.3,89.1,-42.8,-42.8,47.2,2.6,38.8,92.7,79,41.4,109.5,-30.9,-30.9,56.6,3.1,42.5,110.7
3735/012,Hawthorne Plaza - 95 Hawthorne,95 HAWTHORNE ST,94105,"95 HAWTHORNE ST
San Francisco, CA 94105
(37.784845, -122.398064)",107275,Office,http://propertymap.sfplanning.org/?&search=3735/012,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Exempt - LEED EBOM,77,57.4,,-28.8,,445.29,,56.8,,88,53.3,121.7,-42.4,,420.21,,52.8,121.1,87,52,115,-40.7,-40.7,384.4,3.6,52.1,115.1,87,49,113,-40.5,-40.5,369,3.4,50.3,113,84,50.1,106.3,-36.5,-36.5,363.9,3.4,51.4,107.6
4227/034,1234 INDIANA ST,1234 INDIANA ST,94107,"1234 INDIANA ST
San Francisco, CA 94107
(37.754784, -122.390877)",15161,Office,http://propertymap.sfplanning.org/?&search=4227/034,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,49,35.6,79.2,0.6,0.6,37.3,2.5,35.7,79.3,47,35.4,78.4,2.9,2.9,37,2.4,36.4,79.4,52,33.4,75.9,-2.4,-2.4,35.3,2.3,33.8,76.1
0292/001,111 Sutter Street,111 SUTTER ST,94104,"111 SUTTER ST
San Francisco, CA 94104
(37.79, -122.402557)",286357,Office,http://propertymap.sfplanning.org/?&search=0292/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Exempt - LEED EBOM,82,66.8,,-34.5,,1442.8,,64.4,,85,67.4,163.8,-37.8,,1465.42,,65.5,161.7,88,59.9,138.9,-42.8,-42.8,1206.3,4.2,60.1,139.2,91,53.1,128.6,-46.7,-46.7,1091.9,3.8,56.5,132.1,92,52.3,125.4,-48.6,-48.6,1069.4,3.7,54.3,127.6
3957/004,350 Rhode Island Street,350 Rhode Island St - SOUTH,94103,"350 Rhode Island St SOUTH
San Francisco, CA 94103
(37.766063, -122.402745)",204740,Office,http://propertymap.sfplanning.org/?&search=3957/004,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - Tenant Turnover,Complied,,Complied,,11/15/2012,Exempt - LEED EBOM,33,88.8,,19,,989.32,,88.8,,,,,,,,,,,,,,,,,,,,100,30.2,52,-75.8,-75.8,384.4,1.9,31.7,53.5,100,29.2,48.9,-77.5,-77.5,368.4,1.8,29.7,49.4
3701/059,Hotel Whitcomb,1215 MARKET ST,94103,"1215 MARKET ST
San Francisco, CA 94103
(37.778373, -122.415199)",290000,,http://propertymap.sfplanning.org/?&search=3701/059,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,4/1/2014,Did Not Comply,89,52.4,,-37.2,,1082.82,,52.4,,,,,,,,,,,59,49.1,100.7,-8.2,-8.1,993.2,3.4,49.1,100.7,68,40.7,84.4,-15.7,-15.7,791.6,2.7,41.6,87.1,,,,,,,,,
4812/037,1250 VAN DYKE AVE,1250 VAN DYKE AVE,94124,"1250 VAN DYKE AVE
San Francisco, CA 94124
(37.725286, -122.385598)",20500,,http://propertymap.sfplanning.org/?&search=4812/037,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3706/074,Westin San Francisco Market Street,50 3RD ST,94103,"50 3RD ST
San Francisco, CA 94103
(37.786891, -122.402807)",525313,,http://propertymap.sfplanning.org/?&search=3706/074,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Complied,88,50.1,137.3,-36.3,-36.3,2138.4,4.1,50.5,137.7,87,50,137.6,-35.6,-35.6,2138.4,4.1,50.7,139.2,90,47.3,131.3,-38.6,-38.5,2033.5,3.9,47.5,131.5,,,,,,,,,,,,,,,,,,
0283/022,640 SUTTER ST,640 SUTTER ST,94108,"640 SUTTER ST
San Francisco, CA 94108
(37.788919, -122.411087)",101662,Hotel,http://propertymap.sfplanning.org/?&search=0283/022,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,62,79.9,134.2,-9.8,-9.8,531.9,5.2,79.9,134.2,61,72.2,126.6,-9.1,-9.1,485.5,4.8,73.4,127.9,59,77.2,131.2,-7.7,-7.7,518.9,5.1,77.2,131.2
0306/199,441 MASON ST,501 Post Street,94102,"501 Post Street
San Francisco, CA 94102
(37.788083, -122.41008)",115722,Hotel,http://propertymap.sfplanning.org/?&search=0306/199,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,38,56.3,139.4,10.4,10.4,472.3,4.1,56.3,139.4,38,52.6,131.2,11,11,442.9,3.8,52.6,131.2,39,53.1,131.7,10.2,10.2,446,3.9,53.1,131.7
0310/019,177 Post Street Associates,177 POST ST,94108,"177 POST ST
San Francisco, CA 94108
(37.788751, -122.404804)",67390,Office,http://propertymap.sfplanning.org/?&search=0310/019,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Did Not Comply,97,30.8,,-61.3,,181.33,,30.3,,86,46.7,156,-41.1,,274.8,,46.7,156,86,41.5,130.2,-39.8,-39.8,245.6,3.6,41.5,130.2,84,41.1,129.1,-36.6,-36.6,226,3.4,40.3,126.4,84,41.1,129,-37.6,-37.6,225.7,3.3,40.5,127.1
0312/004,C&W GMIC 720 Market,720 MARKET ST,94108,"720 MARKET ST
San Francisco, CA 94108
(37.787325, -122.403885)",42890,Office,http://propertymap.sfplanning.org/?&search=0312/004,Complied,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Exempt - ENERGY STAR,,,,,,,,,,88,47.6,116.8,-42.5,,155.83,,46.5,115.7,94,39,89.2,-53.2,-53.3,123.3,2.9,37.2,87.4,92,39.7,94.5,-48.6,-48.6,121.2,2.8,42.8,97.8,87,55.7,131.5,-41.1,-41.1,169.5,4,57.2,133
5587/004,2222 PALOU AVE,2222 PALOU AVE,94124,"2222 PALOU AVE
San Francisco, CA 94124
(37.740813, -122.40241)",44311,Non-Refrigerated Warehouse,http://propertymap.sfplanning.org/?&search=5587/004,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,,,,,,,,,,97,10.6,33.2,-73.2,-73.2,38.2,0.9,10.6,33.2,97,11.1,34,-72.5,-72.5,39.6,0.9,11.1,34,95,11.9,37,-67.8,-67.8,42.7,1,11.9,37,92,14.6,45.8,-61,-61,52.7,1.2,14.6,45.8
0271/023,635 PINE ST,635 PINE ST,94108,"635 PINE ST
San Francisco, CA 94108
(37.791409, -122.406505)",45749,,http://propertymap.sfplanning.org/?&search=0271/023,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,11/15/2012,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0646/012,1554 VAN NESS AVE,1554 VAN NESS AVE,94109,"1554 VAN NESS AVE
San Francisco, CA 94109
(37.790077, -122.422193)",44402,,http://propertymap.sfplanning.org/?&search=0646/012,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068/002,2950 GEARY BLVD,2950 GEARY BLVD,94118,"2950 GEARY BLVD
San Francisco, CA 94118
(37.782084, -122.450847)",10633,Retail Store,http://propertymap.sfplanning.org/?&search=1068/002,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,43.7,109.5,-4.2,-4.3,36,3.4,41.5,107.2,,33.2,94.7,-17.2,-17.2,27.4,2.6,33.2,94.7,,36.3,94.2,-17.7,-17.7,28.6,2.7,37.8,95.8
3548/031,Walden House,1885 MISSION ST,94103,"1885 MISSION ST
San Francisco, CA 94103
(37.766848, -122.419839)",25543,,http://propertymap.sfplanning.org/?&search=3548/031,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - Vacant,4/1/2013,Complied,,,,,,,,,,98,27.3,59.4,-63.8,,50.1,,26.3,58.3,98,24.8,57.9,-64.7,-64.7,47.1,1.8,23.5,56.5,100,18.1,45.5,-73,-73,33.8,1.3,18.1,45.5,,,,,,,,,
0130/039,649 GREEN ST,649 GREEN ST,94133,"649 GREEN ST
San Francisco, CA 94133
(37.79942, -122.409739)",19319,,http://propertymap.sfplanning.org/?&search=0130/039,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5237/039,1241 EVANS AVE,1241 EVANS AVE,94124,"1241 EVANS AVE
San Francisco, CA 94124
(37.739203, -122.381836)",24000,,http://propertymap.sfplanning.org/?&search=5237/039,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051/039,2511 BUSH ST,2511 BUSH ST,94115,"2511 BUSH ST
San Francisco, CA 94115
(37.78631, -122.439045)",32000,,http://propertymap.sfplanning.org/?&search=1051/039,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0259/029,315 Montgomery Street,315 MONTGOMERY ST,94104,"315 MONTGOMERY ST
San Francisco, CA 94104
(37.792433, -122.402696)",246955,Office,http://propertymap.sfplanning.org/?&search=0259/029,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Exempt - LEED EBOM,82,66.9,,-34.3,,1418.83,,67.2,,81,67.8,166.4,-33.2,,1438.35,,65.5,165.2,79,68.1,158.4,-30.9,-30.9,1263.9,5.1,68.1,158.1,89,55.3,125.8,-44,-44,1021.5,4.1,56.9,127.7,88,58.8,134.9,-42.8,-42.8,1087.6,4.4,58.8,134.9
0267/010,Adam Grant Building,114 SANSOME ST,94104,"114 SANSOME ST
San Francisco, CA 94104
(37.791412, -122.400806)",179703,Office,http://propertymap.sfplanning.org/?&search=0267/010,Violation - Did Not Report,,Complied,,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Did Not Report,,Complied,,4/1/2014,Exempt - LEED EBOM,92,56,,-49.8,,789.09,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,40.7,100.7,-63.9,-63.9,530.4,3,42.4,102.5
0690/016,1355 SUTTER ST,1355 SUTTER ST,94109,"1355 SUTTER ST
San Francisco, CA 94109
(37.787503, -122.422161)",82250,,http://propertymap.sfplanning.org/?&search=0690/016,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,48,78.5,181.3,2.2,2.2,453.5,5.5,78.8,181.6,43,80,185.4,7.6,7.6,462.9,5.6,83.7,189.3,,,,,,,,,
4347A/004,FedEx Processing Center,1875 Marin St,94124,"1875 Marin St
San Francisco, CA 94124
(37.748481, -122.394614)",112054,,http://propertymap.sfplanning.org/?&search=4347A/004,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Violation - Did Not Report,,4/1/2014,Complied,,,,,,,,,,92,21.8,56.6,-55.4,-55.4,181,1.6,21.8,56.6,92,20.1,55.9,-55.8,-56,184.4,1.6,20.1,55.9,91,19.8,59,-53.2,-53.2,176,1.6,19.8,59,,,,,,,,,
0267/015,235 Pine,235 PINE ST,94104,"235 PINE ST
San Francisco, CA 94104
(37.792192, -122.400322)",222853,Office,http://propertymap.sfplanning.org/?&search=0267/015,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Exempt - ENERGY STAR,97,39.1,,-56.9,,761.41,,38.4,,97,35.8,94.6,-57.4,,703.3,,35.8,94.6,95,40,100.7,-54.3,-54.3,785.4,3.5,40,100.7,91,45.1,121.2,-45.6,-45.6,644.8,3.5,47.3,123.4,93,44.3,114.4,-48.9,-48.9,626.3,3.4,45.5,115
0327/004,39 STOCKTON ST,39 STOCKTON ST,94102,"39 STOCKTON ST
San Francisco, CA 94102
(37.786222, -122.406327)",11469,,http://propertymap.sfplanning.org/?&search=0327/004,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0260/008,354 Pine Street LLC,348 PINE ST,94104,"348 PINE ST
San Francisco, CA 94104
(37.791988, -122.40187)",22694,Office,http://propertymap.sfplanning.org/?&search=0260/008,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,73,59.4,102.8,-24,-24,84.1,3.7,59.7,103,75,54.4,96,-26.7,-26.7,77.5,3.4,57.8,99.6,76,55.5,95.5,-28,-28,78.4,3.5,56.5,96.6
5315/051,2000 Oakdale Ave,2000 OAKDALE AVE,94124,"2000 OAKDALE AVE
San Francisco, CA 94124
(37.739028, -122.398136)",37000,,http://propertymap.sfplanning.org/?&search=5315/051,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Exempt,Exempt - Change of Ownership,Violation - Did Not Report,,4/1/2013,Complied,,,,,,,,,,88,6.5,15,-54.5,,17.81,,6.5,15,79,17.2,28.9,-40.1,-40,40.5,1.1,17.2,28.9,,,,,,,,,,,,,,,,,,
3759/011,800 Bryant St,498 6TH ST,94103,"498 6TH ST
San Francisco, CA 94103
(37.776226, -122.402771)",21437,Office,http://propertymap.sfplanning.org/?&search=3759/011,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,33,49.7,156.2,17.6,17.6,66.7,4.1,50.5,158.6,28,50.2,157.6,25.1,25.1,67.3,4.1,48.5,152.2,30,49.7,156,21.9,21.9,66.6,4.1,48.7,153.1
3707/014,"79 New Montgomery, LLC",77 NEW MONTGOMERY ST,94105,"77 NEW MONTGOMERY ST
San Francisco, CA 94105
(37.787661, -122.40073)",147509,College/University,http://propertymap.sfplanning.org/?&search=3707/014,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,62.2,,-35.9,,709.34,,58.8,,,56.7,140,-45.5,,640.23,,54.9,141.5,,59.3,131.2,-50,-50,633.7,4.3,59.8,131.7,,52.2,116.9,-55.5,-55.5,533.7,3.6,59.9,125.1,,45.8,105.7,-59.8,-59.8,474.3,3.2,48.7,108.7
3280/018,1990 OCEAN AVE,1990 OCEAN AVE,94127,"1990 OCEAN AVE
San Francisco, CA 94127
(37.725983, -122.464115)",76854,,http://propertymap.sfplanning.org/?&search=3280/018,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0504/012,Buena Vista Motor Inn,1595 LOMBARD ST,94123,"1595 LOMBARD ST
San Francisco, CA 94123
(37.800886, -122.427469)",28800,,http://propertymap.sfplanning.org/?&search=0504/012,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Complied,,,,,,,,,,52,56.8,103.6,-1.8,,107.88,,56.5,102.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
4023/005,2001 Bryant Street,2001 BRYANT ST,94110,"2001 BRYANT ST
San Francisco, CA 94110
(37.761508, -122.41009)",14700,Office,http://propertymap.sfplanning.org/?&search=4023/005,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,97,39.6,80.4,-66.4,-66.4,40.4,2.7,39.7,80.7,99,24.5,51.1,-72.7,-72.7,24.2,1.6,29.9,56.7,85,36.4,93,-37.8,-37.8,39.4,2.7,38.1,94.7
0209/005,838 GRANT AVE,838 GRANT AVE,94108,"838 GRANT AVE
San Francisco, CA 94108
(37.794758, -122.406405)",62370,,http://propertymap.sfplanning.org/?&search=0209/005,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Complied,,Complied,,Violation - Did Not Report,,11/15/2012,Complied,,,,,,,,,,,,,,,,,,,,19.2,55.3,-55.1,-55.1,93.5,1.5,19.3,55.4,,17.3,50.2,-59.3,-59.3,84.5,1.4,17.8,51.4,,,,,,,,,
3763/015,444 BRYANT ST,444 BRYANT ST,94107,"444 BRYANT ST
San Francisco, CA 94107
(37.782219, -122.394688)",20815,,http://propertymap.sfplanning.org/?&search=3763/015,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3763/015B,450 BRYANT ST,448 BRYANT ST,94107,"448 BRYANT ST
San Francisco, CA 94107
(37.782117, -122.39482)",7600,,http://propertymap.sfplanning.org/?&search=3763/015B,Complied,,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Vacant,4/1/2017,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0268/017,MIREF 250 Montgomery LLC,250 MONTGOMERY ST,94104,"250 MONTGOMERY ST
San Francisco, CA 94104
(37.791521, -122.402509)",130326,,http://propertymap.sfplanning.org/?&search=0268/017,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - Change of Ownership,4/1/2014,Complied,,,,,,,,,,84,47.5,115.5,-37.8,,470.13,,46.9,114.8,88,48.2,113.6,-43.4,-43.4,470.3,3.6,48.4,113.8,88,51.1,128.7,-42,-42,486.9,3.7,53.3,130.9,,,,,,,,,
0342/004,972 MARKET ST,972 MARKET ST,94102,"972 MARKET ST
San Francisco, CA 94102
(37.7827, -122.409715)",11530,,http://propertymap.sfplanning.org/?&search=0342/004,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,4/1/2015,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449/022,GGCC Building,378 18TH AVE,94121,"378 18TH AVE
San Francisco, CA 94121
(37.780941, -122.477281)",17900,Worship Facility,http://propertymap.sfplanning.org/?&search=1449/022,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Pending,,,,,,,,,,,,,,,,,,,,23.8,62.3,-11.9,-11.9,31.7,1.8,23.5,61.9,,22.2,59.3,-16.1,-16.1,29.9,1.7,22.8,59.9,,21,54.6,-22.8,-22.8,27.9,1.6,21,53.9
3762/003,428 3RD ST,428 3RD ST,94107,"428 3RD ST
San Francisco, CA 94107
(37.782294, -122.39704)",10800,Other - Services,http://propertymap.sfplanning.org/?&search=3762/003,Exempt,Exempt - SqFt Not Subject This Year,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,34.2,80,-20.3,-20.3,30.6,2.6,34.3,80.2,,27.1,70.1,-30.2,-30.2,21.7,2,28.9,72,,29,71,-29.2,-29.2,22.6,2.1,29.4,71.6
