"company","pro"
"LabCorp",",Rewarding career by helping patients indirectly."
"LabCorp",",saving lives"
"LabCorp",",Managers do not micro manage, great people."
"TD Bank","quarterly bonuses pending on sales goals."
"TD Bank",",Fun"
"TD Bank",",Team atmosphere, benefits, proximity to other departments and growth potential"
"TD Bank",",very close to the people you work with, develop great relationships with co workers and customers"
"TD Bank",",Atmosphere"
"TD Bank",",career growth/investing in human capital"
"TD Bank",",Benefits, pay, flexibility"
"TD Bank",",PTO, work with great people"
"TD Bank",",Friendly environment"
"TD Bank",",PART-TIME PTO BENEFITS"
"TD Bank",",great advancement opportunity when managers are receptive to employee needs."
"TD Bank",",free checking account"
"Huawei","Nil"
"Huawei",",free lunch, free transport"
"Huawei",",NONE"
"Huawei",",There were no pros"
"Huawei",",Meh......."
"Huawei",",Extemely innovative culture"
"Huawei",",Great team communication for multi-work-sites."
"Huawei",",People"
"Swift Capital","Short Commute, Paid, Elevator"
"Swift Capital",",Free Lunches"
"Groupon","Great Management"
"Groupon",",Unlimited vacation"
"Groupon",",Working from home"
"Groupon",",Culture"
"Groupon",",Working in Jammies!"
"Groupon",",Free soda, tea, coffee."
"Groupon",",drinks, cool people, track jackes"
"Groupon",",It's great, Lot's of talent here and great people to work with"
"Groupon",",N/A"
"Groupon",",FUN FUN FUN"
"Groupon",",Work Life Balance, Flexibility of hours, Co-Workers"
"Groupon",",Company providing appreciation for efforts."
"Groupon",",Looks good on a resume"
"Groupon",",Great atmosphere, when things are good. Room to advance in company."
"Frontier Communications","There is potential for growth and entry level work seems to be growing."
"Frontier Communications",",Great work atmosphere"
"Frontier Communications",",Decent wages, monthly free lunch."
"Frontier Communications",",great hrs, pay is great"
"Frontier Communications",",Co workers were great . Management was very understanding ."
"Frontier Communications",",fun environment at all times"
"Frontier Communications",",Company is expanding slowly"
"Frontier Communications",",Pay, benifits, great environment"
"Frontier Communications",",Benefits"
"Frontier Communications",",Full time work, full time pay, and benefits."
"Frontier Communications",",Good pay and benefits"
"Frontier Communications",",Oppurtunities to meet customers first hand along with community leaders. The ability to supervise, mentor and coach new and current employees."
"Frontier Communications",",great prizes"
"Frontier Communications",",Flexible with working hours"
"AT&T","Benefits, set hours, competitive pay, safe enviroment, possible volunteer OT, Tenor, Awards and training, Union, pretty easy work!"
"AT&T",",Benefits, opportunity for advancement, trained to be the best in customer service"
"AT&T",",work from home 2 days a week"
"AT&T",",benefits, co-workers"
"AT&T",",discount on AT&T services"
"AT&T",",Benefits"
"AT&T",",fun work place"
"AT&T",",free donuts"
"AT&T",",trips., money prize, and free lunch at time"
"AT&T",",Leadership and Direction"
"AT&T",",Classes to be a Telephone Technician, continuous training on new testing systems."
"AT&T",",pay"
"Yelp","Free food"
"Yelp",",Great coworkers, awesome events."
"Yelp",",breaks, ping pong, outings"
"Yelp",",Fully stocked kitchen, stress relief resources like ping pong tables, lounges, couches, TV. Upward mobility for those who work for it. Close knit"
"Yelp",",Free lunches on Fridays, free healthy snacks and drinks"
"Yelp",",Free lunch, post-work beers"
"Yelp",",Free breakfast and lunch. Great Culture and people"
"Yelp",",Food, Healthcare, Flexible Schedule, Remote Work"
"Yelp",",Free drinks, snacks, good benefits"
"Yelp",",Benefits, Free Snacks and Pool table"
"Yelp",",free food, music, dress code, healthcare"
"Yelp",",Free Lunches, Healthcare"
"Yelp",",Free snacks and basic meal ingredients"
"PerkinElmer","friendly coworkers that help get the job done"
"PerkinElmer",",Large Company, low amounts of responsibility"
"PerkinElmer",",free lunch, company car"
"PerkinElmer",",Company Vehicle"
"PerkinElmer",",good to employes"
"PerkinElmer",",Benefits"
"PerkinElmer",",Great Work/Life Balance. Work independent"
"PerkinElmer",",none"
"PerkinElmer",",Lunch-cellphone-car-gas dealing with customers problems."
"PerkinElmer",",Good products, smart people"
"PerkinElmer",",with such high attrition, they don't have layoffs"
"PerkinElmer",",Being in a management team that was superior to any other I had experienced."
"PerkinElmer",",free coffee!"
"PerkinElmer",",It's a job"
"ExxonMobil","Care about you."
"ExxonMobil",",Breaks whenever, eat whenever."
"ExxonMobil",",401k and Pension"
"ExxonMobil",",steady hours"
"ExxonMobil",",good place to work"
"ExxonMobil",",You get a lunch break and breaks during the day"
"ExxonMobil",",work all I want"
"ExxonMobil",",Great co-workers, stress free job"
"ExxonMobil",",good people"
"ExxonMobil",",offered benefits, got to meet some famous people that stopped there."
"Realogy","Nice modern facility"
"Realogy",",Open door policy at all levels - great code of ethics"
"Realogy",",Free coffee, beautiful gym, great location in Madison."
"Realogy",",There is a full service cafeteria and fitness center on site"
"Realogy",",Work Life balance"
"Realogy",",Fun working environment; coffee breaks"
"Realogy",",can't say"
"Realogy",",able to work from home one day a week"
"Realogy",",Nice environment and people"
"Realogy",",great life-work balance"
"Realogy",",Nice working environment"
"Corning","Breaks"
"Corning",",communicating with team members"
"Corning",",People are nice in general"
"Corning",",Short commute"
"Corning",",Well paid, advanced thru the system; at the plant it was the best job"
"Corning",",pays the bills"
"Corning",",People"
"Corning",",Income, people, location"
"Corning",",paid lunches and breaks"
"Corning",",Great pay, yearly monetary reward, good benefits for workers"
"Corning",",benefits"
"American Express","Good benefits, good people to work with (mostly)"
"American Express",",Flexibility"
"American Express",",Great workplace culture in theory and potentially in practice"
"American Express",",All Pros"
"American Express",",paid vacation"
"American Express",",great benefits."
"American Express",",great benefits, fair pay, work from home"
"American Express",",Great place to work with"
"American Express",",Really pushed to honor employees!"
"American Express",",Fun but professional work environment"
"American Express",",good work environment"
"American Express",",Positive employees/staff"
"Preqin","Great work/life balance. Everyone gets along"
"Capco","Flat organization, accountability, management accessibility, 360 feedback"
"Capco",",Very fun environment, Capco Events, Holiday Parties"
"Capco",",High pay"
"Capco",",fun job"
"Capco",",Outstanding people"
"Capco",",meaningful work, benefits - 401k"
"Capco",",Fun work environment"
"American Systems","Dedicated professionals"
"American Systems",",ESOP and 401k"
"American Systems",",People all around were great"
"American Systems",",All accomidations provieded by employer"
"American Systems",",no nights, weekends, or holidays"
"American Systems",",Great people, easy to work with"
"American Systems",",Company Picnics"
"American Systems",",Flexible Schedules and opportunities"
"American Systems",",Fun Enviroment"
"Collabera","Free Breakfast, Great Work culture"
"Collabera",",short distance to work"
"Collabera",",Good Pay, Good Communication, Good Connections with Employers"
"Collabera",",None"
"Collabera",",Recognition for job excellence"
"Collabera",",Free snacks in office"
"Teva Pharmaceuticals","Time flexible"
"Teva Pharmaceuticals",",compensation"
"Teva Pharmaceuticals",",benefits"
"Teva Pharmaceuticals",",If there is overtime on weekend they always give free breakfat."
"Teva Pharmaceuticals",",Decent pay"
"Teva Pharmaceuticals",",No free lunchs"
"Teva Pharmaceuticals",",flexible schedule"
"Teva Pharmaceuticals",",Free drinks"
"Metabolon","Good growth, more volume of work"
"Metabolon",",Great benefits"
"Time Inc","Free snacks, 20 vacation days"
"Time Inc",",Free magazine and food."
"Time Inc",",Great insurance benefits, 401k, vacation and holidays"
"Time Inc",",Job security"
"Time Inc",",Intellectual stimulation"
"Time Inc",",Game room"
"Time Inc",",Good benefits"
"Time Inc",",management, diversity, opportunity"
"Time Inc",",Decent benefits"
"Time Inc",",Time Inc. is a great company with many of the top magazines in the world."
"Time Inc",",Great Benefits, Great people to work with."
"Oliver James Associates","Found first position pretty quickly"
"INCEDO","Friendly peers"
"INCEDO",",Good Environment"
"2K Games","Friendly work enviornment, nice office, casual enviornment, well managed"
"2K Games",",Many perks; met awesome people"
"2K Games",",Had pot locks on fridays"
"2K Games",",You get to play games all day"
"Citi","Flexiable schedule"
"Citi",",gym, caffeteria, and lots of other bonuses"
"Citi",",stable, professional environment"
"Citi",",Great place to work."
"Citi",",bonuses"
"Citi",",Saved more than $100, 000 in revenue and fee income within a 1 year period."
"Citi",",Large facility, lots of walking in IT! Good teammates and manager."
"Citi",",Recognition Programs"
"Citi",",Promotional Opportunites"
"Citi",",Good place to gain experience."
"Citi",",Dealing wit customers, helping customers"
"Cisco","free lunches"
"Cisco",",Flexible boss"
"Cisco",",Learning"
"Cisco",",Good benefits and compensation"
"Cisco",",Work life balance is good"
"Cisco",",Work at home"
"Cisco",",Telecommuting, Benefits, Learning opportunities, Smart and friendly people"
"Cisco",",Fantastic work/life balance"
"Cisco",",work/home balance"
"Public Consulting Group","We weren't micro-managed and were given the trust to complete our work."
"Public Consulting Group",",it was only four hours a day."
"Public Consulting Group",",Great teams - Call Center is fantastic."
"Public Consulting Group",",No need to clock in, nice coworkers"
"Public Consulting Group",",Very flexible when you need time off, great supervisors, easy to get time off"
"Public Consulting Group",",Compensation and benefits"
"Public Consulting Group",",Yearly and Christmas bonus and yearly pay increase"
"Public Consulting Group",",Great staff and benefits."
"Public Consulting Group",",They don't fire you, but believe me you will fire yourself."
"Public Consulting Group",",People are nice and patient in training. Sometimes we have potlucks. Health insurance on day one."
"Public Consulting Group",",quarterly bonuses.... if you were the bosses favorite"
"Union Bank","Pay is higher than industry average"
"Union Bank",",Pay was decent, great hours"
"Union Bank",",Nice people"
"Union Bank",",pay, coworkers"
"Union Bank",",Solid Institution"
"Union Bank",",Customers, Benefits, Great Staff"
"Union Bank",",great bebefuts"
"Department of Mental Health and Hygiene","Friendly workplace"
"Department of Mental Health and Hygiene",",Pension if you stay for your entire career"
"Department of Mental Health and Hygiene",",Experience working in the epidemiology department"
"Department of Mental Health and Hygiene",",Great people."
"Move, Inc.","Self motivators can make a lot of money"
"Move, Inc.",",Positive work enviroment"
"Move, Inc.",",nice place to work"
"Move, Inc.",",Worked on my own time. Loved the product"
"Move, Inc.",",good pay"
"Move, Inc.",",free food many times"
"Move, Inc.",",none"
"Move, Inc.",",Commissions, if you can get a good book and keep what you close"
"Move, Inc.",",none"
"Move, Inc.",",hours."
"Move, Inc.",",special luncheon days good bonus structure"
"Move, Inc.",",Great people to work with"
"Move, Inc.",",Hours, pay, holidays off, culture, snacks, work-life balance"
"Magellan Health Services","Very straight forward"
"Magellan Health Services",",Good team"
"Magellan Health Services",",Great coworkers, nice office building"
"Magellan Health Services",",excellent hours and good benefits"
"Magellan Health Services",",Big company"
"Magellan Health Services",",Great management and coworkers"
"Magellan Health Services",",Free Hot Beverages Great Location"
"Magellan Health Services",",Pay and benefits"
"Magellan Health Services",",communication"
"Magellan Health Services",",Work Life Balance/Was able to work from home."
"Magellan Health Services",",None"
"Magellan Health Services",",good time off benefits"
"Magellan Health Services",",Friday casual day, pot lucks, and celbrations of holidays"
"Magellan Health Services",",Set hours"
"Northwell Health","Benefits"
"Northwell Health",",no"
"Northwell Health",",Great benefits"
"Northwell Health",",Continuing education, ability to grow in your career, service excellence"
"Northwell Health",",Great pay, Great hours, Great group of co-workers."
"Northwell Health",",Lots of resources"
"Northwell Health",",Welcoming environment"
"Northwell Health",",Good $ for the position, pto, health care"
"Northwell Health",",room for advancement"
"Northwell Health",",Employees"
"Gap Inc. Corporate","Fun, gold employee discount, friendly coworkers"
"Gap Inc. Corporate",",Positive energy and receives a fair amount of time off if needed"
"Mainz Brady Group","Good releationship with clients"
"Mainz Brady Group",",Rate is okay"
"Mainz Brady Group",",nice office"
"National Renewable Energy Laboratory","The facilities, the campus, the flexible working schedules, good salaries, good benefits"
"National Renewable Energy Laboratory",",love the job"
"National Renewable Energy Laboratory",",benefits, work-life balance, beautiful campus in Colorado, great mission"
"National Renewable Energy Laboratory",",Close to home"
"National Renewable Energy Laboratory",",Just about everything"
"National Renewable Energy Laboratory",",Excellent work facilities."
"National Renewable Energy Laboratory",",Good benefits intelligent people"
"National Renewable Energy Laboratory",",authorship on publications, valuable experience"
"National Renewable Energy Laboratory",",work life balance"
"National Renewable Energy Laboratory",",Good benefits."
"Accenture","Salary on par with industry"
"Accenture",",Taco Tuesday, happy hours and lots of activiites"
"Accenture",",Solid Work Life Balance, Benefits, ESPP"
"Accenture",",Option for monthly incentive programs, and daily contest to earn additional income"
"Accenture",",Health and retirement benefits"
"Accenture",",Good pay"
"Accenture",",management wasn't always at your desk"
"Accenture",",Great compensation and benefits"
"Accenture",",Regular hours"
"Verizon","pay"
"Verizon",",Greatly compensated, vacation time, sick time"
"Verizon",",awesome benefits, 1 hour lunch breaks, good hours"
"Verizon",",Can work from home"
"Verizon",",comaradery"
"Verizon",",Great job, benefits"
"Verizon",",Great pay"
"Verizon",",Excellent employee culture, Great corporate citizen, Good work/life balance, Great employer for Parents, Fully reimbursed corporate travel."
"Verizon",",Great compensation and recognition"
"Verizon",",Great Team, compensation"
"Verizon",",Culture, job environment, employee engagement"
"Verizon",",Fun and Flexible"
"Verizon",",Excellent pay and benefits, dynamic atmosphere"
"Bridgepoint Education","Team events"
"Bridgepoint Education",",Nice Coworkers, nice building."
"Bridgepoint Education",",Decent Benefits"
"Bridgepoint Education",",Free Eco Pass, Decent Wage"
"Bridgepoint Education",",Location"
"Bridgepoint Education",",location"
"Bridgepoint Education",",Good pay and compensation"
"Bridgepoint Education",",Work, life, balance"
"Bridgepoint Education",",Flexible schedule in some departments"
"Bridgepoint Education",",co-workers, and students"
"Bridgepoint Education",",Good hours for breaks and pay"
"Bridgepoint Education",",work life balance, amazing people to work with, great mission to be a part of"
"Sonos, Inc","A lot of challenging work to do, lots of autonomy to do good work while collaborating with smart, music-obsessed co workers"
"Sonos, Inc",",Benefits, provided lunches, great environment, exempt employment"
"McKinsey & Company","Benefits, free lunches on Friday's"
"McKinsey & Company",",Top Notch Company and Staff."
"McKinsey & Company",",Free Fiday Lunch"
"McKinsey & Company",",Learnings, People. Pay"
"McKinsey & Company",",A lot of snacks"
"McKinsey & Company",",Amazing benefits, amazing people, inspirational"
"McKinsey & Company",",benefits, good for resume"
"McKinsey & Company",",Great Hotel contacts, membership cards with different hotels, great work hours, loved my work"
"3M","great benefits"
"3M",",Lots of breaks good pay"
"3M",",no lunch break required"
"3M",",pay"
"3M",",better than minimum wage"
"3M",",Laid back"
"3M",",Experience with a large organization which is a world leader in the industry."
"3M",",Free lunches"
"3M",",3 day shifts 12 hours a day"
"3M",",N/a"
"3M",",Pay and benefits"
"3M",",Nice people to work with"
"Facebook","Great atmosphere and great coworkers and understanding management"
"Facebook",",Free Breakfast, Lunch, and Dinner as well as snacks provided"
"Facebook",",Free lunch"
"Facebook",",Free lunch, scooters"
"Facebook",",great to their employees"
"Facebook",",free lunch"
"Facebook",",EVERYTHING"
"Facebook",",it is whenever timing"
"Facebook",",Free food everyday, housing and outings"
"Facebook",",free food"
"TAMKO","Compensation and benefits"
"TAMKO",",Excellent Leadership, Outstanding Culture, Strong Advancement opportunities"
"TAMKO",",Pay"
"TAMKO",",Great pay, benefits and advancement opportunity"
"TAMKO",",Salary, rotating work schedule, scheduled for 16 days each month 15 off days, fixed so once each month you had 7 consecutive days off"
"TAMKO",",Good pay"
"TAMKO",",Comp"
"TAMKO",",Good compensation"
"TAMKO",",pay, benefits"
"TAMKO",",great pay and benefits"
"TAMKO",",Benefits and paid lunches"
"TAMKO",",They let you work like it's your business. They are very supportive, and communicate well."
"TAMKO",",Good paying job, good people, good overtime"
"Vertex Pharmaceuticals","Work balance"
"Vertex Pharmaceuticals",",great benefits"
"Vertex Pharmaceuticals",",People within the company"
"Vertex Pharmaceuticals",",great relax enviroment"
"Vertex Pharmaceuticals",",Great to their employees"
"Vertex Pharmaceuticals",",great benefits, flexible work hours depending on your department"
"Vertex Pharmaceuticals",",lots of technologies to work with"
"Vertex Pharmaceuticals",",Nice cafeteria..........."
"Vertex Pharmaceuticals",",cafeteria in the builduing gym and so on"
"Vertex Pharmaceuticals",",beautiful new building"
"Retrofit","nothing"
"Morgan Stanley","Overtime lunches catered"
"Morgan Stanley",",Work/Life Balance"
"Morgan Stanley",",gym and cafeteria in lower lobby of building, my manager had an open door policy"
"Morgan Stanley",",Good Work Life Balance"
"Morgan Stanley",",Flexibility - work from home, no micromanaging"
"Morgan Stanley",",Excellent work environment, pay and benefits"
"Morgan Stanley",",Multple oporutnities and career paths for advancement"
"Morgan Stanley",",Peers"
"Morgan Stanley",",great benefits and comfortable work areas"
"Morgan Stanley",",culture"
"DECISIVE ANALYTICS CORPORATION","benefits"
"DECISIVE ANALYTICS CORPORATION",",Employer 401(k) contribution, Flex Hours"
"DECISIVE ANALYTICS CORPORATION",",employee owned company"
"DECISIVE ANALYTICS CORPORATION",",Community-like office environment, flexible hours, great benefits"
"DECISIVE ANALYTICS CORPORATION",",Open communications."
"DECISIVE ANALYTICS CORPORATION",",discounted tickets to sporting events (courtside seats for the wizards!), annual training meeting in exotic locations (recently the bahamas, las vegas, miami, hawaii)"
"Grant Thornton","Flexible Work Arrangements provided"
"Grant Thornton",",Good Experience"
"Grant Thornton",",Flexible work environment with a lot of potential to grow"
"Grant Thornton",",compensation"
"Grant Thornton",",work-life balance, people, modern office"
"Grant Thornton",",Paid CPA materials"
"Grant Thornton",",Free lunches, travel expense checks, people"
"Grant Thornton",",People & Culture"
"Grant Thornton",",closely knit group"
"Grant Thornton",",friendly associates"
"Grant Thornton",",flexible time off"
"Thomson Reuters","Great pay"
"Thomson Reuters",",Free coffee, recognition, celebrations with free food"
"Thomson Reuters",",Overtime, Paid haolidays, Flexible Schedule"
"Thomson Reuters",",FREE TEA"
"Thomson Reuters",",Not free lunch"
"Thomson Reuters",",Pay"
"Thomson Reuters",",Flexibility"
"Thomson Reuters",",Very diverse, monthly benefits/work from home."
"Thomson Reuters",",Benifits"
"Thomson Reuters",",Facilities, Transport, accomodation (during transition) rewards and recognitions"
"Thomson Reuters",",Great earning potential"
"aclu","MOVING TO LOW COST STATES"
"American Academy of Orthopaedic Surgeons","Benefits, work/life balance"
"American Academy of Orthopaedic Surgeons",",Only if desperate and in need of a job"
"Logic20/20","The people"
"American Electric Power (AEP)","Good Benefits"
"American Electric Power (AEP)",",Good pay"
"American Electric Power (AEP)",",Great pay and benifits"
"American Electric Power (AEP)",",Good pay and working conditions"
"American Electric Power (AEP)",",Great place to work"
"American Electric Power (AEP)",",great place to work and great co workers"
"American Electric Power (AEP)",",Very safety conscience"
"American Electric Power (AEP)",",Very good money, good people, and safe work enviroment"
"American Electric Power (AEP)",",Living in Michigan"
"American Electric Power (AEP)",",Competitive benefits, annual performance bonus, safety #1"
"American Electric Power (AEP)",",Lots of free tickets to sporting events."
"American Electric Power (AEP)",",loved helping the customers"
"Net ESolutions Corporation (NETE)","Friendly co-workers"
"Genentech","Good folks, great mission."
"Genentech",",Very collaborative."
"Genentech",",Commuter buses"
"Genentech",",Reputable, good products, pipeline, advancement potential, earning potential, benefits"
"Genentech",",Interesting work and good people"
"Genentech",",free commute"
"Genentech",",comfortable workplace environment, paid travel, living stipend, competitive pay"
"Genentech",",Good salaries, compettive benefits, nice give-backs to employees"
"Genentech",",great"
"The Aerospace Corporation","Good benefits, good pay, normal work day hours"
"The Aerospace Corporation",",Long lunches, great co workers, respectful supervisor, new learning experiences"
"The Aerospace Corporation",",Wonderful environment."
"The Aerospace Corporation",",Nice environment to work in"
"The Aerospace Corporation",",Large campus with on-campus convenience of banking, etc."
"The Aerospace Corporation",",9/0 work week"
"The Aerospace Corporation",",Nice Campus, stress free enviornment"
"The Aerospace Corporation",",Excellent Health Benefits and Employee Assistance Program"
"The Aerospace Corporation",",Friendly environment. Excellent working conditions"
"The Aerospace Corporation",",Low stress, fair, technically challenging"
"The Aerospace Corporation",",Flexible work schedule, Retirement benefits, Health Insurance, Credit Union"
"The Aerospace Corporation",",Always professional, above board, great training and education"
"The Aerospace Corporation",",Always professional, above board, great training and education"
"The Aerospace Corporation",",Focus on learning"
"The Aerospace Corporation",",RDO"
"Children's Hospital of Philadelphia","Just a great place to work and very inspiring"
"Children's Hospital of Philadelphia",",Caring clinical staff"
"Children's Hospital of Philadelphia",",Free Parking"
"Children's Hospital of Philadelphia",",Compensation comenserable with experience"
"Children's Hospital of Philadelphia",",Good Pay"
"Children's Hospital of Philadelphia",",Welcoming environment"
"Children's Hospital of Philadelphia",",Wonderful co-workers"
"Children's Hospital of Philadelphia",",Teamwork"
"Children's Hospital of Philadelphia",",Healthplan is good and so are other benefits"
"Children's Hospital of Philadelphia",",company perks movie ticket etc."
"Children's Hospital of Philadelphia",",Free lunches"
"Children's Hospital of Philadelphia",",The experience is priceless"
"SAS Institute","Good Benefits"
"SAS Institute",",free M&M's"
"SAS Institute",",great benefits, work/life balance, bonuses, pay"
"SAS Institute",",Benefits"
"SAS Institute",",Good benefits, free bevarage and snacks"
"SAS Institute",",Lovely campus, convenient & subsidized cafeterias"
"SAS Institute",",relaxed work atmosphere"
"SAS Institute",",You wont want to leave"
"SAS Institute",",daycare, fitness center, pool, basketball hoops, healthy cafe food"
"SAS Institute",",Subsidized on-site cafeterias, nice co-workers"
"PRA Health Sciences","Flexibility to work from home, updated technology, good facilities"
"PRA Health Sciences",",Remote positions"
"PRA Health Sciences",",Knowing you are helping people through clinical trials"
"PRA Health Sciences",",Company culture"
"PRA Health Sciences",",good management"
"PRA Health Sciences",",very low stress"
"PRA Health Sciences",",Beautiful building, cafeteria, big lunch rooms, beautiful ambiance"
"PRA Health Sciences",",Work from home"
"General Motors","the money was great"
"General Motors",",Full service cafeteria, casual dress code, great pay, job stabilty"
"General Motors",",Clean"
"General Motors",",Leaders appreceiate resourceful employees."
"General Motors",",pay and benefits"
"General Motors",",benefits and people"
"General Motors",",Benefits"
"General Motors",",Pay"
"General Motors",",alot of overtime"
"General Motors",",Good money"
"State Street","none"
"State Street",",Good hours and flexibility"
"State Street",",Casual business attire."
"Ipsos","Good Manager"
"Ipsos",",Overall benefit, career opportunities"
"Ipsos",",Free coffee"
"Ipsos",",Cant think of any pros"
"Ipsos",",nothing"
"Ipsos",",Flexible schedule"
"Ipsos",",work-at-home"
"Ipsos",",free breakfast on fridays and every month there is some type of party"
"Ipsos",",a lot of different events."
"Ipsos",",free annual vacation"
"Ipsos",",work is easy. attire is casual"
"Ipsos",",People"
"Ipsos",",None"
"NVIDIA","Discounted Dinners"
"NVIDIA",",Subsidized lunch"
"NVIDIA",",Nice culture"
"NVIDIA",",Very talented, hard working co-workers"
"NVIDIA",",Free dinner, on campus food, good health plan options, 401k match, ESPP"
"NVIDIA",",work from home 1 day"
"NVIDIA",",Challenging work environment, Good pay, Nice Perks"
"NVIDIA",",good experience working on Nvidia products"
"NVIDIA",",Free lunch, free admission to GTC conference"
"NVIDIA",",Very technically capable staff"
"NVIDIA",",Nice gear store"
"NVIDIA",",Free(ish) dinner at 7pm, fairly easy to get free PC games, great health insurance"
"OUTFRONT media","aggressive company"
"OUTFRONT media",",Wonderful co-workers"
"OUTFRONT media",",Commission Qtrly bonuses"
"OUTFRONT media",",Great benefits"
"OUTFRONT media",",Good benefits and perks."
"OUTFRONT media",",new learning experience dealing with outdoor adveristing."
"OUTFRONT media",",Free Coffee, Get to know events before the public knows"
"OUTFRONT media",",Flexible business hours"
"OUTFRONT media",",Small and independent work atmosphere"
"CBRE","Culture"
"CBRE",",Variety of assets managed"
"CBRE",",Great place to grow!"
"CBRE",",Nice office"
"CBRE",",Benefits, Pay, HR Dept"
"CBRE",",Was able to work from home"
"CBRE",",Online networks and training."
"CBRE",",Company suppied van"
"CBRE",",On-site, bi-weekly chair massages (employee paid), weekly dry cleaning and shoe shine services (employee paid)"
"CBRE",",Co-workers"
"Prime Therapeutics","Free Lunches"
"Prime Therapeutics",",Schedule and type of work"
"Prime Therapeutics",",Free bagels and fruit monthly."
"Prime Therapeutics",",Great employee Incentives"
"Prime Therapeutics",",Great Benefits"
"Prime Therapeutics",",team members"
"Prime Therapeutics",",Great staff"
"Prime Therapeutics",",Good pay"
"Prime Therapeutics",",Lots of projects - allows for creativity"
"Prime Therapeutics",",resources"
"Jet Propulsion Laboratory","Space exporation environment"
"Jet Propulsion Laboratory",",The work enviroment is outstanding"
"Jet Propulsion Laboratory",",Work very fulfilling, Collegues are some of the smartest people you will ever meet."
"Jet Propulsion Laboratory",",Working with Professors & Scientists."
"Jet Propulsion Laboratory",",Good salary, exciting job."
"Jet Propulsion Laboratory",",9 hr days with every other Friday off."
"Jet Propulsion Laboratory",",Flexible work hours"
"Jet Propulsion Laboratory",",You can enjoy your work by using state of the art equipments"
"Jet Propulsion Laboratory",",prestige and productive environment"
"Jet Propulsion Laboratory",",Great work enviroment"
"Jet Propulsion Laboratory",",Nice campus"
"Jet Propulsion Laboratory",",Learning"
"Jet Propulsion Laboratory",",Unique experience"
"Vantiv","solid company"
"Vantiv",",Benefits and commission"
"Vantiv",",Company more built out as far as marketing and HR than 5 years ago"
"Vantiv",",Very friendly bosses and inspiring directors."
"Vantiv",",Gained experienced on inefficient sales practices"
"Vantiv",",management, teammates, benefits"
"Vantiv",",Nice facilities"
"Vantiv",",Free lunches"
"Vantiv",",Catered Luches"
"Vantiv",",vacation time"
"Allianz Worldwide Partners","Great office, nice people, Good Benefits."
"Allianz Worldwide Partners",",it's a paycheck"
"Allianz Worldwide Partners",",Location"
"AbbVie","Great Cafeteria food"
"AbbVie",",great long term jobs"
"AbbVie",",Pharmaceutical company helping as many customer's as possible."
"AbbVie",",Pay"
"AbbVie",",Good company."
"ARGUS","Flexible work hours"
"ARGUS",",everything on time, every one works hard"
"ARGUS",",Praise from my customers"
"ARGUS",",easy work. get to be at events. concerts. conventions"
"ARGUS",",lunch"
"ARGUS",",choose your own schedule"
"ARGUS",",I get to meet new people"
"ARGUS",",cubicles"
"ARGUS",",once in a while the boss would buy us lunch."
"ARGUS",",fast, night work, mostly by yourself"
"ARGUS",",free lunches"
"Cox Automotive","Healthy snaks available daily for free"
"Cox Automotive",",Every other Sunday off plus 1 day off per week"
"Cox Automotive",",Healthcare, 401K, Conferences, people, Culture"
"Cox Automotive",",give you a laptop that you can bring home and work with"
"Cox Automotive",",Culture, Management, Technology"
"Cox Automotive",",Clean lunch facilities"
"Cox Automotive",",motorcycles in the lobby"
"Cox Automotive",",There are some nice people.."
"Cox Automotive",",None"
"Cox Automotive",",Great people, great location"
"Cox Automotive",",career growth"
"University of California - San Francisco","Mission-driven work, benefits"
"University of California - San Francisco",",open communication between labs"
"University of California - San Francisco",",Flexible hours, relaxed environment, limited responsibility, kind and experience coworkers, gathering technical experience"
"University of California - San Francisco",",Learning experience"
"University of California - San Francisco",",Free Lunches"
"University of California - San Francisco",",UC Benefits are strong."
"University of California - San Francisco",",Excellent retirement benefit."
"University of California - San Francisco",",gratitude from families whom the research helped"
"University of California - San Francisco",",Interesting work"
"University of California - San Francisco",",Benefits"
"University of California - San Francisco",",Great Pay, Great Benefits, Job Security, Work/Life Balance"
"Target","Fast, fun, friendly."
"Target",",Cool fellow employees, free food"
"Target",",Benefits, salary, experience"
"Target",",A little discount. Very good break schedule."
"Target",",We had lunch everyday and a different lil snack on our 15 min break that target provided for us"
"Target",",3 day work weeks"
"Target",",Good management"
"Target",",hours, pay"
"Target",",Safety first, respect, good pay, employee discount count for store purchase only"
"Target",",Free dinner during the holidays"
"Target",",Red cards, friendly supervisors, many employees so it's easy for someone to cover for you"
"Starbucks","Strong/fixed clientel"
"Starbucks",",Free food, free coffee, free stock, tips."
"Starbucks",",401k, full health benefits, grants, tuition reimbursement, discounts, pto, tips, advancement opportunities, fun environment"
"Starbucks",",Flexible"
"Starbucks",",Excellent Helthcare and Financial compensation benefits"
"Starbucks",",Free coffee and lunch, You make tips, Flexible work schedules, Offers great benefits, The people you meet are awesome (most of the time)"
"Starbucks",",discounted items, free pound of coffee a week!"
"Starbucks",",Free coffee"
"Starbucks",",Free coffee, Decent insurance rates, Special deals with specific companies, you'll always smell like coffee"
"Starbucks",",fun environment"
"Tremor Video","great people and culture"
"Tremor Video",",Free breakfast and sometimes free lunch"
"CareFirst BlueCross BlueShield","Health Benefits"
"CareFirst BlueCross BlueShield",",Work from home"
"CareFirst BlueCross BlueShield",",flexible work hours, work from home for permanent employees, good health benefits"
