"company","con"
"The Hartford Financial Services",",Need Great Healthcare"
"The Hartford Financial Services",",mandatory meetings, ot"
"The Hartford Financial Services",",management, benefits changing, work/life balance"
"The Hartford Financial Services",",Outside of their corporate office they need to work on diversity"
"Booz Allen Hamilton","Senior Management"
"Booz Allen Hamilton",",compensation, boring projects"
"Booz Allen Hamilton",",Compnay is still trying to figure out how it wants to manage people, it's easy to be isolated and left in the dark if not at headquarters"
"Booz Allen Hamilton",",Non that I have encountered"
"Booz Allen Hamilton",",Slow at promoting good employees, health insurance has gone down"
"Booz Allen Hamilton",",Expect to write white papers on other companies processes and abilities."
"Booz Allen Hamilton",",None"
"Booz Allen Hamilton",",Went Public and lost a lot of great people"
"Booz Allen Hamilton",",You have to be billable! Sometimes that takes the joy out of work"
"Booz Allen Hamilton",",Performance does not equal more money, very regimented growth, leadership extremely disconnected"
"EMD","Lots of travel"
"EMD",",None"
"EMD",",shift work"
"EMD",",poor communication, top heavy"
"EMD",",Commute"
"EMD",",Lack of new products, morale needs a jump start."
"EMD",",Management style is to bully and make people afraid"
"EMD",",Small Company"
"EMD",",R&D"
"Pixability","lack of transparency and marketing assistance"
"Pixability",",work day never ends, lack of product focus"
"HP","24/7 Support"
"HP",",Various breaks"
"HP",",None"
"HP",",super hard job"
"HP",",extreme workload"
"HP",",layoffs downsizing selling Divisions"
"HP",",Less job security"
"HP",",Disorganzied"
"NinthDecimal","turn over on employee"
"BNY Mellon","none"
"BNY Mellon",",No work/life balance"
"BNY Mellon",",Pay"
"BNY Mellon",",Being a contractor"
"BNY Mellon",",No OT, pay is low, they don't train employees correctly, few promotions and advancement"
"BNY Mellon",",Not a lot of room for growth"
"BNY Mellon",",Being a contractor and not having any paid benefits or, job security no matter how hard you worked."
"Spotify","short length, not enough physical interaction (imo)"
"Spotify",",temporary position not perm"
"Spotify",",None."
"Lyft Corporate","Not steady"
"Lyft Corporate",",No full coverage ins. On your car. Minimal support. No local office"
"Lyft Corporate",",Some times rude customers, no insurance, some times a little down time when actually online."
"Lyft Corporate",",the milage effects your car and so doe sthe gas, you got to pay for everything even maintance."
"Lyft Corporate",",miles on my vehicle"
"Lyft Corporate",",Too many drivers not enough riders. When its slow..best to have a backup job"
"Lyft Corporate",",sometimes you just dont have enough riders"
"Lyft Corporate",",It's not safe as it should be"
"Lyft Corporate",",long hours to make good money, VERY POOR...WAIT....NON-EXISTENT MANAGEMENT OF ISSUES AND SITUATIONS."
"Lyft Corporate",",No job security"
"Lyft Corporate",",-"
"Synchronoss","Short Breaks, Not much support from floor support"
"Synchronoss",",no vacations or hollidays or benifits"
"Synchronoss",",Less than satisfactory management, Job process has a few hiccups"
"Synchronoss",",management, unequal advancement process"
"Synchronoss",",Management"
"Synchronoss",",No cons"
"Synchronoss",",If you did not stay when management wanted you to then it was put against you., Management could have been much better, The gossip and childish behavior felt like high school (mainly from management)."
"Cal State Fullerton","Limited variety of work"
"Cal State Fullerton",",no advantsments"
"Florida Blue","Was only seasonal position"
"Florida Blue",",inadequate"
"Florida Blue",",No complaints"
"Florida Blue",",Education"
"Florida Blue",",Health care benefits"
"Florida Blue",",N/A"
"Florida Blue",",Temporary Job"
"Florida Blue",",Doral traffic"
"Florida Blue",",No job advancement"
"Wells Fargo","No flex schedule"
"Wells Fargo",",none"
"Wells Fargo",",Pay"
"Wells Fargo",",sale goals are over reaching with their reputation"
"Wells Fargo",",scripted"
"Wells Fargo",",No growth"
"Wells Fargo",",Contract job"
"Wells Fargo",",lack of career mobility"
"Wells Fargo",",pay is low"
"Purdue University","constant thinking about work afterhours"
"Purdue University",",Health insurnace is high"
"Purdue University",",A big public school, a lot of teaching as graduate student"
"Purdue University",",Pay is not worth it"
"Purdue University",",Fast, and busy"
"Purdue University",",the job it self"
"Capital One","Demanding of time, work home life balance almost non existence."
"Capital One",",can be a little stressful"
"Capital One",",DC Traffic"
"Capital One",",Healthcare, EAP"
"Capital One",",Everything."
"Capital One",",Healthcare smoking"
"Capital One",",long hours and poor managament"
"Capital One",",Managers"
"Capital One",",Time Scheduling off and work/life balancing"
"Capital One",",bad coffee"
"Capital One",",Large focus on business analysts, less focus on project & process professionals"
"Gwynnie Bee","no vacation hours. started getting sick days towards end of job."
"Gwynnie Bee",",not really a full time job, not enough hours"
"Gwynnie Bee",",Mangment doesnt communicate, they are rude and they suck"
"Gwynnie Bee",",mon thru friday instead of thurs"
"Gwynnie Bee",",Lack of IT support and basic large scale business infrastructure"
"Levi, Ray and Shoup, Inc.","No complaints."
"Levi, Ray and Shoup, Inc.",",Working from home"
"Levi, Ray and Shoup, Inc.",",Short term assignment"
"Levi, Ray and Shoup, Inc.",",like any other company some policies will add work or slow you down; however, this is going to happen anywhere you work"
"Levi, Ray and Shoup, Inc.",",i work remotely so i can't meet anyone in person!"
"Levi, Ray and Shoup, Inc.",",no employment security."
"GILT GROUPE","short breaks, no 401K contribution"
"GILT GROUPE",",No work life balance causing alarming rate of turnover in certain departments"
"GILT GROUPE",",Human interaction"
"GILT GROUPE",",Nasty no time off it stinks lousy benefits and pay and yeah it stinks"
"GILT GROUPE",",Uncertainly of company"
"GILT GROUPE",",short breaks"
"GILT GROUPE",",n/a"
"GILT GROUPE",",An hour away from home and hard to get off"
"GILT GROUPE",",dirty, dark, stuffy, hot, metal detector line, rude, think they are better than everybody."
"GILT GROUPE",",Healthcare was too pricey for what kind of coverage you received (Especially Family Coverage)"
"GILT GROUPE",",Intense work loads, poor communication, and at times rampant unprofessionalism"
"GILT GROUPE",",Jobs transferred to foreign country"
"LabCorp","short staffed all the time"
"LabCorp",",none"
"LabCorp",",management"
"LabCorp",",Management, no room for advancement."
"LabCorp",",job security is uncertain"
"LabCorp",",Too far"
"LabCorp",",Poor communication"
"LabCorp",",The care for the employees"
"LabCorp",",There was some drama among the employees sometimes."
"LabCorp",",low moral"
"LabCorp",",Lack of compensation for long tenured employees. Senior management expectations"
"TD Bank","hours are the worst, leave at 9pm at times to come in 7am the next day."
"TD Bank",",Challenging"
"TD Bank",",Some micro managemt, technology, pay is below average."
"TD Bank",",nothing"
"TD Bank",",Hours"
"TD Bank",",short breaks, up and down of customers"
"TD Bank",",Less holidays, poor management, three jobs for one pay."
"TD Bank",",SHORT BREAKS-UNREALISTIC EXPECTATIONS"
"TD Bank",",I just had a poor manager and a passive aggressive crew."
"TD Bank",",30 min lunch standing most of the day"
"Huawei","People, especially the managememt"
"Huawei",",short breaks"
"Huawei",",So many to list... Human Rights violations the largest!"
"Huawei",",If you were an American and spoke English you would only be there for a short time, managers yelled and treated their employees very bad, Chinese employees slept at their desks and rarely showered, Chinese employees had bad breath."
"Huawei",",HORRIBLE COMMUNICATION amongst each other"
"Huawei",",Middle management"
"Huawei",",required many power-point document for project status."
"Huawei",",Communist"
"Swift Capital","Management don't manage, System is not functional, Policy changes depending on management mood."
"Swift Capital",",Gossip, small and relatively new company"
"Groupon","Constant change"
"Groupon",",upper management has no real vision, So much change that it seemed like nobody ever know where the company was going"
"Groupon",",IT Technical support is very slow and not very helpful for work at home staff"
"Groupon",",Same thing day in and day out"
"Groupon",",Petty management"
"Groupon",",Lots of changes"
"Groupon",",no 401k matching, management was so-so"
"Groupon",",Company is sorting out it's business model right now"
"Groupon",",Health care"
"Groupon",",poor compensation"
"Groupon",",Poor management, lack of challenges, corporate environment"
"Groupon",",Difficulties in providing all tools needed to teams."
"Groupon",",poor management"
"Groupon",",Short breaks, petty management, and no pay"
"Groupon",",Work life balance is tough."
"Frontier Communications","Limit on the available positions posted in some states."
"Frontier Communications",",Benefits"
"Frontier Communications",",Very little compensation for off shift work which can be forced upon one by union stipulations"
"Frontier Communications",",expectations are to high quotas are ridiculous high, only half of training class survives"
"Frontier Communications",",Company itself has a lot of making up to do to its customers"
"Frontier Communications",",hours, pay and prizes"
"Frontier Communications",",Company aquired Verizon 3 state customer base then Laid off 1250 good experienced employees"
"Frontier Communications",",Strict, current lay offs"
"Frontier Communications",",Management, moving buildings, schdeules, points system"
"Frontier Communications",",Too much negativity on the line."
"Frontier Communications",",highly competitive industry"
"Frontier Communications",",Position can be time consuming and areas of responsibility fall on current position."
"Frontier Communications",",hard work"
"Frontier Communications",",Dealing with irate customers"
"AT&T","Floor mgmt, can be sneaky. Tenor."
"AT&T",",Don't really have cons as we all were affected when our office closed down."
"AT&T",",none"
"AT&T",",lack of management involvement and understanding, high attendance issues"
"AT&T",",not many"
"AT&T",",Advancement"
"AT&T",",favoritism, stressful"
"AT&T",",working nights"
"AT&T",",few slot for vacation"
"AT&T",",HQ downtown Dallas"
"AT&T",",None I can remember."
"AT&T",",free time"
"Yelp","Horrible hygiene from coworkers, no professionalism in the work place, basically a big party everyday"
"Yelp",",No opportunities for advancement"
"Yelp",",It's basically cold calling, phone sales is tough"
"Yelp",",poor management, poor planning, highly inefficient work environment"
"Yelp",",Very high pressure"
"Yelp",",cold calling"
"Yelp",",Poor communication, bad department specific culture"
"Yelp",",Pay, job itself, not a ton of room for growth. Stuck inside sales."
"Yelp",",Compensation"
"Yelp",",pay, training, management, trainers, mentor/mentee?"
"Yelp",",Luck involved"
"Yelp",",Pay is way below other places"
"PerkinElmer","short breaks"
"PerkinElmer",",No career advancements"
"PerkinElmer",",you are a cog in the machine"
"PerkinElmer",",healthcare"
"PerkinElmer",",Culture shift. Improvement and additional funding needed in R&D."
"PerkinElmer",",alot"
"PerkinElmer",",Dealing with PerkinElmer"
"PerkinElmer",",Advancement options, job security"
"PerkinElmer",",they have nothing that they have built internally, no expertise"
"PerkinElmer",",As with any company, there were some opportunists that clouded the so-very-good experiences with selfish behavior."
"PerkinElmer",",slow to go from temp. to perm."
"PerkinElmer",",everything"
"ExxonMobil","None"
"ExxonMobil",",long hours alone"
"ExxonMobil",",Management, slow to change"
"ExxonMobil",",call outs"
"ExxonMobil",",none"
"ExxonMobil",",No breaks sometimes"
"ExxonMobil",",Bad management"
"ExxonMobil",",short break, not enough hours available"
"ExxonMobil",",was always scared to be robbed due to being a convenient store"
"ExxonMobil",",Sometimes not enough help on the register when we were really busy due to people calling off alot."
"Realogy","Going through lay offs"
"Realogy",",The biggest egos with the smallest brains."
"Realogy",",There is always a lot of change and you never know when you will be effected in a negative way."
"Realogy",",Parking at the Madison location"
"Realogy",",Looking for a permanent psot."
"Realogy",",several"
"Realogy",",you're on your own"
"Realogy",",Benefits are average"
"Corning","fast paced"
"Corning",",Poor compensation, limited career advancement, location"
"Corning",",Politics and good ole boys club rules there"
"Corning",",A change in the IT management festered unrest and huge layoffs"
"Corning",",everything else"
"Corning",",None"
"Corning",",12 hr shifts"
"Corning",",everything else"
"Corning",",rotating swing shifts, retirees get less medical, no dental or eyeglass coverage"
"Corning",",not enough pay. asking too much from employees. taking away benefits"
"American Express","No work life balance, vindictive managers, lack of training"
"American Express",",too much of a ""us verses them"" culture"
"American Express",",It depends on your department heads"
"American Express",",Not many cons"
"American Express",",call center type work"
"American Express",",tough to get time off"
"American Express",",high-pressure environment"
"American Express",",Unrealistic Leadership goals"
"American Express",",Transitioning from paper to modern technology"
"American Express",",Director level and above disconnected from employees"
"American Express",",didn't get paid for breaks"
"American Express",",Not many options to change departments when told you are able to in the beginning."
"Preqin","The day-to-day work can get a bit mundane."
"Capco","Lack of advancement to senior management, limited opportunities"
"Capco",",None"
"Capco",",You are disposable, regardless of achievement or sacrifice."
"Capco",",you can lose your job quickly if the funding gets messed up"
"Capco",",Would love to work as a full time manager."
"Capco",",finding your own clients to work for"
"Capco",",Work study position"
"American Systems","Contracted work"
"American Systems",",None"
"American Systems",",None"
"American Systems",",Work location is outside the U.S."
"American Systems",",no paid breaks, or holidays"
"American Systems",",Job security, pay"
"American Systems",",Not a lot of corporate functions outside of the company"
"American Systems",",worked out of the house."
"Collabera","No healthcare provided, no vacation given"
"Collabera",",Healthcare cost 50% of your check if you want it."
"Collabera",",No healthcare benefits"
"Collabera",",Everything"
"Teva Pharmaceuticals","Only contract position for me"
"Teva Pharmaceuticals",",challenges in current pipeline"
"Teva Pharmaceuticals",",workforce reductions"
"Teva Pharmaceuticals",",complaints about stocks options and reduction of ESPP"
"Teva Pharmaceuticals",",Toxic work environment, management"
"Teva Pharmaceuticals",",recently job security"
"Teva Pharmaceuticals",",Not enough breaks"
"Metabolon","Compensation is not adequate considering growth volume"
"Metabolon",",Job stability"
"Time Inc","Poor leadership, restructure every few months"
"Time Inc",",Jobs moved to India"
"Time Inc",",Poor management"
"Time Inc",",Down periods"
"Time Inc",",Compensation, micro managed"
"Time Inc",",Print business is very challenged"
"Time Inc",",location (wish it were in Midtown)"
"Time Inc",",Tense workplace, little support from management"
"Time Inc",",Time Inc. is having a difficult time moving its readers from print to digital."
"Time Inc",",Slow upward mobility."
"Oliver James Associates","Payment was delayed a couple of times due to a complicated approval process."
"INCEDO","Healthcare"
"INCEDO",",none"
"2K Games","Required overtime, had quota to fill, boring"
"2K Games",",Tasking being on-call 24/7"
"2K Games",",Short job"
"2K Games",",Gaming doesnt feel like fun anymore"
"Citi","Constant changes made to products."
"Citi",",work load was increased on a regular basis"
"Citi",",stock market ups and downs performance"
"Citi",",making sure everything proved out at the end."
"Citi",",stressful job"
"Citi",",n/a"
"Citi",",Contractors excluded from official Citi functions."
"Citi",",HR sided with a bad manager"
"Citi",",Does not offer stability and low job security"
"Citi",",not being able to help some customers"
"Citi",",Low Pay and Layoffs"
"Cisco","healthcare, I was a contractor"
"Cisco",",None."
"Cisco",",Shifts"
"Cisco",",Quarterly layoffs"
"Cisco",",Communication between teams is sometimes difficult"
"Cisco",",Work at home"
"Cisco",",Low pay"
"Cisco",",None so far"
"Public Consulting Group","It was a temp assignment"
"Public Consulting Group",",pay check every Friday."
"Public Consulting Group",",Still growing and figuring out processes for both SaaS and new development"
"Public Consulting Group",",Overworked, stressful, some people take anti anxiety pills to put up with the work"
"Public Consulting Group",",Can be very stressful with large case loads, should be compensated better, constant changes in procedures with lack of proper communication"
"Public Consulting Group",",Management"
"Public Consulting Group",",Management is unprofessional"
"Public Consulting Group",",Not enough time to complete work."
"Public Consulting Group",",Poor management, less pay, no direction at all."
"Public Consulting Group",",No 401K for a year, not a lot of compensation."
"Public Consulting Group",",management unprofessional, inappropriate situations, its a hostile work enviroment lawsuit waiting to happen"
"Union Bank","Outdated computer systems."
"Union Bank",",The management team wasn't helpful, took a long time for background check to go through"
"Union Bank",",Slow people in important jobs"
"Union Bank",",job security, slow mobility within company"
"Union Bank",",Undercurrent: corporate culture is politically biased."
"Union Bank",",Not enough yearly vacation"
"Union Bank",",moving location out of California"
"Department of Mental Health and Hygiene","leniency"
"Department of Mental Health and Hygiene",",Cubicle life, lack of morale, high turnover, underutilized employees, monotonous workflow"
"Department of Mental Health and Hygiene",",assignment was too short"
"Department of Mental Health and Hygiene",",No cons"
"Move, Inc.","The line to use the microwave in the breakroom lol"
"Move, Inc.",",A lot of pressure to perform. not a long term job."
"Move, Inc.",",Meeting Random people"
"Move, Inc.",",Some of the people wouldnt show up for work"
"Move, Inc.",",Very unprofessional and intense stressful place to work."
"Move, Inc.",",everything"
"Move, Inc.",",Everything else."
"Move, Inc.",",management, culture, unprofessionalism"
"Move, Inc.",",lost"
"Move, Inc.",",benefits are a bit high with high deductibles"
"Move, Inc.",",Can be a tad but challenging sometimes to reach your quotas."
"Move, Inc.",",Insufficient hours"
"Magellan Health Services","n/a"
"Magellan Health Services",",healthcare"
"Magellan Health Services",",You are nothing but your numbers, and absolutely disposable. So inefficient, poor tech and communication."
"Magellan Health Services",",not any"
"Magellan Health Services",",It was a part time job."
"Magellan Health Services",",None"
"Magellan Health Services",",150:1 Membership to Employee"
"Magellan Health Services",",No paid Holidays"
"Magellan Health Services",",health insurance benefits"
"Magellan Health Services",",Minimal people in the location. Virtual, however, it worked."
"Magellan Health Services",",They don't care"
"Magellan Health Services",",Half hour breaks should at least be 45 minutes"
"Magellan Health Services",",Inflexible times set for breaks and lunch, low morale, unrealistic standards"
"Northwell Health","none"
"Northwell Health",",no"
"Northwell Health",",Short staffing"
"Northwell Health",",The dialysis unit is very physical."
"Northwell Health",",Nothing at all."
"Northwell Health",",Not enough lateral movement for techs."
"Northwell Health",",Supervisors can be hard to get a hold of"
"Northwell Health",",Constantly dealing with people"
"Northwell Health",",some management has favorites"
"Northwell Health",",Senior Management. Growth for certain people if u fit their mold."
"Gap Inc. Corporate","-noth"
"Gap Inc. Corporate",",If one has a day of, once in awhile they like to call the day of if they need help."
"Mainz Brady Group","health insurance too expensive"
"Mainz Brady Group",",No contact, you're not important so watch out for yourself"
"Mainz Brady Group",",everything"
"National Renewable Energy Laboratory","Siloed management, rampant micromanagement, poor communication from and between senior managers, funding dependency on Congressional appropriations"
"National Renewable Energy Laboratory",",It was only an internship"
"National Renewable Energy Laboratory",",budget"
"National Renewable Energy Laboratory",",Overboard on safety concerns to the point of disrupting building and facility operations."
"National Renewable Energy Laboratory",",Hard to find positions at times"
"National Renewable Energy Laboratory",",Government."
"National Renewable Energy Laboratory",",Not secure, bureaucratic, little guidance"
"National Renewable Energy Laboratory",",poor job security, uncertain funding, poor management"
"National Renewable Energy Laboratory",",limited career advancement"
"National Renewable Energy Laboratory",",Boring work, Horrible Management, Hostile work environment"
"Accenture","Lack of mentorship, no sick days, duplicitous communication from leadership"
"Accenture",",Not much"
"Accenture",",job security"
"Accenture",",Bureaucratic"
"Accenture",",Cannot dictate your career path based on interests"
"Accenture",",none"
"Accenture",",Low job security"
"Accenture",",Lot of senseless meetings"
"Verizon","management"
"Verizon",",Very stressful"
"Verizon",",Constantly working. No work-life balance. Pressure to meet unreasonable deadlines."
"Verizon",",time management"
"Verizon",",Short breaks"
"Verizon",",Forced overtime"
"Verizon",",Company restructurings have created a feeling of insecurity."
"Verizon",",Work hours can be tough to handle if not familiar with commission retail environment"
"Verizon",",work life balance, difficult customers"
"Verizon",",Nons"
"Verizon",",None"
"Verizon",",Retail struggles with work/life balance"
"Bridgepoint Education","Monitoring your whole day"
"Bridgepoint Education",",High-stress sales, 200+ calls a day, treat you like a child, management."
"Bridgepoint Education",",Uncertain, Intense, and sometimes Unrealistic Expectations"
"Bridgepoint Education",",High Sales pressure without higher rewards"
"Bridgepoint Education",",Heavy Traffic"
"Bridgepoint Education",",No growth opportunities"
"Bridgepoint Education",",For the responsibilities given, admissions should be paid more."
"Bridgepoint Education",",Unprofessional, no growth, low pay and poor medical plans"
"Bridgepoint Education",",management, high pressured sales"
"Bridgepoint Education",",location and advancement opportunities"
"Bridgepoint Education",",Decision being made in the Ivory tower, No open Coom from execs (not all), benefits are terrible, compensation is low, chance for advancement is there but not for all departments"
"Sonos, Inc","At a stage where more scaling and process is probably needed, difficult to balance that with the cool, experience-led, start-up vibe, but everyone is trying hard to keep that unique culture as we grow and scale"
"Sonos, Inc",",Completely open floor plan (difficult for handling candidates and any private manners)"
"McKinsey & Company","Favoritism, cannot trust management"
"McKinsey & Company",",Management"
"McKinsey & Company",",Deadline."
"McKinsey & Company",",No growth opportunities for support staff"
"McKinsey & Company",",read above"
"3M","rotating shifts every 2 weeks from days to nights 12 hrs"
"3M",",Long shifts"
"3M",",rotating shift work"
"3M",",nothing"
"3M",",all the rest"
"3M",",Difficult to advance in the company"
"3M",",None"
"3M",",none"
"3M",",chemaical reaction"
"3M",",n/a"
"3M",",Rotating shifts and management"
"3M",",Long work days"
"Facebook","It is still Cooperate America and there are some politics involved"
"Facebook",",No opportunities for career advancement"
"Facebook",",Healthcare"
"Facebook",",communication"
"Facebook",",short break"
"Facebook",",I was a contractor so my time there was only 2 years"
"Facebook",",you dont get paid it is volunteer if you dont sell your items"
"Facebook",",Nothing much for an Intern."
"Facebook",",hard to form lasting relationships"
"TAMKO","Jealousy among office employees"
"TAMKO",",No family life"
"TAMKO",",Division between lines. Not excepting to new comers ( temporay workers). Not noticed as a temp"
"TAMKO",",Very dirty work environment, lots of machinery with the potential for injury..very physically taxing at times"
"TAMKO",",Line leaders must be from Florida"
"TAMKO",",Too much work."
"TAMKO",",Frequent changes and lack of control by local leadership"
"TAMKO",",health, job security, advancement"
"TAMKO",",cant trust anybody, nobody cares about you"
"TAMKO",",Schedule and time away from home"
"TAMKO",",we got three breaks a day pluse30 min lunch"
"TAMKO",",Swing Shifts"
"TAMKO",",There are none."
"TAMKO",",Job stability due to economy"
"Vertex Pharmaceuticals","Employee Development"
"Vertex Pharmaceuticals",",management"
"Vertex Pharmaceuticals",",Slow"
"Vertex Pharmaceuticals",",attitudes and felt like high school"
"Vertex Pharmaceuticals",",Hard to get your foot in the door"
"Vertex Pharmaceuticals",",I was a contractor who was wrapping up"
"Vertex Pharmaceuticals",",Very poor management."
"Vertex Pharmaceuticals",",short breaks"
"Vertex Pharmaceuticals",",company cares about bottom line, not people"
"Retrofit","hated being in thje office all the time"
"Morgan Stanley","Temp to Hire position"
"Morgan Stanley",",Long hrs"
"Morgan Stanley",",Job security is mostly an illusion as is the case with most banking/finance jobs"
"Morgan Stanley",",Occasionally dealing with tricky personalities- job really depends on who you are working for"
"Morgan Stanley",",Commute can be difficult"
"Morgan Stanley",",Very little advancement"
"Morgan Stanley",",staff workload not spread out during multiple overlapping maternity leaves"
"Morgan Stanley",",comp"
"DECISIVE ANALYTICS CORPORATION","no promotion"
"DECISIVE ANALYTICS CORPORATION",",exclusively connected to the government and government contracts"
"DECISIVE ANALYTICS CORPORATION",",None"
"Grant Thornton","Work Life Balance"
"Grant Thornton",",Time Off Policy - there isn't any..."
"Grant Thornton",",utilization, organization lacks in opportunity, teamwork, respect and knowledge-base"
"Grant Thornton",",high turnover"
"Grant Thornton",",Work/Life balance"
"Grant Thornton",",Work life balance, stress, ""life or death"" atmosphere"
"Grant Thornton",",Same cons any public accounting firm would have"
"Grant Thornton",",job security, work/life balance"
"Grant Thornton",",lack of advancement"
"Grant Thornton",",not patient or compassionate towards coworkers"
"Thomson Reuters","Too far of a drive"
"Thomson Reuters",",May have to skip breaks, lunches, and stay late to catch up on work"
"Thomson Reuters",",Tax Software is outdated; Customers are not trained how the software works"
"Thomson Reuters",",BORING"
"Thomson Reuters",",Short Break"
"Thomson Reuters",",Boiler Room"
"Thomson Reuters",",Lack of Training"
"Thomson Reuters",",healthcare"
"Thomson Reuters",",System issues when workig from home."
"Thomson Reuters",",Short staffed"
"Thomson Reuters",",not much"
"Thomson Reuters",",Long hours"
"aclu","GREAT BENEFITS"
"American Academy of Orthopaedic Surgeons","None really."
"American Academy of Orthopaedic Surgeons",",No growth opportunity"
"Logic20/20","paid vacation is only one week for the first year. This includes any sick time."
"American Electric Power (AEP)","Excessive overtime due to nature of business."
"American Electric Power (AEP)",",Short lunch breaks"
"American Electric Power (AEP)",",Lack of leadership from supervisors"
"American Electric Power (AEP)",",none"
"American Electric Power (AEP)",",getting laid off"
"American Electric Power (AEP)",",None"
"American Electric Power (AEP)",",Traveling"
"American Electric Power (AEP)",",Winter"
"American Electric Power (AEP)",",Young management, understaffed"
"American Electric Power (AEP)",",Company struggling with coal plants."
"American Electric Power (AEP)",",management was disappointing at times"
"Net ESolutions Corporation (NETE)","Worst management style, people crying and leaving all the time."
"Genentech","High expectations, hard work"
"Genentech",",Too collaborative"
"Genentech",",Onboarding new employees on software programs"
"Genentech",",I got caught up in a lay off after 16 years due to downsizing of our entire product team."
"Genentech",",being a contractor with no benefits"
"Genentech",",commute time"
"Genentech",",Typical bureaucracy, company politics. Not great performance management processes."
"Genentech",",lengthy"
"The Aerospace Corporation","Raises are not happening. Nor promotions"
"The Aerospace Corporation",",None."
"The Aerospace Corporation",",Sometime lost of contract, and lay-offs"
"The Aerospace Corporation",",Needed a little more interaction with other employees"
"The Aerospace Corporation",",they have layoffs"
"The Aerospace Corporation",",Colorful behaviors"
"The Aerospace Corporation",",NA"
"The Aerospace Corporation",",None"
"The Aerospace Corporation",",Defense related, little value for the masses"
"The Aerospace Corporation",",Compensation, Growth and promotion"
"The Aerospace Corporation",",Management had little understanding of the Administrative field"
"The Aerospace Corporation",",Management had little understanding of the mechanical field"
"The Aerospace Corporation",",more input"
"The Aerospace Corporation",",Work/Life Balance"
"Children's Hospital of Philadelphia","Not a lot of room for advancement"
"Children's Hospital of Philadelphia",",Too many to list: management, uncovered 30 min lunches, black out dates for vacation., constantly making up their own rules, using fear as scare tactics, sees employees as irreplaceable"
"Children's Hospital of Philadelphia",",N/A"
"Children's Hospital of Philadelphia",",Extremely busy daily schedule"
"Children's Hospital of Philadelphia",",Great employees not appreciated"
"Children's Hospital of Philadelphia",",N/A"
"Children's Hospital of Philadelphia",",Unsubsidized internship"
"Children's Hospital of Philadelphia",",No enough staff"
"Children's Hospital of Philadelphia",",Being talked to and treated like a child at times."
"Children's Hospital of Philadelphia",",Management listening to suggestion and Ideas."
"Children's Hospital of Philadelphia",",Compensation"
"Children's Hospital of Philadelphia",",Management can be tough"
"SAS Institute","Nice environment"
"SAS Institute",",management."
"SAS Institute",",None"
"SAS Institute",",Work/Life Balance"
"SAS Institute",",HR severly lacking."
"SAS Institute",",Incompetent managers, below-average salaries"
"SAS Institute",",Hard to get promoted because no one ever leaves."
"SAS Institute",",NONE."
"SAS Institute",",Sub-standard pay, out-dated tools, incompetent management"
"PRA Health Sciences","Benefits are status quo, increase 401K match and stop our health care cost from increasing annually please :))"
"PRA Health Sciences",",Little opportunity for advancement"
"PRA Health Sciences",",Management"
"PRA Health Sciences",",None"
"PRA Health Sciences",",short term"
"PRA Health Sciences",",almost too laid back very disorganized. records were a nightmare"
"PRA Health Sciences",",Lack of management, catty coworkers"
"PRA Health Sciences",",N/A"
"General Motors","short breaks"
"General Motors",",long hours, tedious work"
"General Motors",",Unconsistant"
"General Motors",",Mandatory overtime occasionally"
"General Motors",",poor supervisors"
"General Motors",",The downsizing - not knowig what is coming next"
"General Motors",",None"
"General Motors",",Literally everything else."
"General Motors",",no time with family"
"General Motors",",Long days"
"State Street","only high deductible health care plans offered, negative environment of fear"
"State Street",",Work can get repeative"
"State Street",",Late work night offten"
"Ipsos","Lack of communication"
"Ipsos",",pay scale is low and sometimes the hard work you put in is not appreciated"
"Ipsos",",To much focus on reporting progess, highly admiinstrative even for senior people"
"Ipsos",",Highly politicized, toxic work environment. Inept management."
"Ipsos",",Long hours, bad management"
"Ipsos",",everything"
"Ipsos",",Lack of work at times, too busy at other to the point of total exhaustion, no employee recognition, Just a number, how much can you make us, No room to advance, Those in supervisor roles do less work than those in lower positions."
"Ipsos",",good benefits"
"Ipsos",",no guaranteed 8 hours a day"
"Ipsos",",short breaks, travel ticket"
"Ipsos",",no advancement. hours can drop fast and a lot of ghetto unprofessional people get hired."
"Ipsos",",Lots of red tape"
"Ipsos",",Unorganized, No one is on the same page, receive multiple emails a day from different people with contradicting info"
"NVIDIA","Need more Exercise room for workout"
"NVIDIA",",Long/late hours"
"NVIDIA",",non-existent laptop replacement plan (5 years+), food isn't great, parking"
"NVIDIA",",managers who are out of touch with the times, can't keep up, don't have insight into what their direct reports are being asked to do."
"NVIDIA",",There might be Cons but I didn't find any"
"NVIDIA",",Can't think of any"
"NVIDIA",",Lots of walking"
"NVIDIA",",Often there is high work load"
"NVIDIA",",No career oppty."
"NVIDIA",",No free lunch/breakfast, many departments still work in cubicle farms"
"OUTFRONT media","CBS was bought out by OUTFRONT."
"OUTFRONT media",",Management and 1 hour drive."
"OUTFRONT media",",No flexible hours, Unrealistic monthly goals at times"
"OUTFRONT media",",Horrible bosses"
"OUTFRONT media",",Not a good balance when distributing the accounts"
"OUTFRONT media",",Too many cut backs"
"OUTFRONT media",",Disorganized management, co-workers get away with harrassment, real estate and human resources are the same person"
"OUTFRONT media",",N/A"
"OUTFRONT media",",Missing big company benefits"
"CBRE","Layoffs"
"CBRE",",HR detached an unalbe to resolve employee issues"
"CBRE",",Tight deadlines"
