"company","position","salary","worklife","compensation","jobsecurity","management","culture","company.x","review","company.y","position","company.x.1","pro","company.y.1","con"
"Fujitsu","Desktop Support Technician",45558,3.6,3.4,3.2,3.3,3.5,"Mount Sinai Health System",",Very challenging, but rewarding. My co-workers are very supportive and team players. The hardest part of my job is when we have a lot of traumas coming in at one time, but we get through it with team work. The most enjoyable part of my job is making it through the shift with my co-workers helping each other.",NA,NA,NA,NA,NA,NA
"Fujitsu","Voice Engineer",96325,3.6,3.4,3.2,3.3,3.5,"Mount Sinai Health System",",Very nice people and lovely place to work.  Everyone is willing to help you with anything you might need.I highly recommend.",NA,NA,NA,NA,NA,NA
"Fujitsu","Customer Service Representative",37426,3.6,3.4,3.2,3.3,3.5,"Visa","Visa is a vibrant and exciting place to work in a rapidly changing industry.",NA,NA,NA,NA,NA,NA
"Gallup","Oracle Developer",80642,4,3.6,3.3,3.8,3.8,"Visa",",Employees are smart and driven to succeed but not at others expense.",NA,NA,NA,NA,NA,NA
"Gallup","Market Researcher",28947,4,3.6,3.3,3.8,3.8,"IBM",",Everyone i work with is Great and Understanding. The Culture is very laid back and quiet environment. i do not have micro managing going on with the people i with with. Great Company","TD Bank",",Senior Customer Servicer Rep","Fujitsu",",Free events, Long Thanksgiving and Christmas breaks","Memorial Sloan Kettering","Pay, Lack of Raises, Only exists in NYC and NJ"
"Gallup","Application Developer",64445,4,3.6,3.3,3.8,3.8,"Visa",",Biggest challenge is career management and advancement.",NA,NA,NA,NA,NA,NA
"Gallup","Software Developer",59115,4,3.6,3.3,3.8,3.8,"Visa",",Even though my time was short at Visa, it was great experience.",NA,NA,NA,NA,NA,NA
"Gallup","Customer Service Representative",9.71,4,3.6,3.3,3.8,3.8,"Visa",",The team leader was more of a supervisor to me and actually wanted to help me out more.",NA,NA,NA,NA,NA,NA
"Gallup","Surveyor",11.44,4,3.6,3.3,3.8,3.8,"Visa",",Visa has the name and pays decently, but if you're looking for something that really excites you then you should look elsewhere",NA,NA,NA,NA,NA,NA
"Gallup","Quality Assurance Analyst",64935,4,3.6,3.3,3.8,3.8,"Visa",",Strategic direction is unclear but offer lots of opportunity to try new things and gain global experience in a rapidly changing environment",NA,NA,NA,NA,NA,NA
"Gallup","Telephone Interviewer",10.48,4,3.6,3.3,3.8,3.8,"Visa",",.",NA,NA,NA,NA,NA,NA
"Gallup","Database Administrator",79872,4,3.6,3.3,3.8,3.8,"Visa",",you get to work in a diverse place and make friends from all over the globe/ sometimes the days can be long and difficult but you can always find a way to entertain yourself with all the good web links we have to  gain knowledge about the company and what it can offer for you.",NA,NA,NA,NA,NA,NA
"Gallup","Interviewer",9.8,4,3.6,3.3,3.8,3.8,"Visa",",Company is in the process of putting profits over employee satisfaction. Company growth will continue, however, they will continue to loose quality employees.",NA,NA,NA,NA,NA,NA
"Gallup","Java Developer",64556,4,3.6,3.3,3.8,3.8,"Visa",",Visa is a solid company that is undergoing a transition from old to new.  Products are very solid, but the culture is challenging",NA,NA,NA,NA,NA,NA
"Gallup","Intern",2000,4,3.6,3.3,3.8,3.8,"Visa",",It was exciting and fun to work for a world class brand like Visa. The Olympics was a fun time. Their benefits were excellent and the cafeteria was so -so.",NA,NA,NA,NA,NA,NA
"Gallup","Phone Interviewer",11.11,4,3.6,3.3,3.8,3.8,"IBM",",IBM gives you a perfect worklife balance with  moderate compensation benefits. It is so vast that you can get multiple options for growing. At times , you might not get good compensation benefits which is the major con of working at IBM.","TD Bank",",Teller - Part Time","Fujitsu",",Having good people to work with","Memorial Sloan Kettering",",Not much job security"
"Gap Inc. Corporate",NA,NA,4.5,4,4,5,5,"Visa",",Not good, strict, not flexible, unyielding company, modern indentured servants at this company.................................................",NA,NA,NA,NA,NA,NA
"Gatehouse Media","Outside Sales Representative",44495,3.2,2.7,2.3,2.6,2.7,"Visa",",I really liked working for Visa. It was a contract position that I had hoped would turn into a permanent one. The company is great. Not happy with the team and team dynamics. I would like to go back there to work in a different department.",NA,NA,NA,NA,NA,NA
"Gatehouse Media","Appointment Coordinator",10,3.2,2.7,2.3,2.6,2.7,"Visa",",I had great support from the technical writing team, and the engineers were supportive, too. They knew that I knew the job content. It was exactly the kind of work I did at PayPal. My only issue had nothing to do with the company but with the commute. It was too long.",NA,NA,NA,NA,NA,NA
"Gatehouse Media","Editor",38505,3.2,2.7,2.3,2.6,2.7,"Visa",",CSR over the phone with cardholders with everyday issues. Very good place to work and grow. Amazing coworkers and staff",NA,NA,NA,NA,NA,NA
"Gatehouse Media","Sales Representative",47026,3.2,2.7,2.3,2.6,2.7,"Visa",",Great  work culture and life balance  experienced  to working with great experience people participated on infrastructure development team members and Teams",NA,NA,NA,NA,NA,NA
"Gatehouse Media","Sales Executive",43560,3.2,2.7,2.3,2.6,2.7,"Visa",",It's a great resume builder great brand brand employer. Reels you in with ""Visa cares"" and then shows you how much it does not. Visa cares but only about their clients.",NA,NA,NA,NA,NA,NA
"Gatehouse Media","Customer Service Representative",19701,3.2,2.7,2.3,2.6,2.7,"Visa",",Always learn New Things Day to Day",NA,NA,NA,NA,NA,NA
"Gatehouse Media","Advertising Sales Representative",35000,3.2,2.7,2.3,2.6,2.7,"Visa",",Management Support is always help us to learn new things",NA,NA,NA,NA,NA,NA
"Gatehouse Media","Sales Assistant",9,3.2,2.7,2.3,2.6,2.7,"Visa",",Cool and Always fun when we are in trouble shooting issues",NA,NA,NA,NA,NA,NA
"Gatehouse Media","Advertising Director",70152,3.2,2.7,2.3,2.6,2.7,"Visa",",The demand for break fix solutions ,  software and hardware are challenging . Days fly by , 20 onsite techs servicing 3 thousand users.Tech bar  busy 9-4 all day. Our team also in process of refreshing EOL laptops. Learn by doing. management does a good job of managing demands of day to day challenges . Hardest part of job is the Time for formal training. ",NA,NA,NA,NA,NA,NA
"Gatehouse Media","Business Development Manager",76511,3.2,2.7,2.3,2.6,2.7,"IBM",",Best company and best brand to work with. you will get Work from home opportunities. Best Management. Best work environment.","TD Bank",",Teller II","Fujitsu",",Lots of work from home.","Memorial Sloan Kettering",",none"
"GE Corporate","Production Supervisor",60401,NA,NA,NA,NA,NA,"Visa",",Lucky to work with a very supportive and hard working group.",NA,NA,NA,NA,NA,NA
"GE Corporate","Program Leader",80517,NA,NA,NA,NA,NA,"Visa",",There is all this talk about work life balance that has never happened for anyone over the last couple of years. There a culture of keep your head down, don't mess up and cover your butt. A lot of people who have been there more than 5 years are trying to find anyway to get out.",NA,NA,NA,NA,NA,NA
"GE Corporate","Team Leader",70632,NA,NA,NA,NA,NA,"Visa",",Global Implementation of Oracle R12/11i Modules as part of P2P cycle, R2R and iExpenses modules. Purchase Requisition and Expense Report approval routing using Approval Management Engine (AME). Enhanced the standard iExpenses module to handle terminated employee expense process. Integration with 3rd party systems like GXS (OpenText) and Kofax MarkView. Streamlined the Custom Intercompany process to satisfy the business requirement. Created multiple reports for analysis and audit purpose across modules.",NA,NA,NA,NA,NA,NA
"GE Corporate","Project Leader",74627,NA,NA,NA,NA,NA,"Visa",",Good place to work. Management isnt great. Smart minds with great ideas & opportunities. Highly recommended. Product is a good place to work.",NA,NA,NA,NA,NA,NA
"GE Corporate","Data Scientist",125382,NA,NA,NA,NA,NA,"Visa",",Great company doing a pretty good job in a changing landscape and helping lead the way in working with competitors and the payment tech ecosystem. Is in between a change in culture that comes with its challenges",NA,NA,NA,NA,NA,NA
"GE Corporate","Lead Engineer",105767,NA,NA,NA,NA,NA,"Visa",",Incredible company with a clear strategy in one of the most dynamic industries - Payment technology.",NA,NA,NA,NA,NA,NA
"GE Corporate","Technician",56989,NA,NA,NA,NA,NA,"Visa",",Management team has done a great job of leading a transformation writhing the company and the industry.",NA,NA,NA,NA,NA,NA
"GE Corporate","Engineer",82033,NA,NA,NA,NA,NA,"Visa",",Brand is known worldwide and we are tapped into fantastic sponsorship properties like the Olympics.",NA,NA,NA,NA,NA,NA
"GE Corporate","Field Engineer",95430,NA,NA,NA,NA,NA,"Visa",",Dynamic business issues that have a huge impact around the world.",NA,NA,NA,NA,NA,NA
"GE Corporate","Test Engineer",85654,NA,NA,NA,NA,NA,"Finicity","I wanted to stay there, but the laid almost everyone off.  They kept 4 people in sales out of approx 50 or 60 people or more.  At this point I don't even know if they have a sales dept",NA,NA,NA,NA,NA,NA
"GE Corporate","Manager",83832,NA,NA,NA,NA,NA,"IBM",",Construction based company entering into advanced IT world, upgrading all servers and PC's. Only worked as a contractor for a short time to finish out the contract !","TD Bank",",Assistant Head Teller","Fujitsu",",some good people to work with","Memorial Sloan Kettering",",N/A"
"GE Corporate","Operator",54509,NA,NA,NA,NA,NA,"Finicity",",This is a call center so you are typically on the phones all day. In my department I deal with the cancellation cases and helping the clients understand the importance of the program and how it works for them and there personal finances.",NA,NA,NA,NA,NA,NA
"GE Corporate","Service Technician",57665,NA,NA,NA,NA,NA,"Finicity",",I had an amazing opportunity to grow and use my abilities to help others.  I created a new family and learned new ways to lead and be patient with others.",NA,NA,NA,NA,NA,NA
"GE Corporate","Operations Manager",97510,NA,NA,NA,NA,NA,"Finicity",",Its not a healthy environment or a product an ethical sales person can stand behind and management is clueless. A 30 month contract for budgeting is a hard sale.",NA,NA,NA,NA,NA,NA
"GE Corporate","Machine Operator",44616,NA,NA,NA,NA,NA,"Finicity",",It is rare to work for a company where individual success is rewarded on such a high and regular basis!  Commission rates and bonus rates are evaluated on a regularly to improve experience of each sales team member.",NA,NA,NA,NA,NA,NA
"GE Corporate","Assembler",13.92,NA,NA,NA,NA,NA,"Finicity",",Great company to work for, growing company, a lot of job advancement opportunities, potential to make a lot of money with commission, friendly work environment",NA,NA,NA,NA,NA,NA
"GE Corporate","Production Worker",15.29,NA,NA,NA,NA,NA,"Finicity",",Finicity was a great place to work. It had a relaxed atmosphere, the pay was good, and everyone at the office were wonderful. Even though it was fast paced, I loved the job. I really made a difference by  helping individuals with their budgets. The hardest part of the job was the constant emotional stress as well as dealing with the people who didn't know how to use their own computers. It was a great first job out of college, but there is no room for advancement. They also laid off about 1/4 of their staff. It is and was a great job, but don't count on always having a position in the down months.",NA,NA,NA,NA,NA,NA
"GE Corporate","Wind Turbine Technician",61968,NA,NA,NA,NA,NA,"Finicity",",New company but treats employees well.",NA,NA,NA,NA,NA,NA
"GE Corporate","Repair Technician",70886,NA,NA,NA,NA,NA,"Finicity",",I enjoy helping customers with learning more about budgeting and how to better their finances.",NA,NA,NA,NA,NA,NA
"GE Corporate","Senior Software Engineer",124487,NA,NA,NA,NA,NA,"American Institutes for Research","Responsible for replies to internal customer emails, phone calls, voicemails, and IT Support/ Help Desk Ticket/ Case closures, including project team and tier 2 and 3 escalations and inquiries regarding policy and procedure for state testing requirements and system troubleshooting of for grades K through 12 for state Department of Education.",NA,NA,NA,NA,NA,NA
"GE Corporate","Software Engineer",120968,NA,NA,NA,NA,NA,"American Institutes for Research",",It was such a fun job. It took me places I've never been to. I was able to meet so many people in so many cultures. It was the best work experience ever!",NA,NA,NA,NA,NA,NA
"GE Corporate","Welder",30.68,NA,NA,NA,NA,NA,"IBM",",IBM gave me the opportunity to made a career from financial analyst to finance manager and executive.","TD Bank",",OREO Asset Manager II","The Hanover Insurance Group",",Good Benefits","Biogen",",temporary"
"GE Corporate","Machinist",45950,NA,NA,NA,NA,NA,"American Institutes for Research",",American Institutes for Research is a boring place to work at with almost no career advancement opportunities.  With two distinct office locations, miscommunication is a norm.",NA,NA,NA,NA,NA,NA
"GE Corporate","Product Manager",133114,NA,NA,NA,NA,NA,"American Institutes for Research",",Pay and benefits are good if you can climb the ladder. Climbing the ladder mostly requires you to sacrifice work-life balance and focus heavily on bringing in business and dollars. Org is more likely to poach someone from outside than to promote from within, with the exception of those internal folks who can bring in dollars.",NA,NA,NA,NA,NA,NA
"GE Corporate","Senior Software Test Engineer",125933,NA,NA,NA,NA,NA,"American Institutes for Research",",I worked there for half year. There are really great people. As long as you manage your time well, you have plenty of time to enjoy your life.",NA,NA,NA,NA,NA,NA
"GEICO","Claims Examiner",49555,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",everyone is very nice. I worked a very short contract for a fire alarm project, but everyone treated my very respectfully.",NA,NA,NA,NA,NA,NA
"GEICO","Adjuster",41331,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",Everybody is willing to help you learn and answer any questions you may have. It's a great company. I really enjoyed working there.",NA,NA,NA,NA,NA,NA
"GEICO","Legal Secretary",36939,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",DOJ's Asset Forfeiture Management Staff (AFMS) comprises of several departments including it's information security team. Forfeiture Systems's (FS) security team deals with continuous monitoring, incident response, vulnerability assessment, vulnerability remediation, working with various security tools, and analysis of vulnerable findings within AFMS networks. The essential part and the most challenging part of the job was to maintain a good security posture so management would be satisfied with overall security structure. The most enjoyable part of the team was the flexibility in work schedules and balance between professional and personal life.",NA,NA,NA,NA,NA,NA
"GEICO","Mailroom Clerk",27956,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",Recently, AIR laid off over 30 employees within less than 24 hours time without any sort of warning. Several of the people who were laid off had been with the company for over 10 years, yet their career at AIR was over in an instant. Even worse, many project directors and staff managers had no idea what was happening and had to scramble to get the leftover work done when the employees who were laid off suddenly disappeared without being able to turn in their deliverables...The whole thing was a management nightmare, and the employees left behind are now unsettled, demoralized, and live in constant fear that another round of layoffs will occur whereby they'll lose their jobs. In addition, AIR hires people based on a certain area of expertise or skill set that individuals have that they think will be put to use. Though once most people land a job there, they immediately find out that their job security and stability depends on getting a certain percentage of their time covered on numerous projects, many of which may be completely unrelated to their skill set.  ",NA,NA,NA,NA,NA,NA
"GEICO","Underwriter",43527,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",Promotions only occur for individuals based on cronyism and favoritism from upper management, and has little to do with whether a person has been there for a long time or actually does their job well. I honestly am surprised to see so many people on here are stating that AIR provides a pleasant and collaborative working environment--it doesn't!!! Overall, it's a very toxic work environment with a serious lack of diversity among upper management, which is both shameful and ironic given that the so-called mission of the",NA,NA,NA,NA,NA,NA
"GEICO","Licensed Agent",35851,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",  ",NA,NA,NA,NA,NA,NA
"GEICO","Claims Representative",29192,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",", company is to improve the lives of the ""disadvantaged"". On the whole, the only people that get help improving their lives at AIR are well-educated, well-connected individuals from historically advantaged groups who find their ways into cliques with upper management. ",NA,NA,NA,NA,NA,NA
"GEICO","Claims Adjuster",34873,3.2,4.1,3.6,3.1,3.4,"IBM",",You can achieve your career goal if you work hard enough for it !","TD Bank",",Bank Teller","Fujitsu",",incentive","Memorial Sloan Kettering",",the frequent turn around of new empoyees"
"GEICO","Insurance Specialist",37086,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",The best advice most employees, particularly those from historically underrepresented, marginalized groups, is to stay for a short while while learning all that you can, and do your best for as long as you're able to deal with the constant lack of upward mobility, belittlement, and consistently biased treatment from upper management. And if someone is abusive or treating you poorly once you land a job there, don't even think about going to HR for help. Almost everyone in the company knows that HR is a joke primarily built to protect upper management no matter how egregious their behavior.",NA,NA,NA,NA,NA,NA
"GEICO","Customer Service Representative",31952,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",  ",NA,NA,NA,NA,NA,NA
"GEICO","Customer Service Supervisor",62358,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",My supervisor and co-workers were excellent people too work with. Great team players always available to lend a helping hand. Never complained and all our projects wee turned in on time.",NA,NA,NA,NA,NA,NA
"GEICO","Insurance Producer",17.95,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",Would not recommend this company. Salaries are low compared to market. Staff managers are not very supportive. Turnover is high.",NA,NA,NA,NA,NA,NA
"GEICO","Sales Agent",37088,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",AIR is a place you can develop yourself and gives flexibility by not thinking outside the box but thinking like there is no box. There a lot of seasoned individual who support you in case there is a gridlock on case you are working on.",NA,NA,NA,NA,NA,NA
"GEICO","Senior Employment Specialist",43269,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",With a cup of coffee at hand, a typical day for me at work would be to attend to tickets escalated by the helpdesk; usually worked with minimal supervision.",NA,NA,NA,NA,NA,NA
"GEICO","Program Supervisor",41682,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",In all, it was a good experience for me.",NA,NA,NA,NA,NA,NA
"GEICO","File Clerk",26843,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",Really professional place to work and an every day learning lesson",NA,NA,NA,NA,NA,NA
"GEICO","Dispatcher",25725,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",management give you the opportunity to interact in different projects.",NA,NA,NA,NA,NA,NA
"GEICO","Examiner",43208,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",This is a terrible place to work. Employees are not treated as people but more like things that they need to make ends meet and discarded easily. They do not value hard work and loyalty.",NA,NA,NA,NA,NA,NA
"GEICO","Emergency Services Manager",31158,3.2,4.1,3.6,3.1,3.4,"IBM",",IBM is really a fantastic company on the forefront of many new technologies, and they're pushing to make the world a better place overall.","TD Bank",",Customer Service Representative","Fujitsu",",Working with many teams","Memorial Sloan Kettering",",you forget to take your break becuase your always on the go"
"GEICO","Insurance Agent",33413,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",I was let go by the VP, just because I installed FileZilla Software and the installation happened under IT service desk supervision and ticketed and for some reason my laptop was infected. ",NA,NA,NA,NA,NA,NA
"GEICO","Sales Manager",53567,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",I was hired as a temp for among with 5 other temps, after one year they hired 3 female as a full time and the hiring was not based on qualification other than who do you know in the department. ",NA,NA,NA,NA,NA,NA
"GEICO","Senior Customer Service Representative",37280,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",The other 2 male temp who are still temp they know way more than others, but just because they don't have anyone and they are guys. ",NA,NA,NA,NA,NA,NA
"GEICO","Sales Representative",36446,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",One of the converters has the experience but the other 2 has nothing to do with IT ( Assesment Department)",NA,NA,NA,NA,NA,NA
"GEICO","Counselor",33428,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",If you are a temp or a contractor you are second degree Citizen I have never felt this disrespected during my career like I felt at AIR.",NA,NA,NA,NA,NA,NA
"GEICO","Telephone Representative",36018,3.2,4.1,3.6,3.1,3.4,"American Institutes for Research",",Fun work place with supportive management. Not all about the numbers but how you personally grow and develop. Decent amount",NA,NA,NA,NA,NA,NA
"Genentech","Senior Research Associate",103007,3.9,4.1,3.5,3.6,4,"American Institutes for Research",",I worked as temporary stuff for the assessment department in this non-profit organization. Because of my temporary status, I didn't have my own office as other formal employees. Although my title for the position was research assistant, my daily duty and responsibility didn't seem to have much relationship with research or analysis. Nevertheless, I still enjoyed my job working alongside my colleagues and learning from them. I made a really good friend from this job and had a excellent and intelligent leader.",NA,NA,NA,NA,NA,NA
"Genentech","Scientist",143114,3.9,4.1,3.5,3.6,4,"American Institutes for Research",",This is a fast paced, collaborative environment with the opportunity to work on many projects across various sectors, primarily government.",NA,NA,NA,NA,NA,NA
"Genentech","Database Administrator",24,3.9,4.1,3.5,3.6,4,"American Institutes for Research",",Fun place to work with. Teammates are helpful. Good work life balance. No politics. Project profile is very interesting and job profile too.",NA,NA,NA,NA,NA,NA
"Genentech","Customer Service Representative",24.73,3.9,4.1,3.5,3.6,4,"American Institutes for Research",",A typical day involves working 8:00am-4:30pm, training small groups of scorers on rubrics for scoring assessments. Management provides a relaxed atmosphere and lots of schedule flexibility. The compensation is also adequate. The only downside is that scoring projects aren't always happening, so there will often be weeks, even months at a time where no work is available. This job is best for people looking for supplementary income, or who are between jobs and need temporary income.",NA,NA,NA,NA,NA,NA
"Genentech","Research Associate",82853,3.9,4.1,3.5,3.6,4,"JPMorgan Chase",",Wonderful company to work with. They do not pay you on your performance or attitude, only paid by hours. No matter how horrible or wonderful are you.","Washington State University","Code and Plan Review Specialist","Chevron",",Good to employees and contractors","CDK Global",",Traffic, parking, poor leadership"
"Genentech","Validation Engineer",91541,3.9,4.1,3.5,3.6,4,"IBM",",My experience started out really great, working with a tight knit small team and one of the best managers I'll probably ever have in my entire working career. After a few people (including my manager) left, I cycled through a few different teams and always found the ""global team"" dynamic to be a bit isolating. Managers that lived in different countries that never met me, communication with team members was often difficult to find and many people working while not on the same page.","Bloomberg","Financial Sales and Analytics","Collabera",",None","Move, Inc.",",management, culture, unprofessionalism"
"Genentech","Associate Scientist",114790,3.9,4.1,3.5,3.6,4,"Penn State Milton S. Hershey Medical Center","Management is incompetent. Makes decisions best on favoritism. When discussing concerns management will become defensive. Important infuriation is spread by word of mouth as management lacks common sense to send out memos unless they are pertaining to irrelevant information forwarded from higher ups.",NA,NA,NA,NA,NA,NA
"Genentech","Senior Scientist",183992,3.9,4.1,3.5,3.6,4,"Penn State Milton S. Hershey Medical Center",",Overall, the hospital and benefits are awesome. There are lots of opportunity for education and advancement. However I found the work environment unfriendly,  management uncaring and uninvested in new staff. The unit I was working on was chaotic, disorganized, and had no true leadership. If there was an emergency situation, all staff would rush to help but, many different people were doing the same simple task, no one clear leader was established, taking twice as long to get things accomplished. This was not a professional environment I wanted to be apart of.",NA,NA,NA,NA,NA,NA
"Genentech","Engineer",98308,3.9,4.1,3.5,3.6,4,"Penn State Milton S. Hershey Medical Center",",Difficult to get time approved to go to the dentist, and you need to say where you are going why and how long you will be gone. Not sure why they give you so much time off but make it nearly impossible to take it. Very fast paced and never had enough staff. Management seemed to have different sets of rules for certain people.",NA,NA,NA,NA,NA,NA
"Genentech","Systems Analyst",120316,3.9,4.1,3.5,3.6,4,"Penn State Milton S. Hershey Medical Center",",Run if you are planning on working there' fast paced and the bottom line is it's all about the dollar. Work you to the bone and treated bad unless you are  nursing or a doctor, tech service is horrible and some departments mandate everyday. Most  departments understaffed unless you are looking to be in management. Then you will be tripping over each other.Pay is okay ,but each year the increase in health benefits goes up and your small pay increase is not enough to even cover that.",NA,NA,NA,NA,NA,NA
"Genentech","Software Developer",114169,3.9,4.1,3.5,3.6,4,"Penn State Milton S. Hershey Medical Center",",Busy trauma hospital.Challenged x-ray skills every day.Good management.Great co-workers.Great opportunity for advancement.I loved working there but had to leave for better pay.",NA,NA,NA,NA,NA,NA
"Genentech","Business Systems Analyst",115700,3.9,4.1,3.5,3.6,4,"Penn State Milton S. Hershey Medical Center",",I start work most days at 7 a.m. retrieving phone messages, e-messages, prepare for clinic for the day or the next day.  Answering phone calls throughout the day, answering pages, triaging patients, e-prescribing/proposing medications to the MD for signature to send to the pharmacy or for patient pick-up.",NA,NA,NA,NA,NA,NA
"Genentech","Customer Care Specialist",27.4,3.9,4.1,3.5,3.6,4,"Penn State Milton S. Hershey Medical Center",",Checking patient's lab results scheduling for blood and or platelet transfusions.  I work for 3 doctors 2 hematology and one medical oncology.  Most coordinators work for one or two doctors my workload is much more stressful due to the workload.",NA,NA,NA,NA,NA,NA
"Genentech","Senior Software Developer",123524,3.9,4.1,3.5,3.6,4,"Penn State Milton S. Hershey Medical Center",",Most days I take lunch at my desk or in clinic while working.",NA,NA,NA,NA,NA,NA
"Genentech","Data Analyst",116565,3.9,4.1,3.5,3.6,4,"Penn State Milton S. Hershey Medical Center",",I leave work anywhere from 5 to 7 pm at night.",NA,NA,NA,NA,NA,NA
"Genentech","Senior Developer",117231,3.9,4.1,3.5,3.6,4,"Penn State Milton S. Hershey Medical Center",",I have loved working here. I am thinking of relocating. I have learned a lot over the 32 years here. The mission trips to south America have been a great part of my time here.",NA,NA,NA,NA,NA,NA
"Genentech","Programmer Analyst",115289,3.9,4.1,3.5,3.6,4,"IBM",",I started working for IBM, at a very young age, which taught me the core values of business.","TD Bank",",Head Teller/Customer Service Representative","Fujitsu",",Compensation might be good but if you have your job","Memorial Sloan Kettering",",Some favortism showed"
"Genentech","Senior Engineer",133628,3.9,4.1,3.5,3.6,4,"Penn State Milton S. Hershey Medical Center",",Great place to work, this is a company has unlimited opportunity for growth! Great benefits come with the job as well that no one can compare too! Very polite and kind co-workers. Glad to make a difference!",NA,NA,NA,NA,NA,NA
"Genentech","Technician",45834,3.9,4.1,3.5,3.6,4,"Penn State Milton S. Hershey Medical Center",",This is a great company. I interned with Hershey Medical Center, where I participated in the whole process of organizational culture change through scenario-based training sessions. I accomplished my project by developing six case scenarios as well as two evaluation questionnaires that were used in two facilitated small group training sessions, with the aim of creating a better learning environment in the hospital. The team gave me tremendous support during the internship. This invaluable experience enables me to gain a comprehensive understanding of organizational culture change, which is one of the most difficult leadership challenges.It also helped me to realize my passion on Training and Development.",NA,NA,NA,NA,NA,NA
"Genentech","Senior Quality Analyst",73778,3.9,4.1,3.5,3.6,4,"Penn State Milton S. Hershey Medical Center",",12 Hour Shifts",NA,NA,NA,NA,NA,NA
"Genentech","Analytics Manager",143878,3.9,4.1,3.5,3.6,4,"Penn State Milton S. Hershey Medical Center",",Management is always willing to work with your schedule",NA,NA,NA,NA,NA,NA
"Genentech","Senior Programmer Analyst",131805,3.9,4.1,3.5,3.6,4,"Penn State Milton S. Hershey Medical Center",",Friendly co-workers that are just as close as family",NA,NA,NA,NA,NA,NA
"General Assembly","Sales Representative",71151,4,4.1,3.8,4,4.1,"Penn State Milton S. Hershey Medical Center",",HIGH Patient Population - VERY BUSY",NA,NA,NA,NA,NA,NA
"General Assembly","Client Director",89143,4,4.1,3.8,4,4.1,"Penn State Milton S. Hershey Medical Center",",Working for MS Hershey Medical Center was educational and an experience. Continuous work with finances, attorney correspondents, workers compensation insurance carriers, various state workers compensation laws, as well as attorneys throughout the country.",NA,NA,NA,NA,NA,NA
"General Assembly","Teaching Assistant",24.06,4,4.1,3.8,4,4.1,"Penn State Milton S. Hershey Medical Center",",Wonderful place to work!  Everyone works as a team to provide the best care for patients.",NA,NA,NA,NA,NA,NA
"General Assembly","Account Director",92497,4,4.1,3.8,4,4.1,"Penn State Milton S. Hershey Medical Center",",It was not what I was looking for. The department I was in was very disorganized.",NA,NA,NA,NA,NA,NA
"General Assembly","Assembler",10.71,4,4.1,3.8,4,4.1,"Penn State Milton S. Hershey Medical Center",",A typical day is long and hard work. I learned that you must keep to yourself or you will lose your job. Management is very friendly, but does not have a handle on it's employees. Co-workers have a nice demeanor, but will stab you in the back at first chance. The hardest part of the job is keeping to yourself, and a lot of walking. I was not able to find out the most enjoyable part of the job, because I did not get a chance to work there for very long.",NA,NA,NA,NA,NA,NA
"General Assembly","Instructor",43803,4,4.1,3.8,4,4.1,"IBM",",I'm so grateful for the training, I received, I have become a","TD Bank",",Banking Specialist I, Phone Channel","Fujitsu",",good pay and bennifits and co van","Memorial Sloan Kettering",",Very bureaucratic"
"General Dynamics Information Technology",NA,NA,3.7,3.9,3.3,3.4,3.6,"Penn State Milton S. Hershey Medical Center",",Hershey Medical Center is a great place to work. The organizational values are excellent. It is great to work for this magnet organization.",NA,NA,NA,NA,NA,NA
"General Mills","Pest Control Technician",25.67,3.7,3.9,3.3,3.5,3.7,"Penn State Milton S. Hershey Medical Center",",Outstanding organization to be a part of! Superb benefits and great leadership team.",NA,NA,NA,NA,NA,NA
"General Mills","Operator",18.86,3.7,3.9,3.3,3.5,3.7,"Penn State Milton S. Hershey Medical Center",",When I returned from living in Ireland last summer, I was contacted by my local gym where I had taught aerobic classes. They were looking for someone to fill in as an Exercise Physiologist while one of their employees had surgery. Since my minor in exercise science sufficed for the position, I gladly accepted.",NA,NA,NA,NA,NA,NA
"General Mills","Order Picker",15.61,3.7,3.9,3.3,3.5,3.7,"Penn State Milton S. Hershey Medical Center",",A typical day at work consisted of opening duties of the gym, meeting with clients to administer fitness testing, orientations, and personal training programs.",NA,NA,NA,NA,NA,NA
