,Source,gMag,gSent,gentity1,gentity1salience,gentity1type,gentity2,gentity2salience,gentity2type,gentity3,gentity3salience,gentity3type,gentity4,gentity4salience,gentity4type,gentity5,gentity5salience,gentity5type,gtopic1,gtopic2,gtopic3,gtopic4,gtopic5,id,lenArticle,lenGoogleAPIentities,lenGoogleAPItokens,lenTextRazorAPIcoarseTopics,lenTextrazorAPIentailments,lenTextrazorAPIentities,lenTextrazorAPIproperties,lenTextrazorAPIrelations,lenTextrazorAPIsentences,lenTextrazorAPItopics,tentity1,tentity1salience,tentity1type,tentity2,tentity2salience,tentity2type,tentity3,tentity3salience,tentity3type,tentity4,tentity4salience,tentity4type,tentity5,tentity5salience,tentity5type
435,foxbasic,3.2,-0.3,ban,0.31061405,OTHER,Donald Trump,0.089997135,OTHER,appeals court,0.08227735,OTHER,countries,0.054719124,OTHER,United States,0.049818404,OTHER,Donald Trump,Supreme Court of the United States,President of the United States,United States,Judge,-1972395727,3161,5290,6322,653,1504787,68295,5097,191708,191708,34192,George W. Bush,0.7568,Agent,Supreme Court of the United States,0.755,Place,Donald Trump,0.7365,Agent,Barack Obama,0.6669,Agent,United States courts of appeals,0.6069,
436,reutersbasic,5.5,0.0,Trump,0.20475602,PERSON,Elon Musk,0.19295444,PERSON,United States,0.07759517,PERSON,Uber Technologies Inc's,0.04755902,PERSON,brief,0.0320733,PERSON,United States,Donald Trump,Uber (company),Immigration,Facebook,-1973996944,3808,5828,7616,657,1457246,80648,7932,213696,213696,37990,Uber (company),0.6513,Agent,Donald Trump,0.6216,Agent,United States,0.6094,Place,Facebook,0.6051,Work,Elon Musk,0.5914,Agent
437,cnnbasic,0.1,0.1,DHS,0.37560892,ORGANIZATION,chief,0.26527858,ORGANIZATION,ICE,0.11822402,ORGANIZATION,people,0.08322263,ORGANIZATION,chief,0.07110869,ORGANIZATION,Immigration,Immigration to North America,Immigration to the United States,Human migration,Illegal immigration to North America,-1988219542,107,380,214,209,8941,1839,62,6911,6911,13163,,,,,,,,,,,,,,,
438,cnnbasic,3.1,0.1,Atlanta Falcons,0.67442054,ORGANIZATION,Patriots,0.04787689,ORGANIZATION,Hillary Clinton,0.039491072,ORGANIZATION,comeback,0.022369592,ORGANIZATION,comeback,0.022369592,ORGANIZATION,New England Patriots,Atlanta Falcons,Tom Brady,Twitter,National Football League seasons,-1989652583,1498,2489,2996,649,366950,32636,3933,86994,86994,19218,Tom Brady,0.5812,Agent,Twitter,0.4954,Work,Hillary Clinton,0.4765,Agent,Donald Trump,0.4325,Agent,CNN,0.3858,Agent
439,cnnbasic,3.4,0.0,Alabama.,0.21152982,LOCATION,US,0.17922276,LOCATION,look,0.06363424,LOCATION,attorney general,0.063447125,LOCATION,senator,0.059573475,LOCATION,Jeff Sessions,Politics of the United States,Government,Law,Politics,-199663888,1408,3153,2816,659,228241,48725,2273,72233,72233,29723,Jeff Sessions,1.0,Agent,United States Senate,0.5812,Agent,Judiciary,0.5159,,Ronald Reagan,0.4998,Agent,Republican Party (United States),0.4898,Agent
440,cnnbasic,3.3,0.0,Obamacare,0.09245175,OTHER,health care law,0.08654151,OTHER,Members,0.07867219,OTHER,Barack Obama,0.06101407,OTHER,Republicans,0.054185968,OTHER,Patient Protection and Affordable Care Act,Republican Party (United States),President of the United States,United States House of Representatives,Politics of the United States,-1998901527,3442,4861,6884,651,1795504,39153,5904,220864,220864,28705,Patient Protection and Affordable Care Act,0.9279,,Mike Pence,0.8495,Agent,Republican Study Committee,0.8318,Agent,Mark Sanford,0.7517,Agent,Barack Obama,0.7199,Agent
441,reutersbasic,5.4,0.0,stocks,0.1741776,OTHER,options market,0.04304617,OTHER,stock market volatility,0.041635234,OTHER,slump,0.041085344,OTHER,shares,0.032657985,OTHER,Option (finance),Stock,Stock market,Financial economics,Market (economics),-2006882990,3109,4182,6218,664,1593175,41826,6074,197835,197835,21155,Stock market,0.7358,,S&P 500 Index,0.6715,,Merrill Lynch,0.3766,Agent,Thomson Reuters,0.355,Agent,BNP Paribas,0.3458,Agent
442,cnnbasic,12.0,0.1,Domino,0.13747841,ORGANIZATION,Chipotle,0.11289449,ORGANIZATION,Papa John's,0.06793494,ORGANIZATION,Donald Trump,0.055701256,ORGANIZATION,Peyton Manning,0.031142721,ORGANIZATION,Domino's Pizza,Papa John's Pizza,Chipotle Mexican Grill,Pizza Hut,McDonald's,-201610543,3348,5163,6696,662,1148165,57495,8618,208541,208541,28550,Yum! Brands,0.6861,Agent,KFC,0.6178,Agent,Peyton Manning,0.5575,Agent,McDonald's,0.5379,Agent,Pizza Hut,0.5163,Agent
443,cnnbasic,9.0,0.1,Jason Hairston,0.7151058,PERSON,NFL,0.051529456,PERSON,Kuiu,0.041083064,PERSON,life,0.01941166,PERSON,neck injury,0.01492913,PERSON,Brand,Business,Service industries,Marketing,Metallica,-2016620068,2153,3102,4306,662,961895,33862,3420,145651,145651,26755,Metallica,0.4584,Band,James Hetfield,0.3335,MusicalArtist,Donald Trump,0.3069,Agent,San Francisco 49ers,0.2964,Agent,San Francisco,0.2708,Place
444,cnnbasic,55.9,0.0,Hass,0.7514896,PERSON,Arab Spring,0.024845809,PERSON,US,0.010827436,PERSON,CNN,0.008601904,PERSON,people,0.0066416883,PERSON,Refugee,United States,Permanent residence (United States),Donald Trump,Libya,-2031526263,12789,11915,25578,659,5498559,149065,17789,904006,904006,38618,Refugee,0.7008,EthnicGroup,Donald Trump,0.6639,Agent,Lebanon,0.5767,Place,Homosexuality,0.571,,Statue of Liberty,0.4988,Place
445,foxbasic,12.5,0.1,Severino Gonzalez,0.190893,PERSON,Jeffrey Loria,0.15234406,PERSON,Joshua Kushner,0.07980908,PERSON,Miami Marlins,0.07808632,PERSON,fan,0.033295926,PERSON,Marlins Park,Miami Marlins,Donald Trump,David Samson (baseball),Jeffrey Loria,-2051418324,3716,4999,7432,649,1143686,50927,8771,221881,221881,17758,Marlins Park,0.8178,Place,Donald Trump,0.5315,Agent,Miami Marlins,0.4139,Agent,Florida,0.283,Place,Baseball,0.2791,Activity
446,cnnbasic,11.6,0.2,Katie Danziger,0.22335956,PERSON,Lisa Abrams,0.083578944,PERSON,college senior,0.06212745,PERSON,Carolyn Munson,0.044354673,PERSON,kids,0.03779132,PERSON,Empathy,Abortion-rights movements,Parenting,Politics,Activism,-2083955470,7326,7923,14652,647,4135004,52235,11389,498526,498526,30845,Donald Trump,0.5598,Agent,Barack Obama,0.5141,Agent,Facebook,0.5085,Work,Abortion-rights movements,0.4999,,Planned Parenthood,0.4919,Agent
447,cnnbasic,11.6,0.2,Donald Trump,0.31205934,PERSON,NATO,0.26541975,PERSON,Britain,0.07947957,PERSON,European,0.06240877,PERSON,American,0.029794503,PERSON,NATO,Allies of World War II,Europe,United Kingdom,Donald Trump,-2089981007,7137,9393,14274,659,2578696,152540,17024,424165,424165,38164,NATO,1.0,Agent,Vladimir Putin,0.7796,Agent,Ukraine,0.7784,Place,Allies of World War II,0.7582,Place,Russia,0.6792,Place
448,foxbasic,20.4,-0.1,Donald Trump,0.11541626,PERSON,Super Bowl,0.05851054,PERSON,Haircare,0.05320096,PERSON,America,0.030504653,PERSON,ad,0.02484098,PERSON,Advertising,Super Bowl commercials,Pepsi,Budweiser,Super Bowl,-2097358300,6405,10536,12810,663,2295891,129636,13334,450740,450740,27399,Super Bowl commercials,0.8117,,Budweiser,0.655,Food,Pepsi,0.6067,Food,Twitter,0.5567,Work,Anheuser-Busch,0.5508,Agent
449,cnnbasic,6.7,0.0,immigrant,0.44778305,PERSON,Rohi Atassi,0.25507236,PERSON,citizens,0.04859444,PERSON,United States,0.045139574,PERSON,Sara L. Ellis,0.021458618,PERSON,Syria,Citizenship of the United States,Politics,United States,Government,-2106584194,3081,3703,6162,653,1227266,45939,4621,221002,221002,29018,Syria,0.4167,Place,Donald Trump,0.4097,Agent,United States,0.2998,Place,Illinois,0.2946,Place,CNN,0.2698,Agent
450,foxbasic,7.0,-0.3,Planned Parenthood,0.12046244,ORGANIZATION,abortions,0.09955434,ORGANIZATION,supporters,0.053178936,ORGANIZATION,rallies,0.050192457,ORGANIZATION,Donald Trump,0.047959387,ORGANIZATION,Planned Parenthood,Abortion,Donald Trump,Politics,Health,-2107992116,3916,5563,7832,646,1426627,67321,6728,242179,242179,35849,Planned Parenthood,0.8525,Agent,Mike Pence,0.7079,Agent,Donald Trump,0.5503,Agent,Birth control,0.5078,,Republican Party (United States),0.4793,Agent
451,cnnbasic,0.8,-0.2,Trump pierde,0.49863318,OTHER,batalla,0.35670424,OTHER,decreto sigue suspendido Últimas noticiasDestacamosvideo,0.10470184,OTHER,Opiniónespeciales,0.039960746,OTHER,,,OTHER,,,,,,-2114656611,111,111,222,3,3,273,3,1521,1521,3,,,,,,,,,,,,,,,
452,foxbasic,2.1,0.0,U.S. Supreme Court,0.34062412,ORGANIZATION,Ruth Bader Ginsburg,0.30148026,ORGANIZATION,Donald Trump,0.119115055,ORGANIZATION,partisanship,0.015797127,ORGANIZATION,nomination,0.015797127,ORGANIZATION,Ruth Bader Ginsburg,Supreme Court of the United States,Donald Trump,American politicians,United States,-2125594326,2447,3343,4894,648,951056,37102,5601,156872,156872,31542,Ruth Bader Ginsburg,0.7908,Agent,Supreme Court of the United States,0.6312,Place,Hillary Clinton,0.574,Agent,Antonin Scalia,0.5673,Agent,Anthony Kennedy,0.5438,Agent
453,cnnbasic,3.1,0.7,Donald Trump Jr.,0.6232397,PERSON,Tiger Woods,0.28708,PERSON,granddaughters,0.018785588,PERSON,photo,0.009261544,PERSON,ball,0.008753842,PERSON,Donald Trump,Golf,Presidency of the United States,Politics of the United States,Executive branch of the United States government,-2127501604,930,1475,1860,648,305918,22499,1098,66036,66036,21830,Tiger Woods,0.432,Agent,Donald Trump,0.4294,Agent,Golf,0.3901,Activity,George H. W. Bush,0.3431,Agent,Bill Clinton,0.2741,Agent
454,cnnbasic,10.8,0.0,Donald Trump,0.46378598,PERSON,Circuit Court of Appeals,0.050198197,PERSON,President,0.045212105,PERSON,immigrant,0.033234283,PERSON,action,0.016765146,PERSON,Donald Trump,Patient Protection and Affordable Care Act,United States,Mexico,Republican Party (United States),-2130685879,3650,6878,7300,659,1219906,84937,8938,218555,218555,31541,Patient Protection and Affordable Care Act,0.7014,,Republican Party (United States),0.6517,Agent,Enrique Peña Nieto,0.6258,Agent,Donald Trump,0.6135,Agent,North American Free Trade Agreement,0.5716,Agent
455,foxbasic,9.8,0.0,Republicans,0.47603396,PERSON,Trump,0.111938804,PERSON,Congress,0.08401334,PERSON,list,0.055526916,PERSON,ObamaCare,0.02256045,PERSON,Donald Trump,Republican Party (United States),Patient Protection and Affordable Care Act,Tax,United States,-250205146,4102,4917,8204,651,1783996,64210,6056,280872,280872,23058,Patient Protection and Affordable Care Act,0.6225,,Republican Party (United States),0.6099,Agent,Tax,0.4781,,United States,0.4459,Place,United States Congress,0.4309,Place
456,reutersbasic,4.8,-0.1,General Motors Co,0.34605896,PERSON,net income,0.055973016,PERSON,Chuck Stevens,0.039598666,PERSON,pound,0.036831457,PERSON,United States.,0.029862864,PERSON,General Motors,United States,Tax,Economy,Profit (accounting),-255915178,3410,4089,6820,659,1291083,78586,7657,224896,224896,29791,General Motors,0.8949,Agent,Ford Motor Company,0.7302,Agent,United Automobile Workers,0.6925,Agent,United States,0.6238,Place,Car,0.5269,
457,reutersbasic,3.5,-0.2,profit rebound,0.05329949,OTHER,sector,0.038797185,OTHER,energy stocks,0.03447543,OTHER,oil prices,0.034368332,OTHER,election,0.031875428,OTHER,Price of oil,Futures contract,Stock,Petroleum,Market (economics),-264735690,3439,4630,6878,664,1365271,56663,7882,216887,216887,27353,Price of oil,0.8154,,Stock market,0.7029,,Hedge fund,0.6412,,OPEC,0.6093,Agent,S&P 500 Index,0.5695,
458,cnnbasic,0.3,0.1,Democrats,0.22611104,PERSON,Senate,0.22611104,PERSON,floor,0.20729081,PERSON,cabinet,0.0933134,PERSON,DeVos voteWho,0.07863929,PERSON,Politics of the United States,Politics,Government,Elections,United States,-269289149,113,463,226,429,27457,2093,63,9357,9357,18252,,,,,,,,,,,,,,,
459,foxbasic,13.5,-0.1,United States Senate,0.33117533,ORGANIZATION,Daines.Warren,0.088094346,ORGANIZATION,Republicans,0.061011646,ORGANIZATION,Ted Kennedy,0.049155496,ORGANIZATION,Elizabeth Warren,0.047594085,ORGANIZATION,United States Senate,President of the United States,John F. Kennedy,Democratic Party (United States),Coretta Scott King,-27582409,5951,9455,11902,649,1433318,101287,10514,362857,362857,37865,United States Senate,0.5927,Agent,Ted Kennedy,0.5849,Agent,Martin Luther King Jr.,0.55,Agent,Ronald Reagan,0.5333,Agent,Bill Clinton,0.5331,Agent
460,cnnbasic,27.3,0.0,Donald Trump,0.14237846,PERSON,White House,0.07590742,PERSON,Abraham Lincoln,0.06481437,PERSON,Jared Kushner,0.06102461,PERSON,source,0.0399559,PERSON,Donald Trump,President of the United States,Republican Party (United States),Barack Obama,White House,-285423493,9069,13187,18138,651,3498365,119852,19910,593232,593232,31010,Donald Trump,0.7317,Agent,Barack Obama,0.7174,Agent,Republican Party (United States),0.6718,Agent,United States Congress,0.6484,Place,Mike Pence,0.6455,Agent
461,foxbasic,0.6,-0.2,Lou Dobbs,0.4773231,PERSON,threat,0.09911749,PERSON,movement,0.042426843,PERSON,question,0.033704177,PERSON,Fox Business Network,0.024751673,PERSON,Lou Dobbs,Politics of the United States,Politics,Public sphere,Political ideologies,-291344310,1079,1977,2158,649,238111,16786,1602,64749,64749,30128,Lou Dobbs,0.593,Agent,Donald Trump,0.3652,Agent,Republican Party (United States),0.3444,Agent,Fox News,0.3379,Agent,United States,0.2982,Place
462,cnnbasic,2.2,0.0,administration,0.36691904,ORGANIZATION,arguments,0.18309678,ORGANIZATION,travel ban,0.08618649,ORGANIZATION,Trump,0.04033803,ORGANIZATION,telephone,0.025793584,ORGANIZATION,United States Senate,Politics of the United States,Government,United States,Politics,-291751078,1232,2638,2464,652,397375,25731,1374,72754,72754,30421,Patient Protection and Affordable Care Act,0.6074,,United States Congress,0.4555,Place,Steny Hoyer,0.4456,Agent,United States Senate,0.4245,Agent,Republican Party (United States),0.4234,Agent
463,reutersbasic,3.6,0.1,United States,0.2957819,LOCATION,Donald Trump,0.19851097,LOCATION,aviation executives,0.06232215,LOCATION,industry executives,0.02069238,LOCATION,White House,0.020625459,LOCATION,Airline,United States,American Airlines,Donald Trump,President of the United States,-296825013,3964,7195,7928,657,1306049,100570,7900,245459,245459,29325,American Airlines,0.9033,Agent,Airline,0.7328,,Alaska Airlines,0.7155,Agent,JetBlue,0.7087,Agent,Transportation Security Administration,0.7046,Agent
464,cnnbasic,0.5,0.5,Trump,0.46860877,PERSON,terror,0.25099432,PERSON,groupsVideos,0.15938765,PERSON,terror groups,0.121009275,PERSON,,,PERSON,Trump family,Donald Trump,Political positions of American politicians,American families of German ancestry,American families of Scottish ancestry,-303831887,100,192,200,3,21864,546,133,4764,4764,2856,,,,,,,,,,,,,,,
465,reutersbasic,2.4,0.0,Donald Trump,0.21904051,PERSON,The Doomsday Clock,0.16769466,PERSON,weapons,0.06905546,PERSON,United States,0.058843452,PERSON,bulletin,0.04741951,PERSON,Nuclear weapon,Doomsday Clock,Bulletin of the Atomic Scientists,Nuclear energy,Foreign policy,-320264111,2526,4000,5052,663,875519,56869,6086,148033,148033,32952,Bulletin of the Atomic Scientists,0.8892,Work,Doomsday Clock,0.876,,Nuclear weapon,0.643,,Nuclear arms race,0.6063,,Vladimir Putin,0.5365,Agent
466,cnnbasic,1.2,-0.2,production,0.42245263,WORK_OF_ART,George Orwell,0.13228424,WORK_OF_ART,stage version,0.049424738,WORK_OF_ART,Broadway,0.03875491,WORK_OF_ART,state,0.032999203,WORK_OF_ART,George Orwell,Culture,Politics,Literature,Ministries of Nineteen Eighty-Four,-344016999,1589,2819,3178,651,394594,24057,4324,94499,94499,38388,George Orwell,0.5084,Agent,Edward Snowden,0.4664,Agent,Newspeak,0.3913,,National Security Agency,0.3575,Agent,CNN,0.3078,Agent
467,cnnbasic,8.0,-0.2,Salam Fayyad,0.31797627,PERSON,United Nations,0.107752346,PERSON,United States,0.08701286,PERSON,ambassador,0.040357802,PERSON,Palestinian,0.02819254,PERSON,Palestinian National Authority,United Nations,Israel,Mahmoud Abbas,State of Palestine,-3559041,4258,5909,8516,658,1627507,87680,7504,244002,244002,36668,Palestinian National Authority,0.8682,Place,Palestine Liberation Organization,0.8409,Agent,Mahmoud Abbas,0.791,Agent,Salam Fayyad,0.7483,Agent,United Nations,0.6919,Place
468,foxbasic,3.6,0.0,Trump,0.2948829,PERSON,immigrants,0.11932465,PERSON,areas,0.07329673,PERSON,immigrants,0.028967207,PERSON,regions,0.02676465,PERSON,Immigration,Illegal immigration to the United States,United States,Politics,Politics of the United States,-360548755,3140,5282,6280,652,1293198,56510,6091,169717,169717,30191,Mexico,0.5427,Place,U.S. Immigration and Customs Enforcement,0.541,Agent,United States,0.5349,Place,Immigration,0.4619,,Houston,0.4398,Place
469,reutersbasic,5.1,0.0,Donald Trump,0.18342063,PERSON,Statue of Liberty,0.15505071,PERSON,Germany,0.10648179,PERSON,Angela Merkel,0.0593801,PERSON,cover,0.026627619,PERSON,Angela Merkel,Germany,Government,Public sphere,Politics,-369687419,2059,3761,4118,653,500518,43110,4637,120695,120695,29976,Angela Merkel,0.7153,Agent,Der Spiegel,0.493,Work,Christian Democratic Union of Germany,0.468,Agent,Frankfurter Allgemeine Zeitung,0.4583,Work,Donald Trump,0.3561,Agent
470,foxbasic,17.8,-0.1,Democrats,0.36416233,PERSON,Donald Trump,0.3202022,PERSON,Republicans,0.023871403,PERSON,White House,0.01891793,PERSON,president,0.018108133,PERSON,Democratic Party (United States),Donald Trump,Republican Party (United States),Patient Protection and Affordable Care Act,Elizabeth Warren,-375417816,5438,6965,10876,650,2038375,64769,9611,333589,333589,35665,Republican Party (United States),0.7553,Agent,Hillary Clinton,0.7368,Agent,Patient Protection and Affordable Care Act,0.6763,,Eric Holder,0.6467,Agent,Donald Trump,0.6368,Agent
471,cnnbasic,5.9,-0.2,White House,0.10578917,ORGANIZATION,residents,0.057907984,ORGANIZATION,2016TARGET,0.049353663,ORGANIZATION,United States,0.041559804,ORGANIZATION,terrorism list,0.03993053,ORGANIZATION,Islamic State of Iraq and the Levant,Brussels ISIL terror cell,Suicide attack,Terrorism,Saudi Arabia,-382541898,14081,25964,28162,656,2071990,294705,7355,566187,566187,62868,Islamic State of Iraq and the Levant,0.7943,Place,Yemen,0.554,Place,Saudi Arabia,0.5449,Place,Egypt,0.5038,Place,Sudan,0.4727,Place
472,cnnbasic,7.2,-0.4,Texas State Senate,0.12928262,ORGANIZATION,Texas State Senators,0.04486249,ORGANIZATION,bill,0.044477224,ORGANIZATION,Donald Trump,0.033702556,ORGANIZATION,person,0.030145284,ORGANIZATION,Sanctuary city,United States Senate,Crime,Police,Politics,-393783571,4321,6862,8642,653,1898383,69280,6785,265055,265055,36342,Greg Abbott,0.7046,Agent,Crime,0.6191,,Donald Trump,0.6012,Agent,Felony,0.5601,,Republican Party (United States),0.5329,Agent
473,cnnbasic,8.0,-0.2,Democratic,0.24931724,PERSON,Senate,0.22339623,PERSON,Donald Trump,0.116417594,PERSON,Elizabeth Warren,0.09919366,PERSON,Jeff Sessions,0.044283498,PERSON,United States Senate,Democratic Party (United States),Donald Trump,Republican Party (United States),Jeff Sessions,-398254402,4965,6821,9930,653,1786703,73118,8923,303816,303816,31727,Jeff Sessions,0.8578,Agent,United States Senate,0.7363,Agent,Mike Pence,0.6712,Agent,Chuck Schumer,0.6288,Agent,Mitch McConnell,0.6118,Agent
474,cnnbasic,8.8,-0.1,Russian,0.4030625,LOCATION,Libyan,0.31573784,LOCATION,Khalifa Haftar,0.03241897,LOCATION,European,0.023255583,LOCATION,St John,0.011529021,LOCATION,Libya,Russia,Muammar Gaddafi,Bashar al-Assad,Syria,-407781352,6750,10366,13500,653,2676380,145888,15552,414249,414249,39778,Bashar al-Assad,0.9613,Agent,Munich Security Conference,0.9298,Agent,Muammar Gaddafi,0.8708,Agent,Libya,0.8181,Place,Islamic State of Iraq and the Levant,0.8048,Place
475,reutersbasic,4.4,-0.1,Kremlin,0.2869768,ORGANIZATION,Iran,0.1768285,ORGANIZATION,Russia,0.08376728,ORGANIZATION,Dmitry Peskov,0.058458336,ORGANIZATION,Donald Trump,0.057378743,ORGANIZATION,Annexation of Crimea by the Russian Federation,Politics of Asia,Russia,Global politics,Government,-421744133,1611,2606,3222,661,681685,38035,3541,97928,97928,38772,Annexation of Crimea by the Russian Federation,0.7542,Event,Vladimir Putin,0.6899,Agent,Russia,0.4223,Place,Donald Trump,0.4123,Agent,Iran,0.3606,Place
476,cnnbasic,0.6,0.6,protesters,0.4896344,PERSON,Tea Party,0.17390831,PERSON,tacticsStories,0.106870234,PERSON,Anti-Trump,0.0912352,PERSON,tactics,0.08099681,PERSON,Tea Party movement,Right-wing populism,Political activism,Populism,Political events,-434734677,109,258,218,212,18225,813,189,5222,5222,10002,,,,,,,,,,,,,,,
477,cnnbasic,8.4,-0.1,Donald Trump,0.19970658,PERSON,US,0.14572263,PERSON,courts,0.03296753,PERSON,James Robart,0.031104825,PERSON,latest,0.02890239,PERSON,Donald Trump,Supreme Court of the United States,Appeal,President of the United States,United States Court of Appeals for the Ninth Circuit,-441497051,4538,7667,9076,660,1808470,81477,10542,291635,291635,35127,United States courts of appeals,0.7145,,Lindsey Graham,0.6961,Agent,George W. Bush,0.6648,Agent,United States Court of Appeals for the Ninth Circuit,0.5894,,Mitch McConnell,0.5641,Agent
478,cnnbasic,13.2,-0.1,Trump,0.33626658,PERSON,Michael Flynn,0.31805524,PERSON,Russian,0.10320192,PERSON,United States,0.023386523,PERSON,election,0.017702393,PERSON,Donald Trump,Russia,President of the United States,Vladimir Putin,"Donald Trump presidential campaign, 2016",-442429043,5897,7597,11794,659,2211746,122564,12053,336704,336704,34057,Vladimir Putin,0.7526,Agent,Richard Nixon,0.7116,Agent,Donald Trump,0.7096,Agent,Mike Pence,0.6944,Agent,Barack Obama,0.6806,Agent
479,cnnbasic,11.4,0.1,Donald Trump,0.28684458,PERSON,opposition,0.07298383,PERSON,employees,0.0278114,PERSON,refugees,0.027555726,PERSON,businesses,0.026293404,PERSON,Donald Trump,Advertising,United States,Super Bowl commercials,Starbucks,-452107300,4816,8900,9632,659,1806673,96777,11489,288046,288046,41032,Starbucks,0.6498,Agent,Goldman Sachs,0.6353,Agent,Facebook,0.5997,Work,Elon Musk,0.5908,Agent,Donald Trump,0.5877,Agent
480,reutersbasic,7.1,-0.1,project,0.11624679,OTHER,Donald Trump,0.076705985,OTHER,Army,0.060750272,OTHER,North Dakota,0.046102677,OTHER,tribes,0.042964227,OTHER,Standing Rock Indian Reservation,Bakken pipeline,Politics,Keystone Pipeline,Pipeline transport,-468770627,4459,6628,8918,659,1763788,75528,10080,270309,270309,30424,Standing Rock Indian Reservation,1.0,Place,Keystone Pipeline,1.0,,Barack Obama,0.593,Agent,Donald Trump,0.5798,Agent,Missouri River,0.5746,Place
481,reutersbasic,4.2,0.1,Donald Trump,0.26337966,PERSON,Consumer Financial Protection Bureau,0.08000607,PERSON,Jeb Hensarling,0.070377104,PERSON,Republicans,0.043697033,PERSON,chairman,0.026834989,PERSON,Consumer Financial Protection Bureau,Bank,Financial crisis of 2007–2008,Dodd–Frank Wall Street Reform and Consumer Protection Act,Republican Party (United States),-471065175,3946,5754,7892,655,1817983,69222,7225,247635,247635,35788,Financial crisis of 2007–2008,1.0,,Dodd–Frank Wall Street Reform and Consumer Protection Act,1.0,,Volcker Rule,0.9646,,Consumer Financial Protection Bureau,0.9529,Agent,American Bankers Association,0.9104,Agent
482,reutersbasic,2.4,0.0,United States of America,0.31969643,LOCATION,Donald Trump,0.23443167,LOCATION,North Korean,0.06734691,LOCATION,Barack Obama.,0.031084064,LOCATION,president,0.029354438,LOCATION,North Korea,Donald Trump,South Korea,Korea,China,-484880857,5654,7958,11308,659,2208358,137860,13774,343462,343462,33886,Shinzō Abe,0.8307,Agent,North Korea,0.7966,Place,Xi Jinping,0.6911,Agent,South Korea,0.6784,Place,Kim Jong-un,0.6761,Agent
483,cnnbasic,29.2,0.0,Donald Trump,0.71594054,PERSON,Nancy Edwards,0.033877112,PERSON,Twitter,0.01897572,PERSON,Americans,0.011318666,PERSON,@ndejde,0.0074590705,PERSON,Twitter,Donald Trump,Social media,Facebook,Republican Party (United States),-489627360,8209,11744,16418,657,3611866,116024,14960,512971,512971,43820,Twitter,0.8063,Work,Sarah Palin,0.7995,Agent,Republican Party (United States),0.7524,Agent,Facebook,0.7184,Work,Paul Ryan,0.7029,Agent
484,cnnbasic,3.7,0.0,Donald Trump,0.490967,PERSON,Bernie Sanders,0.2079448,PERSON,United States,0.025819656,PERSON,guy,0.02572862,PERSON,showman,0.024625214,PERSON,Donald Trump,Goldman Sachs,Wall Street,Consumer Financial Protection Bureau,Investment banking,-50738927,1702,2994,3404,659,551552,35236,3054,112904,112904,35060,Goldman Sachs,0.6444,Agent,Glass–Steagall legislation,0.6421,,Bernie Sanders,0.5676,Agent,Donald Trump,0.4627,Agent,Consumer Financial Protection Bureau,0.4441,Agent
485,cnnbasic,5.6,-0.3,Betsy DeVos,0.5683009,PERSON,school,0.08435159,PERSON,Washington,0.035744876,PERSON,protest,0.029681278,PERSON,officials,0.02876058,PERSON,"Washington, D.C.",Donald Trump,President of the United States,Twitter,Government,-514538924,2926,4641,5852,657,1053700,56232,3849,182871,182871,32702,Mike Pence,0.53,Agent,Barack Obama,0.4907,Agent,"Washington, D.C.",0.4464,Place,Arne Duncan,0.4226,Agent,Vice President of the United States,0.4134,
486,cnnbasic,9.9,-0.1,Apple,0.20602398,ORGANIZATION,news,0.19836776,ORGANIZATION,Tim Cook,0.12373533,ORGANIZATION,stories,0.0584996,ORGANIZATION,tech industry,0.01820179,ORGANIZATION,Facebook,News,Apple Inc.,News satire,Communication,-518041246,3040,4522,6080,655,1204499,45846,6165,188712,188712,42093,Facebook,0.8632,Work,Mark Zuckerberg,0.6519,Agent,Apple Inc.,0.5424,Agent,BuzzFeed,0.5171,Agent,Donald Trump,0.4744,Agent
487,cnnbasic,10.4,0.2,Saudi Arabia,0.20859492,LOCATION,pain,0.044612788,LOCATION,Abdulrahman Tarabzouni,0.038494118,LOCATION,world,0.030873312,LOCATION,places,0.028394457,LOCATION,Entrepreneurship,Saudi Arabia,Startup company,Silicon Valley,Business,-521674723,3347,5630,6694,663,1181324,67278,7564,202271,202271,29644,Venture capital,0.6943,,Entrepreneurship,0.6927,,Silicon Valley,0.6514,Place,Saudi Arabia,0.5671,Place,Google,0.5538,Agent
488,foxbasic,11.0,0.0,Senate.,0.28745046,ORGANIZATION,Trump,0.18296084,ORGANIZATION,Republicans.McConnell,0.04402223,ORGANIZATION,Republicans,0.04173664,ORGANIZATION,Supreme Court,0.03803395,ORGANIZATION,United States Senate,Democratic Party (United States),Supreme Court of the United States,Republican Party (United States),Donald Trump,-523863027,5611,7467,11222,652,2035052,85427,13617,366233,366233,33092,United States Senate,0.6639,Agent,Republican Party (United States),0.6549,Agent,Democratic Party (United States),0.6209,Agent,Anthony Kennedy,0.5701,Agent,United States Congress,0.5622,Place
489,cnnbasic,2.8,-0.1,Dev Patel,0.52488476,PERSON,Academy,0.11164383,PERSON,kind,0.04486006,PERSON,Donald Trump,0.044178735,PERSON,travel ban,0.029370718,PERSON,Politics,Culture,Government,Immigration,Academy Awards,-528636895,1501,2919,3002,645,435199,32177,3401,96329,96329,30650,CNN,0.3181,Agent,Yemen,0.2814,Place,Somalia,0.2745,Place,Syria,0.2492,Place,Iraq,0.2415,Place
